"Electorate Number #","Electorate Name","Voting Place ID","Voting Place Suburb","Voting Place Address","NZTM2000 Northing","NZTM2000 Easting","WGS84 Latitude","WGS84 Longitude"
1,"Auckland Central",134,"Waiheke Island","Omiha Memorial Hall, 2 Glen Brook Road",5923218.233,1783646.334,-36.81909001,175.0590029
1,"Auckland Central",131,"Waiheke Island","Onetangi Residents Association Hall, corner Waiheke Road & Third Avenue",5926348.985,1785870.916,-36.79045144,175.0831651
1,"Auckland Central",4042,"Waiheke Island","Ostend Memorial Hall, 76 Ostend Road",5925721.798,1782666.167,-36.79672527,175.047419
1,"Auckland Central",135,"Waiheke Island","Palm Beach Hall, 64 Palm Road",5927422.442,1782236.551,-36.78148693,175.0421996
1,"Auckland Central",3829,"Waiheke Island","Surfdale Community Hall, 6 Hamilton Road",5926262.633,1780420.94,-36.79228329,175.0221395
1,"Auckland Central",4040,"Waiheke Island","Waiheke High School, 11 Donald Bruce Road",5925157.219,1780878.531,-36.80215477,175.0275278
1,"Auckland Central",3644,"Westmere","Hawke Sea Scouts Hall, 55 West End Road",5920331.412,1753830.111,-36.85042025,174.7254451
2,"Bay of Plenty",184,"Kaimai","Kaimai School, 1853 State Highway 29",5810620.468,1866291.614,-37.81300171,176.0250082
2,"Bay of Plenty",406,"Matakana Island","Te Kura O Te Moutere O Matakana, 183 Opureora Road",5833009.05,1872089.696,-37.60979011,176.0824199
2,"Bay of Plenty",187,"Matapihi","Te Kura o Matapihi, 398 Matapihi Road",5822982.31,1881650.842,-37.69714727,176.1944508
2,"Bay of Plenty",189,"Maungatapu","Maungatapu Free Kindergarten, 187 Te Hono Street",5820993.154,1880576.367,-37.71537788,176.1830478
2,"Bay of Plenty",190,"Maungatapu","Maungatapu Primary School, 164 Maungatapu Road",5820297.295,1879734.925,-37.72189748,176.1737828
2,"Bay of Plenty",3400,"Mount Maunganui","Arataki Community Centre, Zambuk Way (off Grenada Street)",5825296.7,1884749.662,-37.67536304,176.2286424
2,"Bay of Plenty",2268,"Mount Maunganui","Arataki School, 4 Kaimanawa Street",5825287.477,1884968.351,-37.67537816,176.231122
2,"Bay of Plenty",2271,"Mount Maunganui","Mt Maunganui Intermediate School, 21 Links Avenue",5826424.46,1883273.25,-37.66567098,176.2114884
2,"Bay of Plenty",409,"Omokoroa","Omokoroa No. 1 School, 11 Emeny Road",5826165.835,1867375.253,-37.67276706,176.0315848
2,"Bay of Plenty",410,"Omokoroa","Omokoroa Point School, 37 Hamurana Road",5830235.183,1868468.141,-37.6358211,176.0424641
2,"Bay of Plenty",192,"Oropi","Oropi School, 1334 Oropi Road",5807336.577,1878004.408,-37.83906451,176.1591417
2,"Bay of Plenty",414,"Pahoia","Pahoia School, 29 Esdaile Road",5828213.023,1864322.027,-37.65522464,175.9962686
2,"Bay of Plenty",3802,"Papamoa","Golden Sands Primary School, 26 Golden Sands Drive",5820072.401,1894503.125,-37.71929362,176.3411741
2,"Bay of Plenty",196,"Papamoa","Papamoa Primary School, 312 Dickson Road",5821201.343,1892134.447,-37.70989335,176.3138896
2,"Bay of Plenty",3947,"Papamoa","Shop 32, Palm Beach Plaza, 7 Gravatt Road",5822552.165,1889385.978,-37.69860976,176.2822223
2,"Bay of Plenty",197,"Papamoa","Tahatai Coast School, 45 Evans Road",5823348.187,1887451.383,-37.69205504,176.2599988
2,"Bay of Plenty",4039,"Papamoa","Te Akau ki Papamoa Primary School, 29 Doncaster Drive",5821637.371,1889916.556,-37.70667393,176.2885951
2,"Bay of Plenty",201,"Pyes Pa","Pyes Pa School, 978 Pyes Pa Road",5809658.83,1875119.125,-37.81903951,176.1255169
2,"Bay of Plenty",420,"Te Puna","Te Puna Memorial Hall, Te Puna Road",5823510.983,1870910.82,-37.69562499,176.0726061
2,"Bay of Plenty",421,"Te Puna","Te Puna School, 225 Te Puna Road",5825715.116,1871343.463,-37.67565911,176.0766862
2,"Bay of Plenty",208,"Welcome Bay","Baden Powell Hall, 39 Welcome Bay Road",5819712.814,1879687.85,-37.72717187,176.1734741
2,"Bay of Plenty",2901,"Welcome Bay","Selwyn Ridge Primary School, 20 Holmburn Street",5819022.572,1880448.5,-37.73315106,176.1823587
2,"Bay of Plenty",209,"Welcome Bay","Welcome Bay School, 309 Welcome Bay Road",5819611.056,1881720.429,-37.72746478,176.1965433
2,"Bay of Plenty",2919,"Whakamarama","Whakamarama Public Hall, 469 Whakamarama Road",5821375.407,1864012.081,-37.7168595,175.9952358
3,"Botany",4051,"Botany","Elim Christian College-Junior Campus, 94 Golfland Drive",5911896.511,1769968.441,-36.9236506,174.908266
3,"Botany",1105,"Botany Downs","Botany Downs Primary School, 35 Mirrabooka Avenue",5913153.888,1771286.677,-36.91208366,174.922774
3,"Botany",3667,"Botany Downs","Botany Downs Secondary College, 575 Chapel Road",5910737.505,1770584.507,-36.93398135,174.9154405
3,"Botany",3689,"Botany Downs","Elim Christian Centre, 159 Botany Road",5912965.635,1770660.057,-36.91389335,174.9157859
3,"Botany",3160,"Botany Downs","St Columba Presbyterian Church, 480 Ti Rakau Drive",5911389.704,1770186.211,-36.92817739,174.9108237
3,"Botany",3687,"Botany South","Sancta Maria College, 319 Te Irirangi Drive",5908024.428,1769525.892,-36.95861595,174.9041681
3,"Botany",3775,"Burswood","East City Wesleyan Church, 219 Burswood Drive",5911805.852,1768760.401,-36.92468448,174.8947301
3,"Botany",2879,"Chapel Downs","Chapel Downs Primary School, 170 Dawson Road",5905649.957,1769275.573,-36.98005379,174.9018902
3,"Botany",1638,"Cockle Bay","Cockle Bay Playcentre, 17 Pah Road",5914252.592,1773628.459,-36.90175676,174.948796
3,"Botany",458,"Dannemora","Point View Primary School, 25 Kilkenny Drive",5911620.65,1771161.735,-36.92592001,174.9217189
3,"Botany",2905,"Dannemora","Willowbank School, 56 Middlefield Drive",5909083.228,1770438.786,-36.94891189,174.914178
3,"Botany",3270,"Flat Bush","Baverstock Oaks School, 21 Baverstock Road",5908317.125,1770379.399,-36.95582481,174.9136841
3,"Botany",1109,"Flat Bush","Dawson Road Primary School, 15 Haumia Way",5906322.333,1768454.261,-36.97414344,174.8925169
3,"Botany",1126,"Flat Bush","Kia Aroha College, 51 Othello Drive",5905525.332,1768447.824,-36.9813252,174.8926225
3,"Botany",3577,"Highland Park","Rockabye Early Learning Centre, 122 Aviemore Drive",5913527.973,1769834.949,-36.90897592,174.906402
3,"Botany",1639,"Howick","Cockle Bay School, 24 Sandspit Road",5913903.862,1772768.158,-36.90505657,174.9392246
3,"Botany",3410,"Meadowlands","Auckland Fiji Methodist Church, 128 Whitford Road",5912850.952,1771816.277,-36.91471659,174.9287847
3,"Botany",1319,"Northpark","Our Lady Star of the Sea School, 14 Oakridge Way",5912236.996,1771336.507,-36.92033532,174.9235406
3,"Botany",907,"Shelly Park","Shelly Park School, 11-13 Sunnyview Avenue",5913546.87,1773269.873,-36.90818081,174.9449348
3,"Botany",3688,"Somerville","Somerville Intermediate School, 39 Somerville Road",5913010.832,1772752.949,-36.91310502,174.9392577
4,"Christchurch Central",3543,"Addington","Kidsfirst Kindergarten, 366 Selwyn Street",5178527.76,1569486.116,-43.54557566,172.6222759
4,"Christchurch Central",2825,"Beckenham","Beckenham School, 71 Sandwich Road",5176614.577,1571369.457,-43.56287669,172.6454879
4,"Christchurch Central",3046,"Beckenham","St Peter's School, 11 Fisher Avenue",5176946.828,1570758.192,-43.55986137,172.6379371
4,"Christchurch Central",3892,"Christchurch City","ABC Salisbury Street, 150 Salisbury Street",5180856.961,1570775.847,-43.52465501,172.6383662
4,"Christchurch Central",222,"Christchurch City","Christchurch East School, 311 Gloucester Street",5180318.134,1571405.305,-43.52953103,172.6461269
4,"Christchurch Central",223,"Christchurch City","Christchurch Public Hospital, The Great Escape Cafe, First Floor, 2 Riccarton Avenue",5179810.278,1569793.952,-43.53404034,172.6261578
4,"Christchurch Central",225,"Christchurch City","HMNZS Pegasus, 419 Montreal Street",5181133.779,1570114.786,-43.52213636,172.6302013
4,"Christchurch Central",3929,"Christchurch City","St Michael's Church School Hall, corner Tuam & Durham Streets",5179695.341,1570375.73,-43.53509855,172.6333517
4,"Christchurch Central",3269,"Linwood","Aspire Canterbury, 314 Worcester Street",5180132.223,1571945.1,-43.53122547,172.6527974
4,"Christchurch Central",229,"Linwood","Linwood College, Student Centre, 85 Aldwins Road",5179299.586,1573149.651,-43.53876691,172.6676633
4,"Christchurch Central",3776,"Mairehau","Mairehau High School, 440 Hills Road",5184354.077,1571519.701,-43.49319532,172.647754
4,"Christchurch Central",236,"Mairehau","Mairehau Primary School, 43 Mahars Road",5183727.81,1571135.319,-43.49881957,172.6429668
4,"Christchurch Central",4088,"Mairehau","St Albans Community Preschool, 3 Thames Street",5183088.371,1570839.003,-43.50456565,172.6392674
4,"Christchurch Central",234,"Mairehau","St Albans Uniting Parish, corner Knowles Street & Nancy Avenue",5183672.987,1570721.974,-43.49929712,172.6378512
4,"Christchurch Central",237,"Opawa","Opawa Baptist Church, 285 Wilsons Road",5178123.005,1571894.187,-43.54931469,172.6520633
4,"Christchurch Central",169,"Opawa","Opawa School, corner Ford Road & Newbery Street",5177422.317,1572900.817,-43.55566098,172.6644897
4,"Christchurch Central",3861,"Opawa","St Mark's Church Hall, corner Opawa Road & Vincent Place",5177894.125,1572742.86,-43.55140703,172.6625578
4,"Christchurch Central",4089,"Papanui","Northcity Church, 95a Sawyers Arms Road",5184948.188,1568101.602,-43.48770784,172.6055145
4,"Christchurch Central",4086,"Papanui","Papanui High School, 30 Langdons Road",5184308.949,1568198.318,-43.49346773,172.6066732
4,"Christchurch Central",239,"Papanui","Papanui Primary School, 40 Winters Road",5184905.317,1569263.008,-43.4881425,172.6198748
4,"Christchurch Central",238,"Papanui","Paparoa Street School, 120 Paparoa Street",5183626.802,1569245.045,-43.49965366,172.6195804
4,"Christchurch Central",3925,"Papanui","The Village Presbyterian Church Hall, corner Papanui Road & Frank Street",5183767.726,1568422.359,-43.49835045,172.6094127
4,"Christchurch Central",2429,"Papanui","St Joseph's School, 4 Vagues Road",5184822.337,1568811.18,-43.48887095,172.6142824
4,"Christchurch Central",3927,"Phillipstown","Phillipstown Community Centre, 39a Nursery Road",5179467.3,1572278.937,-43.53722496,172.6568949
4,"Christchurch Central",2436,"Redwood","Northcote School, 26 Tuckers Road",5185881.938,1568755.175,-43.47932784,172.6136506
4,"Christchurch Central",2437,"Redwood","Redwood Play Centre, 40 Dunedin Street",5186124.861,1569485.892,-43.4771707,172.6226995
4,"Christchurch Central",2438,"Redwood","Redwood School, 51 Prestons Road",5186531.706,1569429.907,-43.47350512,172.6220301
4,"Christchurch Central",2439,"Redwood","Redwood Scout Hall, 20 Sturrocks Road",5186310.778,1568822.143,-43.4754693,172.6145032
4,"Christchurch Central",3268,"St Albans","Beulah Church, 140 Springfield Road",5182027.442,1570372.654,-43.51410001,172.6334408
4,"Christchurch Central",250,"St Albans","Rehua Marae, whare kai (dining room), 79 Springfield Road",5181718.556,1570201.731,-43.51687445,172.6313092
4,"Christchurch Central",254,"St Albans","St Albans Baptist Church, 64 McFaddens Road",5183535.855,1569950.781,-43.50050126,172.6283047
4,"Christchurch Central",258,"St Albans","St Albans Primary School, 17 Sheppard Place",5182619.217,1570446.614,-43.50877454,172.634388
4,"Christchurch Central",3700,"St Albans","Blind Foundation, 96 Bristol Street",5182086.406,1569856.858,-43.51354846,172.6270626
4,"Christchurch Central",3921,"Sydenham","Special Needs Library, 109 Huxley Street",5177787.11,1571184.48,-43.55231203,172.6432598
4,"Christchurch Central",3357,"Sydenham","Sydenham Community Centre, 25-27 Hutcheson Street",5178290.901,1570787.618,-43.54776044,172.6383738
4,"Christchurch Central",260,"Waltham","Waltham School Hall, corner Waltham Road & Hastings Street East",5178157.982,1571615.299,-43.5489892,172.6486127
5,"Christchurch East",261,"Aranui","Aranui Primary School, 257 Breezes Road",5181850.651,1575799.529,-43.5158874,172.700575
5,"Christchurch East",3496,"Aranui","St Ambrose Church, 309 Breezes Road",5181636.742,1575992.453,-43.5178197,172.7029525
5,"Christchurch East",263,"Aranui","St James School, 25 Rowan Avenue",5182286.488,1576187.365,-43.51197552,172.7053926
5,"Christchurch East",264,"Avondale","Avondale Primary School, 132 Breezes Road",5182448.4,1575095.794,-43.51048205,172.6918954
5,"Christchurch East",265,"Avondale","Woolley Street Kindergarten, 63 Woolley Street",5182987.184,1574939.843,-43.50562554,172.6899909
5,"Christchurch East",231,"North Linwood","Linwood North School, 221 Woodham Road (Rowcliffe Crescent entrance)",5180847.997,1573800.35,-43.52484798,172.6757918
5,"Christchurch East",266,"Bromley","Bromley School, 33 Keighleys Road",5179560.53,1574733.013,-43.53647262,172.687273
5,"Christchurch East",269,"Burwood","Burwood Christian Centre, 54 Bassett Street",5184029.774,1574868.846,-43.4962355,172.6891608
5,"Christchurch East",273,"Burwood","Waitakiri School Community Hall, 170 Burwood Road",5184887.431,1574494.977,-43.48850034,172.6845768
5,"Christchurch East",268,"Burwood","Waitakiri School, 255 New Brighton Road",5183584.939,1574489.007,-43.500228,172.6844419
5,"Christchurch East",274,"Dallington","Banks Avenue School, 71 Banks Avenue",5182133.477,1573174.558,-43.51325114,172.6681115
5,"Christchurch East",277,"Kainga","Kainga Public Hall, Kainga Road",5193654.05,1572798.538,-43.40950393,172.6640343
5,"Christchurch East",232,"Linwood","St Chad's Anglican Church Hall, corner Carnarvon Street & Buckleys Road",5180501.141,1574060.256,-43.52798018,172.6789914
5,"Christchurch East",2423,"Marshland","Marshland School, 329 Prestons Road",5186484.778,1572417.761,-43.47404381,172.658969
5,"Christchurch East",278,"New Brighton","Central New Brighton School, Roy Stokes Hall, 140 Seaview Road",5182735.344,1577721.741,-43.50798128,172.7243939
5,"Christchurch East",279,"North New Brighton","Freeville School, 11 Sandy Avenue",5183900.854,1576392.246,-43.49744599,172.7079974
5,"Christchurch East",282,"North New Brighton","North New Brighton School, 150 Leaver Terrace",5184088.795,1577182.932,-43.49577829,172.7177851
5,"Christchurch East",284,"Ouruhia","Ouruhia School Library, 21 Turners Road",5189762.525,1572498.678,-43.44453328,172.6601348
5,"Christchurch East",285,"Parklands","Parkview School Hall, 10 Chadbury Street",5185771.114,1576194.296,-43.48059952,172.7056308
5,"Christchurch East",286,"Queenspark","Queenspark School Hall, 222 Queenspark Drive",5186559.793,1575443.579,-43.47347381,172.6963835
5,"Christchurch East",242,"Richmond","Kidsfirst Richmond Kindergarten, 41 North Avon Road",5181675.626,1572036.018,-43.51733193,172.654002
5,"Christchurch East",247,"Shirley","MacFarlane Park Free Kindergarten, 19 Acheson Avenue",5183527.909,1572045.965,-43.50065412,172.6542203
5,"Christchurch East",249,"Shirley","Shirley Intermediate School, 60 Shirley Road (North Parade entrance)",5182669.257,1572701.73,-43.50840978,172.6622886
5,"Christchurch East",3585,"Shirley","Shirley Primary School, 11 Shirley Road",5182725.219,1572034.992,-43.50788123,172.6540433
5,"Christchurch East",3895,"South New Brighton","South New Brighton School, 166 Estuary Road",5180712.172,1578486.474,-43.52622069,172.7337743
5,"Christchurch East",3497,"Wainoni","Ottawa Gardens Pre-School, 49 Ottawa Road",5181437.795,1574991.86,-43.51957821,172.6905631
5,"Christchurch East",291,"Wainoni","Wainoni School, 115 Eureka Street",5182970.222,1576426.253,-43.50582664,172.7083777
6,"Clutha-Southland",1528,"Arrowtown","Arrowtown Primary School, 9 Chalmers Place",5014359.946,1271757.476,-44.94834555,168.839041
6,"Clutha-Southland",4062,"Balclutha","Balclutha Balmoral Veterinary Service Hall, 34 Essex Street",4875080.448,1349543.042,-46.23168738,169.7518157
6,"Clutha-Southland",3565,"Balclutha","Somerville Lounge, Town Hall, Clyde Street",4874487.635,1348946.181,-46.236794,169.7437723
6,"Clutha-Southland",2907,"Balclutha","Balclutha Primary School Hall, 21 Lanark Street",4874109.34,1348861.877,-46.240162,169.7424793
6,"Clutha-Southland",295,"Balclutha","Rosebank School Hall, 21 Frances Street",4873361.549,1347556.862,-46.24639781,169.7251797
6,"Clutha-Southland",296,"Balclutha","St Andrew's Church Hall, corner Clyde & George Streets",4874287.613,1348453.393,-46.23840915,169.7372846
6,"Clutha-Southland",297,"Balfour","Balfour School, 131 Queen Street",4913938.736,1257214.32,-45.84276556,168.5854544
6,"Clutha-Southland",299,"Blackmount","Blackmount School, 4288 Blackmount-Redcliff Road",4913648.163,1186252.583,-45.80648313,167.6749757
6,"Clutha-Southland",300,"Browns","Hillside School, 24 McCaughan Street",4879151.529,1246545.525,-46.14948364,168.4227766
6,"Clutha-Southland",302,"Clifden","Hauroko Valley School, 956 Clifden Highway",4886575.89,1191046.653,-46.05196706,167.7133452
6,"Clutha-Southland",303,"Clinton","Clinton School, 34 Halsey Street",4877264.4,1320808.615,-46.20088526,169.3811646
6,"Clutha-Southland",305,"Crookston","Crookston Public Hall, 1252 Tapanui-Raes Junction Highway",4915827.535,1315719.536,-45.8524139,169.3383098
6,"Clutha-Southland",306,"Dipton","Dipton School, 1935 James Street",4907587.242,1239345.174,-45.89063324,168.3513159
6,"Clutha-Southland",307,"Drummond","Drummond Primary School, corner Boundary & Domain Roads",4877514.268,1225555.057,-46.15297426,168.1506178
6,"Clutha-Southland",308,"Dunrobin","Dunrobin Memorial Hall, corner Moa Flat, Triangle & Dunrobin Roads",4924058.275,1313925.154,-45.77774273,169.3201245
6,"Clutha-Southland",310,"Fairfax","Fairfax Public Hall, 1493 Riverton-Otautau Road",4870564.278,1218281.882,-46.21126203,168.0511744
6,"Clutha-Southland",3272,"Five Rivers","Five Rivers Hall, 1898 Five Rivers-Mossburn Road",4937941.964,1245266.777,-45.62136165,168.4496329
6,"Clutha-Southland",3220,"Frankton","Queenstown Events Centre, 35 Joe O'Connell Drive",5006321.692,1264208.591,-45.01698222,168.7382566
6,"Clutha-Southland",1538,"Frankton","St Margaret's Church, corner Kawarau Road & Ross Street",5006045.962,1263744.337,-45.0192376,168.7321966
6,"Clutha-Southland",313,"Garston","Garston School, 1705 State Highway 6",4956408.002,1263005.072,-45.46444896,168.6892135
6,"Clutha-Southland",1539,"Glenorchy","Glenorchy Primary School, corner Cantire & Oban Streets",5023269.013,1235500.813,-44.85075841,168.3872621
6,"Clutha-Southland",315,"Gore","Calvin Community Church , 25 Robertson Street",4886098.585,1285306.228,-46.10610128,168.927966
6,"Clutha-Southland",317,"Gore","East Gore School Hall, 3 Wentworth Street",4887822.74,1287738.108,-46.09173791,168.9604865
6,"Clutha-Southland",316,"Gore","Gore District Court, 6 Hokonui Drive",4887026.999,1286662.675,-46.09838972,168.9460853
6,"Clutha-Southland",318,"Gore","Gore Main School, School Hall, 39 Ardwick Street",4887277.39,1286224.81,-46.09594093,168.9405999
6,"Clutha-Southland",319,"Gore","Rachel's Studio of Dance (formerly Pipe Band Hall), 27 Hyde Street",4886233.5,1286770.28,-46.10556279,168.9469511
6,"Clutha-Southland",320,"Greenfield","Clutha Valley School, 2155 Clutha Valley Road",4889767.822,1333359.886,-46.09358886,169.5505773
6,"Clutha-Southland",321,"Heddon Bush","Heddon Bush School, 233 Hall Road",4885876.677,1225303.102,-46.07784275,168.1539604
6,"Clutha-Southland",323,"Heriot","Heriot School, 181 Roxburgh Street",4917066.058,1310594.977,-45.83915743,169.2731865
6,"Clutha-Southland",326,"Kaitangata","Kaitangata School, Salcombe Street",4869962.883,1357526.568,-46.28056894,169.8525606
6,"Clutha-Southland",3564,"Kaiwera","Kaiwera Hall, 883 Kaiwera-Pukerau Road",4880044.291,1298694.11,-46.16649981,169.0969399
6,"Clutha-Southland",327,"Kaka Point","Kaka Point Community Centre, Moana Street",4857945.566,1352564.227,-46.38676185,169.7819144
6,"Clutha-Southland",1547,"Kingston","Fire Brigade Meeting Room, 48 Kent Street",4970623.137,1264829.122,-45.3377296,168.7221387
6,"Clutha-Southland",328,"Lawrence","St John Rooms, 10 Ross Place",4910297.437,1343138.846,-45.9128712,169.6879033
6,"Clutha-Southland",329,"Limehills","Limehills School, Derby Road",4888087.618,1238738.124,-46.06523702,168.3287995
6,"Clutha-Southland",331,"Lumsden","Lumsden School, 19 Maria Street",4924678.21,1245936.059,-45.74071168,168.4485312
6,"Clutha-Southland",3566,"Manapouri","Manapouri Hall, 11 Hall Road",4939894.156,1180062.49,-45.56755971,167.6183293
6,"Clutha-Southland",333,"Mandeville","Mandeville Public Hall, 11 Waimea Valley Road",4898213.794,1274955.931,-45.99250984,168.8026558
6,"Clutha-Southland",334,"Mararoa","Mararoa School, 2373 State Highway 94",4943812.868,1201446.299,-45.54499375,167.8944364
6,"Clutha-Southland",335,"Mataura","Mataura School Hall, 33 Oakland Street",4876169.665,1280781.485,-46.19313102,168.8628868
6,"Clutha-Southland",338,"Milton","Tokomairiro Co-op Parish Hall, 30-34 Union Street",4888339.133,1365332.149,-46.11815851,169.9628557
6,"Clutha-Southland",339,"Milton","Tokomairiro High School, 238 Union Street",4888902.791,1365625.21,-46.11319328,169.9669214
6,"Clutha-Southland",342,"Mossburn","Mossburn School, 28 Surrey Street",4931791.259,1229057.402,-45.66807191,168.2377303
6,"Clutha-Southland",344,"Nightcaps","Takitimu Primary School, 17 Evans Street",4896743.576,1215202.627,-45.97480051,168.0325777
6,"Clutha-Southland",3713,"Ohai","Ohai Volunteer Fire Brigade, 61 Birchwood Road",4901139.618,1209323.466,-45.93206813,167.9605604
6,"Clutha-Southland",347,"Orawia","Orawia and Districts Community Centre, 2044 Ohai Clifden Highway",4887504.602,1199282.869,-46.0485111,167.8201521
6,"Clutha-Southland",349,"Otama","Otama School, 702 Otama Road",4902068.117,1279720.664,-45.96015105,168.8665997
6,"Clutha-Southland",351,"Otautau","Otautau School, 17 Elles Road",4878124.509,1213319.908,-46.1406808,167.9932634
6,"Clutha-Southland",352,"Owaka","Owaka Memorial Community Centre, 3 Ovenden Street",4850385.275,1343591.206,-46.45134513,169.6612633
6,"Clutha-Southland",354,"Pukerau","Pukerau School, 30 Pukerau Street",4887670.318,1298195.119,-46.09780361,169.0953409
6,"Clutha-Southland",2969,"Queenstown","Queenstown Memorial Hall, corner Memorial & Stanley Streets",5004627.224,1258188.423,-45.02931797,168.6609172
6,"Clutha-Southland",1581,"Queenstown","Queenstown Primary School Hall, 20 Robins Road",5004829.331,1258055.086,-45.02743959,168.6593668
6,"Clutha-Southland",356,"Riversdale","Riversdale School, 28 Rutland Street",4908142.494,1269442.026,-45.90076057,168.7384987
6,"Clutha-Southland",362,"Stirling","Stirling School, corner Baker & Boyd Streets",4873346.731,1351783.329,-46.24808743,169.7799111
6,"Clutha-Southland",363,"Tahakopa","Tahakopa School, 921 Tahakopa Valley Road",4842848.64,1322901.633,-46.51086176,169.3879023
6,"Clutha-Southland",364,"Taieri Beach","Taieri Beach School Library, 208 Moturata Road",4894150.324,1383085.878,-46.07179154,170.194991
6,"Clutha-Southland",365,"Tapanui","Tapanui School, 14a Sussex Street",4905623.2,1310142.77,-45.94173992,169.2604753
6,"Clutha-Southland",3133,"Te Anau","Te Anau School Hall, 167 Milford Road",4957531.443,1186714.161,-45.41345944,167.7180431
6,"Clutha-Southland",2911,"Tuatapere","Tuatapere Waiau Area School, 47 Orawia Road",4877828.958,1189731.82,-46.12956691,167.6888816
6,"Clutha-Southland",374,"Waihola","Waihola & Districts School, 5 Kilgour Street",4899455.164,1375513.828,-46.0216641,170.0996974
6,"Clutha-Southland",375,"Waikaia","Waikaia School, 22 Leamington Street",4928238.099,1276918.361,-45.72391485,168.8480727
6,"Clutha-Southland",376,"Waikaka","Waikaka School, 22 Matheson Road",4906417.246,1291227.503,-45.92637223,169.0175339
6,"Clutha-Southland",377,"Waikoikoi","Waikoikoi Public Hall, corner State Highway 90 & Koi Flat Road",4898063.751,1302209.158,-46.00623226,169.1536479
6,"Clutha-Southland",379,"Waimumu","Waimumu Te Tipua Hall, corner Waimumu & Glendhu Roads",4883326.652,1276814.646,-46.12701931,168.8164948
6,"Clutha-Southland",2912,"Waipahi","Waipahi Community Centre, 54 Railway Terrace",4887133.707,1309277.368,-46.10742735,169.2380722
6,"Clutha-Southland",382,"Waitahuna","Waitahuna School, 18 Sunderland Street",4902356.972,1348992.578,-45.98638602,169.7591005
