Party and Electorate Candidate Votes Recorded at each polling place
"Te Tai Tokerau 67","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
,"Wairau Intermediate School, Becroft Drive",0,0,0,0,0,0,1,0,2,0,26,0,9,11,0,4,0,0,1,54,0
"Takapuna","Takapuna Methodist Church Hall, Lake Rd",0,0,0,0,0,0,1,0,2,0,6,0,4,1,0,1,0,0,0,15,0
,"Takapuna Normal Intermediate School, Taharoto Rd",0,0,0,0,0,0,1,0,0,0,6,0,2,1,0,0,0,0,0,10,0
,"Takapuna School (entrance) 23 Auburn Street or Anzac Street",0,0,0,0,0,0,0,0,0,0,12,0,5,4,0,1,0,0,0,22,0
"Westlake","Westlake Boys High School, Forrest Hill Road",0,0,0,0,0,0,0,0,0,0,4,0,1,3,0,0,0,0,0,8,0
,Northcote
"Beachhaven","Birkdale Beachhaven Residents Hall, 336 Rangatira Road",0,1,0,0,0,0,0,0,5,0,84,0,47,8,0,8,0,0,2,155,1
,"Maria Assumpta Parish Hall, 198 Beachhaven Road",0,0,0,1,0,0,2,0,1,0,34,0,14,0,0,1,0,0,0,53,0
"Birkdale","Birkdale Intermediate School, 200 Birkdale Road",0,1,0,0,0,0,2,0,0,0,52,0,35,4,0,5,0,0,0,99,2
,"Birkenhead Baptist Church Hall, 25 Birkdale Road",0,0,0,0,0,0,3,0,4,0,15,0,11,2,0,5,0,0,0,40,0
,"Samoan Church Hall, 211 Birkdale Road",0,0,0,1,0,0,2,0,2,0,32,0,27,1,0,4,0,0,0,69,0
"Birkenhead","All Saint's Hall, 187 Hinemoa Street",0,0,0,0,0,0,0,0,2,0,9,0,4,2,0,1,0,0,1,19,0
,"Chelsea Primary School, Onetaunga Road",0,0,0,0,0,0,1,0,3,0,4,0,4,3,0,1,0,0,0,16,1
,"North Shore Church of Christ, 3 Willow Avenue",0,0,0,0,0,0,0,0,0,0,10,0,1,3,0,1,0,0,0,15,0
,"Zion Hill Methodist Church Hall, 237 Onewa Road (cnr Birkenhead Avenue)",0,0,0,0,0,0,0,0,4,0,22,0,8,6,0,5,0,0,2,47,0
"Glenfield","Glenfield College, 52 - 60 Kaipatiki Road",0,1,0,0,0,0,0,0,1,0,12,0,3,2,0,1,0,0,0,20,0
,"Glenfield Community Centre, Bentley Avenue (cnr Glenfield Road)",0,0,0,0,0,0,0,0,1,0,23,0,8,1,0,5,0,0,0,38,0
,"Glenfield Primary School, 101 Chivalry Road",0,0,0,0,0,0,0,0,1,2,14,0,7,5,0,2,0,0,0,31,0
,"Windy Ridge School, Seaview Road",0,0,0,0,0,0,0,0,1,0,9,0,3,1,0,4,0,0,0,18,0
"Marlborough","Marlborough Park Hall, 13A Chartwell Avenue",0,0,0,0,0,0,1,0,2,2,18,0,13,2,0,9,0,0,0,47,1
"Northcote","Northbridge Retirement Village Hall, 45 Akoranga Drive",0,0,0,0,0,0,0,0,0,0,3,0,3,1,0,1,0,0,0,8,0
,"Northcote Intermediate, 145 Lake Road",0,0,0,2,0,0,0,0,7,1,43,0,38,5,0,6,0,0,0,102,0
,"Northcote Primary School, 2 Lake Road (cnr Onewa Road)",0,0,0,0,0,0,0,0,4,0,9,0,5,5,0,3,0,0,1,27,0
,"Onewa Masonic Lodge, 14 Rodney Road",0,0,0,0,0,0,0,0,2,0,7,0,0,7,0,1,0,0,0,17,0
,"Sunnybrae Normal School, 36 Sunnybrae Road",0,0,0,0,0,0,1,0,1,0,13,0,10,4,0,2,0,0,0,31,0
,"Willow Park School, 13 Compton Street",0,0,1,0,0,0,1,0,1,0,11,0,8,3,0,2,0,0,0,27,0
,Northland
"Ahipara ","Ahipara School, Main Rd",0,0,1,1,0,0,12,0,7,0,70,0,93,4,0,8,0,0,0,196,6
"Awanui","Awanui School, Main Rd",0,0,0,0,0,0,6,0,0,0,69,0,68,8,1,10,0,0,0,162,3
