Party and Electorate Candidate Votes Recorded at each polling place
"Clutha-Southland 8","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
"Waiwera South","Waiwera South School",0,6,0,0,0,0,0,0,0,0,12,0,0,82,0,1,0,0,3,104,1
"Warepa","Warepa School",0,1,0,0,0,0,0,0,1,1,37,0,0,76,0,2,0,0,2,120,0
"Wendonside","Wendonside Hall",0,4,0,0,0,0,0,0,2,0,5,0,0,69,0,1,0,0,1,82,0
"Winton","Central Southland College, Grange St",0,12,0,1,0,2,3,0,14,7,138,0,0,347,0,20,0,0,22,566,3
,"Winton Primary School, Room 7, Eglinton St",1,21,1,3,0,0,7,0,16,12,244,0,1,615,0,61,0,0,19,1001,6
"Wyndham","Wyndham Primary School, Florence St",0,9,1,0,0,2,2,0,8,1,97,0,2,230,0,26,0,0,10,388,3
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",0,9,0,2,1,0,1,0,8,0,125,0,0,185,0,15,0,0,4,350,5
,"Ordinary Votes BEFORE polling day",0,28,2,0,0,0,6,0,45,11,368,0,2,726,0,51,0,0,46,1285,8
,"Special Votes BEFORE polling day",0,5,0,2,0,0,1,0,10,1,84,0,3,112,0,9,0,0,4,231,0
,"Special Votes On polling day",0,27,1,7,1,0,8,0,60,6,453,3,8,818,0,62,1,0,54,1509,4
,"Overseas Special Votes including defence force",0,0,0,0,0,0,0,0,10,0,55,0,0,75,0,8,0,0,3,151,0
,"Special Votes Allowed for Party Only",0,2,0,1,1,0,2,0,13,1,54,0,3,71,1,6,0,1,2,158,0
,"Clutha-Southland Total",13,579,23,79,24,26,99,2,719,230,8705,7,63,17334,9,1386,6,3,1028,30335,150
,,,,,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",30485
"Electorate Party Valid Votes for Clutha-Southland",,"National Party - .5714191528"
"99 MP Party",13,.0004285479
"ACT New Zealand",579,.0190868634
"Alliance",23,.0007582001
"Aotearoa Legalise Cannabis Party",79,.0026042525
"Christian Heritage NZ",24,.0007911653
"Democrats for Social Credit",26,.0008570958
"Destiny New Zealand",99,.0032635569
"Direct Democracy Party",2,.0000659304
"Green Party",719,.0237019944
"Jim Anderton's Progressive",230,.007582001
"Labour Party",8705,.2869622548
"Libertarianz",7,.0002307566
"Mâori Party",63,.002076809
"National Party",17334,.5714191528
"New Zealand Family Rights Protection Party",9,.000296687
"New Zealand First Party",1386,.0456897973
"OneNZ Party",6,.0001977913
"The Republic of New Zealand Party",3,.0000988957
"United Future New Zealand",1028,.0338882479
