Party and Electorate Candidate Votes Recorded at each polling place
"Kaikoura 21","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
,"Special Votes Allowed for Party Only",0,3,0,2,1,0,1,0,16,0,101,0,5,42,0,11,0,0,2,184,1
,"Kaikoura Total",10,505,40,68,43,24,139,4,2005,558,12515,9,133,15636,3,2036,13,7,981,34729,147
,,,,,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",34876
"Electorate Party Valid Votes for Kaikoura",,"National Party - .4502289153"
"99 MP Party",10,.0002879438
"ACT New Zealand",505,.0145411616
"Alliance",40,.0011517752
"Aotearoa Legalise Cannabis Party",68,.0019580178
"Christian Heritage NZ",43,.0012381583
"Democrats for Social Credit",24,.0006910651
"Destiny New Zealand",139,.0040024187
"Direct Democracy Party",4,.0001151775
"Green Party",2005,.0577327306
"Jim Anderton's Progressive",558,.0160672637
"Labour Party",12515,.3603616574
"Libertarianz",9,.0002591494
"Mâori Party",133,.0038296525
"National Party",15636,.4502289153
"New Zealand Family Rights Protection Party",3,.0000863831
"New Zealand First Party",2036,.0586253563
"OneNZ Party",13,.0003743269
"The Republic of New Zealand Party",7,.0002015607
"United Future New Zealand",981,.0282472861
