Party and Electorate Candidate Votes Recorded at each polling place
"Whanganui 61","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Taranaki-King Country",1,1,0,3,0,0,4,0,0,0,23,0,0,32,0
,"Ordinary Votes BEFORE polling day - Taken in Whanganui",32,1,7,82,10,301,1017,2,8,23,1960,333,18,3794,41
,"Special Votes BEFORE polling day",8,0,1,4,1,42,99,1,1,2,172,26,0,357,1
,"Special Votes On polling day",15,2,18,34,1,165,386,0,5,14,611,104,8,1363,10
,"Overseas Special Votes including Defence Force",2,0,1,6,1,30,23,0,1,0,77,2,2,145,1
,"Votes Allowed for Party Only",3,0,9,8,1,39,126,0,6,9,76,14,3,294,0
,"Whanganui Total",345,21,176,1030,47,2855,8733,22,75,225,15151,3035,143,31858,235
,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",32093
"Electorate Party Valid Votes for Whanganui",,"National Party - .4755791324"
"ACT New Zealand",345,.010829305
"Alliance",21,.0006591751
"Aotearoa Legalise Cannabis Party",176,.005524515
"Conservative Party",1030,.0323309687
"Democrats for Social Credit",47,.0014752966
"Green Party",2855,.0896164229
"Labour Party",8733,.2741226693
"Libertarianz",22,.0006905644
"Mana",75,.0023541967
"Māori Party",225,.0070625902
"National Party",15151,.4755791324
"New Zealand First Party",3035,.0952664951
"United Future",143,.0044886685
