Party and Electorate Candidate Votes Recorded at each polling place
"Te Tai Hauāuru 67","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
,Mana
,"Levin Baptist Church, 17-19 Rugby Street",0,0,0,0,0,1,16,0,4,4,2,4,0,31,0
,"Levin City Church Hall, 87-89 Cambridge Street",0,0,0,1,0,9,24,0,2,7,5,4,0,52,4
,"Levin East School, 90 Bartholomew Road",0,0,1,0,0,7,46,0,6,23,10,9,0,102,1
,"Levin Intermediate School, Collingwood Street",0,0,2,0,0,15,36,0,6,6,5,7,0,77,1
,"Levin North School, 142-150 Weraroa Road",0,0,3,0,0,12,33,0,4,20,8,10,0,90,2
,"Taitoko School, Kinross Street",0,0,1,0,0,5,39,0,6,10,3,9,0,73,1
"Manakau","Manakau District Association Hall, Mokena Kohere Street",0,0,0,0,0,1,3,0,3,5,3,2,0,17,1
"Ohau","Ohau School, Muhunoa East Road",0,0,0,0,0,2,8,0,2,8,4,3,0,27,1
"Otaki","Hadfield Hall, 47 Te Rauparaha Street",1,0,2,0,0,27,66,0,20,86,5,14,0,221,2
,"Otaki Presbyterian Church, 249 Mill Road",0,0,0,0,0,9,18,0,4,20,3,3,0,57,1
,"Waitohu School, Te Manuao Road",0,0,0,1,0,5,17,0,4,21,4,5,0,57,0
"Otaki Beach","Otaki Surf Lifesaving Club Hall, Marine Parade",0,0,1,1,0,11,18,0,4,26,2,3,0,66,0
"Paraparaumu","Kapiti Primary School, corner Kapiti & Rimu Roads",0,0,0,1,0,7,35,0,5,11,11,9,0,79,4
,"Mazengarb Sports Complex, Mazengarb Road",0,0,0,0,0,2,6,0,0,4,0,0,0,12,0
,"The Meadows Church, 1 Realm Drive",0,0,1,0,0,6,16,0,2,11,9,4,0,49,0
"Paraparaumu  Beach","Kapiti Senior Citizens Centre, Ocean Road",0,0,0,1,0,5,6,0,0,6,8,4,0,30,0
,"Paraparaumu Beach Guide Hall, Te Kupe Road",0,0,0,0,0,7,16,0,1,8,4,2,0,38,1
,"Paraparaumu Beach School, Gray Avenue",0,0,0,0,0,4,26,0,3,4,11,1,0,49,0
"Poroutawhao","Poroutawhao Hall, State Highway 1",0,0,0,0,0,3,3,0,1,2,2,1,0,12,1
"Shannon","Shannon School, Grey Street",0,0,1,2,0,5,69,0,5,7,3,5,1,98,4
"Te Horo","Te Horo Hall, 50 School Road",0,0,0,0,0,3,9,0,1,1,0,0,0,14,0
"Tokomaru","Tokomaru School, Tokomaru Road",0,0,0,0,0,1,7,0,0,1,1,1,0,11,0
"Waikanae","Kapanui School, 23 Rimu Street",0,0,0,0,0,1,2,0,2,5,6,2,0,18,0
,"Presbyterian Church Hall, 43 Ngaio Road",0,0,0,0,0,2,6,0,0,0,3,1,0,12,1
,"Waikanae Baptist Church, 286 Te Moana Road",0,0,0,0,0,0,7,0,1,3,2,2,0,15,0
,"Waikanae Primary School Hall, Hira Street",0,0,0,0,0,7,7,0,0,11,6,5,1,37,2
"Waikanae Beach","Waikanae Beach Community Hall, Rauparaha Street",0,0,0,0,0,5,14,0,1,4,5,2,0,31,0
"Waitarere Beach","St Aidan's Anglican Church, Waitarere Beach Road",0,0,0,0,0,5,6,0,1,2,0,2,0,16,0
,Palmerston North
"Awapuni","Awapuni Community Centre, 22 Newbury Street",0,0,0,0,0,2,13,0,0,3,4,2,0,24,0
,"Awapuni School Hall, 18 Rochester Street",0,0,0,0,0,11,55,0,9,10,6,7,0,98,1
"Cloverlea","Cloverlea School Hall, 55 Herbert Avenue",0,0,1,2,0,7,35,0,1,8,8,4,0,66,2
"Highbury","Somerset Crescent School Hall, 45 Somerset Crescent",0,0,0,0,0,3,33,0,3,9,5,5,1,59,2
,"St Michael's Church Hall, 52 Pembroke Street",0,0,3,1,0,14,100,0,19,41,0,13,0,191,7
"Hokowhitu","College Street Normal School Hall, 402 College Street",0,0,0,0,0,8,10,0,2,3,5,2,0,30,2
,"Hokowhitu School Hall, 227 Albert Street",0,0,0,1,0,6,8,0,1,6,5,3,0,30,0
,"Ryder-Cheshire Centre, 114 Te Awe Awe Street",0,0,0,0,1,3,9,0,3,12,1,0,0,29,2
,"St James' School Community Hall, 304 Albert Street",0,0,0,0,0,10,9,0,1,5,3,0,0,28,0
,"Winchester School Hall, 552 Ruahine Street",0,0,0,0,0,5,10,0,1,6,4,3,0,29,0
"Kelvin Grove","Cornerstone Christian School, Administration Building, 119 Mihaere Drive",0,0,1,0,0,4,14,0,2,9,19,4,0,53,0
,"Kelvin Grove Community Centre, 68 Kaimanawa Street",0,0,1,0,0,9,32,0,7,22,8,5,0,84,0
"Milson","Milson School Hall, 7 Rutland Place",0,1,1,1,0,17,37,0,5,12,5,5,0,84,0
,"St Peter's College, Gym-Classroom, 22-38 Rennie Avenue",0,0,0,1,0,5,16,0,4,11,6,4,0,47,1
"Palmerston North","Central Normal School Hall, 210 Featherston Street",0,0,2,0,0,8,61,0,8,21,11,6,2,119,0
,"Emmanuel Congregational Church Hall, 43 Victoria Avenue",0,0,0,0,0,4,5,0,1,0,5,1,0,16,0
,"Intermediate Normal School Performing Arts Centre, 31 South Street",0,0,0,0,0,7,9,0,0,7,3,1,0,27,0
,"Palmerston North Girls' High School, Old Gymnasium, 228 Fitzherbert Avenue",0,0,0,0,0,2,7,0,3,8,1,1,0,22,0
,"Public Hospital Education Centre Hall, 50 Ruahine Street (Gate 12)",0,0,0,0,0,2,14,0,0,4,2,2,0,24,0
,"Queen Elizabeth College Hall, 350-382 Rangitikei Street",0,0,0,0,0,4,19,0,1,3,2,1,0,30,0
,"Russell Street School Hall, 19-31 Russell Street",0,0,0,0,0,1,19,0,6,5,4,3,0,38,0
,"St Luke's Lutheran Church Hall, corner Church & McGiffert Streets",0,0,0,0,0,5,8,0,1,3,2,2,0,21,0
,"Te Manawa Museum, 326 Main Street",0,0,0,0,0,7,4,0,1,7,2,8,1,30,0
,"The Salvation Army Hall, 431 Church Street",0,0,0,0,0,3,6,0,0,2,2,5,0,18,1
"Park West","Olive Tree Village Community Centre, 13 Olive Grove",0,0,0,0,0,2,6,0,1,2,1,2,0,14,0
"Parkland","Parkland School Hall, 41 Parkland Crescent",0,0,0,0,0,1,12,0,2,1,5,1,0,22,0
"Riverdale","Riverdale School Hall, 95 Slacks Road",0,0,0,0,0,2,22,0,2,10,2,2,0,40,0
"Roslyn","Roslyn School Hall, 38 Kipling Street",0,0,3,1,0,6,39,0,9,12,5,4,0,79,4
,"Ross Intermediate School Hall, 25 Freyberg Street",0,0,0,1,0,3,6,0,2,6,4,0,0,22,0
"Takaro","Monrad Intermediate School Hall, 228 Botanical Road",0,0,0,0,0,3,12,0,6,12,2,2,0,37,1
,"St Oswald's Church Hall, corner Featherston & Kingswood Streets",0,0,0,1,0,10,26,0,2,6,2,4,0,51,0
,"Takaro School Hall, 24 Brighton Crescent",1,0,0,0,0,3,36,0,8,12,1,5,0,66,2
"Terrace End","Rangiora Community Centre, 98-102 Rangiora Avenue",0,0,1,0,0,6,31,0,6,7,2,14,0,67,0
,"St David's Community Centre, 9 Rainforth Street",0,0,0,0,0,4,15,0,0,10,3,3,0,35,0
,"Terrace End School Hall, 183-209 Ruahine Street",0,0,0,0,0,4,28,0,6,7,7,3,0,55,2
"West End","IHC Day Base, 153 Cook Street",0,0,0,0,0,3,9,0,4,3,0,0,0,19,0
,"West End School Hall, 395-427 Botanical Road",0,0,0,0,0,12,15,0,1,5,6,6,0,45,0
"Westbrook","Westbrook Community Centre, 21 Havelock Avenue",0,0,1,0,0,8,47,0,10,11,3,5,0,85,5
,Rangitīkei
"Aokautere","Aokautere School Hall, 196 Fitzherbert East Road",0,0,0,0,0,3,4,0,0,5,1,0,0,13,0
"Ashhurst","Village Valley Community Centre, corner Cambridge Avenue & Guildford Street",0,0,0,1,0,8,19,0,2,9,7,1,0,47,0
"Awahuri","Awahuri Hall, Rural No 1623, State Highway 3, RD6",0,0,0,0,0,0,9,0,0,4,1,0,0,14,0
"Bulls","Bulls Scout & Guide Hall, 26 Wilson Street",0,0,0,0,0,5,11,0,1,9,4,6,0,36,2
,"Clifton School, 3 Clifton Street",1,0,1,0,0,4,17,0,1,6,4,7,0,41,1
"Bunnythorpe","Bunnythorpe School, 5 Baring Street",0,0,0,0,0,2,3,0,2,2,3,1,0,13,1
"Cheltenham","Cheltenham School, Cheltenham-Hunterville Highway",0,0,1,0,0,0,2,0,0,2,3,1,0,9,0
"Colyton","Colyton School, 421 Colyton Road",0,0,0,0,0,0,2,0,0,2,2,0,0,6,1
"Feilding","Feilding Fire Station Lounge, 201 Kimbolton Road",0,0,0,0,1,1,11,0,1,3,4,4,0,25,1
,"Feilding Intermediate School, 95 East Street",0,0,2,0,0,7,18,0,1,8,2,3,0,41,4
,"Lytton Street School, corner Lytton & Monmouth Streets",0,0,0,0,0,8,33,0,4,9,5,7,0,66,1
,"Manchester St School, 160 Manchester Street",0,0,0,0,0,7,30,0,3,13,7,11,0,71,4
,"North Street School, 52 North Street",0,0,0,0,0,10,27,0,0,20,4,1,0,62,2
,"St Paul's Presbyterian Parish Hall, corner Church & Grey Streets",0,0,1,0,0,5,51,0,10,16,9,4,0,96,4
"Halcombe","Halcombe Primary School, corner Willoughby & Monteith Streets",0,0,0,0,0,5,8,0,0,3,1,0,0,17,1
"Himatangi Beach","Community Hall, Koputara Road",0,0,0,0,0,4,3,0,1,2,3,0,0,13,0
"Hunterville","Hunterville Consolidated School, 33 Bruce Street",0,0,1,0,0,2,9,0,0,5,3,4,0,24,0
"Kakahi","Kakahi School, Mohio Road",0,0,0,1,0,1,4,0,0,0,1,1,0,8,0
"Linton Camp","Community Centre, Puttick Road",0,0,2,3,0,5,22,0,5,9,10,4,0,60,0
"Longburn","Longburn Primary School, Carey Street",0,0,0,0,0,0,5,0,0,2,3,0,0,10,0
"Marton","James Cook School, 53 Mill Street",0,0,0,0,0,4,9,0,1,7,5,6,0,32,2
,"Marton Junction School, 44-56 Alexandra Street",0,0,1,0,0,3,30,0,2,13,2,3,0,54,2
,"Marton School, Hereford Street",0,0,0,1,0,4,12,0,1,9,3,1,0,31,3
,"St Andrew's Presbyterian Church Hall, Broadway",0,0,0,0,0,3,21,0,6,17,2,4,0,53,1
"Mataroa","Mataroa School, Rongoiti Road",0,0,1,0,0,0,4,0,1,2,2,1,0,11,0
"Moawhango","Moawhango School, Te Moehau Road",0,0,0,0,0,0,2,0,1,6,2,1,0,12,0
"National Park","National Park School Hall, Carroll Street",0,0,0,0,0,1,3,0,1,4,2,1,0,12,0
"Newbury","Newbury School, 906 Rangitikei Line",0,0,0,1,0,0,0,0,0,0,3,0,0,4,2
"Ngakonui","Ngakonui Valley School, Kauri Room, 826 Taumarunui-Ngapuke Road",0,0,0,0,0,0,4,0,1,2,1,2,0,10,1
"Ngapuke","Ngapuke School, Room 1, Taumarunui-Ngapuke Road",0,0,0,0,0,0,2,0,0,6,1,1,0,10,0
"Ohakune","Ohakune District Court, Rata Street",0,0,0,0,0,1,2,0,1,13,2,4,0,23,1
,"Ohakune Primary School Hall, 52 Arawa Street",0,0,1,0,0,6,8,0,1,5,1,0,0,22,0
"Owhango","Owhango School Resource Room, 19 Ohorere Street",0,0,0,0,0,1,7,0,1,0,1,0,0,10,0
"Palmerston North","Massey University, Student Centre Lounge, Concourse, University Drive",0,0,0,0,0,3,3,0,0,0,1,1,0,8,0
