Party and Electorate Candidate Votes Recorded at each polling place
"Rangitikei 42","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
"Rangiwahia","Rangiwahia School, Rural No 2549, Rangiwahia Road",8,0,0,0,0,3,0,0,6,0,2,46,2,0,0,0,0,3,0,70,0
"Ratana","Te Kura O Ratana/Ratana School, Kiatere Street",0,0,0,0,0,0,0,0,4,0,2,1,1,0,0,0,0,0,0,8,0
"Rongotea","Rongotea School, Tyne Street",21,0,4,0,0,18,6,7,118,0,6,283,25,0,0,0,0,5,0,493,7
"Sanson","Sanson School, Wellington Road (State Highway 1)",24,0,2,1,1,7,8,2,97,0,1,191,25,0,0,6,0,2,0,367,2
"Taihape","St Joseph's School, Rauma Road",8,0,0,0,0,2,1,0,23,0,2,53,11,0,0,0,0,0,0,100,0
,"Taihape Town Hall, 90 Hautapu Street",39,0,3,0,0,33,3,0,180,0,16,383,61,0,0,3,0,11,0,732,2
"Tangimoana","Tangimoana School, 19 Punga Street",6,0,2,0,0,10,1,0,86,0,0,33,13,0,0,2,0,0,0,153,0
"Taonui","Taonui School, 170 Waughs Road",7,0,0,0,0,7,3,1,46,1,0,124,9,0,0,4,0,0,0,202,2
"Taoroa","Taoroa School, Taoroa Junction",3,0,0,0,0,0,1,0,3,0,0,25,1,0,0,0,0,1,0,34,0
"Taumarunui","Catholic Church Hall, 14 High Street",6,1,1,0,0,11,5,2,55,0,7,117,7,0,0,1,0,0,1,214,2
,"Manunui School, Room 1, Rata Street",15,0,0,0,0,15,1,3,92,0,4,134,17,0,0,3,0,3,1,288,5
,"Tarrangower School Library, Manson Street",16,0,0,1,0,16,2,2,91,0,5,141,18,0,0,1,0,3,0,296,3
,"Taumarunui Primary School Hall, Maata Street",3,0,0,0,5,18,5,2,115,0,3,148,27,1,0,4,0,2,1,334,3
,"Te Kura Kaupapa Maori O Taumarunui, Makere Street",1,0,1,0,0,3,2,1,44,0,9,20,3,0,0,0,0,0,0,84,1
,"WINZ Main Office, corner Miriama & Marae Streets",13,0,3,2,2,17,7,1,164,1,7,210,26,1,0,1,0,4,0,459,3
