Party and Electorate Candidate Votes Recorded at each polling place
"Tāmaki Makaurau 66","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
,Auckland Central
"Sandringham","Christian Family Church Hall, 631 Sandringham Road",0,0,1,0,0,8,5,0,3,5,4,5,0,31,1
,"Edendale Primary School Hall, 419 Sandringham Road",0,0,0,0,0,11,20,0,9,5,3,1,0,49,0
"Waterview","Waterview Methodist Church Hall, corner of Great North Road & Fir Street",0,0,0,1,0,6,14,0,5,8,6,4,0,44,1
,"Waterview Primary School, 10 Herdman Street",0,0,1,0,0,3,16,0,1,1,2,2,0,26,0
"Western Springs","Greek Orthodox Church Hall, 108 Western Springs Road",0,0,0,1,0,8,9,0,2,2,6,0,0,28,0
,Mt Roskill
"Avondale","Avondale Baptist Church, 1288 New North Road",0,0,0,1,0,3,13,0,2,7,1,1,0,28,2
"Balmoral","Auckland Deaf Society Incorporated, 164 Balmoral Road",0,0,0,0,0,3,1,0,1,1,0,0,0,6,0
,"Balmoral Scout Group, Pollard Park, 1a Waitomo Avenue",0,0,0,0,0,5,7,0,0,2,0,3,0,17,0
"Blockhouse Bay","Blockhouse Bay Community Church, 76 Dundale Avenue",0,0,0,1,0,3,7,0,1,2,0,0,0,14,0
,"Glenavon School, 340 Blockhouse Bay Road",0,0,1,0,0,2,18,0,1,6,2,6,0,36,1
"Hillsborough","Hillsborough Baptist Church, 179 Hillsborough Road",0,0,0,0,0,0,2,0,0,0,7,3,0,12,0
,"St David's Church, 202 Hillsborough Road",0,0,1,0,0,2,6,0,1,11,4,6,0,31,0
,"St Margaret's Anglican Church, 102 Hillsborough Road",0,0,1,0,0,0,5,0,3,1,2,1,0,13,0
,"Waikowhai Primary School, 381 Hillsborough Road",0,0,0,0,0,1,5,0,0,5,3,2,0,16,0
"Lynfield","Halsey Drive Primary School, 106 Halsey Drive",0,0,0,0,0,0,4,0,1,1,0,2,0,8,0
,"Lynfield College School, 191 White Swan Road (main entrance)",0,0,0,1,0,1,4,0,0,3,4,1,0,14,0
,"Lynfield Tennis Club, 18 The Avenue",0,0,0,0,0,2,7,0,3,3,2,2,0,19,0
"Mt Eden","Maungawhau School, 43 Ellerton Road",0,0,0,0,0,5,5,0,6,1,5,1,0,23,0
"Mt Roskill","Christ The King Parish School Hall, 288 Richardson Road",0,0,1,0,0,0,13,0,4,3,2,2,0,25,0
,"Dominion Road School, 1 Quest Terrace",0,0,1,0,0,0,18,0,1,3,1,3,0,27,0
,"Hay Park School, 670 Richardson Road",0,0,0,0,0,6,21,0,2,2,0,3,0,34,0
,"Marshall Laing Primary School, 39 Marshall Laing Avenue",1,0,0,0,0,0,6,0,0,0,1,1,0,9,0
,"May Road School, 504 Richardson Road",0,0,1,0,0,0,19,0,7,4,1,8,0,40,4
,"Monte Cecilia Catholic School, 72 Hillsborough Road",0,0,0,0,0,1,4,0,0,2,0,0,0,7,0
,"St Giles Presbyterian Church, 1207 Dominion Road",0,0,0,0,0,0,12,0,1,2,1,2,0,18,0
,"St John's Presbyterian Church, 422 Mt Albert Road",0,0,0,0,0,1,7,0,4,2,1,2,0,17,0
,"Sunnydene Special School, 48 Smallfield Avenue",0,0,0,0,0,3,8,0,3,1,1,2,0,18,0
,"Wesley Intermediate School, 798 Sandringham Road",0,0,0,0,0,4,15,0,6,4,2,0,0,31,0
,"Wesley Primary School, 24 Porter Avenue",0,0,0,0,0,3,12,0,2,2,0,3,0,22,0
"New Windsor","New Windsor School, 185 New Windsor Road (64 Peter Buck Road entrance)",0,0,0,0,0,5,19,0,5,0,4,3,0,36,1
"Three Kings","Mt Roskill Primary School, 37 Frost Road",0,0,0,0,0,4,6,0,0,1,0,3,0,14,0
,New Lynn
"Avondale","Avondale Community Centre, 99 Rosebank Road",0,0,1,0,0,5,16,0,3,8,1,2,0,36,1
,"Avondale Primary School, Crayford Street West",0,0,1,0,0,4,22,0,7,4,3,8,0,49,2
,"Liberty Christian Church, 96 Lansford Crescent",0,0,0,0,0,0,5,0,1,4,4,1,0,15,0
"Blockhouse Bay","Bay Roskill Sports Club, 231 Whitney Street",0,0,0,0,0,1,8,0,2,1,0,1,0,13,1
,"Blockhouse Bay Intermediate School, 95 Bolton Street",0,0,0,0,0,2,11,0,0,1,1,3,0,18,0
,"Blockhouse Bay Primary School, 584 Blockhouse Bay Road",0,0,0,2,0,2,4,0,2,2,3,2,0,17,0
,"Chaucer School, Chaucer Place",0,0,0,0,0,2,3,0,2,1,5,0,0,13,0
,"Church of the Saviour, 2 Heaphy Street",0,0,0,1,0,1,11,0,0,1,2,2,0,18,0
,"Motu Moana Scout Hall, 90 Connaught Street",0,0,0,1,0,1,0,0,2,2,1,0,0,7,0
"Glen Eden","Konini School, 44 Withers Road",0,0,0,0,0,2,8,0,2,10,7,4,0,33,0
"Green Bay","Green Bay Community Church Hall, 14 Vardon Road",0,0,2,0,0,6,15,0,3,4,9,6,0,45,0
,"Green Bay School, 131 Godley Road",0,0,0,0,1,6,8,0,0,6,4,3,0,28,0
"Huia","Huia Hall, 1253 Huia Road",0,0,1,0,0,2,5,0,1,2,0,3,0,14,1
"Kelston","Kelston Boys High School, corner Archibald & St Leonards Roads (Gate 3)",0,0,1,0,0,7,24,0,2,12,2,3,0,51,0
,"Kelston Girls College, 1 Archibald Road",0,0,0,0,0,5,12,0,3,2,1,1,0,24,0
,"St Leonards Road School, 15 St Leonards Road",0,0,1,0,0,1,32,0,9,5,2,7,0,57,1
"Laingholm","Laingholm Primary School, Victory Road",0,0,0,1,0,7,3,0,2,3,4,4,0,24,0
