Party and Electorate Candidate Votes Recorded at each polling place
"Te Tai Tokerau 68","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Taupo Bay","Taupo Bay Holiday Park, Taupo Bay Road",0,0,0,0,0,0,4,0,9,3,2,1,0,19,1
"Tautoro","Tautoro School, Mangakahia Road",0,0,0,0,0,1,16,0,8,4,3,7,0,39,1
"Te Hapua","Te Hapua School, 14 Waharua Road",0,0,0,0,0,2,25,0,33,8,0,0,0,68,1
"Te Iringa","Te Iringa Marae, Waimatenui Road",0,0,0,1,0,1,15,0,11,5,1,1,0,35,2
"Te Kao","Te Kao Area School, Far North Road",0,0,0,0,0,7,21,0,42,12,0,3,0,85,1
"Te Kopuru","Te Kopuru School, Norton Street",1,0,0,0,0,4,12,0,1,5,2,10,0,35,3
"Te Tii","Te Tii School, Purerua Road",0,0,0,0,1,2,16,1,16,5,2,1,0,44,1
"Tinopai","Tinopai Primary School, Tinopai Road",0,0,1,0,0,3,4,0,6,3,2,3,0,22,0
"Titoki","Mangakahia Area School, Mangakahia Road",0,0,0,0,0,2,5,0,7,5,4,2,0,25,2
"Tokerau Beach","Kura Kaupapa Rangiawhia School, Inland Road",1,0,2,0,0,7,30,0,31,8,9,6,0,94,1
"Totara North","Totara North Hall, 4 School Road",0,0,0,1,0,4,4,0,1,1,6,2,0,19,0
"Umawera","Umawera School, State Highway 1",0,0,0,0,0,3,7,0,5,3,0,0,0,18,0
"Victoria Valley","Victoria Valley War Memorial Hall, Victoria Valley Road",0,0,0,0,0,0,4,0,4,1,0,0,0,9,0
"Waiharara","Waiharara School, Katavich Road",0,0,0,0,0,1,4,0,7,2,5,2,0,21,0
"Waikare","Te Kura o Waikare, School Road",1,0,0,0,0,2,14,0,6,4,2,4,0,33,0
"Waima","Waima School, State Highway 12",0,0,0,0,0,3,33,1,24,8,3,3,0,75,3
"Waimamaku","Waimamaku Resource Centre, State Highway 12",0,0,0,0,0,5,24,0,6,7,3,8,0,53,5
"Waimate North","Sunday School, Te Ahu Ahu Road",0,0,0,0,0,3,3,0,4,4,2,5,0,21,1
"Waipapa","Waipapa Hall, Waipapa Loop Road",1,0,1,2,0,6,14,0,10,2,10,8,0,54,2
"Waipapakauri","Paparore School, 157 West Coast Road",0,0,0,0,0,2,6,0,4,1,5,0,0,18,0
"Wellsford","Wellsford Community Centre, 1 Matheson Road",0,0,0,2,0,8,25,0,23,12,11,14,1,96,2
"Whakapara","Whakapara Hall, McLennan Road",0,0,0,0,0,2,5,0,11,2,2,2,0,24,0
"Whananaki","Whananaki School, Whananaki North Road",0,0,0,0,0,4,15,0,5,2,1,3,0,30,2
"Whangaroa","Whangaroa Hall, Whangaroa Road",0,0,0,0,0,1,6,0,14,2,0,1,0,24,0
"Whirinaki","Te Kura Kaupapa Māori o Te Tonga o Hokianga, School Road",0,0,2,0,0,4,30,0,25,1,2,3,0,67,3
,Rodney
