Party and Electorate Candidate Votes Recorded at each polling place
"Ikaroa-Rawhiti 65","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
"Tamatea","Porritt School, 36 Lyttelton Crescent",0,0,0,0,0,2,0,0,36,0,12,0,3,0,0,1,0,0,0,54,1
,"Tamatea Intermediate, 15 Freyberg Avenue",0,0,0,0,0,0,0,0,51,0,10,5,0,1,0,0,0,0,0,67,1
,"Tamatea Primary School, 10 Durham Avenue",0,0,1,0,0,3,0,0,58,0,33,7,3,0,0,1,0,0,0,106,4
"Taradale","Bledisloe School, 30a Meeanee Road",0,0,0,0,0,1,0,0,31,0,21,5,1,0,0,0,0,0,0,59,1
,"Taradale Intermediate, 6 Murphy Road",0,0,1,0,0,3,0,0,28,0,17,4,1,0,0,1,0,0,0,55,1
,"Taradale Primary School, 10 Church Road",0,0,0,0,0,4,0,0,26,0,7,5,3,0,0,0,0,0,0,45,0
,"Taradale Senior Citizens (Friendship Centre), 10 Symons Lane",1,0,0,0,0,1,0,0,8,0,10,4,1,0,0,0,0,0,0,25,1
"Te Awa","Te Awa School, 1a Te Awa Avenue",0,0,1,0,0,2,0,0,46,0,19,2,6,0,0,1,0,0,0,77,0
"Te Pohue","Te Pohue School, 44 Richmond Road",0,0,0,0,0,0,1,0,8,0,5,0,2,0,0,0,0,0,0,16,0
"Tuai","Tuai Public Hall, corner Main Road & Waikare-Taheke Street",0,0,2,0,0,0,0,0,26,0,40,0,1,0,0,0,0,0,0,69,0
"Tutira","Tutira School, 29 Matahorua Road",0,0,0,0,0,0,0,0,7,0,2,1,3,0,0,0,0,0,0,13,0
"Wairoa","Taihoa Marae, 174 State Highway 2 North",0,0,0,0,0,1,0,0,96,0,49,2,3,0,0,2,0,0,0,153,0
,"Wairoa College, 20 Lucknow Street",0,0,2,0,0,3,0,0,104,0,39,4,5,0,0,1,0,0,0,158,2
,"Wairoa Memorial Hall, Queen Street",2,0,7,0,2,5,0,0,264,0,83,6,15,0,0,0,0,0,1,385,9
"Westshore","Westshore School, 13 Ferguson Avenue",0,0,0,0,0,0,0,0,11,0,7,1,0,0,0,0,0,0,0,19,1
,Ohariu
"Belmont","Raphael House, 27 Matuhi Street",0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,6,0
"Harbour View","Garage, 36 Viewmont Drive",0,0,0,0,0,1,0,0,9,0,1,1,2,0,0,0,0,0,0,14,0
"Maungaraki","Garage, 66 Oakleigh Street",0,0,0,0,0,1,0,0,5,0,2,0,1,0,0,0,0,0,0,9,0
,"Maungaraki Community Centre, 135 Dowse Drive",0,0,0,0,0,3,0,1,11,0,14,2,1,0,0,0,0,0,0,32,0
"Normandale","St Aidans-On-The-Hill Church Hall, corner Poto Road & Stratton Street",0,0,0,0,0,1,0,0,4,0,1,0,1,0,0,0,0,0,0,7,0
,Rangitikei
"Ratana","Te Kura O Ratana/Ratana School, Kiatere Street",0,0,0,0,0,0,0,0,12,0,5,0,0,0,0,0,0,0,0,17,0
,Rimutaka
"Avalon","Avalon School, 10 Gordon Street",0,0,2,0,0,2,0,0,30,0,10,6,1,0,0,0,0,0,0,51,0
"Belmont","Belmont School, 709 Western Hutt Road",0,0,0,0,0,1,0,1,8,0,5,6,4,0,0,0,0,0,0,25,0
,"Cretney's Garage, 17 Foster Crescent",0,0,0,0,0,1,0,0,1,0,1,2,1,0,0,0,0,0,0,6,0
"Brown Owl","St Peter Chanel Catholic Centre, corner Bernadette Street & Fergusson Drive",2,0,1,0,0,0,0,0,29,0,16,2,3,0,0,0,0,0,0,53,0
"Heretaunga","Shazam's After School Care Hall, 386-388 Fergusson Drive",0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,6,0
,"St Brendan's School, 56 Palmer Crescent",0,0,0,0,0,1,0,0,11,0,5,3,4,0,0,0,0,0,0,24,0
,"Suzanne Aubert Centre, 3 Perry Street",1,0,0,0,0,0,0,0,2,0,2,1,1,0,0,0,0,0,0,7,0
"Kelson","Kelson School Hall, Taieri Cresent",0,0,0,0,0,1,0,0,16,0,3,2,0,0,0,1,0,0,0,23,0
"Mangaroa","Mangaroa School, Flux Road",0,0,0,0,0,1,0,0,4,0,1,3,0,0,0,0,0,0,0,9,0
"Manor Park","Former Manor Park School, Ford Road",0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,7,0
"Maoribank","Maoribank School, 32 Hillside Drive",1,0,2,0,0,0,0,0,29,0,18,2,6,0,0,1,0,0,0,59,1
"Parkdale","Birchville School, 16 Gemstone Drive",0,0,0,0,0,0,0,0,13,0,8,3,1,0,0,0,0,0,0,25,0
"Pinehaven","Pinehaven School, Forest Road",0,0,0,0,0,2,0,1,8,0,4,1,0,0,0,0,0,0,0,16,0
"Riverstone Terraces","Professionals Real Estate Office, Kirton Drive",0,0,1,0,0,0,0,0,8,0,6,3,0,0,0,0,0,0,0,18,0
"Silverstream","Silverstream School, Whitemans Road",0,0,1,0,0,0,0,0,18,0,6,6,4,0,0,1,0,0,0,36,0
,"St Margaret's Church Hall, Dunns Road",1,0,0,0,0,1,2,0,9,0,1,2,2,0,0,0,0,0,0,18,0
"Stokes Valley","Jeanette Mullins School of Dance, Library Hall, Scott Court",0,0,2,0,0,6,0,0,112,0,38,6,7,0,0,0,0,2,0,173,5
,"Tawhai School, Glen Road",0,0,0,0,0,4,1,0,8,0,5,2,2,0,0,0,0,0,0,22,0
,"Tui Glen School, Stokes Valley Road",0,0,0,0,0,0,0,0,33,0,11,2,5,0,0,1,0,0,0,52,0
,"Uniting Parish Church, 346 Stokes Valley Road",0,0,0,0,0,1,1,0,20,0,3,3,0,0,0,0,0,0,1,29,1
"Taita","Avalon Intermediate School, 1041 High Street",1,0,1,0,0,1,0,0,38,0,10,1,7,0,0,0,0,0,0,59,0
,"Pomare School, Partridge Street",0,0,2,0,0,1,0,0,63,0,20,1,5,0,0,0,0,0,0,92,1
,"St Michael's School, Cooper Street",0,0,0,0,0,2,0,0,16,0,12,1,2,0,0,0,0,0,0,33,2
,"Taita Central School, Churton Crescent",0,0,1,0,0,2,0,1,66,0,23,1,5,0,0,3,0,0,0,102,2
"Te Marua","Plateau School, Malloys Road",0,0,0,0,0,1,0,0,21,0,4,1,3,0,0,0,0,0,0,30,0
"Totara Park","Totara Park School, 16 California Drive",0,0,0,0,0,1,0,0,47,0,6,9,2,0,0,0,0,0,1,66,1
"Trentham","Masonic Centre, Islington Street",0,0,1,0,1,1,0,0,25,0,14,7,1,0,0,0,0,0,0,50,0
,"Trentham School, Moonshine Road",1,0,2,0,1,3,1,0,40,0,20,10,3,0,0,0,0,0,0,81,2
"Upper Hutt","177-179 Main Street (next to Pizza Hut)",0,0,0,0,0,2,1,0,33,0,6,2,5,0,0,0,0,2,0,51,0
,"Fraser Crescent School, 16 Redwood Street",0,0,0,0,0,3,0,0,37,1,8,1,4,0,0,0,0,0,1,55,0
,"Oxford Crescent School, 5 Oxford Crescent",0,0,0,0,0,0,1,0,9,0,7,2,3,0,0,0,0,0,0,22,0
,"St Hilda's Church Hall, 35 Cruickshank Road",0,0,0,0,0,1,0,0,12,0,4,0,4,0,0,0,0,0,0,21,0
,"St Joseph's Scout Hall, Royal Street",0,0,0,0,0,0,1,0,9,0,2,0,6,0,0,0,0,0,0,18,0
