Party and Electorate Candidate Votes Recorded at each polling place
"Northland 34","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
"Pukepoto","Pukepoto School, 818 Awaroa Road",2,0,0,0,1,5,0,0,12,0,2,37,1,0,0,0,0,1,0,61,0
"Punaruku","Whangaruru School, Old Russel Road",0,0,1,0,0,2,0,0,15,0,1,7,7,0,0,1,0,0,0,34,0
"Rawene","Rawene School, Marmon Street",7,0,1,0,1,32,2,2,85,0,9,49,7,0,0,0,1,0,1,197,0
"Rawhiti","Rawhiti Kohanga Reo, Te Rawhiti Marae",0,0,0,0,0,3,0,0,10,0,4,5,2,0,0,0,0,0,0,24,0
"Ruatangata","Ruatangata Hall, Ruatangata Road",11,0,0,0,0,5,0,0,11,1,0,62,3,0,0,0,0,1,0,94,0
"Ruawai","Ruawai Primary School, Main Road",30,2,1,0,4,15,4,2,117,0,5,261,33,0,0,4,0,2,1,481,1
"Russell","Russell School, Baker Street",13,0,0,0,1,74,4,2,167,0,13,296,50,0,0,6,0,4,0,630,2
"Springs Flat","Alive Christian Fellowship, 55 Great North Road",3,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,11,0
"Taheke","Taheke Resource Centre, State Highway 12",4,0,0,0,0,7,0,0,30,0,2,25,13,0,0,0,0,1,0,82,0
"Taipa","Taipa Area School, 578 State Highway 10",19,0,0,0,0,35,4,3,149,0,20,286,38,0,0,3,0,1,0,558,5
"Taipuha","Taipuha Hall, Taipuha Station Road",2,0,0,0,0,1,0,0,5,0,1,48,5,0,0,0,0,1,0,63,0
"Takahue","Takahue Community Hall, Takahue Saddle Road",11,0,0,0,0,9,1,1,12,0,2,43,7,0,0,2,1,2,0,91,0
"Tangiteroria","Tangiteroria Primary School, 3078 State Highway 14",7,0,1,3,3,13,4,0,32,0,2,84,7,0,0,2,0,1,0,159,0
"Tangowahine","Tangowahine Primary School, Tangowahine Valley Road",7,0,0,0,0,11,2,0,24,0,1,83,10,0,0,0,0,0,0,138,0
"Taupo Bay","Taupo Bay Holiday Park, Taupo Bay Road",2,0,1,0,0,0,0,0,17,0,1,34,4,0,0,0,0,0,0,59,1
"Tautoro","Tautoro School, Mangakahia Road",0,0,0,0,2,4,0,0,9,0,2,15,0,0,0,0,0,0,0,32,0
"Te Hapua","Te Hapua School, 14 Waharua Road",0,0,0,0,0,0,0,0,1,0,1,4,3,0,0,0,0,0,0,9,0
"Te Iringa","Te Iringa Marae, Waimatenui Road",3,0,1,0,0,0,0,0,10,0,0,8,0,0,0,0,0,0,0,22,2
"Te Kao","Te Kao Area School, Far North Road",1,0,0,0,0,0,0,0,19,0,3,7,1,0,0,0,0,0,0,31,0
"Te Kopuru","Te Kopuru School, Norton Street",12,1,2,0,3,25,4,5,115,0,3,193,48,0,0,2,0,3,2,418,1
"Te Tii","Te Tii School, Purerua Road",1,0,1,0,0,6,0,2,13,0,0,35,2,0,0,0,0,0,0,60,0
"Tinopai","Tinopai Primary School, Tinopai Road",2,0,3,0,0,5,0,0,24,0,2,58,8,0,0,0,0,0,0,102,0
"Titoki","Mangakahia Area School, Mangakahia Road",17,0,3,0,0,14,0,2,38,0,3,84,7,1,0,3,0,0,0,172,0
"Tokerau Beach","Kura Kaupapa Rangiawhia School, Inland Road",6,1,0,0,0,11,2,1,55,0,3,124,36,0,0,0,0,0,0,239,1
"Totara North","Totara North School, School Road",5,0,1,0,0,9,0,0,32,0,0,70,6,0,0,1,0,1,0,125,0
"Umawera","Umawera School, State Highway 1",7,0,0,0,0,6,3,1,15,0,2,58,2,0,0,0,0,1,0,95,0
"Waiharara","Waiharara School, Katavich Road",6,0,2,0,0,0,0,0,31,0,2,83,4,0,0,0,0,0,0,128,2
"Waihue","Waihue Settlers' Hall, 2368 Waihue Road",3,0,0,0,0,4,0,0,10,0,0,52,4,0,0,0,0,1,0,74,0
"Waikare","Te Kura o Waikare, School Road",0,0,0,0,0,0,0,0,2,0,0,4,1,0,0,0,0,0,0,7,0
"Waima","Waima School, State Highway 12",0,0,0,0,0,4,0,1,15,0,3,6,2,0,0,0,0,0,0,31,0
"Waimamaku","Waimamaku Resource Centre, State Highway 12",2,0,2,1,0,22,0,8,50,0,4,52,11,0,0,1,0,1,0,154,2
"Waimate North","205 Showgrounds Road",72,2,2,1,4,96,9,4,190,1,6,692,36,0,0,10,0,7,1,1133,3
,"Sunday School, Te Ahu Ahu Road",10,0,0,0,1,5,1,2,28,0,3,69,0,0,0,0,0,4,0,123,0
"Waiotira","Waiotira School, Ararua Road",4,0,0,0,0,5,1,1,19,0,2,43,2,0,0,1,0,0,0,78,0
"Waipapa","Waipapa Hall, Waipapa Loop Road",74,0,3,1,1,89,6,3,222,2,16,663,57,0,1,3,0,15,0,1156,3
"Waipapakauri","Paparore School, 157 West Coast Road",4,0,1,0,0,8,0,0,23,0,0,61,8,0,0,0,0,0,0,105,1
"Wellsford","Tapora Primary School, 1 Okahukura Road",4,0,1,0,0,1,0,2,13,0,1,48,8,0,0,0,0,0,1,79,0
,"Wellsford Primary School, 47 School Road",82,1,2,1,18,49,6,16,199,1,14,537,53,2,0,6,0,9,0,996,4
"Whakapara","Whakapara Hall, McLennan Road",3,0,0,0,1,20,0,1,51,0,2,114,7,0,0,0,0,1,0,200,1
"Whananaki","Whananaki School, Whananaki North Road",3,0,1,0,0,6,1,0,17,0,0,32,7,0,0,0,0,0,0,67,0
"Whangaroa","Whangaroa Hall, 574 Whangaroa Road",7,0,1,0,0,11,3,0,41,0,1,74,9,0,0,1,0,2,0,150,0
"Whirinaki","Te Kura Kaupapa Maori o Te Tonga o Hokianga, School Road",0,0,0,0,0,5,0,2,8,0,7,7,3,0,0,0,0,0,0,32,0
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",2,0,0,2,1,6,1,0,67,0,0,87,9,0,0,0,0,1,1,177,4
,"Ordinary Votes BEFORE polling day",125,1,6,6,11,262,19,24,869,3,45,2028,230,0,1,8,0,25,3,3666,8
,"Special Votes BEFORE polling day",15,0,3,1,2,36,4,3,146,1,6,215,24,0,1,1,0,3,0,461,2
,"Special Votes On polling day",71,2,15,2,10,208,12,9,509,1,28,896,101,0,2,18,1,19,1,1905,5
,"Overseas Special Votes including defence force",6,0,0,0,0,55,0,2,61,2,4,146,3,0,0,0,0,3,0,282,1
,"Votes Allowed for Party Only",6,0,10,0,4,39,1,3,174,1,34,117,30,1,0,4,0,2,0,426,3
,"Northland Total",1443,28,144,48,162,2514,258,216,8573,25,507,17703,2194,17,6,153,5,228,16,34240,132
,,,,,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",34372
