Party and Electorate Candidate Votes Recorded at each polling place
"Waitaki 58","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
"Woodbury","Woodbury School, Woodbury Road",4,0,0,0,0,28,2,1,38,0,0,144,4,0,0,0,0,2,0,223,0
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",4,2,0,1,5,17,10,0,182,0,2,195,12,1,0,0,0,2,0,433,5
,"Ordinary Votes BEFORE polling day",89,0,3,2,4,252,23,13,837,0,9,1596,108,1,0,7,0,23,0,2967,11
,"Special Votes BEFORE polling day",13,1,3,1,1,46,3,1,156,0,5,274,20,0,0,4,0,3,2,533,2
,"Special Votes On polling day",81,5,26,2,4,234,16,15,651,1,15,1163,56,0,0,53,2,11,1,2336,3
,"Overseas Special Votes including defence force",8,0,0,1,0,36,0,0,70,0,2,164,5,0,0,1,1,5,0,293,0
,"Votes Allowed for Party Only",8,0,8,0,0,39,0,3,93,1,7,83,5,0,0,7,0,1,2,257,3
,"Waitaki Total",1432,53,173,44,87,2787,382,180,11960,15,199,20426,1447,14,1,263,5,280,15,39763,185
,,,,,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",39948
"Electorate Party Valid Votes for Waitaki",,"National Party - .5136936348"
"ACT New Zealand",1432,.0360133793
"Alliance",53,.0013328974
"Aotearoa Legalise Cannabis Party",173,.0043507784
"Democrats for Social Credit",44,.0011065563
"Family Party",87,.0021879637
"Green Party",2787,.0700902849
"Jim Anderton's Progressive",382,.009606921
"Kiwi Party",180,.0045268214
"Labour Party",11960,.3007821341
"Libertarianz",15,.0003772351
"Maori Party",199,.0050046526
"National Party",20426,.5136936348
"New Zealand First Party",1447,.0363906144
"New Zealand Pacific Party",14,.0003520861
"RAM - Residents Action Movement",1,.000025149
"The Bill and Ben Party",263,.0066141891
"The Republic of New Zealand Party",5,.000125745
"United Future",280,.0070417222
"Workers Party",15,.0003772351
