Party and Electorate Candidate Votes Recorded at each polling place
"Te Tai Tonga 69","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
,"Overseas Special Votes including Defence Force",0,0,2,0,1,34,32,0,8,12,22,6,0,117,0
,"Votes Allowed for Party Only",0,0,10,2,0,57,137,0,37,47,37,13,1,341,10
,"Te Tai Tonga Total",32,7,230,120,16,2789,6791,4,1043,2379,2631,1544,43,17629,268
,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",17897
"Electorate Party Valid Votes for Te Tai Tonga",,"Labour Party - .3852175393"
"ACT New Zealand",32,.0018151909
"Alliance",7,.000397073
"Aotearoa Legalise Cannabis Party",230,.0130466844
"Conservative Party",120,.0068069658
"Democrats for Social Credit",16,.0009075954
"Green Party",2789,.15820523
"Labour Party",6791,.3852175393
"Libertarianz",4,.0002268989
"Mana",1043,.0591638777
"Māori Party",2379,.1349480969
"National Party",2631,.1492427251
"New Zealand First Party",1544,.0875829599
"United Future",43,.0024391627
