Party and Electorate Candidate Votes Recorded at each polling place
"Te Tai Tonga 68","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
,Aoraki
,"Westport Courthouse, Wakefield St",0,0,0,0,0,0,0,0,1,0,4,0,4,1,0,3,0,0,0,13,0
,"Westport North School, Cobden St",0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,6,0
,"Westport South School, Derby St",0,0,0,0,0,0,0,0,0,0,5,0,3,1,0,2,0,0,0,11,0
"Whataroa","Whataroa Courthouse, Main Rd",0,0,0,0,0,0,1,0,0,0,3,0,1,2,0,0,0,0,0,7,0
,Wigram
"Addington","Addington School, 22 Brougham Street",0,0,0,0,0,0,0,0,2,2,22,0,8,4,0,1,0,0,1,40,0
"Beckenham","Beckenham School, Sandwich Road",0,0,0,0,0,0,0,0,2,0,15,0,2,2,0,0,0,0,0,21,0
,"St Peter's School, 11 Fisher Avenue",0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,9,0
"Hei Hei","Gilberthorpe School, 163 Gilberthorpes Road",0,0,0,0,0,0,0,0,1,1,10,0,5,2,0,1,0,0,0,20,0
,"Kids First Kindergarten, Wycola Avenue",0,0,0,0,0,0,0,0,0,0,13,0,3,2,0,0,0,0,0,18,0
,"St Aidan's Church Hall, 173 Buchanans Road",0,0,0,0,0,0,0,0,1,3,25,0,8,1,0,0,0,0,2,40,0
"Hillmorton","Hillmorton Kindergarten, 14 Torrens Road",0,0,0,0,0,0,0,0,0,1,5,0,2,1,0,1,0,0,1,11,0
,"Rowley School, 48 Rowley Avenue",0,0,0,2,0,0,2,0,0,5,36,0,6,1,0,3,0,0,0,55,0
,"Spreydon School, 2 Halswell Road",0,0,0,0,0,0,0,0,1,3,7,0,4,1,0,2,0,0,0,18,0
"Hoon Hay","Hillmorton High School, Recreation Hall, Tankerville Road",0,0,0,0,0,0,1,0,2,0,11,0,3,1,0,1,0,0,0,19,0
,"Hoon Hay School Library, 91 Sparks Road",0,0,0,0,0,0,0,0,2,0,13,0,9,2,0,1,0,0,2,29,0
,"Manning Intermediate, 50 Hoon Hay Road",0,0,0,0,0,0,1,0,0,0,12,0,1,1,0,0,0,0,0,15,0
,"Presbyterian Church Hall, 5 Downing Street",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0
"Hornby","Branston Intermediate, 35 Amyes Road",0,0,0,0,0,0,1,0,2,3,33,0,8,3,0,2,0,0,0,52,0
,"Hornby Library, Goulding Avenue",0,0,0,1,0,0,0,0,0,1,22,0,4,4,0,5,0,0,0,37,0
,"Hornby School Hall, Waterloo Road",0,0,0,0,0,0,0,0,1,1,21,0,5,2,0,5,0,0,1,36,0
,"South Hornby School, Shands Rd",0,0,0,0,0,0,0,0,0,1,13,0,2,2,0,1,0,0,0,19,0
,"St Columba's Church Hall, 452 Main South Rd",0,0,0,0,0,0,0,0,0,0,13,0,1,1,0,0,0,0,0,15,0
"Riccarton","NZ Blood Donor Service, 87 Riccarton Road",0,0,0,0,0,0,0,0,1,0,16,0,0,3,0,1,0,0,0,21,0
,"St Hilda's Church Hall, 7 Centennial Avenue",0,0,0,1,0,0,0,0,1,0,6,0,3,1,0,0,0,0,0,12,0
,"Wharenui School, Matipo St",0,0,0,0,0,0,1,0,0,1,12,0,1,3,0,2,0,0,2,22,0
"Russley","Russley School, 75 Cutts Road",0,0,0,0,0,0,0,0,1,0,3,0,2,2,0,0,0,0,0,8,0
,"St Stephen's Methodist Church, 376 Yaldhurst Rd",0,0,0,0,0,0,0,0,0,1,3,0,1,1,0,0,0,0,0,6,0
"Sockburn","Sockburn School, 34 Springs Rd",0,3,0,0,0,0,0,0,5,1,34,0,8,3,0,5,0,0,1,60,0
,"Sockburn Service Centre, 149 Main South Road",0,0,0,1,0,0,0,0,0,1,8,0,2,1,0,2,0,0,0,15,0
"Somerfield","Cashmere High School, Rose Street",0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,1,0,0,0,9,0
,"Somerfield School, 42 Studholme Street",0,0,0,0,0,0,0,0,1,1,18,0,1,3,0,1,0,0,1,26,0
"Spreydon","Christchurch South Intermediate, 204 Selwyn Street",0,0,0,0,0,0,0,0,4,3,16,0,7,4,0,1,0,0,1,36,0
,"Spreydon Baptist, Cobham St Hall, 51 Cobham Street",0,0,0,0,0,0,0,0,1,1,15,0,3,2,0,1,0,0,0,23,0
,"St James Presbyterian Hall, cnr Barrington & Bewdley Street",0,0,0,0,0,0,0,0,2,0,8,1,2,1,0,0,0,0,1,15,1
,"St Martins Church Neave Room, 50 Lincoln Road",0,0,0,0,0,0,0,0,2,3,7,0,2,0,0,1,0,0,0,15,1
,"St Nicholas Church Hall, 331 Barrington St",0,0,0,0,0,0,0,0,1,0,6,0,1,2,0,0,0,0,0,10,0
,"Te Kura Kaupapa Maori O Te Whanau Tahi, 81 Lyttelton Street",0,0,0,0,0,0,0,0,1,1,13,0,10,0,0,1,0,0,0,26,1
,"West Spreydon School Llibrary, 147 Lyttelton Street",0,0,0,0,0,0,0,0,1,1,9,0,3,1,0,0,0,0,0,15,0
"Sydenham","St Saviours Anglican Hall, 200 Colombo Street",0,0,0,1,0,0,1,0,4,0,17,0,5,1,0,0,0,0,0,29,0
,"Sydenham Community Centre, 23-25 Hutcheson St",0,0,0,0,0,0,1,0,1,0,17,0,3,0,0,0,0,0,0,22,1
"Upper Riccarton","Middleton Grange School, 50 Acacia Avenue",0,0,0,0,0,0,0,0,1,0,4,0,1,3,0,0,0,0,2,11,0
,"Riccarton High School, Curletts Road",0,0,0,0,0,0,2,0,0,2,11,0,3,0,1,1,0,0,0,20,0
,"Riccarton School, English Street",0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,1,0,0,0,7,1
,"St Thomas of Canterbury College, 69 Middlepark Road",0,0,0,0,0,0,0,0,0,1,7,0,1,2,0,1,0,0,0,12,0
,"Polling places where less than 6 votes were taken",0,4,0,10,0,0,12,1,44,5,341,0,102,128,0,61,0,0,5,713,4
,"Hospital Votes",0,0,0,0,0,0,0,0,3,0,32,0,12,4,0,3,0,0,0,54,0
,"Ordinary Votes BEFORE polling day",0,5,0,4,2,0,15,0,70,7,554,0,218,76,0,74,1,1,17,1044,11
,"Special Votes BEFORE polling day",0,1,0,7,0,0,1,0,10,2,79,0,44,12,0,8,0,0,0,164,4
,"Special Votes On polling day",0,5,1,16,0,0,16,0,83,7,834,0,357,72,0,87,0,0,10,1488,12
,"Overseas Special Votes including defence force",0,1,1,1,0,0,1,0,14,0,82,0,34,9,0,9,0,0,1,153,0
,"Special Votes Allowed for Party Only",0,1,0,4,0,0,4,0,13,0,164,0,76,13,0,11,1,1,2,290,6
,"Te Tai Tonga Total",3,58,14,159,9,8,235,3,1283,169,11485,4,3481,1462,7,1240,4,3,211,19838,189
,,,,,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",20027
"Electorate Party Valid Votes for Te Tai Tonga",,"Labour Party - .5789394092"
"99 MP Party",3,.0001512249
"ACT New Zealand",58,.0029236818
"Alliance",14,.0007057163
"Aotearoa Legalise Cannabis Party",159,.0080149209
"Christian Heritage NZ",9,.0004536748
"Democrats for Social Credit",8,.0004032665
"Destiny New Zealand",235,.0118459522
"Direct Democracy Party",3,.0001512249
"Green Party",1283,.0646738583
"Jim Anderton's Progressive",169,.0085190039
"Labour Party",11485,.5789394092
"Libertarianz",4,.0002016332
"Mâori Party",3481,.1754713177
"National Party",1462,.0736969453
"New Zealand Family Rights Protection Party",7,.0003528582
"New Zealand First Party",1240,.062506301
"OneNZ Party",4,.0002016332
"The Republic of New Zealand Party",3,.0001512249
"United Future New Zealand",211,.0106361528
