Party and Electorate Candidate Votes Recorded at each polling place
"Tainui 64","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
,Auckland Central
"Fairfield","Fairfield Baptist Church, Searancke Place",0,0,0,1,0,0,0,0,2,0,49,0,16,3,0,1,0,0,1,73,1
,"Fairfield College, Bankwood Road",0,0,0,0,0,0,0,0,2,0,37,0,15,1,0,2,0,0,0,57,0
,"Fairfield Intermediate School, Clarkin Road",0,1,0,0,0,0,5,0,3,0,76,0,41,2,0,8,0,0,0,136,4
,"Wesley Methodist Hall, 955 Heaphy Terrace",0,0,0,1,0,0,2,0,2,1,67,0,28,2,0,5,0,0,3,111,0
,"Woodstock Primary School, Fairfield Road",0,0,0,0,0,0,0,0,0,0,24,0,17,2,0,2,0,0,1,46,2
"Flagstaff","Allandale Village Club, River Road North",0,0,0,0,0,0,0,0,0,0,27,0,8,8,0,2,0,0,1,46,0
"Gordonton","Gordonton School, 50 Woodlands Rd RD1",0,0,0,0,0,0,0,0,2,0,28,0,9,2,0,0,0,0,0,41,0
"Hamilton East","Air Training Corps Hall, Dey Street",0,0,0,2,0,0,1,0,8,1,19,0,15,0,0,0,0,0,1,47,0
,"Apostolic Church, 69 Grey St",0,0,0,0,0,0,0,0,3,0,23,0,13,0,0,2,0,0,0,41,2
,"Hamilton East Primary School, Dawson Street",0,1,0,1,0,0,2,0,3,0,22,0,8,2,0,0,0,0,0,39,0
,"Knox Presbyterian Hall, 50 Albert Street",0,0,0,1,0,0,0,0,2,0,40,0,16,3,1,4,0,0,0,67,3
,"Marian Catholic School, 119 Firth Steet",0,0,0,0,0,0,1,0,4,0,43,0,28,2,0,4,0,0,1,83,2
"Hillcrest","Hillcrest Normal School, Cambridge Road",0,0,0,0,0,0,0,0,0,0,28,0,11,3,0,2,0,0,0,44,1
,"Knighton Normal School, Knighton Road",0,0,0,0,0,0,0,0,11,2,116,0,63,3,0,3,0,0,0,198,1
"Horsham Downs","Horsham Downs School, 569 Horsham Downs Road RD1 ",0,0,0,0,0,0,0,0,0,0,11,0,1,2,0,2,0,0,2,18,0
"Matangi","Matangi School, 599 Matangi Rd",0,0,0,0,0,1,1,0,0,0,21,0,10,3,0,3,0,0,0,39,1
"Queenwood","Chartwell Kindergarten, 13 Herbert Road ",0,0,0,0,0,0,0,0,0,0,9,0,6,0,0,0,0,0,0,15,0
"Rototuna","Chapel Hill Community Church, 2 Cate Road",0,0,0,0,0,0,0,0,0,0,20,0,10,5,0,3,0,0,0,38,0
,"Primary School, 23 Strathmore Drive",0,1,0,0,0,0,0,0,2,0,19,0,7,5,0,5,0,0,0,39,0
"Silverdale","Hillcrest High School, Masters Avenue",0,1,0,0,0,0,0,0,1,1,68,0,34,5,0,5,0,0,0,115,2
"Tamahere","Tamahere School, Devine Rd",0,0,0,0,0,0,0,0,0,1,3,0,5,6,0,3,0,0,0,18,0
"Tauwhare","Tauwhare School, 20 Scotmans Valley Rd RD4",0,0,0,0,0,0,0,0,0,0,17,0,12,4,0,1,0,0,0,34,2
,Hamilton West
"Deanwell","Deanwell School, Deanwell Avenue",0,0,0,2,0,0,7,0,5,2,92,0,35,5,0,15,0,0,0,163,1
"Dinsdale","Aberdeen School, Aberdeen Drive",0,1,0,0,0,0,0,0,0,1,82,0,19,5,0,13,0,0,1,122,1
,"Dinsdale Kindergarten, 84 Bremworth Avenue",0,0,0,0,0,0,1,0,1,0,24,0,12,4,0,9,0,0,0,51,0
"Forest Lake","Forest Lake School, Storey Avenue",0,1,0,0,0,1,2,0,6,0,67,0,27,2,0,4,0,0,1,111,2
"Frankton","Frankton School Hall, Massey Street",0,2,0,3,0,0,5,0,4,2,143,0,70,7,0,14,0,0,0,250,1
,"Rhode Street School, Rhode Street",0,0,0,1,0,0,2,0,6,1,107,0,56,5,0,7,0,0,1,186,2
,"St Columba's School, Kahikatea Classroom, Rifle Range Road",0,0,0,0,0,0,5,0,1,0,49,0,19,2,0,6,0,0,0,82,1
,"Westside Presbyterian Church Hall, 11 King Street",0,0,0,0,0,0,0,0,3,0,41,0,39,2,0,3,0,0,0,88,1
