Electorate Candidate and Party Votes Recorded at Each Polling Place
"Te Tai Tokerau 68","Candidate Vote Details"
,,"DANIELS, Judy Merle","DAVIS, Kelvin Glen","HARAWIRA, Hone Pani Tamati Waka Nene","RANKIN, David Malcolm","TASHKOFF, Peter Boris","Total Valid Candidate Votes","Informal Candidate Votes"
,"Maria Assumpta Parish Hall, 198 Beachhaven Road",2,25,56,0,6,89,0
"Birkdale","Birkdale Intermediate School, 200 Birkdale Road",3,19,61,0,7,90,1
,"Birkdale North School, 213 Birkdale Road",2,12,34,0,4,52,0
,"Birkenhead Baptist Church Hall, 25 Birkdale Road",4,15,35,1,3,58,1
"Birkenhead","All Saints Hall, 187 Hinemoa Street",3,6,10,0,0,19,0
,"Chelsea Primary School, 2 Onetaunga Road",0,9,10,0,1,20,0
,"North Shore Church of Christ, 3 Willow Avenue",0,6,5,0,3,14,0
,"Zion Hill Methodist Church Hall, 237 Onewa Road (corner Birkenhead Avenue)",2,7,30,0,0,39,1
"Glenfield","Glenfield College, 52-60 Kaipatiki Road",0,3,13,0,1,17,0
,"Glenfield Community Centre, 411 Glenfield Road (corner Bentley Avenue)",1,10,31,0,2,44,1
,"Glenfield Primary School, 101 Chivalry Road",2,10,22,1,4,39,0
,"Windy Ridge School, 50 Seaview Road",1,5,12,0,5,23,0
"Marlborough","Marlborough Park Hall, 13a Chartwell Avenue",4,11,33,1,6,55,0
"Northcote","Northbridge Retirement Village Hall, 45 Akoranga Drive",0,5,23,0,1,29,0
,"Northcote Intermediate, 145 Lake Road",5,34,50,0,3,92,6
,"Northcote Primary School, 2 Lake Road (corner Onewa Road)",2,10,22,0,0,34,3
,"Onewa Masonic Lodge, 14 Rodney Road",1,0,8,0,3,12,0
,"Sunnybrae Normal School, 36 Sunnybrae Road",0,7,27,0,1,35,0
,"Willow Park School, 13 Compton Street",1,11,15,0,3,30,1
,Northland
"Ahipara","Ahipara School, Main Road",3,50,143,0,0,196,7
"Arapohue","Arapohue A&P Hall, Mititai Road",0,2,7,0,1,10,2
"Awanui","Awanui School, Main Road",4,42,106,0,1,153,2
"Awarua","Te Hurihi Marae, Mangakahia Road",0,7,17,0,0,24,1
"Baylys Beach","Presbyterian Church Hall, Seaview Road",0,5,1,0,0,6,0
"Broadwood","Broadwood Area School, Main Road",1,10,35,0,0,46,0
"Dargaville","Dargaville Primary School, Portland Street",6,36,53,0,2,97,4
,"Selwyn Park School, 38 Onslow Street",2,20,46,0,0,68,2
,"The Lighthouse Church (Hall), Normanby Street",0,23,45,0,1,69,3
"Fairburn","Fairburn Hall, Main Fairburn-Peria Road",0,5,2,0,0,7,0
"Herekino","Herekino School, Kaitaia-Awaroa Road",2,14,36,0,0,52,2
"Horeke","Horeke School, Horeke Road",3,14,36,1,0,54,7
"Hukerenui","Hukerenui School, 9 Crows Nest Road",1,6,13,0,1,21,0
"Kaeo","Kaeo Primary School, State Highway 10",8,46,91,0,1,146,5
"Kaihu","Kaihu  Hall, Wood Road",1,22,39,0,1,63,3
"Kaikohe","Kaikohe East School, 36 Mangakahia Road",13,100,183,10,3,309,5
,"Kaikohe Intermediate School, 11 Park Road",15,94,160,12,2,283,5
"Kaingaroa","Kaingaroa School, State Highway 10",1,5,6,0,0,12,0
"Kaitaia","Kaitaia College, Redan Road",5,68,108,2,3,186,7
,"Kaitaia Intermediate School, 45 North Road",7,150,325,2,6,490,16
,"Victoria Valley War Memorial Hall, Victoria Valley Road",0,1,7,0,1,9,0
"Kaiwaka","Kaiwaka School, 33 Mangawhai Road",2,28,39,0,1,70,0
"Kawakawa","Karetu School, Kura Road",0,25,11,0,0,36,0
,"Kawakawa Primary School, 31-39 Albert Street",5,108,108,1,0,222,4
"Kerikeri","Kerikeri Primary School, Hone Heke Road",9,46,58,1,9,123,0
,"Riverview School, Riverview Road",5,11,19,2,5,42,0
"Kohukohu","Kohukohu Primary School, Beach Road",4,20,36,1,0,61,0
"Mangamuka","Mangamuka School, 37 School Road",0,11,20,3,1,35,5
"Mangawhai","Mangawhai Hall, Mangawhai Road",3,10,18,1,6,38,2
"Mangonui","Mangonui School, 19 Colonel Mould Drive",1,22,78,0,1,102,4
"Maromaku","Maromaku School, Maromaku School Road",1,14,25,0,0,40,2
"Matauri Bay","Matauri Bay School, Wainui Road",7,27,63,0,0,97,3
"Matawaia","Matawaia Kohanga Reo, Matawaia Road",0,12,20,0,2,34,2
"Maungaturoto","Maungaturoto Community Centre, View Street",5,23,27,2,2,59,1
"Moerewa","Moerewa School, Otiria Road",8,171,203,1,1,384,5
"Ngataki","Ngataki School, Far North Road",2,12,18,0,0,32,1
"Oakura","Oakura Hall, Oakura Road",3,20,39,1,0,63,2
"Ohaeawai","Ohaeawai School, Tennyson Street",4,28,42,3,1,78,1
"Okaihau","Okaihau Primary School, Settlers Way",4,18,55,0,1,78,3
"Omapere","Opononi Area School, 263 State Highway 12",5,35,79,2,1,122,3
"Opua","Opua School, Franklin Street",1,13,10,0,1,25,1
"Opuawhanga","Opuawhanga Hall, North Road",1,3,2,0,0,6,1
"Oromahoe","Oromahoe School, Te Aute Road",1,5,11,1,0,18,0
"Paihia","Paihia School, School Road",3,41,78,1,3,126,6
"Pakaraka","Pakaraka School, State Highway 10",2,14,21,1,1,39,1
"Pakotai","Pakotai School, Ruddell Road (off Mangakahia Road)",2,12,13,2,0,29,4
"Pamapuria","Pamapuria School, 6970 State Highway 1",1,10,49,1,1,62,1
"Panguru","Panguru Development Trust Board, Panguru Road",1,35,106,0,2,144,6
"Paparoa","Paparoa School, Franklin Road",1,8,15,0,0,24,0
"Pawarenga","Te Kura o Hata Maria, Te Riha Road",0,4,19,0,0,23,2
"Peria","Peria School, 1430 Oruru Road",0,5,25,0,3,33,2
"Pipiwai","Te Horo School, 3239 Pipiwai Road",1,11,39,0,1,52,0
"Port Albert","Port Albert Hall, 980 Port Albert Road",0,2,5,0,2,9,0
"Pouto","Rangitane Community Centre, Pouto Road",0,4,20,0,0,24,0
"Pukenui","Pukenui School, Lamb Road",1,15,27,0,1,44,5
"Pukepoto","Pukepoto School, 818 Awaroa Road",0,12,37,0,0,49,0
"Punaruku","Whangaruru School, Old Russel Road",0,16,26,0,0,42,4
"Rawene","Rawene School, Marmon Street",2,23,64,2,0,91,1
"Rawhiti","Rawhiti Kohanga Reo, Te Rawhiti Marae",1,9,25,0,0,35,1
"Ruawai","Ruawai Primary School, Main Road",2,18,30,1,3,54,5
"Russell","Russell School, Baker Street",2,18,35,0,4,59,2
"Taheke","Taheke Resource Centre, State Highway 12",0,19,40,1,0,60,0
"Taipa","Taipa Area School, 578 State Highway 10",4,30,77,1,1,113,2
"Takahue","Takahue Community Hall, Takahue Saddle Road",0,4,7,0,0,11,0
"Tangiteroria","Tangiteroria Primary School, 3078 State Highway 14",2,1,5,0,0,8,0
"Taupo Bay","Taupo Bay Holiday Park, Taupo Bay Road",0,1,11,0,0,12,2
"Tautoro","Tautoro School, Mangakahia Road",2,20,33,0,0,55,1
"Te Hapua","Te Hapua School, 14 Waharua Road",0,12,51,0,0,63,6
"Te Iringa","Te Iringa Marae, Waimatenui Road",0,12,28,0,1,41,1
"Te Kao","Te Kao Area School, Far North Road",0,23,80,0,0,103,4
"Te Kopuru","Te Kopuru School, Norton Street",7,29,62,0,2,100,5
"Te Tii","Te Tii School, Purerua Road",0,13,24,0,1,38,1
"Tinopai","Tinopai Primary School, Tinopai Road",2,14,16,2,0,34,3
"Titoki","Mangakahia Area School, Mangakahia Road",0,8,16,0,0,24,0
"Tokerau Beach","Kura Kaupapa Rangiawhia School, Inland Road",0,12,54,1,0,67,0
"Totara North","Totara North School, School Road",1,12,4,0,1,18,1
"Umawera","Umawera School, State Highway 1",1,2,8,0,0,11,0
"Waiharara","Waiharara School, Katavich Road",2,3,18,1,1,25,0
"Waikare","Te Kura o Waikare, School Road",0,19,12,0,1,32,0
"Waima","Waima School, State Highway 12",5,19,45,2,0,71,2
"Waimamaku","Waimamaku Resource Centre, State Highway 12",3,17,33,0,0,53,0
"Waimate North","205 Showgrounds Road",5,45,45,1,2,98,5
,"Sunday School, Te Ahu Ahu Road",2,11,18,0,1,32,0
"Waiotira","Waiotira School, Ararua Road",0,0,6,0,0,6,1
"Waipapa","Waipapa Hall, Waipapa Loop Road",0,24,29,0,6,59,1
"Waipapakauri","Paparore School, 157 West Coast Road",0,10,12,0,0,22,1
"Wellsford","Tapora Primary School, 1 Okahukura Road",0,1,4,1,1,7,0
,"Wellsford Primary School, 47 School Road",5,37,58,0,6,106,2
"Whakapara","Whakapara Hall, McLennan Road",1,4,22,0,0,27,3
"Whananaki","Whananaki School, Whananaki North Road",3,2,27,0,0,32,0
"Whangaroa","Whangaroa Hall, 574 Whangaroa Road",3,6,15,0,0,24,0
"Whirinaki","Te Kura Kaupapa Maori o Te Tonga o Hokianga, School Road",0,21,51,1,1,74,0
,Rangitikei
"Ratana","Te Kura O Ratana/Ratana School, Kiatere Street",0,10,10,0,0,20,0
,Rodney
"Dairy Flat","Dairy Flat School, 1220 State Highway 17",2,4,14,0,4,24,1
"Gulf Harbour","Gulf Harbour School, Staff Room, 65 Alec Craig Way",0,5,10,0,2,17,0
,"Wentworth College, Lab 4, 65 Gulf Harbour Drive",0,1,7,0,2,10,0
"Leigh","Leigh School, House of Learning, 26 Hauraki Road",0,6,12,0,2,20,1
"Manly","Manly Methodist Church, 945 Whangaparaoa Road",2,5,5,0,3,15,0
,"Whangaparaoa Primary School, 39 Ladies Mile",1,4,15,0,1,21,2
"Matakana","Matakana School, 952 Matakana Road",1,5,10,0,3,19,0
"Orewa","Orewa College, 76 Riverside Road",0,6,14,0,0,20,0
,"Orewa Community Centre, Orewa Square",1,14,23,0,0,38,1
,"Orewa North School, 280 Centreway Road",1,8,13,0,4,26,0
,"Orewa Primary School, 86 Maire Road",1,1,6,0,0,8,0
"Point Wells","Point Wells Community Hall,  5 Point Wells Road",0,0,4,0,2,6,0
"Puhoi","Puhoi Centennial Hall, Puhoi Road",0,1,6,0,1,8,0
"Red Beach","Red Beach Methodist Church, 76 Red Beach Road",0,3,18,0,8,29,3
,"Red Beach School, 20 Albert Hall Drive",2,12,11,0,4,29,1
"Redvale","East Coast Bays Bible Baptist Church, 1092 East Coast Road",0,2,2,0,1,5,2
"Silverdale","Stella Maris School, 50 Silverdale Street",1,8,13,0,2,24,0
"Snells Beach","Snells Beach Community Church, 325 Mahurangi East Road",0,4,7,0,2,13,2
,"The Lifeway Trust, 20 Goodall Road",0,3,3,0,1,7,2
"Stanmore Bay","Hibiscus Coast Leisure Centre, 159 Brightside Road",3,17,31,1,2,54,2
,"Stanmore Bay School Auditorium, 30 Waiora Road",1,11,11,1,1,25,1
"Wainui","Wainui School, 492 Waitoki Road",3,2,1,0,3,9,0
"Warkworth","Masonic Lodge, Baxter Street",1,7,12,1,5,26,0
,"Warkworth Methodist Church Hall, 1 Hexham Street",1,4,13,0,0,18,1
,"Warkworth Primary School, 35 Hill Street",1,7,13,0,2,23,2
"Whangaparaoa","Whangaparaoa Library, Town Centre, 713 Whangaparaoa Road",3,10,14,0,5,32,3
,Te Atatu
"Glendene","Glendene School, 60 Barrys Road",10,32,53,1,2,98,4
,"Tirimoana School, 34 Kokiri Street",3,26,47,0,6,82,3
"Henderson","Henderson North School, 14 Norval Road",1,18,44,0,1,64,2
,"Waitakere College, 42 Rathgar Road",6,41,76,0,4,127,5
"Lincoln","Lincoln North Kindergarten, 47a Longburn Road",2,20,29,1,0,52,0
,"Pomaria Primary School, 33a Pomaria Road",7,34,51,0,6,98,1
"Massey","Lincoln Heights School, 16 Keegan Drive",6,25,79,1,5,116,1
,"Royal Road School, 112 Royal Road",6,42,74,0,8,130,4
"Massey West","Don Buck School, 124 Don Buck Road",4,19,33,1,1,58,2
,"Massey High School, 274 Don Buck Road",3,29,56,0,2,90,0
"Royal Heights","Colwill School, Kintara Drive",2,23,45,0,3,73,4
"Te Atatu Peninsula","Congregational Church of Samoa, 472-478 Te Atatu Road",0,8,21,0,2,31,0
,"Matipo Primary School, 63b Matipo Road",1,29,58,0,0,88,1
,"Peninsula Primary School, 22 Waipani Road",0,24,71,2,5,102,2
,"Rutherford Primary School, 7 Toru Street",4,12,38,0,3,57,1
,"Te Atatu Intermediate School, Harbour View Road",7,55,126,0,3,191,3
"Te Atatu South","Edmonton Primary School, corner School & Edmonton Roads",6,23,55,0,4,88,0
,"Flanshaw Road School, 51 Flanshaw Road",4,27,65,1,2,99,3
,"Freyberg Community School, 60 Roberts Road",2,21,32,0,1,56,0
"Westgate","Massey Presbyterian Church, 510 Don Buck Road",4,20,28,0,3,55,4
,Waitakere
"Glen Eden","Catholic Church Hall, 7 Glendale Road",0,6,8,0,0,14,2
,"Glen Eden Primary School, 3 Glenview Road",1,3,6,0,0,10,0
,"Prospect School Hall, 76 Rosier Road",1,1,4,0,0,6,0
,"Te Kura Kaupapa Maori o Hoani Waititi Marae, 441 West Coast Road",0,14,81,0,1,96,0
"Henderson","Bruce McLaren Intermediate School, 61-69 Bruce McLaren Road",7,26,41,2,5,81,1
,"Henderson High School, 31 Henderson Valley Road",2,25,45,0,1,73,2
,"Henderson Primary School, 13 Montel Avenue",2,12,25,1,2,42,1
,"Henderson South School, 24 Garelja Road",2,12,23,0,0,37,4
,"Henderson Valley Play Centre, 31 Farwood Drive",1,11,12,1,0,25,0
,"Henderson Valley Pony Club, 201a Henderson Valley Road",0,8,11,0,0,19,0
,"Henderson Valley Primary School, 389 Henderson Valley Road",0,5,4,0,0,9,0
,"Summerland Primary School, 62-68 Summerland Drive",1,21,29,2,4,57,1
,"Western Heights School, 126 Sturges Road",2,30,48,0,2,82,1
"Ranui","Birdwood School, 23 Karepo Crescent",4,23,68,0,0,95,2
,"Ranui Library & Community Centre, 474 Swanson Road",12,74,98,2,4,190,1
"Sunnyvale","Kelston Community Centre, 126 Awaroa Road (corner Great North Road)",3,11,31,1,0,46,0
,"Sunnyvale Community Hall, 18 Sunnyside Road",1,14,27,0,0,42,1
,"Sunnyvale Primary School, 34 Ribblesdale Road",5,19,26,1,1,52,1
"Swanson","Swanson School, 703 Swanson Road",8,30,44,2,9,93,1
"Waitakere","Waitakere Primary School, 10 Bethells Road",3,7,16,1,2,29,0
,Whangarei
"Glenbervie","Glenbervie School, Ngunguru Road",1,7,47,0,0,55,0
"Hikurangi","Hikurangi School, Swan Avenue",9,38,87,0,2,136,3
"Kamo","Kamo Intermediate School, Hailes Road",7,20,34,0,3,64,0
,"Kamo Primary School, 3 Mile Bush Road",8,47,91,5,2,153,6
"Kaurihohore","Kaurihohore Hall, corner Apotu & Crane Roads",1,7,9,1,2,20,0
"Kensington","Croquet Club, 41 Mill Road",3,18,25,0,3,49,3
,"St Johns Church Centre, 149 Kamo Road",1,20,41,2,0,64,0
,"Table Tennis Club, Western Hills Drive",4,20,16,0,1,41,2
,"Whau Valley School, 17 Moodys Avenue",6,25,35,1,2,69,3
"Kokopu","Kokopu School, Kokopu Road",0,0,9,0,0,9,0
"Mangapai","Mangapai Hall, corner McAlister and Mangapai Roads ",2,3,4,1,1,11,0
"Mata","Mata Hall, State Highway 1",0,3,9,0,0,12,0
"Matapouri","Matapouri Public Hall, Matapouri Road",0,2,7,1,0,10,0
"Maungakaramea","Maungakaramea School, Tangihua Road",1,2,5,0,1,9,1
"Maungatapere","Maungatapere School, Maungakahia Road",2,7,10,0,3,22,0
"Maunu","Maunu Primary School, 13 Austins Road",1,5,17,0,1,24,0
,"Selwyn Park Village, 15 Puriri Park Road",0,5,6,0,0,11,0
,"Whangarei Area Hospital, Maunu Road",2,15,50,1,1,69,2
"Morningside","Morningside School, 53a Morningside Road",2,24,45,1,2,74,1
"Ngararatunua","Regent Training Centre, Pipiwai Road",1,5,21,1,1,29,2
"Ngunguru","Ngunguru Community Hall, Ngunguru Road",2,12,24,0,1,39,2
"One Tree Point","One Tree Point School, One Tree Point Road",3,15,28,0,1,47,0
"Onerahi","Onerahi School, Church Road",7,26,63,1,2,99,9
,"Raurimu Avenue School, Raurimu Avenue",4,24,52,1,1,82,5
,"St James Church, 135 Onerahi Road",4,30,66,1,2,103,5
"Otaika","Lifesway Bible Church, corner Tarewa & Otaika Roads",8,48,84,0,2,142,11
,"Otaika School, Valley View Road",0,8,5,0,0,13,0
"Otangarei","Otangarei School, 181 William Jones Drive",15,57,206,2,3,283,4
"Parua Bay","Parua Bay School, Whangarei Heads Road",3,16,29,0,1,49,1
"Poroti","Poroti School, Maungakahia Road",0,15,24,1,2,42,1
"Portland","Portland Primary School, 10 Portland School Road",0,14,11,1,0,26,0
"Raumanga","Manaia View School Hall, 64 Murdock Crescent",8,80,115,0,0,203,7
,"Northland Polytechnic, 49-59 Raumanga Valley Road",1,32,59,1,1,94,2
"Regent","Anglican Parish Hall, 2a Kamo Road",2,36,56,1,2,97,2
"Riverside","Shackleton Scout Hall, Riverside Drive",1,4,23,0,1,29,1
"Ruakaka","Bream Bay College, Marsden Pt Road",4,29,38,0,0,71,3
,"Ruakaka School, 12 Sandford Road",2,15,43,1,1,62,1
"Ruatangata","Ruatangata Hall, Ruatangata Road",0,5,10,0,0,15,0
"Springs Flat","Alive Christian Fellowship, 55 Great North Road",0,9,11,2,0,22,0
"Tamaterau","Tamaterau Hall, Whangarei Heads Road",0,3,5,1,0,9,2
"Tauraroa","Tauraroa Area School, Omana Road",1,4,7,0,1,13,1
"Tikipunga","Tikipunga Community Centre, 83 Paramount Parade",8,37,87,1,5,138,3
,"Tikipunga High School, 194 Corks Road",7,61,151,1,1,221,2
,"Trinity Uniting Church, 4 Otuhiwai Crescent",3,29,80,1,2,115,7
"Waipu","Waipu Hall, The Centre",4,3,34,1,2,44,4
"Whangarei","Northland Mitsubishi, Reyburn Street",3,15,33,0,4,55,0
,"Regent Training Classrooms, 29 Maunu Road",3,12,22,1,2,40,0
,"Te Renga Paraoa Marae, Porowini Avenue",8,35,74,1,0,118,2
,"Whangarei Intermediate, 32 Rust Avenue",5,24,45,3,3,80,1
"Whangarei Heads","McLeod Bay Hall, Stewart Road",0,2,7,0,0,9,1
,"Polling places where less than 6 votes were taken",1,14,32,0,8,55,1
,"Hospital Votes",1,19,48,2,2,72,4
,"Ordinary Votes BEFORE polling day",49,448,950,22,46,1515,41
,"Special Votes BEFORE polling day",8,50,161,4,3,226,9
,"Special Votes On polling day",88,422,1108,26,50,1694,42
,"Overseas Special Votes including defence force",2,39,51,1,6,99,3
,"Te Tai Tokerau Total",788,5711,12019,202,680,19400,530
,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",19930
"Electorate Candidate Valid Votes","Party",,"HARAWIRA, Hone Pani Tamati Waka Nene - majority 6308"
"DANIELS, Judy Merle",Aotearoa Legalise Cannabis Party,788,.0406185567
"DAVIS, Kelvin Glen",Labour Party,5711,.2943814433
"HARAWIRA, Hone Pani Tamati Waka Nene",Maori Party,12019,.6195360825
"RANKIN, David Malcolm",Hapu Party,202,.0104123711
"TASHKOFF, Peter Boris",ACT New Zealand,680,.0350515464
