Electorate Candidate and Party Votes Recorded at Each Polling Place
"Rangitikei 42","Candidate Vote Details"
,,"ANGUS BURNEY, Jills Helen","GIBSON, Stephen Graham","LANGFORD, John Anthony","POWER, Simon James","THOMPSON, Jean Grace","Total Valid Candidate Votes","Informal Candidate Votes"
"National Park","National Park School Hall, Carroll Street",47,2,4,74,7,134,2
"Newbury","Newbury School, 906 Rangitikei Line",63,2,1,268,4,338,1
"Ngakonui","Ngakonui Valley School, Kauri Room, Taumarunui-Ngapuke Road",10,0,3,28,1,42,0
"Ngapuke","Ngapuke School, Room 1, Taumarunui-Ngapuke Road",6,0,0,23,0,29,1
"Ohakea","Ohakea War Memorial Hall, corner Speedy & Tangimoana Roads",10,1,0,90,0,101,0
"Ohakune","Ohakune Courthouse, Rata Street",94,3,9,215,7,328,10
,"Ohakune Primary School Hall, 52 Arawa Street",64,4,1,138,6,213,5
"Ohingaiti","Ohingaiti Hall, corner State Highway 1 & Onslow Street",15,2,1,71,0,89,1
"Orautoha","Orautoha School Library, Pukekaha Road",2,2,0,37,0,41,0
"Oroua Downs","Oroua Downs School, State Highway 1",46,1,0,154,4,205,2
"Otairi","Otairi School, Turakina Valley Road",5,0,1,40,0,46,0
"Owhango","Owhango School Resource Room, Ohorere Street",45,9,2,142,2,200,1
"Palmerston North","Central Normal School Hall, 210 Featherston Street",29,2,0,45,0,76,0
,"Cloverlea School Hall, 55 Herbert Avenue",12,0,0,22,1,35,0
,"Kelvin Grove Community Centre, 68 Kaimanawa Street",11,0,0,14,0,25,1
,"Massey University, Student Centre Lounge, Concourse, University Drive",83,2,2,83,3,173,0
,"Milson School Hall, 5 Rutland Place",8,0,1,32,0,41,0
,"Palmerston North Girls' High School Hall, Huia Street",87,1,1,166,3,258,2
,"Palmerston North Senior Citizens Hall, 323-325 Main Street",7,2,0,33,1,43,0
,"Public Hospital Education Centre, Gate 12, 50 Ruahine Street",14,0,0,20,1,35,0
,"Queen Elizabeth College Hall, 350-382 Rangitikei Street",17,0,1,18,0,36,0
,"Roslyn School Hall, 38 Kipling Street",14,0,0,22,0,36,0
,"Salvation Army Hall, 431 Church Street",13,2,2,31,0,48,0
,"St David's Church Hall, 9 Rainforth Street",17,1,0,12,0,30,0
,"St Peter's College, Gym-Classroom, 22-38 Rennie Avenue",6,0,0,25,0,31,1
,"Summerset Retirement Village, 166-186 Ruapehu Drive",221,7,5,523,12,768,18
,"Terrace End School Hall, 183-209 Ruahine Street",20,2,1,22,1,46,0
"Pohangina","Pohangina Public Hall, Pohangina Road",67,6,0,130,1,204,1
"Pukeokahu","Pukeokahu School, Taihape-Napier Road",2,1,0,34,0,37,0
"Raetihi","Raetihi Primary School Hall, 24 Grey Street",116,2,8,180,6,312,5
"Rangiwaea Junction","Rangiwaea School, Upper Turakina Valley Road",3,0,0,58,2,63,0
"Rangiwahia","Rangiwahia School, Rural No 2549, Rangiwahia Road",9,0,0,58,2,69,1
"Ratana","Te Kura O Ratana/Ratana School, Kiatere Street",4,2,0,2,0,8,0
"Rongotea","Rongotea School, Tyne Street",115,5,5,364,4,493,7
"Sanson","Sanson School, Wellington Road (State Highway 1)",97,7,2,251,9,366,3
"Taihape","St Joseph's School, Rauma Road",28,2,0,70,0,100,0
,"Taihape Town Hall, 90 Hautapu Street",229,9,4,461,19,722,12
"Tangimoana","Tangimoana School, 19 Punga Street",90,4,2,51,3,150,3
"Taonui","Taonui School, 170 Waughs Road",50,3,3,144,2,202,2
"Taoroa","Taoroa School, Taoroa Junction",4,0,0,30,0,34,0
"Taumarunui","Catholic Church Hall, 14 High Street",67,5,2,135,4,213,3
,"Manunui School, Room 1, Rata Street",110,3,5,158,8,284,9
,"Tarrangower School Library, Manson Street",105,4,2,170,10,291,8
,"Taumarunui Primary School Hall, Maata Street",137,7,12,168,6,330,7
,"Te Kura Kaupapa Maori O Taumarunui, Makere Street",52,2,3,27,0,84,1
,"WINZ Main Office, corner Miriama & Marae Streets",197,6,1,243,11,458,4
"Turakina","Turakina School, Main Road",65,6,0,128,6,205,3
"Turitea","Tiritea School, 208 Old West Road",69,1,1,133,5,209,0
"Tutaenui","Tutaenui Public Hall, corner Griffins Road and Jeffersons Line",26,0,1,129,2,158,0
"Waiouru","Waiouru Community Centre, Queree Drive",95,10,1,142,10,258,0
"Waituna West","Waituna West School, 50 Waituna-Tapuae Road",8,3,0,131,3,145,0
"Whakapapa Village","Whakapapa Village Firestation, Bruce Road",19,0,0,8,1,28,3
"Whakarongo","Whakarongo Community Hall, 17 Stoney Creek Road",92,2,4,279,8,385,2
"Whangaehu","Whangaehu School, Ruatangata Street",13,0,2,44,0,59,1
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0
,"Hospital Votes",79,4,2,157,7,249,11
,"Ordinary Votes BEFORE polling day",886,68,30,2129,46,3159,27
,"Special Votes BEFORE polling day",144,7,3,240,5,399,5
,"Special Votes On polling day",627,56,33,1307,44,2067,25
,"Overseas Special Votes including defence force",84,6,4,260,9,363,3
,"Rangitikei Total",9759,786,300,21801,535,33181,362
,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",33543
"Electorate Candidate Valid Votes","Party",,"POWER, Simon James - majority 12042"
"ANGUS BURNEY, Jills Helen",Labour Party,9759,.2941141014
"GIBSON, Stephen Graham",Independent,786,.0236882553
"LANGFORD, John Anthony",United Future,300,.0090413188
"POWER, Simon James",National Party,21801,.6570326392
"THOMPSON, Jean Grace",ACT New Zealand,535,.0161236852
