Electorate Candidate and Party Votes Recorded at Each Polling Place
"Te Tai Tonga 68","Candidate Vote Details"
,,"CALDWELL, Russell Stanton","OHIA, Rereamoamo Monte","OKEROA, Mahara","SAMUEL, Maru David","STANTON TURIE, Metiria Leanne Agnes","Total Valid Candidate Votes","Informal Candidate Votes"
,Aoraki
"Musselburgh","Baptist Sunday School Hall, 131 Musselburgh Rise",0,7,8,1,0,16,0
,"Musselburgh School, 34 Marlow Street",0,1,11,0,5,17,0
,"Presbyterian Sunday School Hall, Queens Drive",2,4,5,0,0,11,0
"Ocean View","Public Hall, Brighton Road",1,3,9,0,2,15,0
"Otakou","Te Rununga Otakou, Otakou Marae, Tamatea Road",1,5,8,0,3,17,0
"Portobello","Portobello School, Harrington Point Road",0,2,4,0,2,8,0
"South Dunedin","Dunedin South Presbyterian Hall, 393 King Edward St",1,6,14,0,6,27,1
,"Edgar Sports Centre, Lounge 2, Portsmouth Drive",2,32,28,0,5,67,1
,"Macandrew Intermediate School, 213 Macandrew Road",0,7,14,3,5,29,1
,"Methodist Church Hall, Wesley Street",0,2,5,0,0,7,0
,"Salvation Army Hall, 190 King Edward Street",0,6,17,1,6,30,1
,"St Patrick's Parish Centre, 32 Macandrew Road",0,5,1,0,1,7,0
"St Clair","St Clair School, 135 Richardson Street",0,12,11,2,8,33,0
"St Kilda","Holy Cross Anglican Church, Ajax Street",0,4,7,0,2,13,0
"Tainui","Tainui School Hall, 41 Tahuna Road",0,3,10,0,3,16,0
"Waverley","Otago Sports Car Club Hall, 97 Larnach Road",2,2,3,0,2,9,0
"Wingatui","Wingatui Hall, Gladstone Road",2,2,2,1,1,8,0
,Hutt South
"Alicetown","Hutt Central School, Railway Avenue",2,16,22,2,6,48,0
"Avalon","Dyer Street School, Dyer Street",0,11,16,1,3,31,0
"Boulcott","Boulcott School, Boulcott Street",0,7,3,0,2,12,0
"Eastbourne","Muritai School, 160 Muritai Road",0,5,5,0,2,12,0
"Epuni","Epuni School Hall, 313 Waiwhetu Road",0,22,34,2,3,61,2
,"Hutt City Musical Theatre Inc, 40 Mitchell Street",0,10,24,0,3,37,0
"Gracefield","Gracefield School, Bell Road",1,13,14,0,5,33,1
