Electorate Candidate Votes Recorded at Each Voting Place
"Hutt South 17","Candidate Vote Details"
,,"BISHOP, Christopher","COPELAND, Gordon Frank","MALLARD, Trevor Colin","O'SULLIVAN, Graeme Arthur","PAJAK, Jan","PARORO, Mataroa","STONYER, David Lester","WALKER, Holly Ruth","Total Valid Candidate Votes","Informal Candidate Votes"
,"St Paul's Parish Hall, 76 Waiwhetu Road",175,22,215,2,3,12,1,28,458,2
,"Waiwhetu Marae Meeting House, 4 Puketapu Grove",100,10,171,3,0,10,0,35,329,2
"Waterloo","Waterloo School, 26 Hardy Street",648,33,588,8,5,33,4,100,1419,8
"Wellington City","Michael Fowler Centre, Renouf Foyer, 111 Wakefield Street",13,0,20,0,0,1,1,7,42,0
,"Wellington Central Library Meeting Room, Mezzanine Floor, 65 Victoria Street",15,0,20,0,0,0,1,11,47,0
,"Voting places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day",4205,251,4722,44,37,294,21,833,10407,85
,"Special Votes BEFORE polling day",279,16,483,6,2,32,1,98,917,16
,"Special Votes On polling day",872,54,1000,14,10,58,6,295,2309,26
,"Overseas Special Votes including Defence Force",301,8,324,4,2,5,4,129,777,1
,"Hutt South Total",16127,858,16836,182,115,1005,107,3207,38437,276
,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",38713
"Electorate Candidate Valid Votes","Party",,"MALLARD, Trevor Colin - majority 709"
"BISHOP, Christopher",National Party,16127,.4195696855
"COPELAND, Gordon Frank",Conservative,858,.0223222416
"MALLARD, Trevor Colin",Labour Party,16836,.4380154539
"O'SULLIVAN, Graeme Arthur",ACT New Zealand,182,.0047350209
"PAJAK, Jan",Independent,115,.0029919088
"PARORO, Mataroa",New Zealand First Party,1005,.0261466816
"STONYER, David Lester",United Future,107,.002783776
"WALKER, Holly Ruth",Green Party,3207,.0834352317
