Electorate Candidate Votes Recorded at Each Voting Place
"Ōhāriu 36","Candidate Vote Details"
,,"ANDERSEN, Virginia Ruby","BRUNNER, Michael Johann","DUNNE, Peter Francis ","FITZPATRICK, Sean Daniel Thomas","HAMILL, Sue","HUDSON, Brett John","STEEMSON, Alida Katherine","WOODLEY, Tane Hohepa","Total Valid Candidate Votes","Informal Candidate Votes"
"Ngaio","Ngaio Town Hall, 1 Ottawa Road",811,36,726,4,15,198,3,154,1947,10
"Ohariu","Ohariu Hall, 550 Ohariu Valley Road",25,4,85,0,3,28,1,17,163,2
"Paparangi","Paparangi School Hall, 59 Beazley Avenue",280,36,310,4,5,125,1,52,813,4
"Petone","Petone Central School, 16 Britannia Street",15,0,15,0,0,3,0,2,35,0
,"St Augustine's Cub Group Hall, 71 Udy Street",7,2,10,0,0,5,0,2,26,0
"Porirua City","North City Mall, Shop 150, Ground Floor by escalator, 2 Titahi Bay Road ",50,7,42,0,0,27,0,11,137,0
"Tawa","Garage, 127 Taylor Terrace",81,9,64,1,0,32,0,12,199,1
,"Garage, 16 St Catherines Terrace",85,5,120,0,1,35,0,11,257,0
,"Hampton Hill School Library, 4 Rimu Street",119,13,122,1,4,48,3,28,338,12
,"New Life Church Hall, 236 Main Road",207,36,188,5,2,103,0,34,575,1
,"Redwood School, 69a Redwood Avenue",177,29,253,2,2,117,3,44,627,3
,"Tawa School, 6 Oxford Street",220,38,194,5,3,119,0,58,637,7
"Thorndon","St Mary's College, de Porres House, 15 Guildford Terrace",6,0,4,0,0,1,0,0,11,0
,"Thorndon School Hall, 20 Turnbull Street or 26 Murphy Street",26,0,23,1,1,12,0,10,73,0
,"Wellington Bridge Club, 17 Tinakori Road",31,0,29,1,0,9,0,7,77,0
"Wadestown","St Luke's Centre, 34 Pitt Street (corner Wadestown Road)",388,5,376,3,2,134,1,67,976,3
,"Wadestown School Hall, Rose Street (steep path access only)",115,1,55,0,2,31,0,14,218,0
"Wellington City","Chaffers Dock Atrium, 18 Herd Street",0,0,7,0,0,3,0,0,10,0
,"Michael Fowler Centre, Renouf Foyer, 111 Wakefield Street",38,0,25,2,1,14,0,13,93,1
,"St Andrew's Church Hall, 30 The Terrace",16,0,12,0,0,4,0,7,39,0
,"Wellington Central Library Meeting Room, Mezzanine Floor, 65 Victoria Street",41,4,35,2,0,21,0,13,116,2
"Wilton","Otari School Hall, 166 Wilton Road",68,1,29,0,0,12,0,14,124,0
,"Voting places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day",3980,305,4472,48,56,1860,16,765,11502,86
,"Special Votes BEFORE polling day",130,13,99,3,5,79,2,30,361,5
,"Special Votes On polling day",965,80,813,20,17,634,2,339,2870,38
,"Overseas Special Votes including Defence Force",433,17,379,10,6,185,1,131,1162,3
,"Ōhāriu Total",12859,1038,13569,209,211,6120,46,2764,36816,283
,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",37099
"Electorate Candidate Valid Votes","Party",,"DUNNE, Peter Francis  - majority 710"
"ANDERSEN, Virginia Ruby",Labour Party,12859,.349277488
"BRUNNER, Michael Johann",Conservative,1038,.0281942634
"DUNNE, Peter Francis ",United Future,13569,.3685625815
"FITZPATRICK, Sean Daniel Thomas",ACT New Zealand,209,.0056768796
"HAMILL, Sue",Independent,211,.0057312038
"HUDSON, Brett John",National Party,6120,.166232073
"STEEMSON, Alida Katherine",Democrats for Social Credit,46,.0012494568
"WOODLEY, Tane Hohepa",Green Party,2764,.0750760539
