Electorate Candidate Votes Recorded at Each Voting Place
"Rangitīkei 43","Candidate Vote Details"
,,"BROWN, Roy Kerry","McKELVIE, Ian Robert Flockhart","RUDZKI, Romuald Edward John","RUSSELL, Deborah Faye","WILSON, Neil John","Total Valid Candidate Votes","Informal Candidate Votes"
"Shannon","Shannon School, Grey Street",18,232,71,218,5,544,4
"Summerhill","Summerset Retirement Village, 166-186 Ruapehu Drive",14,370,14,168,6,572,11
"Taihape","St Joseph's School Hall, Rauma Road",6,65,11,19,0,101,1
,"Taihape Town Hall, 90 Hautapu Street",24,271,45,132,4,476,8
"Tangimoana","Tangimoana School, 19 Punga Street",4,68,17,60,1,150,2
"Taonui","Te Arakura Taonui Hall, 170 Waughs Road",5,84,6,28,1,124,2
"Taoroa","Taoroa School, Taoroa Junction",4,31,2,2,0,39,1
"Taumarunui","Catholic Church Hall, 14 High Street",5,97,12,64,0,178,5
,"Manunui School, Room 1, Rata Street",6,140,22,55,0,223,0
,"Tarrangower School Library, 15 Manson Street",6,122,11,75,1,215,5
,"Taumarunui & District War Memorial Hall, 149 Hakiaha Street",15,190,31,119,3,358,1
,"Taumarunui Primary School Hall, Maata Street",15,72,16,89,0,192,4
,"Te Kura Kaupapa Māori O Taumarunui, 35 Makere Street",1,14,4,41,0,60,1
"Terrace End","St David's Community Centre, 3 Rainforth Street",2,14,2,11,0,29,0
,"Terrace End School Hall, 183-209 Ruahine Street",4,18,1,8,0,31,1
"Tokomaru","Tokomaru School, Tokomaru Road",8,163,28,107,1,307,0
"Turakina","Turakina School, State Highway 3",11,129,20,42,2,204,1
"Turitea","Tiritea School, 208 Old West Road",7,108,4,63,0,182,0
"Tutaenui","Tutaenui Public Hall, corner Griffins Road & Jeffersons Line",3,96,6,13,0,118,3
"Waiouru","Waiouru Community Centre, Queree Drive",6,83,14,39,1,143,0
"Waituna West","Waituna West School, 50 Waituna-Tapuae Road",4,79,4,23,3,113,0
"Whakarongo","Whakarongo Community Hall, 17 Stoney Creek Road",13,271,8,66,1,359,1
