Electorate Candidate and Party Votes Recorded at Each Polling Place
"Te Tai Tonga 69","Candidate Vote Details"
,,"DEARLOVE, Clinton","KĀTENE, Rāhui ","KINGI, Emma-Jane Alice Mihaere","LANGSBURY, Dora Roimata","TIRIKATENE, Rino","Total Valid Candidate Votes","Informal Candidate Votes"
,"Lamb of God Community Hall, 19 Thames Street",0,5,1,2,2,10,0
,"Rehua Marae, 79 Springfield Road",4,21,2,4,10,41,0
,"St Albans Baptist Church, 64 McFaddens Road",0,5,0,2,1,8,0
,"St Albans Primary School, 17 Sheppard Place",0,5,1,9,12,27,0
,Christchurch East
"Aranui","Aranui Primary School, 257 Breezes Road",5,22,1,8,36,72,4
,"St Ambrose Church, 309 Breezes Road",1,12,0,4,16,33,1
,"St James School, 25 Rowan Avenue",3,13,0,1,17,34,1
"Avondale","Avondale Primary School, 132 Breezes Road",2,10,2,7,15,36,0
,"Woolley Street Kindergarten, 63 Woolley Street",0,2,1,2,3,8,0
"Brooklands","Community Centre Hall, 5 Anfield Street",0,3,1,1,9,14,0
"Burwood","ABC Learning Centre, Tumara Park 2, 1 Pohutakawa Crescent, Tumara Park",0,6,0,3,5,14,2
,"Burwood Christian Centre, 54 Bassett Street",0,10,1,2,5,18,1
,"Burwood School, 255 New Brighton Road",0,11,1,4,11,27,2
,"Windsor School Community Hall, 170 Burwood Road",2,8,2,2,1,15,3
"Dallington","Banks Avenue School, 71 Banks Avenue",0,2,0,0,6,8,1
,"Dallington Scout Group, 3 Halberg Street",1,5,0,2,6,14,2
"New Brighton","Central New Brighton School, Roy Stokes Hall, 140 Seaview Road",2,29,4,9,34,78,4
"North New Brighton","Freeville School, 11 Sandy Avenue",1,1,1,3,18,24,0
,"North New Brighton School, 150 Leaver Terrace",3,12,2,5,21,43,2
"Parklands","Parkview School Hall, 10 Chadbury Street",1,9,0,6,17,33,1
"Queenspark","Queenspark School Hall, 222 Queenspark Drive",0,6,1,8,8,23,1
"South New Brighton","South Brighton Croquet Club Rooms, 132 Union Street",1,7,0,11,9,28,0
,"South New Brighton School, 166 Estuary Road",1,6,0,7,16,30,1
"Wainoni","Methodist Church Lounge, 878 Avonside Drive",2,5,0,2,9,18,0
,"Ottawa Gardens Pre-School, 49 Ottawa Road",2,5,0,4,6,17,1
,"Wainoni School, 115 Eureka Street",4,8,0,1,13,26,1
,Clutha-Southland
"Arrowtown","Arrowtown Primary School, 9 Chalmers Place",1,4,2,5,2,14,1
"Balclutha","Balclutha Information Centre, 4 Clyde Street",0,5,1,4,9,19,2
,"Balclutha Primary School Hall, 21 Lanark Street",1,3,1,2,8,15,1
,"Rosebank School Hall, 21 Frances Street",0,6,0,2,5,13,0
,"St Andrew's Church Hall, corner Clyde & George Streets",0,2,0,1,4,7,0
"Clinton","Clinton School, 34 Halsey Street",0,2,0,0,4,6,2
"Dipton","Dipton School, 1935 James Street",0,4,0,1,0,5,1
"Frankton","Queenstown Events Centre, 35 Joe O'Connell Drive",0,4,0,3,5,12,0
,"St Margaret's Church, corner Kawarau Road & Ross Street",2,6,5,8,3,24,0
"Gore","Calvin Presbyterian Church Centre, 25 Robertson Street",3,3,1,2,5,14,1
,"East Gore School Hall, 3 Wentworth Street",3,5,1,1,8,18,0
,"Gore District Court, 6 Hokonui Drive",2,2,0,4,5,13,4
,"Gore Main School, School Hall, 39 Ardwick Street",0,6,1,4,8,19,2
,"Rachel's Studio of Dance (formerly Pipe Band Hall), 27 Hyde Street",1,6,0,0,7,14,0
"Kaitangata","Kaitangata School, Salcombe Street",3,1,3,0,1,8,0
"Kaka Point","Kaka Point Community Centre, Moana Street",1,2,0,0,3,6,0
"Kelvin Heights","Lakeland Park Christian Camp, 496 Peninsular Road",0,2,0,4,1,7,0
"Lawrence","St John Rooms, 10 Ross Place",0,4,1,2,5,12,0
"Mataura","Mataura School Hall, 33 Oakland Street",3,25,2,8,27,65,2
"Milton","Tokomairiro Co-op Parish Hall, 30-34 Union Street",5,4,0,2,12,23,4
,"Tokomairiro High School, 238 Union Street",2,5,3,3,5,18,1
"Nightcaps","Takitimu Primary School, 17 Evans Street",1,7,4,1,3,16,0
"Ohai","Ohai Volunteer Fire Brigade, 61 Birchwood Road",4,4,0,5,9,22,1
"Otautau","Otautau School, 17 Elles Road",0,4,0,0,6,10,0
"Owaka","Owaka Memorial Community Centre, 3 Ovenden Street",1,4,0,3,6,14,0
"Queenstown","Memorial Hall, corner Memorial & Stanley Streets",4,9,2,10,8,33,1
,"Queenstown Primary School Hall, 20 Robins Road",1,0,2,1,3,7,0
"Riversdale","Riversdale School, 28 Rutland Street",1,1,1,1,1,5,2
"Tapanui","Tapanui School, 14a Sussex Street",0,2,0,1,3,6,0
"Te Anau","Te Anau School Hall, 167 Milford Road",4,4,1,4,3,16,1
"Tuatapere","Tuatapere Community College, 47 Orawia Road",2,4,0,0,4,10,4
"Waihola","Waihola & Districts School, 5 Kilgour Street",2,2,0,3,2,9,0
"Winton","Central Southland College, corner Grange and Mackenzie Streets",0,3,1,2,2,8,0
,"Winton Primary School Hall, corner Clyde & Eglinton Streets",1,6,0,0,7,14,0
,Dunedin North
"Brockville","Brockville School, 263 Brockville Road",11,5,1,2,23,42,1
"Dunedin City","Arthur Street School, 26 Arthur Street",1,1,0,2,5,9,1
,"Court House, 41 Lower Stuart Street",2,3,0,2,1,8,0
,"Dunedin Hospital, 1st Floor Foyer to Lecture Halls, 201 Great King Street",0,2,1,4,7,14,0
,"Salvation Army McMillan Lounge, 575 Princes Street",1,2,0,2,12,17,1
"Dunedin North","George Street Normal School, 989 George Street",2,6,0,9,4,21,0
,"Knox Church Hall, 453 George Street ",0,5,0,4,5,14,1
,"University of Otago, ISB Link East, 630 Cumberland Street",3,7,0,2,4,16,0
"Halfway Bush","Halfway Bush Community Hall, 54 Ashmore Street",1,3,0,4,8,16,1
"Kaikorai","Kaikorai Presbyterian Church Hall, 127 Taieri Road ",2,6,0,4,12,24,0
"Karitane","Karitane Primary School, Coast Road",1,3,0,0,7,11,1
"Maori Hill","Coronation Hall, 1 Balmacewen Road",0,4,0,3,1,8,0
"Mornington","Mornington School, 34 Elgin Road",0,7,2,4,13,26,2
,"Mornington Scout Hall, 66 Argyle Street",3,4,2,6,6,21,0
,"St Francis Xavier School, 27 Benhar Street",2,4,1,2,2,11,0
"North East Valley","Dunedin North Intermediate School, 34 North Road",1,8,2,7,16,34,1
,"North East Valley Baptist Church Hall, 268 North Road",0,3,1,7,7,18,1
"Opoho","Opoho School, 96 Signal Hill Road",0,5,0,7,4,16,0
"Pine Hill","Pine Hill School, 2 Wilkinson Street",2,7,2,7,12,30,1
"Port Chalmers","Port Chalmers Town Hall, 1 Grey Street",0,4,1,4,5,14,0
"Ravensbourne","Ravensbourne Community Hall, 5 Wanaka Street",0,5,1,0,6,12,1
"Roslyn","Presbyterian Church Hall, 21 Highgate",0,2,0,2,3,7,0
"Sawyers Bay","Sawyers Bay School, 99 Stevenson Avenue",0,3,1,3,7,14,0
"Waikouaiti","Waikouaiti Primary School, 6 Malloch Street",0,5,0,6,8,19,1
"Waitati","Waitati Primary School, Mt Cargill Road, RD2",2,6,0,3,3,14,0
"Wakari","Balmacewen Intermediate School, 44 Chapman Street",3,2,0,0,2,7,0
,"Wakari School, 150 Helensburgh Road",3,8,0,2,9,22,0
"Warrington","Warrington Primary School, 3 Ferguson Street",0,2,0,0,4,6,1
,Dunedin South
"Abbotsford","Scout Hall, corner Abbotsford Road & Unsworth Street",0,3,2,3,6,14,1
"Andersons Bay","Presbyterian Church Hall, 76 Silverton Street",6,6,1,5,7,25,1
"Brighton","Big Rock School, 2 Bath Street",1,2,0,1,9,13,0
"Calton Hill","Calton Hill Community Hall, 38 Riselaw Road",2,9,1,5,10,27,2
"Caversham","Caversham Presbyterian Church Hall, 61 Thorn Street",1,6,0,2,5,14,1
,"Caversham School Hall, 217 South Road",4,8,1,4,19,36,0
"Concord","Concord Kindergarten, 93 Mulford Street",0,4,1,1,4,10,2
"Corstorphine","Corstorphine Community Centre, 235 Middleton Road",6,6,1,2,12,27,3
"Fairfield","Fairfield Community Hall, corner Main Road & Fairplay Street",6,2,0,3,4,15,0
"Forbury Corner","St Bernadette's School Hall, 16 Forbury Road",0,5,0,6,6,17,1
"Green Island","Pipe Band Hall, 186 Main South Road",1,7,2,5,10,25,0
,"The Landmark Baptist Lighthouse, 222 Main South Road",2,5,0,3,8,18,4
"Macandrew Bay","Macandrew Bay School, 488 Portobello Road",1,4,1,5,6,17,0
"Middlemarch","Strath Taieri School, 33 Swansea Street",0,3,0,0,3,6,0
"Mosgiel","A&P Showgrounds, 320 Gordon Road",0,1,1,0,4,6,0
,"Elmgrove School, Ayr Street",0,3,0,1,9,13,0
,"Mosgiel Abilities Resource Centre, 16 Green Street",0,2,0,1,3,6,1
,"Reid Park Kindergarten, 63 Murray Street",0,1,1,0,5,7,2
,"Senior Citizen's Hall, 5a Hartstonge Avenue (next to Mosgiel Library)",1,3,1,3,10,18,4
,"Silverstream (South) Primary School, 52 Green Street",0,6,1,4,4,15,1
,"St Mary's Parish Hall, 53 Gordon Road",3,2,3,3,8,19,2
"Musselburgh","Baptist Church, 131 Musselburgh Rise",3,6,1,5,8,23,0
,"Musselburgh School Library, 34 Marlow Street",1,7,0,0,8,16,1
,"Presbyterian Sunday School Hall, 26 Queens Drive",0,2,2,1,2,7,0
"Ocean View","Ocean View Public Hall, 812 Brighton Road",2,2,1,1,2,8,0
"Otakou","Te Rununga Otakou, Otakou Marae, 45 Tamatea Road",1,6,0,7,3,17,0
"Outram","Outram School, 1 Beaumaris Street",0,2,2,1,2,7,0
"Portobello","Portobello School, 30 Harrington Point Road",1,2,0,7,6,16,0
"South Dunedin","Dunedin South Presbyterian Hall, 393 King Edward Street",0,3,0,6,7,16,0
,"Edgar Sports Centre, corner Portsmouth Drive & Teviot Street",1,3,0,0,2,6,1
,"Macandrew Intermediate School, 213 Macandrew Road",4,6,1,6,6,23,1
,"Methodist Church Hall, 11 Wesley Street",1,1,1,0,5,8,1
,"Nations Christian Church, 334 King Edward Street ",3,8,1,9,15,36,0
,"St Patrick's Parish Centre, 32 Macandrew Road",0,4,1,1,7,13,0
"St Clair","St Clair School Hall, 87 Albert Street",4,3,1,4,7,19,1
,"Vintage Car Club, 125 Forbury Road",0,3,0,0,3,6,1
"St Kilda","Dunedin Ice Stadium, 101 Victoria Road",0,1,1,3,5,10,1
,"Holy Cross Anglican Church,17 Ajax Street",0,2,0,2,12,16,0
"Tainui","Tainui School Hall, 41 Tahuna Road",2,1,2,2,7,14,0
"Waverley","Otago Sports Car Club Hall, 97 Larnach Road",0,3,1,3,4,11,1
,Hutt South
"Alicetown","Hutt Central School, 6 Railway Avenue",3,10,1,6,7,27,1
"Avalon","Dyer Street School, 59 Dyer Street",3,8,2,8,11,32,1
"Boulcott","Boulcott School, 9 Boulcott Street",1,4,0,0,4,9,0
"Days Bay","Wellesley College, 611 Marine Drive",1,3,0,1,4,9,0
"Eastbourne","Muritai School, 160 Muritai Road",0,10,1,7,5,23,0
"Epuni","Congregational Christian Church Hall of Samoa, 37 Mitchell Street",7,9,3,4,16,39,1
,"Epuni School Hall, 313 Waiwhetu Road",6,16,3,7,35,67,3
"Gracefield","Gracefield School, 20A Bell Road",7,14,1,5,6,33,1
"Hutt Central","Eastern Hutt School, 83 Kings Crescent",1,1,2,3,6,13,0
,"Hutt Hospital, 640 High Street",2,4,1,1,2,10,1
,"Hutt Intermediate School, 7 Kauri Street",1,7,1,3,6,18,0
,"Hutt Valley High School, 84 Woburn Road",0,10,3,6,9,28,2
,"Knox Presbyterian Church Hall, 574 High Street",1,4,0,3,1,9,0
,"St Bernard's College, 183 Waterloo Road",1,3,0,1,7,12,3
,"Sts Peter and Paul School, Myrtle Street",1,2,0,0,3,6,0
"Moera","Randwick School, 59 Randwick Road",12,29,3,15,46,105,3
"Petone","Petone Central School, 16 Britannia Street",15,28,4,16,43,106,6
,"St Augustines Cub Group Hall, 71 Udy Street",1,6,0,0,5,12,0
,"Wilford School, 102 William Street",9,29,2,7,28,75,4
"Waiwhetu","Our Lady of the Rosary School, 15 Wainui Road",4,8,1,0,12,25,2
,"St Paul's Parish Hall, 76 Waiwhetu Road",1,9,0,6,10,26,0
,"Waiwhetu Marae Meeting House, Puketapu Grove",24,34,3,6,45,112,3
"Waterloo","Waterloo School, 26 Hardy Street",3,16,3,6,21,49,1
,Ilam
"Avonhead","Avonhead Primary School Hall, 55 Avonhead Road",0,6,1,2,7,16,3
,"Merrin School Hall, 41 Merrin Street",1,4,2,1,5,13,1
"Bishopdale","Bishopdale School Hall, 465 Greers Road",2,4,2,2,3,13,0
,"Breens Intermediate School Hall, 85 Breens Road",1,8,1,3,10,23,1
,"Cotswold School, 44 Cotswold Avenue",3,10,0,3,11,27,0
,"Isleworth School Hall, 59a Farrington Avenue",2,4,1,2,10,19,2
,"St Margaret's Church, The Hub, 94 Farrington Avenue",3,6,0,2,8,19,2
"Bryndwr","St Matthew's Church Main Hall, 108 Jeffreys Road",0,4,0,0,2,6,0
,"St Stephen's Presbyterian Church Hall, corner Ilam & Aorangi Roads",1,7,0,2,10,20,1
,"Wairakei School Hall, 250 Wairakei Road",3,3,2,5,10,23,3
"Burnside","Burnside Elim Community Church, 193 Grahams Road",2,1,1,2,9,15,0
,"Burnside High School, J Block (Memorial Avenue entrance)",2,2,0,1,6,11,0
,"Kendal School Hall, 53 Kendal Avenue",1,5,0,1,3,10,2
"Christchurch City","First Church of Christ Scientist, 66 Carlton Mill Road",0,0,0,1,4,5,1
"Fendalton","Christchurch Boys' High School, Big Room, Te Kura Street ",0,7,0,1,4,12,0
,"Fendalton Open Air School, The Village, 168 Clyde Road",0,3,0,6,7,16,0
,"Medbury School Hall, corner Clyde & Creyke Roads",0,1,0,4,1,6,0
"Harewood","Harewood Playcentre, 719 Harewood Road",0,8,0,1,4,13,1
"Ilam","Ilam School Hall, 66 Ilam Road",3,8,0,2,6,19,0
,"Westburn School Hall, 257 Waimairi Road",1,5,1,1,3,11,0
"Merivale","Heaton Normal Intermediate School Hall, 125-133 Heaton Street",1,3,0,1,2,7,0
,"Rangi Ruru Girls' School, Helen Kitson Function Centre, 59 Hewitts Road",0,3,0,1,2,6,0
"Papanui","St Paul's Anglican Church Parish Hall, 1 Harewood Road",1,5,1,2,12,21,2
,"Waimairi School Hall, 1 Tillman Avenue",2,6,0,3,3,14,2
"Riccarton","St Ninian's Presbyterian Church Hall, 9 Puriri Street",0,6,1,1,3,11,0
"Upper Riccarton","Villa Maria College Hall, 21 Peer Street (Brodie Street entrance)",1,4,0,2,3,10,0
,Invercargill
"Bluff","Bluff Community School, 39 Bradshaw Street",8,19,3,9,46,85,4
,"St Teresa's School, 181 Foyle Street",1,10,3,3,34,51,1
"Colac Bay","Colac Bay Fire Station, 16 Colac Bay Road",2,3,0,2,3,10,1
"Invercargill","Ascot Community School Hall, 580 Tay Street",5,7,0,6,11,29,3
,"Aurora College, 234 Regent Street",3,15,5,3,22,48,1
,"CCS Disability Action Southland, 142 Don Street",1,7,1,0,3,12,1
,"Clarendon Kindergarten, 30 Waiau Place",2,7,0,0,12,21,3
,"Donovan Primary School, 200 Drury Lane",0,8,2,6,17,33,3
,"Eastside Baptist Church, corner Glengarry Crescent & Yarrow Street",6,6,2,2,15,31,1
,"Elles Road Bible Chapel, 198 Earn Street",5,9,2,6,22,44,3
,"Fernworth School Hall, 288 Pomona Street",6,25,2,7,44,84,1
,"Freedom Community Centre, 85 Adamson Crescent",2,8,1,1,5,17,1
,"Gladstone Scout Hall, corner Holywood Terrace & Russell Street",1,2,0,5,2,10,1
,"Grasmere Kindergarten, 10 Heywood Street",2,2,0,2,6,12,0
,"Holy Trinity Anglican Church Hall, 61 King Street",0,3,1,4,9,17,2
,"Invercargill Middle School Hall, 31 Jed Street",2,8,0,1,12,23,1
,"Invercargill Public Library, 50 Dee Street",1,10,2,4,8,25,1
,"James Hargest College Junior Campus, 6 Layard Street",1,5,0,3,4,13,3
,"James Hargest College Senior Campus, 288 Layard Street",0,2,0,1,3,6,1
,"Kew Kindergarten, 51 Selwyn Street",1,6,0,2,10,19,0
,"Knox Presbyterian Church Hall, 107 Pomona Street",0,6,3,6,18,33,2
,"Lindisfarne Kindergarten, 34 Mitchell Street",1,4,0,4,2,11,2
,"New River School Hall, 117 Elizabeth Street",2,5,0,2,15,24,2
,"Newfield Park School Hall, 82 Wilfrid Street",2,4,1,2,9,18,0
,"Newfield Public Hall, 707 Tweed Street",8,18,2,10,17,55,5
,"Pacific Island Advisory and Cultural Trust Southland, 135 Bowmont Street",1,5,1,0,9,16,0
,"Rosedale Gospel Chapel, 212 Bourke Street",0,1,1,1,5,8,0
,"Salford School Hall, 110 Lamond Street",0,1,0,1,5,7,2
,"Southland Girls' High School Hall, 328 Tweed Street",3,11,1,6,16,37,0
,"St Andrew's Youth Centre, 141 Manse Street",5,14,0,6,32,57,2
,"St John's Girls' School, 349 Dee Street",0,5,0,6,5,16,1
,"St John's Parish Hall, 108 Tay Street",0,7,1,3,10,21,0
,"St Joseph's School, 70 Eye Street",5,4,1,1,8,19,0
,"St Stephen's Church Hall, 290 North Road",0,3,0,2,13,18,4
,"Waihopai School Hall, 121 Herbert Street",1,9,0,2,4,16,1
,"Waverley Park School, 55 Eden Crescent",0,4,1,0,5,10,0
,"Windsor Community Church (Presbyterian), 19 Windsor Street",0,3,2,3,9,17,0
,"Windsor North School Hall, corner Windsor & Chelmsford Streets",2,7,0,2,5,16,0
"Makarewa","Makarewa School, 56 Flora Road East",1,2,0,1,3,7,1
"Myross Bush","Myross Bush Community Hall, 238 Mill Road",0,3,0,1,2,6,1
"Otatara","Otatara Primary School, Dunns Road",2,12,2,4,7,27,4
"Riverton","Riverton Primary School Hall, 7 Leader Street",4,14,2,6,16,42,3
"Stewart Island","Halfmoon Bay School, 6 Ayr Street",0,1,1,5,5,12,1
"Tisbury","Tisbury School, 3 Boundary Road",1,6,2,1,4,14,0
"Wallacetown","Wallacetown School, 34 Mauchline Street",0,2,0,3,4,9,1
"Wyndham","Wyndham Primary School, 40 Florence Street",1,5,1,4,5,16,1
,Kaikōura
"Amberley","Hurunui District Council, 66 Carters Road",0,1,0,2,5,8,3
"Blenheim","Baptist Church Hall, 8 Beaver Road",0,10,0,3,9,22,1
,"Bohally Intermediate School Hall, 37-49 McLauchlan Street",0,5,0,4,8,17,1
,"Bright Centre, 2 Dillons Point Road",3,6,0,5,7,21,1
,"Marlborough Boys' College Pavilion, Francis Street",4,11,2,2,18,37,5
,"Mayfield School Hall, 79 Hutcheson Street",2,8,2,2,16,30,3
,"Nativity Anglican Church Hall, 76 Alfred Street",1,3,0,2,5,11,2
,"NMIT Marlborough Campus, Room E1, 85 Budge Street",2,3,0,2,22,29,2
,"Redwoodtown School, 88-92 Cleghorn Street",6,14,2,5,32,59,6
,"Salvation Army Hall, 35 George Street",5,3,2,4,10,24,1
,"Springlands School Hall, Aston Street",2,8,0,5,4,19,0
,"St Mark's Hobbies Room, 61 Main Street",5,1,0,2,6,14,2
,"St Ninian's Church Hall, corner Alabama Road & Riley Crescent",1,3,0,0,10,14,1
,"Whitney Street School Hall, Whitney Street",7,8,0,5,7,27,0
,"Witherlea School Hall, Upper Weld Street",4,4,1,4,5,18,4
"Canvastown","Canvastown School, 5044 State Highway 6",4,0,0,1,3,8,0
"Cheviot","Knox Church Hall, 13 Reeves Street",0,3,1,1,3,8,0
"Culverden","Amuri Area School, 19 School Road",1,2,1,0,4,8,0
"Fairhall","Fairhall School Library, 384 New Renwick Road",0,6,0,0,2,8,0
"Grovetown","Grovetown School, 50-62 Vickerman Street",0,4,0,0,2,6,0
"Hanmer Springs","Hanmer Springs Memorial Hall, corner Amuri Avenue and Cheltenham Street",0,2,0,4,4,10,0
"Hapuku","Hapuku School, 596 Kincaid Road (State Highway 1)",0,8,0,1,4,13,0
"Havelock","Havelock School, 47 Main Road",2,2,0,2,6,12,2
"Hawarden","Hurunui College, Tenterden Street",0,1,0,0,5,6,0
"Kaikoura","Kaikoura High School, corner Rorrisons & Ludstone Roads",1,2,0,2,12,17,0
,"Kaikoura Suburban School, 425 Schoolhouse Road",0,1,2,1,3,7,0
,"St John's Ambulance Hall, 116 Beach Road",1,3,1,4,17,26,0
,"St Peter's Anglican Church Hall, 33 Torquay Street",6,13,1,2,10,32,0
"Leithfield","Leithfield School, 64 Old Main Road",0,2,1,0,4,7,0
"Linkwater","Linkwater School, 1357 Queen Charlotte Drive",0,3,1,0,3,7,1
"Picton","Little Theatre, 9 Dublin Street",0,10,0,6,14,30,5
,"Picton School, corner Buller & Kent Streets",4,9,1,3,15,32,2
,"Queen Charlotte College, 173 Waikawa Road",3,14,2,3,16,38,2
"Rai Valley","Rai Valley Area School, Community Library, 6700 Main Road",0,3,1,2,1,7,0
"Rapaura","Rapaura School, 349 Hammerichs Road",0,2,0,0,2,4,2
"Renwick","Renwick Community Hall, 27 High Street",0,11,1,5,9,26,4
"Riverlands","Riverlands School, 21 School Road",3,0,0,1,2,6,0
"Seddon","Seddon School, 13 Redwood Street",2,3,0,1,5,11,1
"Sefton","Sefton School, 603 Upper Sefton Road",0,2,0,1,4,7,0
"Spring Creek","Spring Creek School, 52 Ferry Road",3,7,0,0,19,29,0
"Waikawa Bay","Waikawa Bay School, 282 Waikawa Road",3,11,0,4,8,26,3
"Woodbourne","RNZAF Family Centre, Caldwell Road",0,4,0,2,0,6,1
,Nelson
"Atawhai","Clifton Terrace School Hall, 888 Atawhai Drive",2,4,0,4,6,16,2
"Brightwater","Brightwater School, 106 Ellis Street",0,3,1,1,5,10,0
"Hope","Hope School, 316 Paton Road",1,3,0,0,1,5,1
"Nelson","Athletics Nelson Club Rooms, Pioneer Park, Hastings Street",2,15,1,6,13,37,2
,"Auckland Point School, 111 Haven Road",4,10,1,6,8,29,4
,"Court House, 200 Bridge Street",2,8,2,4,8,24,2
,"Hampden Street School, 250 Hampden Street",0,4,1,2,5,12,1
,"Masonic Hall, 109 Nile Street",1,9,2,2,5,19,3
,"Nelson Intermediate School, 112 Tipahi Street",1,10,2,5,15,33,4
,"Salvation Army Hall, 57 Rutherford Street",0,3,0,4,2,9,1
,"Trafalgar Street Hall, 67 Trafalgar Street",0,2,0,4,6,12,2
,"Victory School Community Centre, Totara Street",4,44,4,11,36,99,4
"Richmond","Garin College, 35 Champion Road",1,4,0,3,2,10,0
,"Richmond Athletic Soccer Club Room, Gladstone Road",0,4,0,1,1,6,0
,"Richmond School Community Hall, 14 Cambridge Street",2,6,1,6,11,26,0
,"Tasman District Council Office, 189 Queen Street",0,7,0,3,3,13,1
,"Waimea Intermediate School, 48 Salisbury Road",0,9,1,6,8,24,0
"Stoke","Birchwood School, 15 Durham Street",1,4,0,4,1,10,0
,"Broadgreen Intermediate School, 193 Nayland Road",6,20,3,6,16,51,3
,"Stoke Memorial Hall, 548 Main Road",2,9,2,3,17,33,1
,"Stoke School, 601 Main Road",4,24,6,6,30,70,4
"Tahunanui","Church of Christ Hall, 29 Parkers Road",0,9,5,1,10,25,5
,"Nightingale Library Memorial, 2 Beach Road",0,3,0,3,1,7,0
,"Tahunanui School, 69 Muritai Street",4,13,3,8,18,46,3
"Wakatu","Enner Glynn School, 10 The Ridgeway",2,9,2,0,9,22,1
,Ōhariu
"Churton Park","Churton Park Little School, 6 Melksham Drive",0,8,0,2,2,12,0
,"Churton Park School, 90 Churton Drive",2,10,0,0,4,16,1
"Crofton Downs","Crofton Downs Primary School Hall, 1 Chartwell Drive",1,7,1,4,3,16,0
"Johnsonville","Broderick Road Chapel, 17 Broderick Road",1,17,0,3,23,44,2
,"Johnsonville School Hall, 8 Morgan Street",6,20,3,2,22,53,0
,"Raroa Intermediate School Hall, 37 Haumia Street",1,20,0,8,11,40,2
,"West Park School Hall, Broderick Road",1,15,0,5,12,33,0
"Khandallah","Cashmere Avenue School, 110 Cashmere Avenue",0,11,1,5,8,25,1
,"Onslow Community Church, 4 Ngatoto Street",1,3,0,2,6,12,0
,"Presbyterian Church Hall, 33 Ganges Road",1,12,0,3,4,20,0
"Korokoro","Korokoro School Hall, 79 Korokoro Road",3,5,0,0,3,11,0
"Newlands","Bellevue School Hall, 12 Bancroft Terrace",9,22,3,2,12,48,2
,"Newlands School Hall, 200 Newlands Road",1,16,0,7,27,51,2
,"Newlands-Paparangi Tennis Club, 26 Black Rock Road",4,5,0,3,12,24,1
,"Rewa Rewa School Hall, 4 Padnell Crescent",3,9,2,2,8,24,0
"Ngaio","Ngaio Town Hall, 1 Ottawa Road",1,10,0,4,12,27,0
"Paparangi","Paparangi School Hall, 59 Beazley Avenue",4,14,0,4,16,38,0
,Port Hills
"Addington","Kidsfirst Kindergarten, 366 Selwyn Street",5,8,1,5,7,26,0
"Beckenham","Beckenham School, 71 Sandwich Road",1,6,1,2,4,14,2
,"St Peter's Parish Centre, 11a Fisher Avenue",0,3,0,2,5,10,0
"Bromley","Bromley School, 33 Keighleys Road",5,17,5,8,23,58,3
"Cashmere","Cashmere Primary School, 135 Hackthorne Road",1,1,2,3,1,8,1
,"Landsdowne Community Centre, 8 Landsdowne Terrace",0,3,1,0,7,11,0
"Cass Bay","Navy League, TS Steadfast, 64 Governors Bay Road",0,4,0,2,2,8,0
