Electorate Candidate and Party Votes Recorded at Each Polling Place
"Rotorua 46","Candidate Vote Details"
,,"CHADWICK, Stephanie Anne","McCLAY, Todd Michael","ROGERS, Grant Thomas","SAVILLE, Raewyn Frances","SMITH, Daryl James","SOLOMON, Arthur Gus","STEVENS, Alfred Petrus Antonius","Total Valid Candidate Votes","Informal Candidate Votes"
,"Otonga School Hall, Otonga Road",422,757,3,61,8,8,3,1262,10
,"Rotorua Electorate Headquarters, corner Hinemoa & Amohia Streets",236,261,4,36,8,5,1,551,6
,"Rotorua Intermediate School, 93-95 Malfroy Road",315,298,5,29,1,2,4,654,6
,"Rotorua Primary School Hall, Rangiuru Street or Pukeroa Street entrance",231,215,0,33,2,1,0,482,7
,"Rotorua Public Hospital Cafeteria, Main Entrance, Pukeroa Street",60,52,0,12,2,2,0,128,0
,"School of Performing Arts Building, 324 Malfroy Road",337,488,1,31,8,7,4,876,7
,"Selwyn School Hall, 3 Old Quarry Road",376,287,6,39,9,4,1,722,10
,"St Andrew's Church Hall, 309 Old Taupo Road",242,349,1,29,4,2,0,627,4
,"St Chad's Communication Centre, 2 Devon Street",245,391,0,21,4,5,6,672,8
,"St John Ambulance Hall, Pererika Street",215,204,2,23,4,2,1,451,6
,"St Michael's School Hall, Clayton Road",262,213,4,36,7,4,2,528,6
,"Sunset Primary School Hall, 150 Sunset Road",357,385,7,41,13,8,2,813,11
,"Waiariki Institute of Technology Cafeteria, Mokoia Drive",103,140,0,9,1,0,0,253,6
,"Western Heights Primary School Hall, Clayton Road",227,178,2,20,6,7,2,442,6
,"Whaka Thermal Village, 17 Tryon Street, Whakarewarewa",78,47,2,11,3,0,0,141,1
"Ruatahuna","Huiarau School, 98 Sister Annie Road",5,1,0,1,0,1,0,8,0
"Te Puke","Te Puke Memorial Hall, Pioneer Room, 130 Jellicoe Street",43,209,3,9,5,1,1,271,5
"Te Ranga","Te Ranga School, Room 1, 1492 Te Matai Road",8,132,0,5,0,0,0,145,0
"Upper Atiamuri","Upper Atiamuri School, 2613 State Highway 30",12,60,0,4,1,1,0,78,0
"Waikite Valley","Waikite Valley School, 1090 Waikite Valley Road",43,182,1,6,3,0,0,235,2
"Waiohau","Te Kura Kaupapa Maori O Waiohau, 2481 Galatea Road",6,0,0,0,0,0,0,6,0
"Waiotapu","Benny Bee Tearooms, 2490 State Highway 5",27,93,0,3,0,3,0,126,2
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0
,"Hospital Votes",140,142,5,7,1,2,0,297,9
,"Ordinary Votes BEFORE polling day",1248,2101,10,138,32,24,5,3558,34
,"Special Votes BEFORE polling day",170,191,0,28,6,4,2,401,6
,"Special Votes On polling day",732,875,14,150,20,25,2,1818,27
,"Overseas Special Votes including defence force",103,160,0,19,2,5,0,289,5
,"Rotorua Total",12635,17700,145,1665,365,241,82,32833,364
,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",33197
"Electorate Candidate Valid Votes","Party",,"McCLAY, Todd Michael - majority 5065"
"CHADWICK, Stephanie Anne",Labour Party,12635,.3848262419
"McCLAY, Todd Michael",National Party,17700,.5390917674
"ROGERS, Grant Thomas",RAM - Residents Action Movement,145,.0044162885
"SAVILLE, Raewyn Frances",Green Party,1665,.0507111747
"SMITH, Daryl James",Kiwi Party,365,.0111168641
"SOLOMON, Arthur Gus",United Future,241,.007340176
"STEVENS, Alfred Petrus Antonius",Libertarianz,82,.0024974873
