Electorate Candidate Votes Recorded at Each Voting Place
"Te Tai Hauāuru 68","Candidate Vote Details"
,,"McDONALD, Jack Baxter","McKENZIE, Christopher Owen","RURAWHE, Adrian Paki","WINIATA-HAINES, Jordan","Total Valid Candidate Votes","Informal Candidate Votes"
,"St Mary's Church, Discovery Drive, Whitby Shopping Centre",0,8,1,0,9,0
,"The Anchor Church, 1 Joseph Banks Drive",2,10,6,0,18,0
,New Plymouth
"Bell Block","Bell Block Hall, 27 Bell Block Court",5,22,24,5,56,0
,"Fred Tucker Memorial Centre, 130 Parklands Avenue",13,22,24,5,64,1
,"Puketapu School Hall, 25 Dillon Drive",6,6,18,0,30,1
"Egmont Village","Egmont Village School Hall, 1052 Junction Road",5,2,3,0,10,1
"Glen Avon","Glen Avon Hall, 23 Alberta Road",1,4,5,1,11,1
"Lepperton","Lepperton Hall, 533 Richmond Road",2,2,0,1,5,1
"Mangorei","Mangorei School Hall, 502 Mangorei Road",3,5,6,0,14,1
"New Plymouth","Air Training Corps Rooms, 367a Carrington Street",2,5,3,1,11,0
,"Blind Foundation, 131 Vivian Street",4,4,3,0,11,0
,"Boys' High School, Pridham Hall, 97 Eliot Street",2,9,4,2,17,0
,"Central School Hall, 46 Pendarves Street entrance",6,9,17,0,32,3
,"Devon Intermediate School, 400 Devon Street West",3,15,18,3,39,1
,"Fitzroy Hall, 45 Sackville Street",10,11,6,2,29,2
,"Francis Douglas Memorial College, 201 Tukapa Street",2,4,2,2,10,1
,"Girls' High School Hall, Main Entrance, 42 Mangorei Road",2,5,9,2,18,1
,"Holy Trinity Church Hall, 8 Henui Street",2,2,4,0,8,0
,"Marfell School Hall, 92a Omata Road entrance",9,8,17,7,41,2
,"Merrilands Hall, 251 Mangorei Road",5,4,4,0,13,1
,"Merrilands School, 7 Kauri Street",4,10,20,1,35,1
,"Moturoa School, 45 Pioneer Road",4,8,6,4,22,0
,"Onuku Taipari Hall, 136 Ngamotu Road",10,11,29,5,55,0
,"Spotswood College Library, 129 South Road",8,29,14,2,53,2
,"Spotswood Primary School Hall, 177 South Road",4,8,14,3,29,1
,"St Chad's Church Hall, 12 Omata Road",5,6,10,1,22,2
,"St James Church, 24 Lawry Street",4,5,7,4,20,2
,"St John Rooms, 318 St Aubyn Street",5,8,6,0,19,0
,"St Joseph's Community Centre, 151 Devon Street West ",3,7,4,2,16,0
,"St Pius X School, 120 Brooklands Road",4,9,4,1,18,0
,"Taranaki Base Hospital, Clinical Skills Laboratory, Lyn Street entrance",3,1,7,0,11,0
,"Taranaki Disability Resource Centre, 28 Young Street",0,5,2,1,8,0
,"Vogeltown School Hall, 37 Huatoki Street",8,8,13,3,32,1
,"Welbourn School Hall, 5 Welbourn Terrace entrance",6,11,8,1,26,1
,"Westown School Hall, 41 Sanders Avenue",15,26,32,9,82,4
,"Woodleigh School Hall, 85 Brois Street",6,5,5,2,18,1
,"Woodleigh Sports and Social Club, 43 Fernleigh Street",2,4,1,0,7,1
"Oakura","Oakura School, 16 Donnelly Street",6,5,2,0,13,0
"Okato","Coastal Taranaki School, 88 Carthew Street",7,12,6,0,25,1
"Omata","Omata School Hall, 3 Holloway Road",2,1,2,1,6,0
"Opunake","Opunake Primary School, Longfellow Road",4,21,32,2,59,2
"Pungarehu","Pungarehu Hall, 6339 Main South Road ",4,5,6,2,17,2
"Rahotu","Rahotu School, 5825 Main South Road ",0,11,8,2,21,1
"Waitara","Orapa Kindergarten, 10 Wood Street",15,16,31,11,73,4
,"Owae Marae, 16 North Street",10,42,31,6,89,3
,"Waitara Central School Hall, 18 Cracroft Street",22,37,35,9,103,5
,"Waitara High School Hall, 16 Princess Street",11,27,47,6,91,1
"Warea","Warea Hall, 6917 Main South Road ",5,3,2,0,10,0
,Ōhāriu
"Grenada North","Grenada North Club Rooms, Nassau Avenue",3,7,8,2,20,0
"Tawa","Hampton Hill School Library, 4 Rimu Street",3,3,12,2,20,2
,"New Life Church Hall, 236 Main Road",2,7,8,1,18,1
,"Redwood School, 69a Redwood Avenue",3,4,5,0,12,1
,"Tawa School, 6 Oxford Street",2,10,7,0,19,1
,Ōtaki
"Foxton","Coley Street School, 53 Coley Street",4,11,20,0,35,2
,"Foxton Primary School, 5 Park Street",8,28,40,4,80,0
"Foxton Beach","Foxton Beach Primary School, 10 Carthew Terrace",2,5,5,1,13,2
"Ihakara","Ihakara Hall, corner Tavistock Road & State Highway 57",1,6,2,0,9,1
"Levin","Fairfield School, 89 MacArthur Street",3,8,12,1,24,1
,"Horowhenua District Council, 126 Oxford Street",10,30,29,5,74,3
,"Levin Baptist Church, 19 Rugby Street",3,10,14,1,28,0
,"Levin East School, 90 Bartholomew Road",9,37,45,5,96,2
,"Levin Intermediate School, 20 Collingwood Street",7,13,23,4,47,1
,"Levin North School, 148 Weraroa Road",14,18,26,8,66,1
,"LifeChangers Church Hall, 87-89 Cambridge Street",8,8,11,1,28,0
,"Taitoko School, 38 Kinross Street",8,21,32,2,63,2
"Manakau","Manakau District Hall, Mokena Kohere Street",2,12,3,0,17,0
"Ohau","Ohau School, 13 Muhunoa East Road",4,9,9,5,27,1
"Otaki","Hadfield Hall, 47 Te Rauparaha Street",18,61,40,21,140,0
,"Otaki Presbyterian Church, 249 Mill Road",8,19,18,5,50,1
,"Waitohu School, 20-22 Te Manuao Road",3,15,9,7,34,0
"Otaki Beach","Otaki Surf Lifesaving Club, Marine Parade",8,10,14,10,42,0
"Paraparaumu","Kapiti Primary School, corner Kapiti & Rimu Roads",13,20,17,2,52,1
,"Mazengarb Sports Complex, Mazengarb Road",8,5,3,0,16,0
,"The Meadows Church, corner Realm Drive & Mazengarb Road",4,9,7,4,24,2
"Paraparaumu  Beach","Kapiti Senior Citizens Centre, 45 Ocean Road",3,14,14,2,33,0
,"Paraparaumu Beach Guide Hall, Te Kupe Road",6,4,10,0,20,0
,"Paraparaumu Beach School, Gray Avenue",4,8,6,1,19,0
"Poroutawhao","Poroutawhao Hall, State Highway 1",2,4,4,2,12,0
"Te Horo","Te Horo Hall, 50 School Road",3,0,2,0,5,1
"Waikanae","Kapanui School, 23 Rimu Street",3,8,4,0,15,1
,"Waikanae Baptist Church, 286 Te Moana Road",5,4,6,4,19,0
,"Waikanae Funeral Home, corner Kapanui Road & Omahi Street",3,4,6,0,13,1
,"Waikanae Primary School Hall, Hira Street",2,10,9,2,23,2
"Waikanae Beach","Waikanae Beach Community Hall, 22A Rauparaha Street",4,10,4,2,20,0
"Waitarere Beach","St Aidan's Anglican Church, 625 Waitarere Beach Road",6,5,1,1,13,0
,Palmerston North
"Awapuni","Awapuni Community Centre, 22 Newbury Street",2,5,15,1,23,0
,"Awapuni School Hall, 18 Rochester Street",10,15,53,10,88,1
"Cloverlea","Cloverlea School Hall, 55 Herbert Avenue",6,18,19,8,51,2
"Highbury","Christian Church of Samoa, 39 Havelock Avenue",8,12,43,8,71,0
,"Somerset Crescent School Hall, 45 Somerset Crescent",8,12,26,7,53,3
,"St Michael's Church Hall, 52 Pembroke Street",18,30,82,13,143,4
"Hokowhitu","College Street Normal School Hall, 402 College Street",9,4,12,2,27,0
,"Hokowhitu School Hall, 227 Albert Street",10,10,14,5,39,2
,"Ryder-Cheshire Centre, 114 Te Awe Awe Street",3,6,1,0,10,0
,"St Alban's Church, 339 Albert Street",2,10,8,2,22,0
,"Winchester School Hall, 552 Ruahine Street",5,7,8,3,23,0
"Kelvin Grove","Cornerstone Christian School, Administration Building, 119 Mihaere Drive",5,22,25,3,55,2
,"Kelvin Grove Community Centre, 68 Kaimanawa Street",12,16,23,6,57,0
"Milson","Milson School Hall, 7 Rutland Place",16,17,37,8,78,2
,"St Peter's College, Gym-Classroom, 22-38 Rennie Avenue",6,12,23,2,43,1
"Palmerston North","Central Normal School Hall, 201 Featherston Street",5,34,35,9,83,3
,"Emmanuel Congregational Church Hall, 43 Victoria Avenue",2,2,2,1,7,2
,"Intermediate Normal School Performing Arts Centre, 31 South Street",1,5,11,2,19,1
,"Palmerston North Girls' High School, Huia Centre, 3 Huia Street,",3,2,3,2,10,0
,"Public Hospital Education Centre Hall, Gate 12, 50 Ruahine Street ",1,3,2,2,8,0
,"Queen Elizabeth College Hall, 350-382 Rangitikei Street",4,5,7,5,21,0
,"Russell Street School Hall, 19-31 Russell Street",3,7,15,2,27,2
,"St Luke's Lutheran Church Hall, corner Church & McGiffert Streets",3,4,6,4,17,0
,"Te Manawa Museum, 326 Main Street",7,8,22,2,39,2
,"The Salvation Army Hall, 431 Church Street",5,7,7,2,21,3
"Parkland","Parkland School Hall, 41 Parkland Crescent",4,6,8,2,20,2
"Riverdale","Riverdale School Hall, 95 Slacks Road",4,10,17,3,34,0
"Roslyn","Roslyn School Hall, 38 Kipling Street",9,8,34,7,58,1
,"Ross Intermediate School Hall, 25 Freyberg Street",4,10,8,3,25,0
"Takaro","Monrad Intermediate School Hall, 228 Botanical Road",8,12,13,0,33,2
,"St Oswald's Church Hall, corner Featherston & Kingswood Streets",8,16,22,5,51,0
,"Takaro School Hall, 24 Brighton Crescent",9,14,42,8,73,1
"Terrace End","Rangiora Community Centre, 98-102 Rangiora Avenue",10,12,40,5,67,3
,"St David's Community Centre, 3 Rainforth Street",4,8,9,5,26,0
,"Terrace End School Hall, 183-209 Ruahine Street",7,23,26,10,66,0
"West End","IHC Day Base, 153 Cook Street",4,7,6,2,19,0
,"West End School Hall, 395-427 Botanical Road",6,16,19,2,43,1
,Rangitīkei
"Ashhurst","Village Valley Community Centre, corner Cambridge Avenue & Guildford Street",14,18,17,1,50,2
"Awahuri","Awahuri Hall, Rural No 1623, State Highway 3",1,3,7,1,12,0
"Bulls","Bulls Scout & Guide Hall, 26 Wilson Street",1,10,8,2,21,1
,"Clifton School, 3 Clifton Street",6,11,22,4,43,1
"Bunnythorpe","Bunnythorpe School, 5 Baring Street",5,4,8,2,19,0
"Cheltenham","Cheltenham School, Cheltenham-Hunterville Highway",2,2,2,0,6,1
"Colyton","Colyton School, 421 Colyton Road",0,5,2,0,7,0
"Feilding","Feilding Intermediate School, 95 East Street",7,13,12,4,36,5
,"Lytton Street School, corner Lytton & Monmouth Streets",8,21,42,13,84,0
,"Manchester St School, 160 Manchester Street",15,17,19,7,58,0
,"North Street School, 52 North Street",14,18,15,7,54,5
,"St Joseph's School Hall, Derby Street",4,8,14,3,29,0
,"St Paul's Presbyterian Parish Hall, corner Church & Grey Streets",23,27,40,8,98,4
"Halcombe","Halcombe Primary School, corner Willoughby & Monteith Streets",3,8,4,0,15,0
,"Stanway Public Hall, Makino Road",0,6,7,0,13,0
"Himatangi Beach","Community Hall, Koputara Road",3,3,7,2,15,0
"Hunterville","Hunterville Consolidated School, 33 Bruce Street",2,8,4,2,16,2
"Kakahi","Kakahi School, Mohio Road",0,2,8,0,10,0
"Linton","Linton Camp School, Puttick Road",4,12,6,6,28,1
"Longburn","Longburn Primary School, Carey Street",1,9,5,0,15,0
"Mangaweka","Mangaweka School, 4 Raumaewa Road",0,4,2,0,6,0
"Marton","James Cook School, 53 Mill Street",1,5,12,4,22,0
,"Marton Junction School, 44-56 Alexandra Street",1,11,39,3,54,2
,"Marton School, Hereford Street",3,5,12,1,21,0
,"St Andrew's Presbyterian Church Hall, Broadway",3,14,24,5,46,1
"Mataroa","Mataroa School, Rongoiti Road",1,3,5,0,9,1
"National Park","National Park School Hall, Carroll Street",3,4,2,0,9,0
"Newbury","Newbury School, 906 Rangitikei Line",1,5,1,0,7,1
"Ngakonui","Ngakonui Valley School, Kauri Room, 826 Taumarunui-Ngapuke Road",1,5,3,1,10,0
"Ohakea","Ohakea War Memorial Hall, corner Speedy & Tangimoana Roads",1,3,0,1,5,1
"Ohakune","Ohakune District Court, Rata Street",3,13,7,4,27,2
,"Ohakune Primary School Hall, 52 Arawa Street",4,9,7,1,21,0
"Oroua Downs","Oroua Downs School, State Highway 1",1,2,3,2,8,3
"Owhango","Owhango School Resource Room, 19 Ohorere Street",1,3,3,2,9,0
"Palmerston North","Massey University, Student Centre Lounge, Concourse, University Drive",3,1,2,1,7,0
"Pohangina","Pohangina Public Hall, Pohangina Road",3,1,3,0,7,0
"Raetihi","Raetihi Primary School Hall, 24 Grey Street",18,47,27,24,116,5
"Ratana","Te Kura O Ratana, Kiatere Street",2,16,121,1,140,0
"Rongotea","Rongotea School, Tyne Street",1,2,3,0,6,0
"Sanson","Sanson School, Wellington Road (State Highway 1)",2,9,14,3,28,1
"Shannon","Shannon School, Grey Street",11,16,60,6,93,1
"Summerhill","Summerset Retirement Village, 166-186 Ruapehu Drive",2,3,4,0,9,0
"Taihape","St Joseph's School Hall, Rauma Road",4,1,5,2,12,0
,"Taihape Town Hall, 90 Hautapu Street",5,19,43,18,85,4
"Tangimoana","Tangimoana School, 19 Punga Street",3,5,2,1,11,0
"Taumarunui","Catholic Church Hall, 14 High Street",2,9,1,2,14,1
,"Manunui School, Room 1, Rata Street",8,18,23,6,55,0
,"Tarrangower School Library, 15 Manson Street",1,8,15,3,27,0
,"Taumarunui & District War Memorial Hall, 149 Hakiaha Street",17,38,56,9,120,2
,"Taumarunui Primary School Hall, Maata Street",7,23,17,2,49,1
,"Te Kura Kaupapa Māori O Taumarunui, 35 Makere Street",8,21,20,2,51,1
"Tokomaru","Tokomaru School, Tokomaru Road",4,6,6,0,16,0
"Turakina","Turakina School, State Highway 3",2,7,18,0,27,0
"Waiouru","Waiouru Community Centre, Queree Drive",4,15,10,2,31,2
"Whangaehu","Whangaehu School, Ruatangata Street",2,6,4,0,12,1
,Taranaki-King Country
"Aria","Aria School, Barclay Road",0,2,8,1,11,2
"Benneydale","Benneydale Community Hall, Maniaiti Street",6,4,5,3,18,1
"Inglewood","Inglewood High School, Kelly Street entrance",1,12,5,1,19,1
,"Inglewood Primary School Library, 33 Kelly Street",4,8,23,6,41,1
"Kihikihi","Kihikihi Town Hall, Lyon Street",3,19,9,8,39,0
"Midhirst","Midhirst Primary School Library, 8 Erin Street",1,1,3,0,5,1
"Mimi","Mimi School, 23 Pukearuhe Road",1,7,0,0,8,1
"Mokau","Mokau Primary School, corner Rangi Street & Aria Terrace",2,6,2,0,10,0
"Ngutunui","Ngutunui School, 400 Ngutunui Road",1,5,10,0,16,0
"Ohura","Ohura Valley School, Ngarimu Street",1,3,3,0,7,0
"Ongarue","Ongarue School, Ongarue Village Road",2,5,5,0,12,0
"Oparau","Oparau Roadhouse, 4370 State Highway 31",0,6,9,2,17,0
"Oparure","Te Kura Kaupapa Māori o Oparure, 308 Oparure Road",1,9,9,5,24,0
"Otorohanga","Otorohanga College, Bledisloe Avenue",7,11,32,5,55,2
,"St John Ambulance Hall, 11 Kakamutu Road",19,38,59,9,125,5
"Piopio","Piopio Primary School, 14 Aria Road",6,14,15,2,37,3
"Pokuru","Pokuru School, 873/2 Pokuru Road",0,5,1,1,7,0
"Pukeatua","Pukeatua School, 2110 Arapuni Road",1,3,3,4,11,0
"Taharoa","Taharoa School, Main Road",5,21,19,2,47,0
"Te Awamutu","Te Awamutu Scout Hall, Scout Lane",0,5,0,2,7,0
"Te Kawa Crossroads","Te Kawa Crossroads Hall, corner State Highway 3 & Te Kawa Road",4,4,4,2,14,1
"Te Kuiti","2 Sheridan Street",15,21,37,10,83,1
,"Centennial Park School, 50 Te Kuiti Road",10,31,49,14,104,3
,"Te Kuiti High School, 21 Hospital Road",7,8,13,1,29,1
,"Te Kuiti Primary School, Rora Street",12,21,35,10,78,1
"Tikorangi","Tikorangi School, 356 Ngatimaru Road",1,7,3,1,12,0
"Tongaporutu","Tongaporutu Hall, Tongaporutu Road",1,2,2,1,6,0
"Urenui","Urenui School, Takiroa Street",5,16,11,5,37,1
"Waitomo Caves","Waitomo School, Hotel Access Road",4,5,4,5,18,0
"Whangamomona","Whangamomona Hall, 6013 State Highway 43",1,1,3,1,6,0
,Taupō
"Arapuni","Arapuni Community Hall, 47 Arapuni Road",2,2,6,0,10,0
"Karapiro","Don Rowland Centre, Mighty River Domain, Gate 2, 601 Maungatautari Road",4,2,2,0,8,0
"Lichfield","Lichfield School and Community Hall, Kells Lane",1,7,2,0,10,0
"Mangakino","Mangakino Senior Citizens Hall, 25 College Street",4,24,25,4,57,1
"Okoroire","Kuranui School, 66 Waiomou Road",1,3,3,1,8,0
"Puketurua","Puketurua Memorial Hall, corner Old Taupo, Huihuitaha & Pearson Roads",3,3,4,0,10,0
"Putaruru","Putaruru Baptist Church Hall, 52 Arapuni Street",7,14,37,10,68,6
,"Putaruru College, 1 Junction Street",1,2,6,1,10,0
,"St Patrick's Hall, 5 McKenzie Street",13,40,25,3,81,0
"Tirau","Tirau War Memorial Hall, 27 Main Road",8,12,16,3,39,2
"Tirohanga ","Tirohanga School, 851 Tirohanga Road",2,12,0,0,14,0
"Tokoroa","Amisfield School, 2 Moffat Road",2,3,6,0,11,1
,"David Henry School, 4-8 Thompson Street",8,16,20,5,49,2
,"St John Ambulance Hall,  62 Logan Street",8,46,36,5,95,0
,"St Luke's Pacific Island Presbyterian Church Hall, corner Maraetai Road & Kelso Street",10,37,38,6,91,5
,"Strathmore School, 27 Strathmore Drive",11,27,17,3,58,4
,"Tainui Full Primary School, 63- 69 Tainui Street",5,29,27,3,64,0
,"Tokoroa Central School, 3 Clyde Street",10,38,23,7,78,1
,"Tokoroa North School, 29 Paraonui Road",5,18,18,3,44,1
"Whakamaru","Whakamaru School, 36 Kaahu Road",0,5,6,0,11,2
,Whanganui
"Aramoho","Aramoho School, 2 Mitchell Street",13,13,54,7,87,5
,"Churton School, Burmah Street",5,13,29,6,53,0
,"Cullinane College, 15 Peat Street",7,10,11,5,33,1
"Brunswick","Brunswick School, 15 Campbell Road",2,2,3,0,7,0
"Castlecliff","Aranui School, 14 Aranui Avenue",7,9,14,7,37,0
,"Castlecliff School, 25 Polson Street",15,53,85,9,162,1
,"St Luke's Church Hall, 34 Manuka Street",16,21,36,6,79,4
,"Te Kura O Kokohuia, 36 Matipo Street",7,24,33,8,72,0
"Eltham"," All Saints Church Hall, 88 King Edward Street",5,6,11,4,26,3
,"Eltham School, 69 Conway Road",3,4,6,2,15,0
"Fordell","Fordell School, Budge Street",1,0,7,1,9,1
"Gonville","Baden Powell Scout Hall, 13 Swiss Avenue",13,22,55,5,95,1
,"St Peters Parish Hall, 72 Koromiko Road",1,11,28,4,44,1
"Hawera","Hawera Bridge Club, 63 Collins Street",0,7,11,1,19,0
,"Hawera High School, 13 Camberwell Road",4,11,6,7,28,1
,"Hawera Hospital, 37 Hunter Street",1,7,2,2,12,1
,"Hawera Primary School, 261 South Road",5,19,20,3,47,0
,"Presbyterian Centre, 35 Argyle Street",12,33,31,6,82,2
,"Ramanui School, 85 Fairfield Road",10,15,33,9,67,2
,"Tawhiti School, Perth Street ",3,9,21,2,35,1
,"Turuturu School, 194 Glover Road",2,10,8,1,21,1
"Kaponga","Kaponga School, 30 Egmont Street",6,6,9,3,24,1
"Manaia","Manaia School, Patukukupa Street ",7,19,30,2,58,3
"Matapu","Matapu School, 495 Hastings Road",2,4,0,0,6,0
"Maxwell","Maxwell Pre-School,1655 State Highway 3 (South Road)",3,4,1,2,10,0
"Mosston","Mosston School, 211 Mosston Road",4,2,6,5,17,1
"Normanby","Normanby School, 3 Hunter Street",12,26,16,4,58,6
"Patea","Patea Old Folks Hall, 139 Egmont Street",16,21,36,5,78,3
"Putiki","Te Kura Kaupapa Māori O Te Atihaunui A Paparangi, 25 Anaua Street",7,35,25,1,68,0
"Rapanui","Rapanui-Mowhanau Community Centre, 4-6 Mowhanau Drive",2,4,1,0,7,0
"Springvale","Faith City Church, 127 Springvale Road",0,12,13,0,25,0
,"Jubilee Stadium, Springvale Park (London Street entrance)",6,13,20,4,43,1
"Stratford","Avon School, Hamlet Street",4,6,7,2,19,0
,"Stratford High School, Swansea Road",2,1,4,0,7,1
,"Stratford Methodist Church Hall, corner Orlando & Regan Streets (opposite New World)",8,15,11,4,38,2
,"Stratford Primary School, Regan Street",2,3,3,0,8,0
"Tawhero","Tawhero School, 27 Totara Street",13,37,56,8,114,5
"Upokongaro","Upokongaro School, State Highway 4",9,36,16,2,63,0
"Waitotara","Waitotara School, Severn Street",4,7,6,2,19,0
"Waverley","Waverley Primary School, Gloag Street",6,19,18,1,44,3
"Westmere","Westmere School, corner Francis & Rapanui Roads",1,5,2,0,8,0
"Whanganui","Carlton School, 99A Carlton Avenue",8,28,32,6,74,1
,"Durie Hill School, 109 Portal Street",5,12,15,0,32,0
,"Keith Street School, 38-46 Keith Street",17,38,44,7,106,4
,"St Andrew's Presbyterian Church, 42 Glasgow Street",4,4,13,2,23,0
,"St John's Hill School, 71 Parkes Avenue",1,1,4,0,6,0
,"Wanganui City College, 84 Ingestre Street",8,15,25,5,53,0
,"War Memorial Centre, Queens Park, Watt Street",4,24,13,3,44,2
"Whanganui East","All Saints Church Hall, 70 Moana Street",14,30,45,10,99,2
,"St Anne's Catholic School, Raine Street",1,6,3,1,11,1
,"Wanganui East School, Patapu Street",8,31,38,7,84,3
,"Voting places where less than 6 votes were taken",36,106,60,18,220,13
,"Ordinary Votes BEFORE polling day",732,1783,2105,556,5176,140
,"Special Votes BEFORE polling day",148,261,306,128,843,26
,"Special Votes On polling day",255,481,591,188,1515,47
,"Overseas Special Votes including Defence Force",40,61,48,25,174,1
,"Te Tai Hauāuru Total",3004,6535,8089,1940,19568,542
,,,,,"Valid Candidate Votes plus Informal Candidate Votes",20110
"Electorate Candidate Valid Votes","Party",,"RURAWHE, Adrian Paki - majority 1554"
"McDONALD, Jack Baxter",Green Party,3004,.1535159444
"McKENZIE, Christopher Owen",Māori Party,6535,.3339636141
"RURAWHE, Adrian Paki",Labour Party,8089,.4133789861
"WINIATA-HAINES, Jordan",MANA Movement,1940,.0991414554
