Electorate Candidate and Party Votes Recorded at Each Polling Place
"Wellington Central 59","Candidate Vote Details"
,,"APPLEBY, Michael George","BROOKES, Grant Donald","CLEMENT, Rebekah Catherine","DARNTON, Bernard Timothy","FRANKS, Stephen Leslie","FRANKS, Donald George","HARNISH, Justin ","KEDGLEY, Susan Jane","MANSELL, Allan Joseph","ROBERTSON, Grant Murray","ROY, Heather Jean","SMITH, Vaughan","SOMERSET, David","WALLIS, Richard Anthony","Total Valid Candidate Votes","Informal Candidate Votes"
,"Wellington Bridge Club, 17 Tinakori Road",7,0,4,0,332,2,1,83,0,262,23,4,4,0,722,3
"Wadestown","St Luke's Centre, 32 Pitt Street",10,1,0,0,626,5,1,112,1,483,34,6,4,1,1284,8
,"Wadestown School, 2 Rose Street",4,0,0,0,184,1,0,44,0,158,8,1,4,0,404,1
"Wellington City","Aro Valley Community Centre, 48 Aro Street",28,7,10,6,292,26,1,322,9,905,18,8,6,4,1642,14
,"Equippers Church, 39 Webb Street",12,3,2,2,161,2,2,139,0,335,7,4,1,1,671,4
,"Michael Fowler Centre, Renouf Foyer, Level 1, 111 Wakefield Street",26,2,7,5,616,8,12,399,6,836,41,16,13,0,1987,9
,"Mount Cook Primary School, 160 Tory Street",10,4,3,0,203,1,0,123,2,282,19,6,1,0,654,2
,"St Andrew's Church Hall, 30 The Terrace",6,1,0,7,317,4,0,113,2,335,29,1,1,0,816,5
,"St John's Church Conference Centre, corner Dixon & Willis Streets",8,3,4,5,224,3,0,111,5,378,17,10,3,0,771,2
,"Te Aro School, 360 The Terrace",3,0,0,1,50,0,1,29,0,91,6,0,1,0,182,3
,"Wellington High School, 249 Taranaki Street",9,1,2,0,107,2,0,107,2,317,8,2,0,1,558,4
,"Wesley Church New Hall, 75 Taranaki Street",9,1,2,0,247,6,0,134,2,293,16,1,5,1,717,5
"Wilton","Cardinal McKeefry School, 66 Albemarle Road",1,1,2,0,118,0,0,26,0,112,8,7,1,1,277,2
,"Otari School, 166 Wilton Road",1,0,0,0,157,2,0,58,1,260,10,1,1,0,491,2
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",1,1,0,0,39,6,0,25,1,51,3,2,2,0,131,7
,"Ordinary Votes BEFORE polling day",16,1,8,1,1548,16,0,467,1,1418,72,22,13,4,3587,12
,"Special Votes BEFORE polling day",6,1,1,0,232,1,0,108,0,210,19,3,0,1,582,7
,"Special Votes On polling day",76,11,16,15,1380,18,5,926,6,1721,116,31,13,5,4339,28
,"Overseas Special Votes including defence force",19,0,3,8,949,3,2,493,2,1036,40,12,4,3,2574,18
,"Wellington Central Total",407,61,106,75,15142,171,46,5971,58,17046,922,226,141,39,40411,229
,,,,,,,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",40640
"Electorate Candidate Valid Votes","Party",,"ROBERTSON, Grant Murray - majority 1904"
"APPLEBY, Michael George",Aotearoa Legalise Cannabis Party,407,.0100715152
"BROOKES, Grant Donald",RAM - Residents Action Movement,61,.00150949
"CLEMENT, Rebekah Catherine",Kiwi Party,106,.0026230482
"DARNTON, Bernard Timothy",Libertarianz,75,.0018559303
"FRANKS, Stephen Leslie",National Party,15142,.3746999579
"FRANKS, Donald George",Workers Party,171,.0042315211
"HARNISH, Justin ",The Republic of New Zealand Party,46,.0011383039
"KEDGLEY, Susan Jane",Green Party,5971,.1477567989
"MANSELL, Allan Joseph",Independent,58,.0014352528
"ROBERTSON, Grant Murray",Labour Party,17046,.4218158422
"ROY, Heather Jean",ACT New Zealand,922,.02281557
"SMITH, Vaughan",United Future,226,.0055925367
"SOMERSET, David",Jim Anderton's Progressive,141,.003489149
"WALLIS, Richard Anthony",Alliance,39,.0009650838
