Electorate Candidate and Party Votes Recorded at Each Polling Place
"Hauraki-Waikato 64","Candidate Vote Details"
,,"GREENSILL, Angeline Ngahina","KARAMAENE, Te Ariki Derek","MAHUTA, Nanaia Cybele","TE MATAKI, Tau Huia","Total Valid Candidate Votes","Informal Candidate Votes"
"Te Uku","Te Uku School, 3436 State Highway 23",3,1,5,0,9,0
"Waharoa","Waharoa School, 32 Ward Street",45,1,32,22,100,8
"Waikaretu","Waikaretu School, 1448 Waikaretu Valley Road",6,0,12,1,19,3
"Waingaro","Waingaro School, 5844 Highway 22",3,0,3,1,7,1
"Waiterimu","Waiterimu School, 166 Waiu Road",4,0,3,0,7,1
"Walton","Walton School, Main Road",2,0,0,4,6,0
"Whitikahu","Whitikahu School, 763 Whitikahu Road",2,0,10,2,14,0
,"Polling places where less than 6 votes were taken",19,4,60,35,118,14
,"Ordinary Votes BEFORE polling day - Taken in Auckland Central",7,0,16,9,32,0
,"Ordinary Votes BEFORE polling day - Taken in Coromandel",27,2,128,46,203,21
,"Ordinary Votes BEFORE polling day - Taken in Hamilton East",92,6,195,46,339,23
,"Ordinary Votes BEFORE polling day - Taken in Hamilton West",87,9,233,65,394,25
,"Ordinary Votes BEFORE polling day - Taken in Hunua",24,2,60,36,122,11
,"Ordinary Votes BEFORE polling day - Taken in Manurewa",15,2,34,11,62,3
,"Ordinary Votes BEFORE polling day - Taken in Papakura",48,3,118,36,205,16
,"Ordinary Votes BEFORE polling day - Taken in Taranaki-King Country",40,3,28,18,89,12
,"Ordinary Votes BEFORE polling day - Taken in Taupō",2,0,16,5,23,0
,"Ordinary Votes BEFORE polling day - Taken in Waikato",40,1,91,16,148,11
,"Special Votes BEFORE polling day",71,2,120,46,239,12
,"Special Votes On polling day",431,26,875,313,1645,83
,"Overseas Special Votes including Defence Force",11,2,26,7,46,1
,"Hauraki-Waikato Total",3816,238,9751,2899,16704,1078
,,,,,"Valid Candidate Votes plus Informal Candidate Votes",17782
"Electorate Candidate Valid Votes","Party",,"MAHUTA, Nanaia Cybele - majority 5935"
"GREENSILL, Angeline Ngahina",Mana,3816,.2284482759
"KARAMAENE, Te Ariki Derek",Nga Iwi,238,.0142480843
"MAHUTA, Nanaia Cybele",Labour Party,9751,.5837523946
"TE MATAKI, Tau Huia",Māori Party,2899,.1735512452
