Electorate Candidate and Party Votes Recorded at Each Polling Place
"Selwyn 47","Candidate Vote Details"
,,"ADAMS, Amy Juliet","COATES, David Andrew","DENNIS, Samuel James","MAIN, Philippa Ruth","ROGERS, Victoria Jane","WATSON, Ivor George","WILLIAMSON, Eleanor Gaye","WOODS, Willliam Edward","Total Valid Candidate Votes","Informal Candidate Votes"
"Lincoln","Lincoln High School, 134 North Belt",802,329,16,49,4,21,5,19,1245,21
,"Lincoln University, George Forbes Building, Ellesmere Junction Road",203,115,6,5,5,3,1,0,338,2
"Little River","NZ Post Agency, Main Road Akaroa Highway",165,197,4,14,0,4,2,12,398,2
"Methven","Mt Hutt College Hall, corner Main & McDonald Streets",5,2,0,0,0,2,0,0,9,0
"Motukarara","Motukarara Community Hall, Park Road",139,60,1,5,0,2,4,5,216,4
"Oaklands","Oaklands School, Cunningham Place",340,313,6,46,2,12,6,8,733,5
"Papanui","Papanui Methodist Church Hall, 68 Harewood Road (corner Chapel Street)",19,7,0,0,0,0,0,0,26,0
"Port Levy","Old Port Levy School, Western Valley Road",25,7,0,2,1,0,0,0,35,0
"Prebbleton","Prebbleton School, Blakes Road",955,395,12,55,4,24,7,18,1470,6
"Rakaia","Rakaia Community Centre, corner Elizabeth Avenue & Mackie Street",53,13,2,2,2,4,0,0,76,1
"Riccarton","Wharenui School, 32 Matipo Street",36,13,0,5,1,4,0,0,59,1
"Rolleston","Rolleston Community Centre, 94 Rolleston Drive",1917,1039,48,99,26,60,25,57,3271,25
"Russley","St Stephen's Methodist Church, 376 Yaldhurst Road",31,12,0,1,0,1,1,1,47,0
"Sheffield","Sheffield School, Wrights Road",177,52,7,11,0,4,3,18,272,2
"Sockburn","Sockburn School, 34 Springs Road",20,2,0,1,1,1,0,0,25,1
"Southbridge","Southbridge School, 25 Hastings Street",441,204,8,16,10,8,8,12,707,8
"Springfield","Tawera Memorial Hall, Main West Coast Road",107,59,2,3,1,1,2,19,194,5
"Springston","Springston Primary School, 16-20 Leeston Road",344,152,7,14,7,5,2,15,546,7
"Springston South","Springston South Soldiers' Memorial Hall, Days Road",130,34,2,4,0,2,0,3,175,0
"Tai Tapu","Tai Tapu School, Main Akaroa Highway",402,137,6,15,1,7,3,6,577,8
"Templeton","Templeton Primary School, 40 Kirk Road",640,472,10,64,10,21,12,17,1246,5
"Weedons","Weedons School, Weedons-Ross Road",416,127,6,8,1,5,2,9,574,6
"West Melton","West Melton School, corner Weedons-Ross Road & Westview Crescent",853,241,20,26,11,24,8,18,1201,8
"Westmorland","Garage, 3 Pentonville Close",399,163,6,20,2,7,7,0,604,6
,"Garage, 68 Penruddock Rise",246,90,1,9,3,6,5,2,362,2
"Windwhistle","Windwhistle School, corner Highway 72 & Rakaia Gorge Road",98,15,5,2,1,4,1,1,127,2
"Yaldhurst","Yaldhurst Memorial Hall, corner Yaldhurst & Pound Roads",383,100,3,17,5,12,3,3,526,6
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",84,60,1,5,0,1,1,5,157,7
,"Ordinary Votes BEFORE polling day",1684,857,20,102,23,30,17,32,2765,22
,"Special Votes BEFORE polling day",210,143,0,16,5,3,4,9,390,10
,"Special Votes On polling day",1300,675,47,86,26,54,23,45,2256,31
,"Overseas Special Votes including defence force",235,108,1,12,2,2,3,22,385,8
,"Selwyn Total",21836,10761,493,1316,253,539,296,603,36097,409
,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",36506
"Electorate Candidate Valid Votes","Party",,"ADAMS, Amy Juliet - majority 11075"
"ADAMS, Amy Juliet",National Party,21836,.6049256171
"COATES, David Andrew",Labour Party,10761,.2981134166
"DENNIS, Samuel James",Family Party,493,.0136576447
"MAIN, Philippa Ruth",Jim Anderton's Progressive,1316,.0364573233
"ROGERS, Victoria Jane",United Future,253,.0070088927
"WATSON, Ivor George",ACT New Zealand,539,.0149319888
"WILLIAMSON, Eleanor Gaye",Kiwi Party,296,.0082001274
"WOODS, Willliam Edward",Independent,603,.0167049893
