Electorate Candidate and Party Votes Recorded at Each Polling Place
"Te Tai Tonga 69","Candidate Vote Details"
,,"KATENE, Rahui Reid","LANGSBURY, Dora Roimata","OKEROA, Mahara","Total Valid Candidate Votes","Informal Candidate Votes"
,"Woolley Street Kindergarten, 63 Woolley Street",9,0,9,18,0
"Bexley","Pipi's Preschool, corner Pages & Bexley Roads",17,3,13,33,0
"Brooklands","Community Centre Hall, 5 Anfield Street",3,0,4,7,0
"Burwood","ABC Learning Centre, 53 Putake Drive",12,3,3,18,0
,"Burwood Christian Centre, 54 Bassett Street",6,2,8,16,2
,"Burwood School Hall, 255 New Brighton Road",19,6,9,34,0
,"Garage, 165 Queensbury Street",4,0,5,9,0
,"Windsor School Hall, 170 Burwood Road",7,6,16,29,0
"Dallington","Banks Avenue School Hall, 71 Banks Avenue",10,2,8,20,0
,"Dallington Scout Group, 3 Halberg Street",7,0,2,9,0
,"St Paul's School, School Hall, 21 Gayhurst Road",11,5,8,24,0
"Kainga","Kainga Public Hall, Kainga Road",1,5,10,16,0
"New Brighton","Central New Brighton School, Roy Stokes Hall, 140 Seaview Road",51,17,38,106,0
"North New Brighton","Freeville School, Room 3, 11 Sandy Avenue",8,3,8,19,0
,"North New Brighton School Hall, 150 Leaver Terrace",20,4,21,45,2
,"Room 123, Korean Catholic Community, 268 Bower Avenue",10,5,9,24,1
,"Section Sales Office, corner Aston Drive & Orlando Crescent",5,2,1,8,1
,"Travis Junction Life Centre, 158 Travis Road",3,1,5,9,0
"Parklands","Parkview School Hall, 10 Chadbury Street",29,6,33,68,0
"Queenspark","Queenspark School Hall, 222 Queenspark Drive",11,3,13,27,2
"South New Brighton","South Brighton Community Centre, 74 Beatty Street",33,15,25,73,0
,"South Brighton Croquet Club Rooms, 132 Union Street",6,3,7,16,0
"Wainoni","Methodist Church Lounge, 878 Avonside Drive",14,3,12,29,0
,"Ottawa Gardens Pre-School, 49 Ottawa Road",7,1,12,20,1
,"Wainoni School Hall, 115 Eureka Street",26,1,11,38,3
,Clutha-Southland
"Arrowtown","Arrowtown Primary School, 9 Chalmers Place",11,8,3,22,2
"Balclutha","Balclutha Information Centre, 4 Clyde Street",6,3,8,17,0
,"Balclutha Primary School Hall, 21 Lanark Street",5,0,7,12,0
,"Balmoral Church Hall, 34 Essex Street",2,0,13,15,0
,"Rosebank School Hall, 21 Frances Street",3,2,8,13,1
"Clinton","Clinton School, 34 Halsey Street",3,1,5,9,0
"Dipton","Dipton School, James Street",4,2,1,7,0
"Frankton","Queenstown Events Centre, 35 Joe O'Connell Drive",11,2,6,19,1
,"St Margarets Church, corner Kawarau Road & Ross Street",11,6,11,28,3
"Gore","Calvin Presbyterian Church Centre, 25 Robertson Street",7,2,8,17,0
,"East Gore School Hall, 3 Wentworth Street",6,3,6,15,2
,"Gore District Court, 6 Hokonui Drive",4,2,9,15,2
,"Gore Main School, School Hall, 39 Ardwick Street",3,1,7,11,3
,"Pipe Band Hall,  27 Hyde Street",5,1,8,14,1
"Kaitangata","Kaitangata School, Salcombe Street",4,2,12,18,0
"Kaka Point","Kaka Point Community Centre, Moana Street",1,0,3,4,2
"Lawrence","St John Rooms, 10 Ross Place",4,0,4,8,1
"Lumsden","Lumsden School, 19 Maria Street",3,2,3,8,0
"Mataura","Mataura School Hall, 33 Oakland Street",24,3,37,64,2
"Milton","Tokomairiro Co-op Parish Hall, 30-34 Union Street",14,4,18,36,1
,"Tokomairiro High School, 238 Union Street",10,1,11,22,3
"Nightcaps","Takitimu Primary School, 17 Evans Street",8,2,3,13,0
"Ohai","Ohai Volunteer Fire Brigade, 61 Birchwood Road",8,1,12,21,1
"Otautau","Otautau School, 17 Elles Road",10,1,3,14,2
"Owaka","Owaka Memorial Community Centre, 3 Ovenden Street",6,1,5,12,1
"Queenstown","Memorial Hall, corner Memorial & Stanley Streets",14,5,17,36,0
,"Queenstown Primary School Hall, Robins Road",3,3,8,14,0
"Riversdale","Riversdale School, 28 Rutland Street",4,0,3,7,0
"Tapanui","Tapanui School, Sussex Street",8,1,8,17,1
"Te Anau","Te Anau School Hall, 167 Milford Road",10,6,8,24,2
"Tuatapere","Tuatapere Community College, 47 Orawia Road",11,2,6,19,1
"Waihola","Waihola & Districts School, 5 Kilgour Street",6,0,1,7,0
"Waikoikoi","Waikoikoi Public Hall, corner State Highway 90 & Koi Flat Road",4,0,2,6,0
"Winton","Central Southland College, Grange Street",9,0,1,10,1
,"Winton Primary School Hall, corner Clyde & Eglinton Streets",5,0,6,11,1
,Dunedin North
"Brockville","Brockville School, 263 Brockville Road",24,3,27,54,2
"Careys Bay","Port Chalmers Fishermen's Co-Op Society Offices, 10 Macandrew Road",2,1,4,7,0
"Dunedin City","Arthur Street School, 26 Arthur Street",9,1,4,14,1
,"Court House, 41 Lower Stuart Street",7,5,7,19,0
,"Dunedin Hospital, 1st Floor Foyer to Lecture Halls, 201 Great King Street",8,7,4,19,0
,"High Street School, 7 Montpellier Street",6,3,8,17,0
,"Salvation Army McMillan Lounge, 575 Princes Street",8,3,10,21,0
"Dunedin North","All Saints Church Hall, 786 Cumberland Street",5,0,1,6,0
,"George Street Normal School, 989 George Street",20,5,12,37,1
,"Knox Church Hall, 453 George Street (corner Pitt Street)",7,4,5,16,0
,"University of Otago (ISB Link East), 630 Cumberland Street",17,6,17,40,0
,"University of Otago College of Education, 141 Union Street",8,1,3,12,0
"Halfway Bush","Halfway Bush Community Hall, 54 Ashmore Street",1,0,9,10,0
"Kaikorai","Kaikorai Presbyterian Church Hall, 127 Taieri Road (corner Nairn Street)",10,4,11,25,1
"Karitane","Karitane Primary School, Coast Road",5,3,4,12,2
"Long Beach","McCurdy Grimman Hall, 22 Driver Street",2,1,3,6,0
"Maori Hill","Coronation Hall, 1 Balmacewen Road",5,2,3,10,0
"Mornington","Mornington School, 34 Elgin Road",11,5,17,33,2
,"Mornington Scout Hall, 66 Argyle Street",9,2,8,19,0
,"St Francis Xavier School, 27 Benhar Street",4,1,4,9,0
"North East Valley","Dunedin North Intermediate School, 34 North Road",10,6,18,34,3
,"North East Valley Baptist Church Hall, 268 North Road",10,2,8,20,1
"Opoho","Opoho School, 96 Signal Hill Road",3,3,4,10,0
"Pine Hill","Pine Hill School, 2 Wilkinson Street",17,6,29,52,0
"Port Chalmers","Port Chalmers School, 30a Albertson Avenue",4,2,4,10,0
,"Port Otago WIC Building, Beach Street",4,0,5,9,0
"Ravensbourne","Ravensbourne Community Hall, 5 Wanaka Street",5,1,8,14,1
"Roslyn","Kaikorai Primary School, 22 Tyne Street",4,0,10,14,0
,"Presbyterian Church Hall, 21 Highgate",1,1,4,6,0
,"Roslyn Baptist Church, 309 Highgate",3,1,5,9,1
"Sawyers Bay","Sawyers Bay School, 99 Stevenson Avenue",4,0,5,9,0
"St Leonards","King George Hall, 29 St Leonards Road",3,1,5,9,0
"Waikouaiti","Waikouaiti Primary School, 6 Malloch Street",6,5,11,22,1
"Waitati","Waitati Primary School, Mt Cargill Road",9,0,4,13,1
"Wakari","Balmacewen Intermediate School, 44 Chapman Street",8,1,7,16,0
,"Wakari School, 150 Helensburgh Road",8,2,9,19,1
"Warrington","Warrington Primary School, 3 Ferguson Street",4,0,3,7,1
,Dunedin South
"Abbotsford","Scout Hall, Abbotsford Road (corner Unsworth Street)",5,1,10,16,0
"Andersons Bay","Presbyterian Church Hall, 76 Silverton Street",9,2,15,26,0
"Brighton","Big Rock School, 2 Bath Street",9,2,8,19,0
"Calton Hill","Calton Hill School Hall, 38 Riselaw Road",15,4,11,30,1
"Caversham","Caversham Presbyterian Church Hall, 61 Thorn Street",16,2,12,30,0
,"Caversham School Hall, 217 South Road",35,6,14,55,2
"Concord","Concord Kindergarten, 93 Mulford Street",2,2,4,8,0
"Corstorphine","Corstorphine Community Centre, 235 Middleton Road",9,5,15,29,3
,"Corstorphine School, 2  Lockerbie Street",4,3,6,13,0
"Fairfield","Fairfield Community Hall, corner Main Road & Fairplay Street",7,0,8,15,1
"Forbury Corner","St Bernadette's School Hall, 16 Forbury Road",3,1,3,7,0
"Green Island","Pipe Band Hall, 186 Main South Road",5,3,12,20,0
,"Plunket Rooms, 189d Main South Road (next to the PostShop)",6,0,9,15,0
"Macandrew Bay","Macandrew Bay School, 488 Portobello Road",3,3,8,14,0
"Middlemarch","Strath Taieri School, 33 Swansea Street",5,1,3,9,0
"Mosgiel","A&P Showgrounds, 320 Gordon Road",3,0,4,7,0
,"Elmgrove School, 74 Argyle Street",10,1,8,19,1
,"Mosgiel Public Library, 7 Hartstonge Avenue",9,3,11,23,1
,"Reid Park Kindergarten, 63 Murray Street",4,0,3,7,0
,"Salvation Army Hall, 4 Lanark Street",4,0,2,6,0
,"Silverstream (South) Primary School, 52 Green Street",5,2,5,12,0
,"St Mary's School Hall, 53 Gordon Road",12,4,10,26,0
"Musselburgh","Baptist Sunday School Hall, 131 Musselburgh Rise",9,1,12,22,1
,"Musselburgh School Library, 34 Marlow Street",6,1,6,13,1
,"Presbyterian Sunday School Hall, 26 Queens Drive",3,1,4,8,0
"Ocean Grove","Tomahawk School, 31 Luke Street",5,1,2,8,0
"Ocean View","Ocean View Public Hall, 812 Brighton Road",8,1,5,14,1
"Otakou","Te Rununga Otakou, Otakou Marae, 45 Tamatea Road",6,7,10,23,0
"Outram","Outram School, 1 Beaumaris Street",3,0,9,12,0
"Portobello","Portobello School, 30 Harrington Point Road",6,2,6,14,0
"South Dunedin","Dunedin South Presbyterian Hall, 393 King Edward Street",5,2,18,25,1
,"Macandrew Intermediate School, 213 Macandrew Road",13,6,9,28,4
,"Methodist Church Hall, 11 Wesley Street",1,2,8,11,0
,"Salvation Army Hall, 190 King Edward Street",10,6,9,25,0
,"St Patrick's Parish Centre, 32 Macandrew Road",6,2,1,9,0
"St Clair","St Clair School Hall, 135 Richardson Street",11,4,7,22,0
"St Kilda","Holy Cross Anglican Church,17 Ajax Street",5,2,2,9,0
"Tainui","Tainui School Hall, 41 Tahuna Road",4,3,2,9,1
"Waldronville","Waldronville School, 5a Vulcan Road",1,0,5,6,1
"Waverley","Otago Sports Car Club Hall, 97 Larnach Road",6,0,4,10,0
,Hutt South
"Alicetown","Hutt Central School, 6 Railway Avenue",20,6,17,43,0
"Avalon","Dyer Street School, Dyer Street",10,2,8,20,0
"Boulcott","Boulcott School, Boulcott Street",11,1,4,16,1
"Days Bay","Wellesley College, Main Road",6,1,4,11,0
"Eastbourne","Muritai School, 160 Muritai Road",6,5,4,15,0
"Epuni","Congregational Christian Church Hall of Samoa, 37 Mitchell Street",17,2,11,30,1
,"Epuni School Hall, 313 Waiwhetu Road",26,3,35,64,0
"Gracefield","Gracefield School, Bell Road",8,3,6,17,0
"Hutt Central","Eastern Hutt School, 83 Kings Crescent",10,2,5,17,0
,"Hutt Hospital, High Street",9,1,5,15,0
,"Hutt Intermediate School, Wilford Street",7,2,6,15,0
,"Hutt Valley High School, 84 Woburn Road",13,5,8,26,1
,"Knox Presbyterian Church Hall, 574 High Street",10,2,1,13,0
,"St Bernard's College, 183 Waterloo Road",11,1,8,20,2
,"Sts. Peter and Paul School, Myrtle Street",5,0,8,13,0
"Moera","Randwick School, Randwick Road",43,10,47,100,4
"Petone","Air Training Corps Drill Hall, 2a Udy Street",14,3,8,25,1
,"Petone Central School, 16 Britannia Street",58,9,48,115,2
,"Wilford School, William Street",44,2,43,89,3
"Waiwhetu","Our Lady of the Rosary School, Wainui Road",15,5,14,34,1
,"St Paul's Parish Hall, 76 Waiwhetu Road",11,2,9,22,0
,"Waiwhetu Marae Meeting House, Puketapu Grove",69,3,55,127,2
"Waterloo","Waterloo School, Hardy Street",22,6,27,55,0
,Ilam
"Avonhead","Avonhead Kindergarten, 49 Staveley Street",2,0,4,6,0
,"Avonhead Primary School Hall, 55 Avonhead Road",6,1,5,12,1
,"Merrin School Hall, 41 Merrin Street",6,3,3,12,0
,"St Christopher's Anglican Church, Warren Hall, 244 Avonhead Road",3,0,4,7,1
,"St Mark's Presbyterian Church, Sports Hall, 150 Withells Road",4,0,3,7,0
"Bishopdale","Bishopdale School Hall, 465 Greers Road",9,1,7,17,0
,"Breens Intermediate School Hall, 85 Breens Road",12,2,15,29,3
,"CCS Disability Action, corner Farrington Avenue & Kilburn Street",11,4,8,23,0
,"Cotswold School, 44 Cotswold Avenue",20,3,20,43,4
,"Isleworth School Hall, 59a Farrington Avenue",5,0,6,11,1
,"Reformed Church of Bishopdale, Church Hall, 90 Highsted Road",3,0,4,7,0
"Bryndwr","Aorangi School Temporary Hall, 36 Colwyn Street",8,0,1,9,2
,"St Matthew's Church Main Hall, 108 Jeffreys Road",3,4,2,9,0
,"St Stephen's Presbyterian Church Hall, corner Ilam & Aorangi Roads",10,1,17,28,0
,"Wairakei School Hall, 250 Wairakei Road",14,2,7,23,1
"Burnside","Burnside Elim Community Church, 193 Grahams Road",11,0,4,15,1
,"Burnside High School, J Block, 180 Memorial Avenue",3,0,4,7,1
,"Kendal School Hall, 53 Kendal Avenue",8,1,5,14,0
,"Roydvale School Hall, 117 Roydvale Avenue",6,1,4,11,0
"Fendalton","Christchurch Boys' High School, Big Room, Straven Road at Te Kura Street",7,2,2,11,0
,"Fendalton Open Air School, Staff Room, 168 Clyde Road",7,1,5,13,0
,"Medbury School Hall, corner Clyde & Creyke Roads",8,2,3,13,0
,"St Barnabas Church Hall, corner Fendalton Road & Tui Street",1,0,4,5,1
"Ilam","Ilam School Hall, 66 Ilam Road",16,4,11,31,0
,"Westburn School Hall, 257 Waimairi Road",2,2,3,7,0
"Merivale","Heaton Intermediate School, Centre for Performing Arts Foyer, 125-133 Heaton Street",10,1,6,17,1
,"Rangi Ruru Girls' School, Dodds Common Room, 59 Hewitts Road",7,4,4,15,0
"Papanui","St Paul's Anglican Church Parish Hall, 1 Harewood Road",3,1,3,7,0
,"Waimairi School Hall, 1 Tillman Avenue",8,0,7,15,0
"Riccarton","St Ninian's Presbyterian Church Hall, 9 Puriri Street",3,2,4,9,1
"Upper Riccarton","Villa Maria College Hall, Brodie Street entrance",8,3,3,14,0
,Invercargill
"Bluff","Bluff Community School, 39 Bradshaw Street",28,3,66,97,8
,"St Teresa's School, 181 Foyle Street",19,2,25,46,2
"Brydone","Brydone Hall, 12 Brydone-Glencoe Road",2,0,5,7,0
"Edendale","Edendale School, 24 Salford Street",5,1,5,11,0
"Gorge Road","Gorge Road School, 4 Factory Road",3,0,1,4,2
"Invercargill","Ascot Community School, 580 Tay Street",14,1,20,35,1
,"Aurora College, 234 Regent Street",18,4,28,50,0
,"Clifton Salvation Army Hall, 109 Wicklow Street",17,2,36,55,4
,"Donovan Primary School, 200 Drury Lane",12,3,22,37,2
,"Eastside Baptist Church, corner Glengarry Crescent & Yarrow Street",13,4,16,33,4
,"Elles Road Bible Chapel, 198 Earn Street",25,3,22,50,0
,"Fernworth School, 288 Pomona Street",31,6,46,83,4
,"Freedom Community Centre, 85 Adamson Crescent",4,0,11,15,2
,"Gladstone Scout Hall, corner Holywood Terrace & Russell Street",6,0,5,11,0
,"Grasmere Kindergarten, 10 Heywood Street",12,3,6,21,0
,"Holy Trinity Anglican Church Hall, 61 King Street",9,3,11,23,0
,"Invercargill Middle School Hall, 31 Jed Street",5,3,6,14,1
,"Invercargill Public Library, 50 Dee Street",8,4,10,22,0
,"James Hargest College Junior Campus, 6 Layard Street",6,0,7,13,2
,"James Hargest College Senior Campus, 288 Layard Street",4,1,4,9,0
,"Kew Kindergarten, 51 Selwyn Street",11,0,10,21,0
,"Knox Presbyterian Church Hall, 107 Pomona Street",12,4,17,33,1
,"Lindisfarne Kindergarten, 34 Mitchell Street",10,1,7,18,2
,"New River School, 117 Elizabeth Street",9,2,15,26,1
,"Newfield Park School, 82 Wilfrid Street",16,2,13,31,4
,"Rosedale Gospel Chapel, 212 Bourke Street",7,1,4,12,1
,"Salford School Hall, 110 Lamond Street",4,1,5,10,1
,"Southland Girls' High School Hall, 328 Tweed Street",8,3,22,33,0
,"St Andrew's Youth Centre, 141 Manse Street",17,4,28,49,3
,"St John's Girls' School, 349 Dee Street",5,2,6,13,0
,"St John's Parish Hall, 108 Tay Street",8,1,6,15,1
,"St Joseph's School, 70 Eye Street",10,4,17,31,0
,"St Stephen's Church Hall, 290 North Road",8,2,12,22,0
,"Te Wharekura O Arowhenua, 734 Tweed Street",59,3,33,95,2
,"Waihopai School Hall, 121 Herbert Street",7,2,8,17,1
,"Waverley Park School, 55 Eden Crescent",4,1,4,9,0
,"Windsor Community Church (Presbyterian), 19 Windsor Street",7,4,6,17,0
,"Windsor North School Hall, corner Windsor & Chelmsford Streets",5,1,8,14,0
"Kennington","Kennington Public Hall, 21 Rimu Road",4,0,2,6,0
"Makarewa","Makarewa School, 56 Flora Road East",2,0,6,8,1
"Orepuki","Orepuki and Districts Community Centre, 32 Oldham Street",1,1,2,4,2
"Otatara","Otatara Community Hall, 146 Dunns Road",18,3,12,33,0
"Riverton","Riverton Primary School Hall, 7 Leader Street",28,6,25,59,2
"Stewart Island","Halfmoon Bay School, 6 Ayr Street",3,3,4,10,2
"Tisbury","Tisbury School, 3 Boundary Road",6,1,5,12,0
"Wallacetown","Wallacetown School, 34 Mauchline Street",0,0,6,6,0
"Wyndham","Wyndham Primary School, 40 Florence Street",9,2,11,22,0
,Kaikoura
"Amberley","Amberley School, Lawcocks Road",3,0,2,5,1
,"Hurunui District Council, 66 Carters Road",8,2,7,17,1
"Blenheim","Baptist Church Hall, 8 Beaver Road",5,0,2,7,0
,"Bohally Intermediate School Hall, 37-49 McLauchlan Street",8,1,10,19,0
,"Bright Centre, 2 Dillons Point Road",7,1,6,14,0
,"Marlborough Boys' College Hall, 5 Stephenson Street",28,6,18,52,4
,"Mayfield School Hall, 81 Hutcheson Street",17,2,16,35,1
,"Nativity Anglican Church Hall, 76 Alfred Street",4,2,10,16,1
,"NMIT Marlborough Campus, Block E, 85 Budge Street",11,5,25,41,2
,"Redwoodtown School, 88-92 Cleghorn Street",28,3,29,60,4
,"Salvation Army Hall, 35 George Street",4,2,9,15,0
,"Springlands School Hall, corner Murphys Road & Aston Street",15,1,8,24,0
,"St Mark's Hobbies Room, 61 Main Street",3,1,6,10,0
,"St Ninian's Church Hall, corner Alabama Road & Riley Crescent",5,2,12,19,1
,"Whitney Street School Hall, Whitney Street",13,6,14,33,1
,"Witherlea Kindergarten, 18 Alana Place",7,0,2,9,0
,"Witherlea School Hall, 214-220 Weld Street",8,1,5,14,1
"Canvastown","Canvastown School, 5044 State Highway 6",2,1,4,7,1
"Cheviot","Cheviot Area School Community Hall, Caverhill Road",3,1,6,10,0
"Culverden","Amuri Area School, 19 School Road",3,4,5,12,1
"Fairhall","Fairhall School Library, New Renwick Road",3,0,5,8,2
"Hanmer Springs","Hanmer Springs School, 6 Cheltenham Street",6,1,2,9,0
"Hapuku","Hapuku School, State Highway 1",11,0,1,12,0
"Havelock","Havelock School, Lawrence Street",9,3,10,22,0
"Kaikoura","Kaikoura High School, Ludstone Road",10,4,17,31,0
,"Kaikoura Suburban School, Schoolhouse Road",2,0,3,5,2
,"St John's Ambulance Hall, 116 Beach Road",15,1,11,27,0
,"St Peter's Anglican Church Hall, 33 Torquay Street",21,4,24,49,1
"Koromiko","Koromiko School, 743 State Highway 1",4,0,3,7,0
"Leithfield","Leithfield School, Old Main Road",3,1,3,7,0
"Linkwater","Linkwater School, 1357 Queen Charlotte Drive",7,0,0,7,1
"Picton","Little Theatre, 9 Dublin Street",18,3,19,40,2
,"Picton School, corner Buller & Kent Streets",19,1,13,33,3
,"Queen Charlotte College, 173 Waikawa Road",10,2,8,20,0
"Rai Valley","Rai Valley Area School, Community Library, State Highway  6",3,0,3,6,0
"Rarangi","Rarangi Community Centre, 252 Rarangi Beach Road",2,2,2,6,0
"Renwick","Renwick Community Hall, 27 High Street",15,5,10,30,3
"Riverlands","Riverlands Hall, corner Alabama & School Roads",1,1,5,7,0
"Seddon","Seddon School, Marama Road",6,2,10,18,0
"Spring Creek","Spring Creek School, 52 Ferry Road",17,5,17,39,0
"Tuamarina","Tuamarina School, Bush Road",4,0,6,10,1
"Waiau","Waiau School, 14 Montrose Street",3,2,3,8,0
"Waikawa Bay","Waikawa Bay School, 282 Waikawa Road",19,1,5,25,1
"Waitaria Bay","Waitaria Bay School, 5668 Kenepuru Road",5,1,0,6,2
"Ward","Ward School, 63 Duncan Street",3,2,1,6,0
"Woodbourne","RNZAF Family Centre, Caldwell Road",6,3,4,13,0
,Nelson
"Atawhai","Clifton Terrace School Hall, 888 Atawhai Drive",10,6,4,20,1
"Brightwater","Brightwater School, 106 Ellis Street",5,0,5,10,0
"Hope","Hope School, Paton Road",3,2,3,8,1
"Nelson","Athletics Nelson Club Rooms, Pioneer Park, Hastings Street",21,5,15,41,2
,"Auckland Point School, 111 Haven Road",12,4,15,31,2
,"Court House, 200 Bridge Street",16,3,11,30,1
,"Grove Street Kindergarten, 50a Grove Street",14,0,13,27,0
,"Hampden Street School, 250 Hampden Street",9,4,4,17,0
,"Masonic Hall, 109 Nile Street",11,3,12,26,1
,"Nelson Intermediate School, 112 Tipahi Street",14,2,18,34,1
,"Salvation Army Hall, 57 Rutherford Street",10,2,6,18,1
,"Victory School Community Centre, Totara Street",42,10,29,81,2
"Richmond","Garin College, 35 Champion Road",4,0,3,7,1
,"Richmond Athletic Soccer Club Room, Gladstone Road",3,2,5,10,0
,"Richmond School Community Hall, Cambridge Street",14,1,1,16,1
,"Tasman District Council Office, 189 Queen Street",9,2,10,21,1
,"Waimea Intermediate School, 48 Salisbury Road",8,0,7,15,0
"Stoke","Birchwood School, Durham Street",5,0,4,9,1
,"Broadgreen Intermediate School, 193 Nayland Road",28,2,18,48,4
,"Stoke Memorial Hall, 548 Main Road",18,8,8,34,4
,"Stoke School, 601 Main Road",43,2,30,75,1
"Tahunanui","Church of Christ Hall, 29 Parkers Road",8,1,13,22,2
,"Tahunanui School, 69 Muritai Street",22,5,18,45,1
,"The Sands, Shop 6, 623 Rocks Road",3,0,4,7,0
"Wakatu","Enner Glynn School, 10 The Ridgeway",14,0,9,23,1
,Ohariu
"Chartwell","Crofton Downs Primary School Hall, 1 Chartwell Drive",5,2,6,13,0
"Churton Park","Churton Park School, 90 Churton Drive",15,2,11,28,2
"Johnsonville","Broderick Road Chapel, 17 Broderick Road",18,7,28,53,1
,"Johnsonville School Hall, 8 Morgan Street",27,5,17,49,1
,"Onslow College Hall, Burma Road",43,4,14,61,0
,"West Park School Hall, Broderick Road",20,1,8,29,0
"Khandallah","Cashmere Avenue School, 110 Cashmere Avenue",11,1,10,22,0
,"Onslow Community Church, 4 Ngatoto Street",3,1,3,7,0
,"Presbyterian Church Hall, 35 Ganges Road",16,0,9,25,0
"Korokoro","Korokoro School, 79 Korokoro Road",3,1,5,9,0
"Newlands","Bellevue School Hall, 12 Bancroft Terrace",29,3,21,53,2
,"Newlands Paparangi Tennis Club, 26 Black Rock Road",6,1,11,18,0
,"Newlands School Hall, 200 Newlands Road",32,1,29,62,0
,"Rewa Rewa School Hall, 4 Padnell Crescent",14,0,7,21,0
"Ngaio","Ngaio Town Hall, 1 Ottawa Road",20,4,17,41,2
"Paparangi","Paparangi School Hall, 59 Beazley Avenue",19,3,15,37,0
,Port Hills
"Addington","Kidsfirst Kindergarten, 366 Selwyn Street",12,3,10,25,0
"Beckenham","Beckenham School, 71 Sandwich Road",9,6,7,22,0
,"St Peter's Parish Centre, 11a Fisher Avenue",3,1,4,8,0
,"Thorrington School Hall, 22a Colombo Street South",3,3,6,12,0
"Bromley","Bromley School, 33 Keighleys Road",26,5,32,63,2
"Cashmere","Cashmere Masonic Centre, corner Dyers Pass & Hackthorne Roads",3,1,2,6,0
,"Landsdowne Community Centre, 8 Landsdowne Terrace",5,2,4,11,0
,"Princess Margaret Hospital, 97 Cashmere Road, Entrance 4",5,1,2,8,1
"Cass Bay","Navy League, TS Steadfast, 64 Governors Bay Road",13,1,5,19,0
"Heathcote Valley","Heathcote Valley School, 67 Bridle Path Road",10,5,9,24,1
"Huntsbury","Huntsbury Community Centre, 30h Huntsbury Avenue",7,0,2,9,0
"Linwood","Linwood Avenue School, 260 Linwood Avenue",40,7,38,85,4
