Electorate Candidate Votes Recorded at Each Voting Place
"Te Tai Tonga 70","Candidate Vote Details"
,,"BEYER, Georgina","BUTTON, Ngaire Lorraine","KINGI, Emma-Jane Mihaere","LANGSBURY, Dora Roimata","SAWYERS, Jason Paul","TIRIKATENE, Rino","Total Valid Candidate Votes","Informal Candidate Votes"
,"Waitakiri School Community Hall, 170 Burwood Road",0,3,2,1,0,1,7,0
,"Waitakiri School, 255 New Brighton Road",1,9,1,5,0,10,26,1
"Dallington","Banks Avenue School, 71 Banks Avenue",0,2,0,4,0,9,15,0
"Kainga","Kainga Public Hall, Kainga Road",0,8,0,3,0,7,18,0
"Linwood","St Chad's Anglican Church Hall, corner Carnarvon Street & Buckleys Road",1,7,2,3,0,14,27,0
"Marshland","Marshland School, 329 Prestons Road",0,4,0,2,0,3,9,0
"New Brighton","Central New Brighton School, Roy Stokes Hall, 140 Seaview Road",4,19,2,21,0,32,78,0
"North Linwood","Linwood North School, 221 Woodham Road (Rowcliffe Crescent entrance)",4,7,3,10,0,31,55,1
"North New Brighton","Freeville School, 11 Sandy Avenue",1,3,2,5,1,13,25,0
,"North New Brighton School, 150 Leaver Terrace",3,10,6,9,0,20,48,0
"Ouruhia","Ouruhia School Library, 21 Turners Road",0,1,1,2,0,2,6,0
"Parklands","Parkview School Hall, 10 Chadbury Street",6,15,2,8,0,22,53,0
"Queenspark","Queenspark School Hall, 222 Queenspark Drive",0,8,3,7,1,11,30,0
"Richmond","Kidsfirst Richmond Kindergarten, 41 North Avon Road",1,5,3,3,0,9,21,0
"Shirley","MacFarlane Park Free Kindergarten, 19 Acheson Avenue",3,8,0,5,0,27,43,0
,"Shirley Intermediate School, 60 Shirley Road (North Parade entrance)",1,11,2,8,1,18,41,1
,"Shirley Primary School, 11 Shirley Road",4,10,2,6,1,13,36,0
"South New Brighton","South New Brighton School, 166 Estuary Road",1,9,3,10,0,16,39,0
"Wainoni","Ottawa Gardens Pre-School, 49 Ottawa Road",0,3,2,1,0,6,12,0
,"Wainoni School, 115 Eureka Street",1,4,1,3,0,4,13,0
,Clutha-Southland
"Arrowtown","Arrowtown Primary School, 9 Chalmers Place",2,4,0,4,0,4,14,1
"Balclutha","Balclutha Balmoral Veterinary Service Hall, 34 Essex Street",1,1,0,2,0,5,9,0
,"Rosebank School Hall, 21 Frances Street",2,2,1,0,0,7,12,0
,"Somerville Lounge, Town Hall, Clyde Street",1,1,2,2,0,4,10,0
"Clinton","Clinton School, 34 Halsey Street",1,3,3,0,1,4,12,0
"Frankton","Queenstown Events Centre, 35 Joe O'Connell Drive",0,5,0,1,0,3,9,1
,"St Margaret's Church, corner Kawarau Road & Ross Street",3,5,3,4,1,13,29,0
"Gore","Calvin Community Church , 25 Robertson Street",2,3,0,0,0,10,15,1
,"East Gore School Hall, 3 Wentworth Street",0,8,1,3,0,7,19,2
,"Gore District Court, 6 Hokonui Drive",3,2,1,2,0,9,17,0
,"Gore Main School, School Hall, 39 Ardwick Street",4,3,1,3,0,6,17,1
,"Rachel's Studio of Dance (formerly Pipe Band Hall), 27 Hyde Street",1,3,2,1,1,6,14,2
"Kaitangata","Kaitangata School, Salcombe Street",1,1,1,3,1,8,15,1
"Kaka Point","Kaka Point Community Centre, Moana Street",0,1,1,1,1,2,6,0
"Lawrence","St John Rooms, 10 Ross Place",0,5,1,1,0,4,11,1
"Lumsden","Lumsden School, 19 Maria Street",1,4,0,2,1,4,12,0
"Mataura","Mataura School Hall, 33 Oakland Street",4,13,5,6,0,25,53,9
"Milton","Tokomairiro Co-op Parish Hall, 30-34 Union Street",2,3,2,7,0,16,30,2
,"Tokomairiro High School, 238 Union Street",5,3,3,6,0,15,32,1
"Nightcaps","Takitimu Primary School, 17 Evans Street",2,3,2,4,0,4,15,1
"Ohai","Ohai Volunteer Fire Brigade, 61 Birchwood Road",2,7,0,2,2,9,22,1
"Otautau","Otautau School, 17 Elles Road",0,6,2,1,0,6,15,2
"Owaka","Owaka Memorial Community Centre, 3 Ovenden Street",0,3,1,3,0,2,9,0
"Queenstown","Queenstown Memorial Hall, corner Memorial & Stanley Streets",5,8,7,5,1,4,30,0
,"Queenstown Primary School Hall, 20 Robins Road",5,2,0,0,0,0,7,1
"Riversdale","Riversdale School, 28 Rutland Street",0,3,0,0,0,4,7,0
"Stirling","Stirling School, corner Baker & Boyd Streets",0,0,0,2,0,1,3,3
"Tapanui","Tapanui School, 14a Sussex Street",3,6,0,2,1,5,17,2
"Te Anau","Te Anau School Hall, 167 Milford Road",0,6,4,2,0,1,13,1
"Tuatapere","Tuatapere Waiau Area School, 47 Orawia Road",2,2,2,1,0,10,17,2
"Waihola","Waihola & Districts School, 5 Kilgour Street",2,3,0,2,0,2,9,1
"Winton","Central Southland College, corner Grange & Mackenzie Streets",0,4,1,1,0,5,11,0
,"Winton Primary School Hall, 16 Eglinton Street",1,2,0,0,1,3,7,1
,Dunedin North
"Brockville","Brockville School, 263 Brockville Road",6,7,1,14,0,17,45,0
"Dunedin City","Age Concern Otago, Lower Octagon (beside Moran Building)",1,7,0,1,0,2,11,0
,"Arthur Street School, 26 Arthur Street",2,0,0,3,0,2,7,0
,"Dunedin Hospital, 1st Floor Foyer to Lecture Halls, 201 Great King Street",1,4,0,3,0,8,16,0
,"Salvation Army McMillan Lounge, 575 Princes Street",0,2,2,6,0,7,17,1
"Dunedin North","All Saints Church Hall, 786 Cumberland Street",2,4,0,4,0,5,15,0
,"George Street Normal School, 989 George Street",1,5,0,3,0,6,15,0
,"Knox Church Hall, 453 George Street ",2,4,1,3,0,2,12,0
,"University of Otago College of Education, 141 Union Street",0,3,0,2,0,3,8,0
,"University of Otago, ISB Link East, 630 Cumberland Street",0,4,0,5,0,5,14,1
,"University of Otago, ISB Link West, 630 Cumberland Street",0,2,0,5,0,4,11,0
"Halfway Bush","Halfway Bush Community Hall, 54 Ashmore Street",3,3,0,5,0,11,22,0
"Hampden","Hampden Primary School, 41-47 Norwich Street",1,0,1,2,0,2,6,0
"Kaikorai","Kaikorai Presbyterian Church Hall, 127 Taieri Road ",2,5,2,4,1,9,23,1
"Karitane","Karitane Primary School, 179 Coast Road",3,0,0,3,0,6,12,0
"Maori Hill","Coronation Hall, 1 Balmacewen Road",3,4,1,4,0,1,13,0
"Moeraki","Coronation Hall, 41 Haven Street",0,0,0,1,0,5,6,1
"Mornington","Mornington School, 34 Elgin Road",3,9,3,9,0,12,36,1
,"Mornington Scout Hall, 66 Argyle Street",6,1,1,2,0,4,14,0
,"St Francis Parish Centre, 27 Benhar Street",0,2,0,1,0,3,6,0
"North East Valley","Dunedin North Intermediate School, 34 North Road",4,4,1,5,0,13,27,0
,"North East Valley Normal School, 248 North Road",0,4,0,6,0,7,17,0
"Opoho","Opoho School, 96 Signal Hill Road",1,3,0,2,0,5,11,0
"Palmerston","East Otago High School, 3 Stour Street",2,2,0,2,0,8,14,0
"Pine Hill","Pine Hill School, 11 Hislop Street",4,6,3,9,0,13,35,0
"Port Chalmers","Port Chalmers Town Hall, 1 Grey Street",1,1,1,4,0,3,10,0
"Ravensbourne","Ravensbourne Fire Station, 243 Ravensbourne Road",3,2,0,1,0,4,10,0
"Roslyn","Roslyn Kindergarten, 69 Highgate",2,2,0,1,0,3,8,0
"Sawyers Bay","Sawyers Bay School, 99 Stevenson Avenue",0,0,2,0,0,9,11,0
"Waikouaiti","East Otago Events Centre, 203 Main Road",1,2,1,3,0,10,17,1
"Waitati","Waitati Blueskin Bay Library, 28 Harvey Street",0,3,1,4,0,5,13,1
"Wakari","Balmacewen Intermediate School, 44 Chapman Street",2,1,1,0,0,2,6,0
,"Wakari School, 150 Helensburgh Road",2,8,0,5,1,4,20,1
,Dunedin South
"Abbotsford","Community Hall, 72 North Taieri Road",2,3,3,3,0,6,17,0
,"Scout Hall, corner Abbotsford Road & Unsworth Street",2,3,3,3,0,6,17,0
"Brighton","Big Rock School, 2 Bath Street",0,8,0,5,0,4,17,0
"Calton Hill","Carisbrook Heights (previously known as Calton Hill Community Hall), 38 Riselaw Road",2,0,1,1,0,8,12,0
"Caversham","Carisbrook Main School (previously known as Caversham School), 217 South Road",7,13,5,7,1,21,54,1
"Concord","Concord School, 5 Thoreau Street",3,4,1,3,0,10,21,0
"Corstorphine","Corstorphine Community Hall, 235 Middleton Road",2,3,2,7,0,16,30,0
"Fairfield","Fairfield Community Hall, corner Main Road & Fairplay Street",0,6,0,3,0,7,16,1
"Forbury Corner","St Bernadette's School Hall, 16 Forbury Road",1,1,0,2,0,5,9,3
"Green Island","Otago School of Piping and Drumming, 186 Main South Road",1,5,1,2,0,14,23,1
,"The Landmark Baptist Lighthouse, 222 Main South Road",1,8,3,11,0,15,38,1
"Macandrew Bay","Macandrew Bay School, 488 Portobello Road",1,2,0,3,0,4,10,1
"Mosgiel","Elmgrove School, 74 Argyle Street",0,5,1,3,0,5,14,0
,"Mosgiel Abilities Resource Centre, 16 Green Street",0,0,1,0,0,5,6,2
,"Mosgiel Coronation Hall, 97 Gordon Rd",0,2,3,3,0,4,12,0
,"Reid Park Kindergarten, 63 Murray Street",1,2,0,1,0,5,9,1
,"Senior Citizen's Hall, 5a Hartstonge Avenue (next to Mosgiel Library)",1,4,3,2,1,10,21,0
,"Silverstream (South) Primary School, 52 Green Street",2,1,0,1,0,4,8,0
"Musselburgh","Musselburgh Baptist Church, 131 Musselburgh Rise",3,9,2,8,0,15,37,0
,"Musselburgh School Library, 34 Marlow Street",1,3,0,0,0,7,11,1
,"Presbyterian Sunday School Hall, 26 Queens Drive",2,4,1,6,0,6,19,0
"Ocean View","Ocean View Public Hall, 812 Brighton Road",0,3,0,3,0,7,13,0
"Otakou","Te Rununga Otakou, Otakou Marae, 45 Tamatea Road",3,3,2,5,1,12,26,0
"Outram","Outram School, 1 Beaumaris Street",0,2,1,0,0,5,8,1
"Portobello","Portobello School, 30 Harrington Point Road",1,3,1,8,0,7,20,0
"South Dunedin","Bathgate Park School, 213 Macandrew Road",1,3,2,0,0,8,14,1
,"Dunedin South Presbyterian Hall, 393 King Edward Street",3,3,0,4,0,10,20,0
,"Edgar Sports Centre, corner Portsmouth Drive & Teviot Street",0,4,0,2,0,4,10,0
,"Methodist Church Hall, 11 Wesley Street",0,3,0,6,1,8,18,0
,"Nations Christian Church, 334 King Edward Street ",5,6,5,7,0,16,39,0
,"St Patrick's Community Centre, 42 Macandrew Road",0,0,5,3,0,5,13,0
"St Clair","St Clair School Hall, 87 Albert Street",3,4,1,3,0,10,21,0
,"Vintage Car Club, 125 Forbury Road",0,1,0,2,0,5,8,0
"St Kilda","Dunedin Ice Stadium, 101 Victoria Road",0,3,1,1,0,5,10,0
,"Holy Cross Anglican Church,17 Ajax Street",0,1,0,3,1,7,12,1
"Tainui","Tainui School Hall, 41 Tahuna Road",1,6,0,2,0,8,17,0
"Waverley","Grants Braes School, 137 Belford Street",2,5,1,0,0,5,13,1
"Wingatui","Wingatui Hall, 270 Gladstone Road North",0,3,0,1,0,2,6,0
,Hutt South
"Alicetown","Hutt Central School, 6 Railway Avenue",2,3,2,5,0,10,22,1
"Avalon","Dyer Street School, 59 Dyer Street",2,5,1,4,0,4,16,0
"Boulcott","Boulcott School, 9 Boulcott Street",0,8,0,3,0,4,15,0
"Eastbourne","Muritai School, 160 Muritai Road",2,6,0,1,0,4,13,0
"Epuni","Congregational Christian Church Hall of Samoa, 37 Mitchell Street",3,4,4,1,0,7,19,1
,"Epuni School Hall, 313 Waiwhetu Road",4,11,2,7,0,25,49,2
"Gracefield","Gracefield School, 20A Bell Road",4,6,0,3,0,4,17,2
"Hutt Central","Eastern Hutt School, 83 Kings Crescent",2,0,0,3,0,8,13,0
,"Hutt Hospital, 640 High Street",1,2,1,2,0,3,9,0
,"Hutt Intermediate School, 7 Kauri Street",0,4,0,2,0,3,9,0
,"Hutt Valley High School, 84 Woburn Road",3,8,0,6,0,9,26,1
,"Knox Presbyterian Church Hall, 574 High Street",3,6,0,1,0,3,13,0
,"St Bernard's College, 183 Waterloo Road",0,0,1,2,0,6,9,0
,"Sts Peter and Paul School, Myrtle Street",2,7,0,1,0,6,16,0
"Korokoro","Korokoro School Hall, 79 Korokoro Road",2,3,0,2,0,3,10,0
"Moera","Randwick School, 59 Randwick Road",7,15,6,13,2,31,74,1
"Petone","Petone Central School, 16 Britannia Street",13,12,6,8,0,28,67,1
,"St Augustine's Cub Group Hall, 71 Udy Street",1,7,0,1,0,10,19,0
,"Wilford School, 100 William Street",3,14,0,4,0,22,43,0
"Waiwhetu","Our Lady of the Rosary School, 12 Wainui Road",1,2,3,3,0,6,15,1
,"St Paul's Parish Hall, 76 Waiwhetu Road",2,5,1,3,0,13,24,0
,"Waiwhetu Marae Meeting House, 4 Puketapu Grove",15,16,4,3,0,62,100,1
"Waterloo","Waterloo School, 26 Hardy Street",4,7,2,3,0,15,31,1
,Ilam
"Avonhead","Avonhead Primary School Hall, 55 Avonhead Road",0,5,0,2,0,4,11,0
,"Merrin School Hall, 41 Merrin Street",2,3,0,6,0,6,17,1
,"St Mark's Presbyterian Church, 150 Withells Road",0,3,2,1,0,1,7,0
"Bishopdale","Bishopdale School Hall, 465 Greers Road",1,8,0,0,1,13,23,1
,"Breens Intermediate School Hall, 85 Breens Road",2,7,1,3,0,14,27,1
,"Cotswold School Hall, 44 Cotswold Avenue",0,7,0,1,0,13,21,0
,"Isleworth School Hall, 59a Farrington Avenue",3,7,2,1,0,9,22,2
,"St Margaret's Church, The Hub, 94 Farrington Avenue",0,4,1,1,0,11,17,2
"Bryndwr","St Stephen's Presbyterian Church Hall, corner Ilam & Aorangi Roads",4,3,0,0,0,14,21,1
,"Wairakei School Hall, 250 Wairakei Road",0,9,1,2,0,7,19,0
"Burnside","Burnside Elim Community Church, 193 Grahams Road",2,6,0,3,0,4,15,0
,"Burnside High School, J Block, 151 Greers Road (Memorial Avenue entrance)",2,2,0,0,0,4,8,0
,"Roydvale School Hall, 117 Roydvale Avenue",1,4,0,3,0,1,9,0
,"St Timothy Church Hall, 46 Kendal Avenue",0,5,0,0,0,2,7,0
"Fendalton","Christchurch Boys' High School, Big Room, Te Kura Street ",0,4,0,1,0,2,7,0
,"Fendalton Open Air School Staffroom, 168 Clyde Road",1,3,0,0,0,6,10,0
,"Medbury School Hall, corner Clyde & Creyke Roads",0,2,0,2,0,3,7,1
"Harewood","Harewood Playcentre, 719 Harewood Road",1,3,0,2,0,3,9,0
"Ilam","Ao Tawhiti Unlimited Discovery, classroom S5, corner Parkstone Avenue & Oak Drive",2,2,0,2,0,2,8,0
,"Ilam School Hall, 66 Ilam Road",0,8,1,3,0,8,20,0
,"Westburn School Hall, 257 Waimairi Road",1,5,0,1,0,5,12,1
"Merivale","Heaton Normal Intermediate School Hall, 125-133 Heaton Street",1,5,0,1,0,2,9,0
,"Rangi Ruru Girls' School, Helen Kitson Function Centre, Rhodes Street entrance",1,6,1,1,0,3,12,0
"Papanui","St Paul's Anglican Church Parish Hall, 1 Harewood Road",0,2,0,2,0,3,7,0
,"Waimairi School Hall, 1 Tillman Avenue",1,3,0,3,0,4,11,0
"Riccarton","St Ninian's Presbyterian Church Hall, 9 Puriri Street",1,4,0,2,0,1,8,0
"Upper Riccarton","Villa Maria College Hall, 21 Peer Street (Brodie Street entrance)",1,5,2,1,0,1,10,2
,Invercargill
"Bluff","Bluff School, 39 Bradshaw Street",8,8,5,4,0,61,86,3
,"St Teresa's School, 181 Foyle Street",8,9,5,2,1,29,54,1
"Colac Bay","Colac Bay Fire Station, 16 Colac Bay Road",0,2,1,0,0,3,6,0
"Edendale","Edendale School, 24 Salford Street",1,1,1,1,0,3,7,0
"Invercargill","Ascot Community School Hall, 580 Tay Street",3,4,5,3,1,7,23,0
,"Aurora College, 234 Regent Street",5,10,3,3,0,18,39,1
,"CCS Disability Action Southland, 142 Don Street",0,2,1,4,0,3,10,0
,"Clarendon Kindergarten, 30 Waiau Place",2,3,1,5,0,14,25,0
,"Donovan Primary School, 200 Drury Lane",1,7,3,6,0,16,33,0
,"Eastside Baptist Church, corner Glengarry Crescent & Yarrow Street",3,7,4,5,0,21,40,1
,"Elles Road Bible Chapel, 198 Earn Street",3,5,4,9,0,24,45,1
,"Fernworth Primary Hall, 288 Pomona Street",7,15,6,8,1,34,71,1
,"Freedom Community Centre, 464 Yarrow Street",3,1,4,0,0,6,14,1
,"Gladstone Scout Hall, corner Holywood Terrace & Russel Street",1,2,0,5,0,0,8,1
,"Grasmere Kindergarten, corner Paterson & Heywood Streets",1,5,0,1,1,7,15,0
,"Holy Trinity Anglican Church Hall, 61 King Street",3,5,3,1,1,13,26,1
,"Invercargill Public Library, 50 Dee Street",1,6,2,1,0,12,22,1
,"James Hargest College Junior Campus, corner Layard Street & Queens Drive",0,4,2,5,1,4,16,1
,"James Hargest College Senior Campus, 288 Layard Street",2,3,3,0,1,8,17,0
,"Kew Kindergarten, 51 Selwyn Street",0,6,0,2,0,7,15,1
,"Knox Presbyterian Church Hall, 107 Pomona Street",5,4,1,7,0,18,35,1
,"Lindisfarne Kindergarten, 34 Mitchell Street",1,2,0,1,0,3,7,0
,"New River School Hall, 407 Ness Street",3,5,1,3,0,20,32,0
,"Newfield Park School Hall, 82 Wilfrid Street",2,1,1,2,0,9,15,0
,"Newfield Public Hall, 707 Tweed Street",6,17,6,11,1,22,63,1
,"Pacific Island Advisory and Cultural Trust Southland, 135 Bowmont Street",2,2,0,0,0,5,9,1
,"Rosedale Gospel Chapel, corner Exmouth & Bourke Streets",1,2,1,2,0,6,12,1
,"Sacred Heart Parish Hall, 449 North Road",1,3,1,0,0,7,12,2
,"Salford School Hall, corner Lamond & Salford Streets",0,4,0,0,0,4,8,0
,"Salvation Army Hall, corner Tay & Conon Streets",4,8,4,5,0,9,30,1
,"Southland Girls' High School Hall, 328 Tweed Street",2,7,0,7,0,12,28,2
,"St Andrew's Youth Centre, 353 Elles Road, (entrance at 141 Manse Street)",7,9,5,10,1,37,69,1
,"St John's Girls' School, 349 Dee Street",3,3,0,2,1,12,21,2
,"Waihopai School Hall, 121 Herbert Street",4,5,3,5,0,6,23,3
,"Waverley Park School, 55 Eden Crescent",2,4,0,3,0,6,15,2
,"Windsor Community Church (Presbyterian), 19 Windsor Street",1,4,5,1,0,11,22,0
"Makarewa","Makarewa School, 56 Flora Road East",2,1,0,2,0,5,10,0
"Orepuki","Orepuki and Districts Community Centre, 32 Oldham Street",2,1,0,2,0,3,8,0
"Otatara","Otatara Community Centre, 146 Dunns Road",2,9,3,5,0,16,35,0
"Riverton","Riverton Primary School Hall, corner Leader & Princess Streets",1,7,2,8,4,22,44,4
"Stewart Island","Halfmoon Bay School, 6 Ayr Street",0,1,0,4,0,3,8,3
"Tisbury","Tisbury School, 3 Boundary Road",1,2,0,3,0,7,13,0
"Tokanui","Tokanui School, 18 Duncan Street",0,0,0,0,1,5,6,0
"Wallacetown","Wallacetown School, 34 Mauchline Street",0,1,1,1,1,3,7,0
"Wyndham","Wyndham Primary School, 40 Florence Street",0,3,2,0,1,9,15,0
,Kaikōura
"Amberley","Amberley School, corner Douglas & Lawcocks Roads",1,2,0,0,1,1,5,1
,"Hurunui District Council, 66 Carters Road",1,1,2,3,2,4,13,0
"Ashley","Ashley School, corner Boundary & Fawcetts Roads",0,2,1,0,0,3,6,0
"Blenheim","Alzheimers Centre, 8 Wither Road",2,1,0,2,0,7,12,2
,"Baptist Church Hall, corner Beaver Road & High Street",1,3,3,4,0,11,22,0
,"Bohally Intermediate School Hall, 37-49 McLauchlan Street",3,5,1,0,0,8,17,0
,"Bright Centre, 2 Dillons Point Road",2,3,0,2,1,5,13,0
,"Marlborough Boys' College Pavilion, 61 Francis Street",4,8,0,6,1,21,40,0
,"Marlborough District Council Offices, 15 Seymour Street",2,2,2,4,1,6,17,0
,"Mayfield School Hall, 79 Hutcheson Street",5,9,1,4,0,14,33,2
,"Nativity Anglican Church Hall, 76 Alfred Street",0,3,0,0,0,5,8,0
,"NMIT Marlborough Campus, E Block, Ballinger Drive",1,3,3,4,1,13,25,0
,"Redwoodtown School, 90 Cleghorn Street",6,9,6,6,1,35,63,1
,"Springlands School Hall, corner Murphys Road & Aston Street",2,9,3,9,1,6,30,0
,"St Mark's Hobbies Room, 61 Main Street",2,3,3,2,0,4,14,0
,"St Ninian's Church Hall, corner Alabama Road & Riley Crescent",1,3,0,3,0,6,13,1
,"Whitney Street School Hall, Whitney Street",5,9,4,6,0,16,40,0
,"Witherlea School Hall, 216 Upper Weld Street",2,0,1,1,0,5,9,0
"Canvastown","Canvastown School, 5044 State Highway 6",1,3,0,0,0,3,7,0
"Cheviot","Knox Church Hall, 13 Reeve Street",0,4,1,3,0,6,14,0
"Culverden","Amuri Area School, School Road",1,2,1,3,1,1,9,1
"Fairhall","Fairhall School Library, 384 New Renwick Road",2,2,0,0,0,4,8,1
"Grovetown","Grovetown School, 50-62 Vickerman Street",0,1,0,2,0,4,7,0
"Hanmer Springs","Hanmer Springs School, 8 Cheltenham Street",1,5,0,3,0,1,10,1
"Hapuku","Hapuku School, 596 Kincaid Road (State Highway 1)",0,3,0,1,0,1,5,1
"Havelock","Havelock School, 47 Main Road",1,9,0,3,0,3,16,1
"Kaikoura","Kaikoura High School, corner Rorrisons & Ludstone Roads",2,5,3,3,0,3,16,0
,"St John's Ambulance Hall, 116 Beach Road",2,6,1,5,1,9,24,0
,"St Peter's Anglican Church Hall, 33 Torquay Street",4,4,5,1,0,19,33,1
"Picton","Little Theatre, 9 Dublin Street",0,7,2,8,0,23,40,2
,"Picton School, York Street (between Buller Street & Broadway)",3,6,2,2,0,19,32,0
,"Queen Charlotte College, 173 Waikawa Road",3,3,1,2,0,19,28,1
"Renwick","Renwick Community Hall, 27 High Street",2,10,2,6,1,14,35,0
"Riverlands","Riverlands School, 21 School Road",0,2,0,3,0,4,9,0
"Seddon","Seddon School, 15 Redwood Street",1,4,2,1,0,7,15,0
"Spring Creek","Spring Creek School, 52 Ferry Road",0,8,1,3,0,14,26,2
"Tuamarina","Tua Marina School, Campbells Road",3,3,0,1,0,4,11,1
"Waiau","Waiau School, 11 Montrose Street",0,4,0,3,0,1,8,0
"Waikawa Bay","Waikawa Bay School, 282 Waikawa Road",0,4,0,1,0,8,13,0
"Woodbourne","RNZAF Family Centre, Caldwell Road",1,1,0,3,0,5,10,0
,Nelson
"Atawhai","Clifton Terrace School Hall, 888 Atawhai Drive",0,6,1,6,0,7,20,3
"Brightwater","Brightwater School, 106 Ellis Street",1,2,1,0,0,8,12,0
"Enner Glynn","Enner Glynn School, 10 The Ridgeway",0,8,1,6,0,10,25,0
"Hope","Hope School, 316 Paton Road",2,2,0,0,0,2,6,0
"Nelson","Athletics Nelson Club Rooms, Pioneer Park, Hastings Street",5,8,0,16,0,17,46,0
,"Auckland Point School, 111 Haven Road",2,2,0,5,0,14,23,2
,"Club Italia Hall, 9 Trafalgar Street",0,4,2,5,0,9,20,2
,"Court House, 200 Bridge Street",2,7,1,11,1,7,29,0
,"Masonic Hall, 109 Nile Street",6,12,2,3,1,13,37,1
,"Salvation Army Hall, 57 Rutherford Street",0,3,1,2,0,8,14,0
"Nelson South","Hampden Street School, 250 Hampden Street",1,7,0,2,1,8,19,1
,"Nelson Intermediate School, 112 Tipahi Street",3,7,1,4,0,16,31,3
,"Victory School Community Centre, Totara Street",9,31,10,13,0,36,99,0
"Richmond","Garin College, 35 Champion Road",3,5,1,2,0,2,13,0
,"Richmond School Community Hall, 14 Cambridge Street",4,9,0,5,0,13,31,2
,"Tasman District Council Office, 189 Queen Street",2,7,1,3,0,11,24,0
,"Waimea Intermediate School, 48 Salisbury Road",1,4,0,3,0,11,19,0
"Stoke","Birchwood School, 15 Durham Street",1,4,2,2,0,8,17,1
,"Broadgreen Intermediate School, 193 Nayland Road",2,10,2,5,0,17,36,0
,"Saxton Stadium, 142 Saxton Road East",1,2,1,2,0,8,14,0
,"Stoke School, 601 Main Road",2,19,3,10,0,23,57,1
,"Stoke Scout Hall, 214 Songer Street",2,3,1,5,0,8,19,1
"Tahunanui","Church of Christ Hall, 29 Parkers Road",4,8,3,8,0,13,36,1
