Electorate Candidate and Party Votes Recorded at Each Polling Place
"Te Tai Hauauru 67","Candidate Vote Details"
,,"MASON, Errol Turuki","TURIA, Tariana","Total Valid Candidate Votes","Informal Candidate Votes"
"Aokautere","Aokautere School Hall, 196 Fitzherbert East Road",0,7,7,0
"Ashhurst","Ashhurst School Hall, 96 Cambridge Avenue",15,45,60,2
"Awahou North","Awahou School, Pohangina Valley East Road",1,5,6,0
"Awahuri","Awahuri Hall, Rural No 1623, State Highway 3",6,16,22,0
"Bulls","Bulls School, Bridge Street",12,30,42,1
,"Clifton School, Clifton Street",12,41,53,1
"Bunnythorpe","Bunnythorpe School, 5 Baring Street",8,15,23,0
"Colyton","Colyton School, 421 Colyton Road",5,1,6,0
"Feilding","Feilding Fire Station Lounge, 201 Kimbolton Road",9,17,26,1
,"Feilding Intermediate School, 95 East Street",17,22,39,2
,"Industrial, Agricultural & Pastoral Association Hall, Rata Street",9,18,27,0
,"Lytton St School, corner Lytton & Monmouth Streets",20,59,79,3
,"Manchester St School, 160 Manchester Street",14,47,61,5
,"North Street School, 52 North Street",22,56,78,2
,"St Paul's Presbyterian Parish Hall, Church Street",21,39,60,3
"Halcombe","Halcombe Primary School, corner Willoughby & Monteith Streets",6,13,19,1
,"Stanway Public Hall, Makino Road",1,5,6,0
"Himatangi Beach","Community Hall, Koputara Road",3,12,15,1
"Hunterville","Hunterville Consolidated School, 33 Bruce Street",8,16,24,0
"Kakahi","Kakahi School, Mohio Road",1,6,7,0
"Kimbolton","Kimbolton School, Flyger Street",4,3,7,0
"Linton Camp","Community Centre, Puttick Road",24,66,90,1
"Longburn","Longburn Primary School, Carey Street",4,4,8,0
"Mangaweka","Mangaweka School, Raumaewa Road",1,7,8,0
"Marton","James Cook School, Mill Street",5,28,33,0
,"Marton Junction School, 44-56 Alexandra Street",11,37,48,3
,"Marton School, Hereford Street",16,22,38,1
,"St Andrew's Presbyterian Church Hall, Broadway",23,44,67,2
"Mataroa","Mataroa School, Rongoiti Road",3,3,6,0
"Moawhango","Moawhango School, Moawhango Valley Road",1,16,17,1
"National Park","National Park School Hall, Carroll Street",0,10,10,2
"Ngakonui","Ngakonui Valley School, Kauri Room, Taumarunui-Ngapuke Road",7,13,20,0
"Ngapuke","Ngapuke School, Room 1, Taumarunui-Ngapuke Road",2,14,16,0
"Ohakea","Ohakea War Memorial Hall, corner Speedy & Tangimoana Roads",4,4,8,0
"Ohakune","Ohakune Courthouse, Rata Street",8,37,45,1
,"Ohakune Primary School Hall, 52 Arawa Street",10,27,37,0
"Ohingaiti","Ohingaiti Hall, corner State Highway 1 & Onslow Street",3,3,6,0
"Oroua Downs","Oroua Downs School, State Highway 1",2,7,9,1
"Owhango","Owhango School Resource Room, Ohorere Street",2,8,10,0
"Palmerston North","Massey University, Student Centre Lounge, Concourse, University Drive",7,12,19,0
,"Summerset Retirement Village, 166-186 Ruapehu Drive",4,6,10,3
"Raetihi","Raetihi Primary School Hall, 24 Grey Street",26,124,150,6
"Ratana","Te Kura O Ratana/Ratana School, Kiatere Street",117,89,206,3
"Rongotea","Rongotea School, Tyne Street",4,8,12,0
"Sanson","Sanson School, Wellington Road (State Highway 1)",9,12,21,1
"Taihape","St Joseph's School, Rauma Road",3,9,12,2
,"Taihape Town Hall, 90 Hautapu Street",23,103,126,3
"Tangimoana","Tangimoana School, 19 Punga Street",3,8,11,0
"Taonui","Taonui School, 170 Waughs Road",2,4,6,1
"Taumarunui","Catholic Church Hall, 14 High Street",9,16,25,0
,"Manunui School, Room 1, Rata Street",14,46,60,2
,"Tarrangower School Library, Manson Street",14,24,38,1
,"Taumarunui Primary School Hall, Maata Street",21,72,93,2
,"Te Kura Kaupapa Maori O Taumarunui, Makere Street",16,64,80,8
,"WINZ Main Office, corner Miriama & Marae Streets",34,110,144,0
"Turakina","Turakina School, Main Road",5,14,19,0
"Waiouru","Waiouru Community Centre, Queree Drive",21,59,80,2
"Whakapapa Village","Whakapapa Village Firestation, Bruce Road",4,3,7,1
"Whangaehu","Whangaehu School, Ruatangata Street",6,26,32,0
,Taranaki-King Country
"Aria","Aria School, Barclay Road",2,12,14,0
"Arohena","Arohena School, 40 Pukewhau Road",1,6,7,1
"Benneydale","Benneydale Community Hall, Maniaiti Road",7,6,13,2
"Hangatiki","Hangatiki School Library, 591 Hangatiki East Road",4,13,17,1
"Hauturu","Hauturu Memorial Hall, 613 Harbour Road",2,9,11,0
"Inglewood","Inglewood High School, Kelly Street entrance",5,19,24,0
,"Inglewood Primary School Library, 33 Kelly Street",15,14,29,2
"Kihikihi","Kihikihi Town Hall, Lyon Street",2,28,30,2
"Korakonui","Korakonui School, 734 Wharepuhunga Road",4,7,11,0
"Marokopa","Marokopa Community Hall, The Esplanade",1,8,9,0
"Midhirst","Midhirst Primary School (Library), 8 Erin Street",3,6,9,0
"Mimi","Mimi School, 23 Pukearuke Road",0,8,8,0
"Mokau","Mokau Primary School, corner Rangi Street & Aria Terrace",1,14,15,2
"Ngaere","Ngaere School, 4355 Mountain Road",1,6,7,1
"Ngutunui","Ngutunui School, Ngutunui Road",1,8,9,0
"Ohura","Ohura Valley School, Ngarimu Street",4,5,9,0
"Ongarue","Ongarue School, Village Road",10,10,20,0
"Oparau","Oparau Roadhouse, 4370 State Highway 31",1,6,7,1
"Oparure","Te Kura Kaupapa Maori o Oparure, 308 Oparure Road",13,12,25,1
"Otewa","Otewa School, 916 Otewa Road",0,7,7,0
"Otorohanga","Otorohanga College (Hall), Bledisloe Avenue",19,61,80,1
,"Otorohanga District Library Meeting Room, 27 Turongo Street",31,96,127,9
"Parawera","Parawera School, 18 Mellsop Road",0,11,11,0
"Piopio","Piopio Primary School, 14 Aria Road",18,35,53,2
"Pokuru","Pokuru School, 873/2 Pokuru Road",0,11,11,0
"Pukeatua","Pukeatua School, 2110 Arapuni Road",3,16,19,0
"Stratford","Avon School, Hamlet Street",10,20,30,0
,"Stratford High School, Swansea Road",10,6,16,2
,"Stratford Methodist Church Hall, Regan Street",9,24,33,0
,"Stratford Primary School, Regan Street",8,15,23,3
"Taharoa","Taharoa School, Main Road",12,33,45,1
"Te Kawa Crossroads","Te Kawa Crossroads Hall, corner State Highway 3 & Te Kawa Road",6,5,11,1
"Te Kuiti","Centennial Park School, 50 Te Kuiti Road",51,85,136,8
,"Te Kuiti Courthouse, Queen Street",37,86,123,5
,"Te Kuiti High School, Hospital Road",16,31,47,0
,"Te Kuiti Primary School, Rora Street",32,77,109,8
"Urenui","Urenui School (old room 2), Takiroa Street",10,23,33,2
"Waitomo Caves","Waitomo School, Hotel Access Road",10,23,33,2
,Taupo
"Arapuni","Arapuni Community Hall, Arapuni Road",4,3,7,0
"Lichfield","Ngatira Marae, 965 Ngatira Road ",8,44,52,2
"Mangakino","Mangakino Senior Citizens Hall, 25 College Street",29,52,81,2
"Marotiri","Marotiri School, 1569 Tihoi Road, State Highway 32",1,7,8,0
"Maungatautari","Maungatautari School, 1121 Maungatautari Road",5,7,12,2
"Okoroire","Kuranui School, 66 Waiomou Road",1,9,10,2
"Puketurua","Puketurua Memorial Hall, intersection of Old Taupo, Huihuitaha & Pearson Roads",1,5,6,1
"Putaruru","Abbey's Place Child Care Centre, 1 Commerce Street",3,22,25,5
,"Putaruru Baptist Church Hall, 52 Arapuni Street",26,46,72,0
,"Putaruru Contract Bridge Club, Overdale Street",31,44,75,3
,"Te Wharekura o Te Kaokaoroa o Patetere, 117 Buckland Street",18,19,37,0
"Tirau","Tirau School, 69 Main Road",25,30,55,4
"Tirohanga","Tirohanga School, 851 Tirohanga Road, Atiamuri",5,12,17,1
"Tokoroa","Amisfield School, Moffat Road",6,25,31,1
,"David Henry School, 4-8 Thompson Street",46,24,70,3
,"St Luke's Pacific Island Presbyterian Church Hall, corner Maraetai Road & Kelso Street",26,31,57,2
,"Strathmore School, 27 Strathmore Drive",45,46,91,3
,"Te Kura Kaupapa Maori o Te Hiringa, 12-24 Tainui Street",43,52,95,2
,"Tokoroa Central School, Clyde Street",25,51,76,0
,"Tokoroa District Court, 26 Bridge Street",86,106,192,14
,"Tokoroa East School, 100 Main Road",12,17,29,0
,"Tokoroa North School, 29 Paraonui Road",24,49,73,3
"Whakamaru","Whakamaru School, 36 Kaahu Road",7,6,13,1
,Wellington Central
"Wellington City","Michael Fowler Centre, Renouf Foyer, Level 1, 111 Wakefield Street",2,13,15,0
,Whanganui
"Brunswick","Brunswick School Library, 15 Campbell Road",6,2,8,0
"Eltham","Eltham School Hall, 69 Conway Road",18,26,44,5
,"St Mark's Church Hall, 235 High Street",7,24,31,0
"Hawera","Hawera High School Hall, 13 Camberwell Road",10,30,40,1
,"Hawera Primary School, 261 South Road",18,67,85,5
,"Highland Pipe Band Hall, Collins Street",7,23,30,2
,"Presbyterian Hall, 35 Argyle Street",2,22,24,0
,"Public Hospital Conference Room, 37 Hunter Street",3,16,19,0
,"Turuturu School, 194 Glover Road",8,28,36,0
"Kai Iwi","Kai Iwi School Library, State Highway 3",3,6,9,0
"Kakaramea","Kakaramea Primary School, 2193 Main South Road (State Highway 3)",4,8,12,0
"Kakatahi","Kakatahi School, Parapara Road (State Highway 4)",0,5,5,1
"Kaponga","Kaponga Primary School, 30 Egmont Street",8,9,17,0
"Manaia","Manaia Primary School, Karaka Street",13,80,93,5
