Electorate Candidate Votes Recorded at Each Voting Place
"Port Hills 41","Candidate Vote Details"
,,"BROSNAN, Christopher Michael","DYSON, Ruth Suzanne","GRIBBEN, Gary James","KORAKO, Tutehounuku","O'ROURKE, Denis John","RUSSELL, Geoffrey Neil","SAGE, Eugenie Meryl","Total Valid Candidate Votes","Informal Candidate Votes"
,"St Chad's Anglican Church Hall, corner Carnarvon Street & Buckleys Road",3,24,1,17,2,0,6,53,1
,"Union Church Hall, 378 Linwood Avenue, corner Tilford Street",16,391,1,170,31,4,38,651,5
"Lower Cashmere","Thorrington School, 22A Colombo Street",11,300,0,352,14,3,59,739,5
"Lyttelton","Lyttelton Primary School (former St Joseph's School & Church), 18 Winchester Street",2,189,1,32,5,1,28,258,1
,"Lyttelton Primary School (Hill Site), 41 Voelas Road",1,141,0,40,1,2,34,219,0
,"Port Hills Uniting Parish, 40 Winchester Street",0,153,0,54,6,0,26,239,2
"Mount Pleasant","Mount Pleasant Community Centre, 3 Mccormacks Bay Road",4,184,0,224,4,1,32,449,1
,"Mt Pleasant School, 82 Major Hornbrook Road",5,375,1,461,13,0,40,895,2
"North Linwood","Linwood North School, 221 Woodham Road (Rowcliffe Crescent entrance)",0,8,0,7,0,0,2,17,0
"Opawa","Opawa Baptist Church, 285 Wilsons Road",0,11,0,4,0,1,0,16,0
,"Opawa School, corner Ford Road & Newbery Street ",7,183,1,63,13,1,28,296,3
,"St Mark's Church Hall, corner Opawa Road & Vincent Place",5,155,0,104,17,0,40,321,6
"Redcliffs","St Andrew's Anglican Church, 148 Main Road",3,415,1,490,10,1,45,965,4
"Somerfield","Cashmere High School, 172 Rose Street",7,178,1,181,10,2,39,418,3
,"Pioneer Recreation and Sport Centre Lounge, 1st floor, 75 Lyttelton Street",6,246,0,224,13,1,48,538,2
,"Somerfield School, 42 Studholme Street",9,378,0,287,8,1,78,761,3
"Spreydon","Christchurch South Intermediate Hall, 204 Selwyn Street",7,106,0,74,9,1,25,222,1
,"Spreydon Baptist Church, 51 Cobham Street",2,21,0,25,3,0,5,56,1
,"St Nicholas Church Hall, 231 Barrington Street",2,101,0,59,13,0,11,186,4
,"West Spreydon School Hall, 147 Lyttelton Street",0,34,0,24,6,1,1,66,2
"St Martins","Hillview Christian Junior School, 150 Wilsons Road",8,259,0,218,14,2,59,560,2
,"St Martins School, 24 Albert Terrace (opposite Roscoe Street)",8,405,1,249,9,6,91,769,1
"Sumner","Sumner School, 21 Colenso Street (Dryden Street West entrance)",7,723,2,642,17,5,112,1508,7
"Sydenham","Special Needs Library, 109 Huxley Street",0,19,0,6,1,0,2,28,0
,"Sydenham Community Centre, 25-27 Hutcheson Street",1,14,1,16,1,0,4,37,0
"Wainoni","Ottawa Gardens Pre-School, 49 Ottawa Road",0,6,0,0,1,0,1,8,0
"Waltham","Waltham School Hall, corner Waltham Road & Hastings Street East",1,13,0,11,1,0,1,27,1
"Woolston","Bamford School, 8 Gould Crescent",9,188,1,68,13,0,18,297,7
,"CPIT, Student Services Building, corner Ensors Road & Sulllivan Avenue",6,125,1,54,7,1,28,222,1
,"Edmonds Smith Street Kindergarten, 21 Smith Street",6,202,0,84,10,0,21,323,1
,"St John's Church Hall, corner St Johns Street & Ferry Road",14,641,3,258,63,3,53,1035,8
,"Woolston School, corner Ferry Road & Hopkins Street",14,418,7,134,31,3,63,670,5
,"Voting places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day",193,5670,15,4975,354,37,828,12072,87
,"Special Votes BEFORE polling day",18,541,0,418,34,4,143,1158,12
,"Special Votes On polling day",55,872,3,804,79,11,278,2102,20
,"Overseas Special Votes including Defence Force",10,405,1,236,14,0,113,779,8
,"Port Hills Total",626,18161,52,15933,1131,145,3059,39107,277
,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",39384
"Electorate Candidate Valid Votes","Party",,"DYSON, Ruth Suzanne - majority 2228"
"BROSNAN, Christopher Michael",Conservative,626,.0160073644
"DYSON, Ruth Suzanne",Labour Party,18161,.464392564
"GRIBBEN, Gary James",Democrats for Social Credit,52,.0013296852
"KORAKO, Tutehounuku",National Party,15933,.4074206664
"O'ROURKE, Denis John",New Zealand First Party,1131,.0289206536
"RUSSELL, Geoffrey Neil",ACT New Zealand,145,.0037077761
"SAGE, Eugenie Meryl",Green Party,3059,.0782212903
