Electorate Candidate Votes Recorded at Each Voting Place
"Ikaroa-Rāwhiti 66","Candidate Vote Details"
,,"EDEN, Cathryn","FOX, Marama Kahu","KANI, Henare Matua","NIKORA, Shane Brisbane","ROSE, Victoria Maree","WHAITIRI, Meka","Total Valid Candidate Votes","Informal Candidate Votes"
,"Wairoa College, 20 Lucknow Street",6,60,30,53,0,158,307,15
"Westshore ","Westshore School, 13 Ferguson Avenue",2,4,1,2,0,11,20,0
,Rimutaka
"Avalon","Avalon School, 10 Gordon Street",1,4,5,3,0,9,22,0
"Brown Owl","St Peter Chanel Catholic Centre, 1285 Fergusson Drive",1,5,3,4,0,22,35,1
"Ebdentown","Oxford Crescent School, 5 Oxford Crescent",0,2,1,3,1,3,10,1
"Heretaunga","St Brendan's School, 56 Palmer Crescent",0,6,2,0,0,7,15,0
"Maoribank","Maoribank School Hall, 32 Hillside Drive",0,4,3,3,0,7,17,0
"Naenae","Naenae Community Hall, corner Treadwell & Everest Streets",0,7,9,14,0,20,50,1
,"Naenae Kindergarten, 19 Seddon Street",1,5,5,13,0,24,48,3
,"Naenae Primary School, 18 Wheatley Street ",0,8,2,13,0,17,40,0
,"Rata Street School, 73 Rata Street",2,9,4,32,0,38,85,2
"Parkdale","Birchville School, 16 Gemstone Drive",0,5,1,2,0,3,11,1
"Pomare","Pomare School, 4 Partridge Street",0,8,2,10,0,24,44,1
"Silverstream","Old BP Silverstream, 262 Fergusson Drive",1,5,2,8,0,6,22,0
,"Silverstream School Hall, 27 Whitemans Road",0,7,4,4,0,8,23,1
"Stokes Valley","Freemasons Lodge, 162 Stokes Valley Road",0,16,16,29,0,51,112,1
,"Tui Glen School, 126 Stokes Valley Road",1,12,2,11,0,29,55,0
,"Uniting Parish Church, 346 Stokes Valley Road",4,12,4,2,0,14,36,0
"Taita","Avalon Intermediate School, 1041 High Street",1,7,4,5,0,15,32,0
,"Taita Central School, 33a Churton Crescent",0,6,8,15,0,35,64,1
"Te Marua","Plateau School, 12a Molloys Road",0,3,1,1,0,7,12,0
"Timberlea","Timberlea Community Centre, 72 Norana Road",0,1,9,10,0,8,28,0
"Totara Park","Totara Park School, 16 California Drive",3,9,3,5,0,22,42,2
"Trentham","Masonic Centre, 27-29 Islington Street",0,7,4,2,0,10,23,0
,"Trentham School, 2 Moonshine Road",0,14,7,10,0,24,55,2
"Upper Hutt","Fraser Crescent School, 16 Redwood Street",0,4,1,7,0,22,34,0
,"St Hilda's Church Hall, 35 Cruickshank Road",1,4,0,2,0,5,12,0
,"St Joseph's School Hall, 24 Royal Street",0,6,3,9,0,6,24,0
,"The Mall, Ground Floor, next to Farmers",4,27,7,11,4,44,97,2
,"Wesley Centre (St David's Hall), 1 Benzie Avenue",0,6,5,1,0,13,25,0
"Wallaceville","Baptist Church Hall, 1 Milton Street",0,4,4,6,1,22,37,0
,"Heretaunga College, 10-38 Ward Street",1,5,4,4,1,6,21,1
,Tukituki
"Akina","Hastings Central School, 400 Karamu Road South (corner Southampton Street)",2,17,17,30,0,59,125,2
"Bridge Pa","Bridge Pa School, 40 Maraekakaho Road",1,21,7,34,0,39,102,1
"Camberley","Community Centre, 703 Kiwi Street",3,23,23,59,1,79,188,5
,"Hawkes Bay Regional Hospital, Main Entrance, Omahu Road",0,11,11,16,0,34,72,3
"Clive","Clive Community Hall, 162 Main Road",3,27,9,10,1,48,98,0
"Elsthorpe","Elsthorpe School, 25 Kenderdine Road",0,2,2,0,0,3,7,0
"Flaxmere","Flaxmere Primary School Hall, 12 Whitby Crescent",0,50,18,76,2,148,294,6
,"Irongate School, 16 Walton Way",1,25,11,45,0,56,138,2
,"Kimi Ora Community School, 1 Boston Crescent",1,29,17,59,1,58,165,4
