Electorate Candidate and Party Votes Recorded at Each Polling Place
"Waiariki 70","Candidate Vote Details"
,,"FLAVELL, Te Ururoa James William Ben","RIRINUI, Mita Michael","Total Valid Candidate Votes","Informal Candidate Votes"
"Waimana","Nukuhou North School, State Highway 2",16,3,19,1
,"Waimana School, 6 Raroa Road",78,32,110,4
"Waioeka","Te Kura Kaupapa Maori o Waioweka, 48 Waioeka Pa Road",18,11,29,2
"Whakatane","Allandale School, 167 King Street",151,57,208,21
,"District Council, 9 Commerce Street",161,70,231,7
,"Reads Auction Hall, 17 King Street",197,75,272,15
,"Salvation Army Hall, 87 King Street",101,59,160,4
,"Te Whare Kura o Ruatoki, 18 Mission Road, R D 1",111,20,131,3
,"Whakatane Intermediate School Hall,101 James Street",103,58,161,2
"Woodlands","Woodlands School, 161 Dip Road",5,1,6,0
,Rangitikei
"Ratana","Te Kura O Ratana/Ratana School, Kiatere Street",6,2,8,0
,Rotorua
"Broadlands","Broadlands School, 2986 Broadlands Road",7,8,15,1
"Galatea","Galatea School, Mangamate Road",5,4,9,2
"Hamurana","Country Life, 659 Hamurana Road",17,2,19,2
"Horohoro","Horohoro School, 69 Apirana Road",13,13,26,1
"Kaingaroa Forest","Administration Building, Dunn Road",45,46,91,1
"Kawerau","District Council, Town Hall, Ranfurly Court",327,131,458,21
,"Putauaki School Staffroom, Fenton Mill Road",179,72,251,5
"Lake Okareka","Lake Okareka Community Hall, 75 Loop Road",6,2,8,1
"Lake Rerewhakaaitu","Lake Rerewhakaaitu School, 9 Ash Pit Road",7,3,10,0
"Lake Rotoma","Rotoma and Rotoehu Community Hall, 167 State Highway 30",15,5,20,0
"Lynmore","Lynmore School Hall, Iles Road",86,40,126,5
,"Lynmore Scout Hall, Lewis Road",17,2,19,0
"Maketu","Maketu School, School Road",137,65,202,12
"Mamaku","Mamaku School, 54 Tarena Street",22,11,33,4
"Mihi","Mihi School, 76 Springs Road",12,5,17,1
"Minginui","Minginui Kokiri Centre, 66 Rimu Street",37,16,53,2
"Murupara","Murupara Municipal Hall, Pine Drive",198,109,307,17
"Ngakuru","Ngakuru School, 913 Whirinaki Valley Road",9,1,10,0
"Ngapuna","Hurunga Marae, 15 Hurunga Street",108,31,139,9
"Ngongotaha","Ngongotaha Community Hall, 5 School Road",281,89,370,7
"Okere Falls","Whangamarino School, 637 State Highway 33",82,18,100,4
"Otamarakau","Otamarakau School, Room 2, 2216 Old Coach Road",7,1,8,0
"Owhata","Owhata School Hall, Brent Road",132,40,172,7
,"St Marks Anglican Hall, corner Sunrise Avenue & Te Ngae Road",158,75,233,11
"Paengaroa","Paengaroa School, Multi Purpose Room, Old Coach Road",39,30,69,3
"Pongakawa","Pongakawa School Library, 956 Old Coach Road",11,3,14,4
"Pukehina","Pukehina School, 1762 Old Coach Road",3,4,7,0
"Pukehina Beach","Pukehina Community Hall, 14 Pukehina Parade",27,12,39,0
"Reporoa","Reporoa Primary School, 34 Massey Road",28,16,44,1
"Rotoiti","Te Kura Kaupapa Maori O Rotoiti, 1620 State Highway 30",99,20,119,1
"Rotokawa","Rotokawa School, 6 Rotokawa Road",90,20,110,3
"Rotorua","Aorangi School, 3 Gem Street",154,58,212,10
,"D & A Hunt's Residence, 10 Gillam Crescent",6,3,9,0
,"Glenholme School Hall, 149 Ranolf Street",112,67,179,5
,"Homedale Kindergarten, 50 Homedale Street",67,23,90,2
,"Kaitao Intermediate, 30 Bell Road",74,34,108,6
,"Kawaha Point School, Aquarius Drive",86,34,120,3
,"Koutu Tumahaurangi Meeting House, 38 Koutu Road",268,63,331,4
,"Malfroy School, 196 Malfroy Road",148,64,212,10
,"Otonga School Hall, Otonga Road",53,26,79,3
,"Rotorua Electorate Headquarters, corner Hinemoa & Amohia Streets",95,32,127,2
,"Rotorua Intermediate School, 93-95 Malfroy Road",111,64,175,3
,"Rotorua Primary School Hall, Rangiuru Street or Pukeroa Street entrance",165,66,231,9
,"Rotorua Public Hospital Cafeteria, Main Entrance, Pukeroa Street",35,20,55,1
,"School of Performing Arts Building, 324 Malfroy Road",101,30,131,6
,"Selwyn School Hall, 3 Old Quarry Road",185,79,264,8
,"St Andrew's Church Hall, 309 Old Taupo Road",74,31,105,2
,"St Chad's Communication Centre, 2 Devon Street",42,18,60,3
,"St John Ambulance Hall, Pererika Street",57,30,87,0
,"St Michael's School Hall, Clayton Road",94,65,159,6
,"Sunset Primary School Hall, 150 Sunset Road",201,100,301,4
,"Waiariki Institute of Technology Cafeteria, Mokoia Drive",36,14,50,0
,"Western Heights Primary School Hall, Clayton Road",144,63,207,10
,"Whaka Thermal Village, 17 Tryon Street, Whakarewarewa",113,60,173,4
"Ruatahuna","Huiarau School, 98 Sister Annie Road",86,22,108,6
"Upper Atiamuri","Upper Atiamuri School, 2613 State Highway 30",6,0,6,0
"Waikite Valley","Waikite Valley School, 1090 Waikite Valley Road",5,3,8,0
"Waiohau","Te Kura Kaupapa Maori O Waiohau, 2481 Galatea Road",40,9,49,1
"Waiotapu","Benny Bee Tearooms, 2490 State Highway 5",12,5,17,0
,Taupo
"Acacia Bay","Acacia Bay Community Centre, 1 Wakeman Road",9,2,11,2
"Kuratau","Kuratau School, junction of Western Access & Taumarunui Highway",16,3,19,1
"Lichfield","Ngatira Marae, 965 Ngatira Road ",14,6,20,0
"Omori","Taupo District Council Depot, Omori Road",5,1,6,0
"Rangitaiki","Rangitaiki School, State Highway 5",4,2,6,1
"Taupo","Hilltop School, 90 Rokino Road",18,3,21,0
,"Hinemoa Kindergarten, 61 Hinemoa Avenue",17,17,34,1
,"Mountview Primary School, 31 Rangatira Street",69,31,100,8
,"St Patrick's Catholic Church, 88 Acacia Bay Road, Nukuhau",34,19,53,2
,"Tauhara Primary School, 90 Crown Road",55,20,75,5
,"Taupo Baptist Church Hall, corner Rifle Range & Taupo View Roads",82,35,117,4
,"Taupo District Court, 21 Story Place",22,8,30,0
,"Taupo Primary School, corner Tamamutu & Ruapehu Streets",43,30,73,3
,"Taupo-nui-a-Tia College, 122 Spa Road",75,28,103,1
,"Unison Youth Arts Centre, 98 Richmond Avenue",14,11,25,3
,"Waipahihi School, 20 Parata Street",25,13,38,0
"Tokaanu","The Foxes Den Cafe and Restaurant, next to Oasis Motel, State Highway 41",40,6,46,0
"Turangi","Te Kura o Hirangi,  25 Mawake Place",95,22,117,8
,"Tongariro Seniors' Hall, Ohuanga Street, Town Centre",152,67,219,5
"Wairakei","Wairakei Resort, State Highway 1",7,0,7,0
"Wairakei Village","Wairakei School, 2 Kauri Drive",40,10,50,0
"Waitahanui","Te Kura o Waitahanui, 107 State Highway 1",39,5,44,1
,Tauranga
"Bethlehem","Baptist Church Hall, 90 Bethlehem Road",45,39,84,1
,"Institute of Education, 24 Elder Lane",8,6,14,1
"Mt Maunganui","Harbourside Netball Pavilion, Maunganui Road",31,29,60,3
,"Mt Maunganui College, Maunganui Road",47,24,71,4
,"Mt Maunganui Intermediate School, 21 Links Avenue",35,48,83,0
,"Mt Maunganui Primary School, 13 Orkney Road",16,9,25,0
,"Senior Citizens' Hall, 345 Maunganui Road",15,8,23,3
,"St Peter's Church Hall, 11 Victoria Road",7,8,15,0
"Pyes Pa","Aquinas College, 183 Pyes Pa Road",15,12,27,2
"Tauranga","Brookfield School, 20 Millers Road",89,64,153,4
,"Greenpark School, 13 Lumsden Street",33,23,56,5
,"Greerton Community Hall, 1247 Cameron Road",92,75,167,11
,"Matua Community Hall, Levers Road",16,14,30,0
,"Merivale Action Centre, 25 Kesteven Avenue",72,54,126,4
,"Otumoetai College, 105 Windsor Road",52,29,81,5
,"Otumoetai School, 236 Otumoetai Road",52,25,77,7
,"Pillans Point School, 101 Maxwells Road",17,13,30,1
,"St Columba Church Hall, 502 Otumoetai Road",13,15,28,4
,"St Peter's Community Centre, 130 Spring Street",11,9,20,1
,"Tauranga Boys' College Youth Theatre, Devonport Road",31,24,55,4
,"Tauranga Girls' College Hall, 930 Cameron Road",66,53,119,6
,"Tauranga Intermediate School, 30 Eighteenth Avenue",21,26,47,4
,"Tauranga Primary School Hall, 31 Fifth Avenue",25,9,34,2
"Tauriko","Settlers' Hall, State Highway 29",18,9,27,0
,"Polling places where less than 6 votes were taken",14,15,29,3
,"Hospital Votes",47,39,86,3
,"Ordinary Votes BEFORE polling day",1223,537,1760,73
,"Special Votes BEFORE polling day",173,82,255,12
,"Special Votes On polling day",1102,382,1484,46
,"Overseas Special Votes including defence force",51,15,66,0
,"Waiariki Total",12781,5969,18750,675
,,,"Valid Candidate Votes plus Informal Candidate Votes",19425
"Electorate Candidate Valid Votes","Party",,"FLAVELL, Te Ururoa James William Ben - majority 6812"
"FLAVELL, Te Ururoa James William Ben",Maori Party,12781,.6816533333
"RIRINUI, Mita Michael",Labour Party,5969,.3183466667
