Electorate Candidate and Party Votes Recorded at Each Polling Place
"Rangitata 41","Candidate Vote Details"
,,"BLANCHARD, Julian Malcolm","CORBETT, Thomas Frederick","GOODHEW, Joanne Gay","LIGTENBERG, Gerdina Henrica Adriana Maria","McMILLAN, Andrew James","Total Valid Candidate Votes","Informal Candidate Votes"
"Pendarves","Pendarves Hall, corner Christy's and Pendarves Rakaia Roads",14,1,97,4,0,116,1
"Pleasant Point","Pleasant Point Primary School, Victor Wilson Hall, 33 Halstead Road",276,13,486,59,11,845,14
"Rakaia","Rakaia Community Centre, corner Elizabeth Avenue and Mackie Street",185,5,456,43,4,693,23
"Rangitata","Rangitata Soldiers Memorial Hall, State Highway 1",12,0,79,3,3,97,1
"Seadown","Seadown Hall, 729 Seadown Road",126,6,118,5,5,260,10
"Temuka","Opihi College, 83 Richard Pearse Drive",303,4,297,33,11,648,12
,"Presbyterian Church Complex, corner Hally Terrace and Wilmshurst Road",341,2,307,36,7,693,21
,"St John Ambulance Hall, 47 King Street",190,4,152,33,9,388,6
,"Temuka Primary School, 9 Hayhurst Street",251,1,247,34,6,539,16
"Timaru","Bluestone School, 46 Raymond Street",374,0,204,39,12,629,10
,"Caroline Bay Association Room, 1 Virtue Avenue",146,0,120,17,5,288,7
,"Courthouse, 12 North Street",158,6,98,13,2,277,2
,"Gleniti School, 22 Heath Street",209,2,366,27,7,611,10
,"Grantlea Downs School, 65 Grants Road",328,2,208,28,5,571,16
,"Highfield School, 26 Rimu Street",254,6,239,39,10,548,9
,"Life Church, 134 Morgans Road",197,7,268,22,10,504,13
,"Methodist Church Hall, corner North Street and Woodlands Road",494,8,245,47,15,809,20
,"Oceanview Heights School, 241 Selwyn Street",635,6,343,49,18,1051,33
,"Roncalli College, 19 Wellington Street",249,4,138,23,8,422,12
,"South School, 44 Queen Street",444,6,206,34,10,700,20
,"St John's Church Hall, 125 Wai-iti Road",476,5,433,55,11,980,24
,"St Mary's Church Hall, 24 Church Street",301,3,222,43,10,579,17
,"St Paul's Church, 28 Seddon Street",173,1,214,33,10,431,10
,"St Peter's Church Hall, 11 Otipua Road",277,4,146,26,7,460,14
,"St Stephen's Church Hall, 349 Wai-iti Road",417,6,489,40,15,967,26
,"Timaru Girls High School, corner Hassall and Cain Streets",295,2,161,31,9,498,15
,"Waimataitai School Hall, 29 Trafalgar Street",477,5,338,71,15,906,14
,"Washdyke Community and Sports Centre, Sir Basil Arthur Park, 92 Pleasant Point Highway",139,1,184,11,9,344,15
,"West End Hall, entrance off 35B Maltby Avenue",222,1,208,19,8,458,8
"Wakanui","Wakanui School, 20 Wakanui School Road",35,5,163,3,4,210,7
"Willowby ","Willowby Hall, 471 Longbeach Road",25,3,195,9,1,233,3
"Winchester","Winchester Rural School, State Highway 1",96,3,121,19,4,243,7
"Winchmore","Winchmore Hall, 935 State Highway 77",4,0,110,0,0,114,5
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Rangitata",1523,41,2894,177,40,4675,140
,"Special Votes BEFORE polling day",119,3,206,21,7,356,6
,"Special Votes On polling day",497,17,890,131,13,1548,38
,"Overseas Special Votes including Defence Force",37,3,66,12,1,119,2
,"Rangitata Total",13043,303,19580,1766,418,35110,970
,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",36080
"Electorate Candidate Valid Votes","Party",,"GOODHEW, Joanne Gay - majority 6537"
"BLANCHARD, Julian Malcolm",Labour Party,13043,.3714896041
"CORBETT, Thomas Frederick",ACT New Zealand,303,.0086300199
"GOODHEW, Joanne Gay",National Party,19580,.5576758758
"LIGTENBERG, Gerdina Henrica Adriana Maria",Green Party,1766,.0502990601
"McMILLAN, Andrew James",United Future,418,.01190544
