Electorate Candidate Votes Recorded at Each Voting Place
"Wellington Central 60","Candidate Vote Details"
,,"BARR, Hugh","FOSTER-BELL, Paul Ayers Robert","GREGORY, Alistair","HOOPER, Brian William","KARENA WHUIMAONO, Geoffrey","KNUCKEY, James Nicholas Ransom","ROBERTSON, Grant Murray","ROBINSON, Peter Franklin","SHAW, James Peter Edward","VALENTINE, Callum Nicholas","Total Valid Candidate Votes","Informal Candidate Votes"
"Roseneath","Roseneath School Hall, 13 Maida Vale Road",1,44,0,0,0,0,17,0,10,0,72,0
"Thorndon","St Mary's College, de Porres House, 15 Guildford Terrace",4,105,1,6,0,0,154,2,26,1,299,1
,"Thorndon School Hall, 20 Turnbull Street or 26 Murphy Street",2,193,7,4,1,2,223,0,38,2,472,1
,"Wellington Bridge Club, 17 Tinakori Road",6,169,2,6,0,2,192,1,37,2,417,0
"Wadestown","St Luke's Centre, 34 Pitt Street (corner Wadestown Road)",1,5,0,0,0,0,13,0,2,1,22,0
,"Wadestown School Hall, Rose Street (steep path access only)",1,5,0,0,0,0,9,1,5,0,21,1
"Waikanae Beach","Waikanae Beach Community Hall, 22A Rauparaha Street",0,18,0,0,0,0,7,0,4,0,29,0
"Wellington City","Aro Valley Community Centre, 48 Aro Street",12,146,16,2,7,4,762,7,215,11,1182,7
,"Central Park Flats Community Room, 21 Brooklyn Road",7,34,4,4,1,0,113,0,18,0,181,9
,"Chaffers Dock Atrium, 18 Herd Street",5,184,1,1,0,0,214,0,44,2,451,0
,"Michael Fowler Centre, Renouf Foyer, 111 Wakefield Street",15,303,15,8,1,1,565,2,184,8,1102,4
,"St Andrew's Church Hall, 30 The Terrace",6,169,2,1,0,1,220,1,53,2,455,5
,"St John's Church Conference Centre, corner Dixon & Willis Streets",7,148,8,7,3,0,293,0,60,2,528,7
,"Te Aro School, 360 The Terrace",2,35,2,4,1,0,89,0,19,1,153,1
,"Wellington Central Library Meeting Room, Mezzanine Floor, 65 Victoria Street",14,250,8,10,0,1,508,1,154,7,953,7
"Wilton","Cardinal McKeefry School Hall, 66 Albemarle Road",9,70,2,2,0,0,116,0,18,0,217,1
,"Otari School Hall, 166 Wilton Road",1,52,4,1,0,0,161,0,29,1,249,4
,"Voting places where less than 6 votes were taken",0,0,0,0,0,0,3,0,0,0,3,0
,"Ordinary Votes BEFORE polling day",139,3533,85,78,11,12,5651,31,1395,62,10997,84
,"Special Votes BEFORE polling day",34,478,24,16,2,6,790,5,360,27,1742,26
,"Special Votes On polling day",66,863,51,31,11,7,1485,10,547,25,3096,20
,"Overseas Special Votes including Defence Force",15,653,19,8,1,2,1440,7,500,15,2660,17
,"Wellington Central Total",580,11540,353,307,52,57,19807,90,5077,217,38080,273
,,,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",38353
"Electorate Candidate Valid Votes","Party",,"ROBERTSON, Grant Murray - majority 8267"
"BARR, Hugh",New Zealand First Party,580,.0152310924
"FOSTER-BELL, Paul Ayers Robert",National Party,11540,.3030462185
"GREGORY, Alistair",Aotearoa Legalise Cannabis Party,353,.009269958
"HOOPER, Brian William",Conservative,307,.0080619748
"KARENA WHUIMAONO, Geoffrey",Independent,52,.0013655462
"KNUCKEY, James Nicholas Ransom",Democrats for Social Credit,57,.0014968487
"ROBERTSON, Grant Murray",Labour Party,19807,.5201418067
"ROBINSON, Peter Franklin",Independent,90,.0023634454
"SHAW, James Peter Edward",Green Party,5077,.1333245798
"VALENTINE, Callum Nicholas",Internet Party,217,.0056985294
