Electorate Candidate and Party Votes Recorded at Each Polling Place
"Epsom 12","Candidate Vote Details"
,,"BANKS, John","BRIGHT, Penelope Mary","GOLDSMITH, Paul Jonathan","GOODE, Matthew Gavin","HAY, David Robert","KAN, Shuimo Simon","O'DEA, Patrick John","PARKER, David William","Total Valid Candidate Votes","Informal Candidate Votes"
,"Epsom Total",15835,124,13574,59,2160,342,66,3751,35911,443
,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",36354
"Electorate Candidate Valid Votes","Party",,"BANKS, John - majority 2261"
"BANKS, John",ACT New Zealand,15835,.4409512406
"BRIGHT, Penelope Mary",Independent,124,.003452981
"GOLDSMITH, Paul Jonathan",National Party,13574,.3779900309
"GOODE, Matthew Gavin",Independent,59,.0016429506
"HAY, David Robert",Green Party,2160,.060148701
"KAN, Shuimo Simon",Conservative Party,342,.0095235443
"O'DEA, Patrick John",Mana,66,.001837877
"PARKER, David William",Labour Party,3751,.1044526747
