Electorate Candidate and Party Votes Recorded at Each Polling Place
"West Coast-Tasman 60","Candidate Vote Details"
,,"AUCHINVOLE, Christopher John","HAGUE, Kevin Grant","O'CONNOR, Damien Peter","RICHARDS, Stephen Thomas","SMITH, Jocelyn Penelope","TERRY, Robert","TURNER, Reginald Eric John","WILKINSON, Steven Crawford George","Total Valid Candidate Votes","Informal Candidate Votes"
"Taylorville","Taylorville Fire Station, 704 Taylorville Road",45,4,39,0,0,0,0,5,93,3
"Umukuri","Brooklyn School, Umukuri Road",120,21,112,1,3,2,0,6,265,4
"Upper Moutere","Mahana School, School Road",113,15,83,3,2,0,0,1,217,2
,"Upper Moutere School, Main Road",238,59,211,7,5,1,0,8,529,2
"Waimangaroa","Waimangaroa School, Stewart Street",56,10,83,1,2,0,0,3,155,1
"Waimea West","Waimea West Public Hall, Waimea West Road",75,3,26,1,1,0,0,0,106,0
"Wakefield","Wakefield School, Edward Street",670,74,473,7,9,2,1,10,1246,10
"Westport","IHC Buller Branch, 149 Derby Street",59,4,141,2,2,0,1,2,211,0
,"St Canice's School, corner Brougham & Derby Streets",221,12,372,1,3,2,3,14,628,4
,"Westport Courthouse, Wakefield Street",221,21,365,3,3,2,1,7,623,7
,"Westport North School, Cobden Street",150,13,394,1,3,0,1,10,572,4
,"Westport South School, Derby Street",88,3,219,0,5,0,0,2,317,4
"Whataroa","Whataroa Courthouse, Main Road",95,8,24,1,2,1,0,3,134,1
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",100,4,152,4,2,1,1,3,267,24
,"Ordinary Votes BEFORE polling day",1587,233,1412,24,18,5,9,58,3346,30
,"Special Votes BEFORE polling day",158,42,170,4,2,2,1,11,390,4
,"Special Votes On polling day",662,202,674,14,13,6,5,66,1642,23
,"Overseas Special Votes including defence force",125,34,134,5,1,0,0,1,300,3
,"West Coast-Tasman Total",15844,2102,14873,259,252,50,62,623,34065,366
,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",34431
"Electorate Candidate Valid Votes","Party",,"AUCHINVOLE, Christopher John - majority 971"
"AUCHINVOLE, Christopher John",National Party,15844,.4651108176
"HAGUE, Kevin Grant",Green Party,2102,.0617055629
"O'CONNOR, Damien Peter",Labour Party,14873,.4366064876
"RICHARDS, Stephen Thomas",McGillicuddy Serious Party,259,.0076031117
"SMITH, Jocelyn Penelope",United Future,252,.0073976222
"TERRY, Robert",Aotearoa NZ Youth Party,50,.0014677822
"TURNER, Reginald Eric John",New Zealand Representative Party,62,.0018200499
"WILKINSON, Steven Crawford George",Aotearoa Legalise Cannabis Party,623,.018288566
