Electorate Candidate and Party Votes Recorded at Each Polling Place
"Mana 21","Candidate Vote Details"
,,"COLLINS, Michael Allan","GILCHRIST, Michael Alexander","GOODE, Richard Simon","GUNSTON, Robin Paul","LABAN, Winifred Alexandra","MACLACHLAN, Renton Hamish","MANU, Timothy Salele'a","PARATA, Patricia Hekia","Total Valid Candidate Votes","Informal Candidate Votes"
,"St Paul's Presbyterian Church, Cluny Road, Karehana Bay",11,38,2,4,244,5,0,252,556,1
,"St Theresa's School, James Street",7,13,0,4,130,3,1,147,305,1
"Porirua","Porirua Employment Hub, Asset Finance Building, 6 Hagley Street",7,27,1,3,205,10,4,65,322,3
,"Whitireia Community Polytechnic, Wineera Drive",7,19,0,1,164,4,2,72,269,1
"Porirua East","Porirua East School, 8 Martin Street",12,42,4,17,743,16,17,150,1001,14
,"Windley School, 146 Mungavin Avenue",4,30,0,9,499,5,22,55,624,3
"Pukerua Bay","Pukerua Bay School, 89 Rawhiti Road",15,96,1,12,401,7,0,289,821,1
"Raumati Beach","Raumati Beach School, Raumati Road",22,134,2,15,824,20,5,839,1861,15
,"Real Life Hall, 1 Kowhai Street",9,27,0,8,145,1,0,183,373,0
"Raumati South","Raumati South Returned Services War Memorial Hall, Tennis Court Road",12,75,0,8,337,8,1,236,677,4
,"Raumati South School, Matai Road",12,71,4,6,322,9,2,275,701,10
"Tawa","Hampton Hill School, Victory Crescent",5,5,1,3,35,1,0,30,80,1
,"New Life Church Hall, 236 Main Road",5,16,0,8,60,2,1,63,155,3
"Titahi Bay","Garage, 99 Gloaming Hill",5,26,0,4,217,1,2,103,358,2
,"Ngati Toa School, Piko Street",2,18,1,2,207,5,1,52,288,1
,"Niblick Hall, Niblick Lane",11,53,0,6,503,9,2,191,775,2
,"Titahi Bay Intermediate School, Kahutea Terrace",10,37,1,2,333,7,3,129,522,6
,"Titahi Bay North School, 47 Jillett Street",3,29,2,4,202,7,3,56,306,3
,"Titahi Bay School, 11 Kura Street",5,51,2,3,295,5,4,108,473,6
"Waitangirua","Corinna School, 36 Kalingo Street",1,16,0,1,413,0,7,23,461,6
,"Natone Park School, 6 Kokiri Crescent",0,6,0,0,402,3,20,29,460,6
,"Te Kura Maori o Porirua, 392 Warspite Avenue",2,23,0,1,291,2,10,43,372,2
"Wellington City","Michael Fowler Centre, Renouf Foyer, Level 1, 111 Wakefield Street",2,11,0,2,33,4,0,26,78,1
"Whitby","Discovery School, Pullen Lane",31,57,1,35,384,6,3,585,1102,1
,"Postgate School, 6 Staithes Drive North",20,41,1,12,336,12,0,352,774,3
,"The Anchor, 1 Joseph Banks Drive",29,44,1,20,285,14,3,817,1213,1
,"The Bradey Room, Civic Centre, Discovery Drive",22,38,1,13,317,6,3,485,885,3
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",3,11,0,1,140,1,0,57,213,1
,"Ordinary Votes BEFORE polling day",39,117,5,29,1029,17,12,925,2173,17
,"Special Votes BEFORE polling day",13,33,1,14,297,4,7,165,534,2
,"Special Votes On polling day",53,238,5,27,1296,19,24,641,2303,34
,"Overseas Special Votes including defence force",9,57,0,7,234,5,2,184,498,8
,"Mana Total",628,2288,64,472,18070,337,282,11915,34056,277
,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",34333
"Electorate Candidate Valid Votes","Party",,"LABAN, Winifred Alexandra - majority 6155"
"COLLINS, Michael Allan",ACT New Zealand,628,.0184402161
"GILCHRIST, Michael Alexander",Green Party,2288,.0671834625
"GOODE, Richard Simon",Libertarianz,64,.0018792577
"GUNSTON, Robin Paul",United Future,472,.0138595255
"LABAN, Winifred Alexandra",Labour Party,18070,.5305966643
"MACLACHLAN, Renton Hamish",Kiwi Party,337,.0098954663
"MANU, Timothy Salele'a",New Zealand Pacific Party,282,.0082804792
"PARATA, Patricia Hekia",National Party,11915,.3498649284
