Electorate Candidate and Party Votes Recorded at Each Polling Place
"Taupo 51","Candidate Vote Details"
,,"BURTON, Richard Mark","CAMPBELL SMITH, Kristin Judith","CHECK, Paul Ramon","DAVIS, John Llewellyn","JOLLANDS, Andrew Malcolm","KIRTON, Weston Mervyn","MAEA, William Paremoni Skid","POTROZ, Debra Ann","REEKS, David","TE KOWHAI, Charles Francis","Total Valid Candidate Votes","Informal Candidate Votes"
"Putaruru","Abbey's Place, Commerce St",154,17,8,13,3,137,0,1,1,2,336,2
,"Putaruru Baptist Church Hall, 52 Arapuni Street",309,37,16,10,5,159,3,0,3,6,548,1
,"Putaruru Contract Bridge Club, Overdale Street",362,35,16,14,14,353,7,2,6,4,813,1
,"Te Kura O Te Kaokaoroa O Patetere, 117 Buckland St",42,4,4,2,1,39,3,0,0,0,95,0
"Raetihi","Raetihi Primary School Hall, 24 Grey Street",115,34,7,16,4,170,13,0,1,0,360,5
"Rangitaiki","Rangitaiki School, Library, School Rd",15,1,0,0,0,22,0,0,0,0,38,1
"Taumarunui","Catholic Church Hall, 14 High Street",122,11,4,10,3,105,3,0,1,2,261,1
,"Manunui School, Room 1, Rata Street",138,14,5,11,3,137,5,0,3,2,318,3
,"Tarrangower School Library, Manson Street",105,8,1,4,1,122,4,0,2,1,248,6
,"Taumarunui Primary School Hall, Maata Street",161,21,7,4,3,143,9,1,3,4,356,3
,"Te Kura Kaupapa Maori O Taumarunui, Makere Street",61,6,4,2,1,36,7,0,0,1,118,2
,"WINZ Main Office, cnr Miriama & Marae Sts",238,39,9,11,6,215,6,1,2,8,535,7
"Taupo","Hilltop School Hall, 90 Rokino Road",363,21,21,22,5,546,5,0,7,2,992,2
,"Hinemoa Kindergarten, 61 Hinemoa Avenue",164,15,7,9,1,107,1,0,0,1,305,3
,"Mountview Primary School Hall, Rangatira Street",208,26,9,10,1,94,14,0,2,1,365,0
,"Tauhara School Hall, 90 Crown Road",334,32,20,13,6,250,4,0,3,4,666,1
,"Taupo Baptist Church Hall, cnr Rifle Range and Taupo View Roads",558,55,30,32,7,500,3,0,6,21,1212,5
,"Taupo District Court, Story Place",217,26,12,14,9,293,6,0,2,3,582,1
,"Taupo Nui-A-Tia College Hall, Spa Road",489,46,34,24,10,473,9,0,6,10,1101,2
,"Taupo Primary School Hall, Tamamutu Street",696,80,37,33,22,710,22,1,11,17,1629,11
,"Unison Youth Arts Centre, Richmond Avenue",232,34,22,12,3,290,4,0,2,2,601,2
,"Waipahihi Primary School Library, 20 Parata Street",354,21,23,22,3,389,7,0,4,7,830,4
"Tihoi","Tihoi Venture School, Room 2, 289 Tihoi Mill Road",14,1,0,0,0,25,0,0,0,0,40,0
"Tirau","Tirau School, 69 Main Road",196,39,10,17,5,422,3,0,2,10,704,7
"Tirohanga","Tirohanga School Library, Tirohanga Road",21,1,1,2,2,59,1,0,0,0,87,1
"Tokaanu","Tokaanu Lodge Motel, Units 6 and 7, cnr Mangaroa Street and SH 41",27,3,2,2,2,33,2,0,0,0,71,1
"Tokoroa","Amisfield School, Room 5, Moffat Road",118,14,5,5,4,112,6,0,1,2,267,3
,"David Henry Primary School, Staffroom, Thompson Street",343,30,7,4,0,92,13,0,4,4,497,4
,"Kinleith Firestation, Main Entrance Road, Off Kinleith Road, Off SH 1",149,20,4,7,1,67,9,0,2,2,261,1
,"St Luke's Pacific Island Presbyterian Church Hall, Maraetai Rd ",397,20,4,5,2,34,21,0,0,7,490,2
,"Strathmore School Hall, Strathmore Drive",314,31,5,9,1,95,12,0,1,5,473,2
,"Te Kura Kaupapa Maori O Te Hiringa, Tainui Street",229,19,2,13,2,37,31,0,1,2,336,5
,"Tokoroa Central School Library, Clyde Street",251,17,0,9,0,49,17,0,0,2,345,1
,"Tokoroa District Court, 26 Bridge Street",765,57,22,24,3,272,38,0,15,9,1205,8
,"Tokoroa East School Hall, Main Road",105,2,1,4,4,51,16,0,1,3,187,1
,"Tokoroa North School Hall, 29 Paraonui Road",439,42,13,22,5,257,19,1,3,8,809,6
"Turangi","Te Kura O Hirangi, Staffroom, 25 Mawake Place",89,2,0,2,1,19,18,0,0,1,132,0
,"Tongariro Seniors' Hall, Town Centre",456,48,12,24,15,356,21,0,11,11,954,11
"Upper Atiamuri","Upper Atiamuri School, 2613 SH 30",22,4,1,1,1,43,0,0,2,2,76,1
"Wairakei","Wairakei Resort, Heritage Room SH 1 Wairakei",53,5,1,7,2,55,1,1,1,0,126,1
"Wairakei Village","Wairakei School, Room 1, Kauri Drive",158,15,8,12,1,161,11,0,4,6,376,1
"Waitahanui","Te Kura o Waitahanui, State Highway 1",41,3,3,0,1,16,5,0,0,0,69,0
"Waotu","Te Waotu School Library, Waotu Road",29,3,2,0,5,97,0,0,0,2,138,2
"Whakamaru","Whakamaru School Hall, 36 Kaahu Road",50,6,1,2,2,66,2,0,1,2,132,0
"Whakapapa Village","Whakapapa Village Firestation, Bruce Road",38,3,3,6,2,13,0,0,0,0,65,1
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",138,17,1,1,1,105,1,0,2,4,270,15
,"Ordinary Votes BEFORE polling day",1024,90,71,54,26,1043,32,0,16,23,2379,19
,"Special Votes BEFORE polling day",142,17,4,9,3,159,3,0,0,10,347,3
,"Special Votes On polling day",748,63,40,83,15,722,36,0,5,24,1736,16
,"Overseas Special Votes including defence force",105,2,1,6,3,137,0,0,4,1,259,4
,"Taupo Total",13211,1337,598,751,275,11926,501,11,167,260,29037,207
,,,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",29244
"Electorate Candidate Valid Votes","Party",,"BURTON, Richard Mark - majority 1285"
"BURTON, Richard Mark",Labour Party,13211,.4549712436
"CAMPBELL SMITH, Kristin Judith",New Zealand First Party,1337,.0460447016
"CHECK, Paul Ramon",United Future New Zealand,598,.020594414
"DAVIS, John Llewellyn",Green Party,751,.0258635534
"JOLLANDS, Andrew Malcolm",ACT New Zealand,275,.0094706753
"KIRTON, Weston Mervyn",National Party,11926,.4107173606
"MAEA, William Paremoni Skid",Mâori Party,501,.0172538485
"POTROZ, Debra Ann",The Republic of New Zealand Party,11,.000378827
"REEKS, David",Jim Anderton's Progressive,167,.0057512828
"TE KOWHAI, Charles Francis",Destiny New Zealand,260,.0089540931
