Electorate Candidate and Party Votes Recorded at Each Polling Place
"Taupō 50","Candidate Vote Details"
,,"BREETVELT, Mark","CAMPBELL, Frances Fanny","JOLLANDS, Rosanne Maree","McCARTHY, Zane","PERRY, Edwin Jock","REEDY, Keriana Jacqueline Hine","SIMMONS, Alan Frank","UPSTON, Louise Claire","Total Valid Candidate Votes","Informal Candidate Votes"
,"Putaruru College, 1 Junction Street",4,47,1,22,13,1,1,109,198,4
,"St Patrick's Hall, 5 McKenzie Street",26,146,7,45,50,5,3,345,627,14
,"Te Waotu School, 1274 Waotu Road",3,14,0,3,3,0,0,92,115,1
"Rangitaiki","Rangitaiki School, 27 Rangitaiki School Road",0,6,0,0,3,0,1,17,27,0
"Roto-O-Rangi","Roto-O-Rangi School, 5 Kairangi Road",1,9,2,15,9,0,0,181,217,0
"Taupo","Acacia Bay Community Centre, 1 Wakeman Road",25,69,3,35,22,2,3,680,839,17
,"Active Arts, 5 Redoubt Street",3,19,0,4,1,1,0,77,105,3
,"Hilltop School, 90 Rokino Road",9,91,3,62,12,2,3,631,813,12
,"Hinemoa Kindergarten, 61 Hinemoa Avenue",7,69,2,13,14,3,4,145,257,7
,"Huka Falls Resort, 56 Huka Falls Road",3,22,2,16,8,0,3,187,241,8
,"Inspire Church, 65 Lakewood Drive",39,108,3,32,20,4,6,469,681,11
,"Mountview School, 31 Rangatira Street",4,63,1,18,14,8,2,131,241,6
,"Senior Citizens Hall, 12 Story Place",3,8,0,0,0,0,0,26,37,0
,"St Andrew's Anglican Church, 91 Titiraupenga Street",4,17,0,9,3,3,2,93,131,5
,"Summerset By The Lake, 2 Wharewaka Road",14,37,0,10,11,1,1,161,235,11
,"Tauhara College, 101 Invergarry Road",7,56,1,16,12,2,2,196,292,9
,"Tauhara Primary School, 90 Crown Road",10,102,1,22,26,4,3,243,411,8
,"Taupo Baptist Church Hall, corner Rifle Range & Taupo View Roads",22,178,5,59,48,6,9,516,843,24
,"Taupo District Court, 21 Story Place",4,6,0,3,1,1,1,39,55,0
,"Taupo Library, Meeting Room, First Floor, Tongariro Street (access from the Cenotaph)",5,21,2,10,3,3,0,117,161,3
,"Taupo Primary School, corner Tamamutu & Ruapehu Streets",16,90,3,42,33,10,1,350,545,8
,"Taupo-nui-a-Tia College, 122 Spa Road",5,79,1,16,31,4,4,264,404,3
,"Waiariki Institute of Technology Taupo Campus, corner Heu Heu and Kaimanawa Streets",3,14,1,4,8,0,1,56,87,2
,"Waipahihi Hall, Unison Youth Arts Centre, 98 Richmond Avenue",17,131,9,35,24,3,7,459,685,9
,"Waipahihi School, 20 Parata Street",19,89,0,28,9,5,5,359,514,13
"Tihoi","Tihoi Venture School, 289 Tihoi Mill Road, RD1",2,5,0,2,0,0,0,26,35,0
"Tirau","Tirau War Memorial Hall, 27 Main Road",22,87,6,42,32,0,1,456,646,10
"Tirohanga ","Tirohanga School, 851 Tirohanga Road",3,8,1,3,0,0,0,83,98,1
"Tokoroa","Amisfield School, 10 Moffat Road",15,72,3,18,7,0,2,162,279,10
,"David Henry School, 4-8 Thompson Street",11,192,2,25,27,8,1,118,384,18
,"St John Ambulance Hall,  62 Logan Street",18,329,6,50,68,26,4,317,818,25
,"St Luke's Pacific Island Presbyterian Church Hall, corner Maraetai Road & Kelso Street",12,308,0,23,31,9,2,106,491,16
,"Strathmore School, 27 Strathmore Drive",16,171,3,28,29,4,6,135,392,12
,"Tainui Full Primary School, 63- 69 Tainui Street",9,201,1,34,33,9,1,120,408,13
,"Tokoroa Central School, 3 Clyde Street",13,182,1,19,33,7,5,114,374,16
,"Tokoroa North School, 29 Paraonui Road",21,223,1,45,35,5,2,346,678,12
"Turangi","Kuratau School, 2244 State Highway 41, Kuratau Junction",0,9,0,3,3,0,1,38,54,0
,"Te Kura o Hirangi, 25 Mawake Place",1,32,2,2,6,15,2,21,81,5
,"Tongariro Seniors' Hall, McLaren Park, 83 Ohuanga Road",20,169,8,36,50,14,19,283,599,14
"Upper Atiamuri","Upper Atiamuri School, 2613 State Highway 30",0,16,0,1,0,0,0,44,61,3
"Wairakei Village","Wairakei School, 2 Kauri Drive",4,65,1,33,15,2,2,257,379,5
"Waitahanui","Te Kura o Waitahanui, 107 State Highway 1",2,12,1,6,1,8,2,36,68,1
"Whakamaru","Whakamaru School, 36 Kaahu Road",7,14,2,6,5,4,1,60,99,2
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,5,5,0
,"Ordinary Votes BEFORE polling day - Taken in Rotorua",0,5,0,0,1,0,1,10,17,0
,"Ordinary Votes BEFORE polling day - Taken in Taupō",149,1086,36,299,263,37,34,3930,5834,130
,"Special Votes BEFORE polling day",7,104,0,40,23,5,2,310,491,13
,"Special Votes On polling day",43,426,14,193,78,20,11,1159,1944,45
,"Overseas Special Votes including Defence Force",0,38,0,20,2,2,0,132,194,0
,"Taupō Total",900,6819,190,2056,1508,266,216,20934,32889,721
,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",33610
"Electorate Candidate Valid Votes","Party",,"UPSTON, Louise Claire - majority 14115"
"BREETVELT, Mark",Conservative Party,900,.0273647724
"CAMPBELL, Frances Fanny",Labour Party,6819,.207333759
"JOLLANDS, Rosanne Maree",ACT New Zealand,190,.0057770075
"McCARTHY, Zane",Green Party,2056,.0625133023
"PERRY, Edwin Jock",New Zealand First Party,1508,.0458511964
"REEDY, Keriana Jacqueline Hine",Mana,266,.0080878105
"SIMMONS, Alan Frank",United Future,216,.0065675454
"UPSTON, Louise Claire",National Party,20934,.6365046064
