Electorate Candidate and Party Votes Recorded at Each Polling Place
"Te Tai Tokerau 67","Candidate Vote Details"
,,"DANIELS, Judy","HARAWIRA, Hone Pani Tamati Waka Nene","MANGU, Mere Maryann","MAXWELL, Hana Harriett","MORTON, Patrick Ernest","SAMUELS, Dover Spencer Peneha","Total Valid Candidate Votes","Informal Candidate Votes"
"Belmont","Belmont Primary School, 3A Harrison Ave",0,11,1,2,0,9,23,0
"Campbells Bay","Campbells Bay School Hall, Aberdeen Rd",1,6,0,0,0,1,8,0
"Castor Bay","Presbyterian Church Hall, Katui St",0,2,0,0,1,2,5,2
"Devonport","Devonport Community House, 32 Clarence St",2,18,1,1,0,22,44,0
,"Devonport Holy Trinity Parish Hall, Church St",0,4,2,0,0,12,18,1
,"Devonport Presbyterian Church Hall, Victoria Rd",0,15,0,0,0,11,26,1
"Forrest Hill","Forrest Hill Presbyterian Church Hall, Forrest Hill Rd",0,10,1,1,2,8,22,1
"Hauraki","Hauraki School, Jutland Road",0,6,0,0,0,6,12,0
,"Takapuna Bible Chapel Hall, 13 Jutland Rd",1,9,0,1,1,5,17,0
,"Takapuna Grammar, Lake Road",0,4,0,0,1,9,14,0
"Mairangi Bay","Mairangi Bay Presbyterian Church Hall, 11 Hastings Rd",0,6,1,1,0,7,15,1
,"Mairangi Bay School, Galaxy Drive Entrance",0,8,1,0,0,4,13,0
"Milford","Carmel College, 114 Shakespeare Road",1,8,0,0,0,5,14,0
,"Milford Baptist Church Hall, Dodson Ave",0,4,0,0,0,4,8,0
,"Milford School, 34 Shakespeare Road",0,11,4,1,0,9,25,2
"Narrow Neck","Vauxhall School, Morrison Avenue",0,4,1,0,1,6,12,0
"Stanley Bay","Stanley Bay School, 15 Russell Street",0,5,0,0,0,8,13,0
"Sunnynook","Sunnynook School, Lyford Crescent",0,15,2,0,1,9,27,0
,"Wairau Intermediate School, Becroft Drive",4,17,2,2,1,25,51,3
"Takapuna","Takapuna Methodist Church Hall, Lake Rd",0,8,0,0,2,4,14,1
,"Takapuna Normal Intermediate School, Taharoto Rd",0,5,0,0,1,3,9,1
,"Takapuna School (entrance) 23 Auburn Street or Anzac Street",0,11,2,2,0,6,21,1
"Westlake","Westlake Boys High School, Forrest Hill Road",0,5,0,0,0,2,7,1
,Northcote
"Beachhaven","Birkdale Beachhaven Residents Hall, 336 Rangatira Road",1,88,3,3,3,55,153,3
,"Maria Assumpta Parish Hall, 198 Beachhaven Road",1,27,2,0,2,21,53,0
"Birkdale","Birkdale Intermediate School, 200 Birkdale Road",4,58,4,1,2,29,98,3
