Electorate Candidate Votes Recorded at Each Voting Place
"Tāmaki Makaurau 67","Candidate Vote Details"
,,"DAVIDSON, Marama Mere-Ana","HARRISON, Raewyn Emma","HENARE, Peeni Ereatara Gladwyn","McLEAN, Rangi","PENE, Kereama","Total Valid Candidate Votes","Informal Candidate Votes"
,"Remuera Primary School, 25-33 Dromorne Road",1,0,1,4,1,7,0
,"Somervell Presbyterian Church and Community Centre, 497 Remuera Road",6,2,4,3,1,16,0
,"St Mark's Church Hall, 95 Remuera Road",4,0,6,4,1,15,0
,"Victoria Avenue School, 250 Victoria Avenue",0,0,4,9,0,13,1
,Helensville
"Henderson","Henderson Valley Primary School, 389 Henderson Valley Road",7,1,6,6,0,20,0
"Huia","Huia Hall, 1253 Huia Road",4,0,5,10,0,19,0
"Laingholm","Laingholm Primary School, 54 Victory Road",5,1,15,6,2,29,2
"Oratia","Oratia District School, 1 Shaw Road",5,1,4,6,1,17,1
"Piha","Barnett Hall, 2 North Piha Road",12,1,1,5,3,22,0
"Titirangi","Woodlands Park School, 202 Woodlands Park Road",8,1,6,6,2,23,0
"Waiatarua","Waiatarua Community Hall, 911 West Coast Road",3,1,2,3,1,10,0
,Kelston
"Avondale","Avondale Intermediate School, 12 Holly Street",9,0,15,12,5,41,1
,"Rosebank School Hall, 217 Rosebank Road",12,1,51,27,14,105,5
"Glen Eden","Catholic Church Hall, 7 Glendale Road",9,2,31,3,4,49,0
,"Glen Eden Baptist Church Hall, 97 Glendale Road",5,0,11,21,5,42,1
,"Glen Eden Primary School, 3 Glenview Road",11,2,18,5,6,42,3
,"Konini School, 44 Withers Road",11,1,21,5,6,44,1
,"Prospect School Hall, 76 Rosier Road",19,2,33,18,4,76,6
,"Te Kura Kaupapa Māori o Hoani Waititi Marae, 441 West Coast Road",3,0,6,30,5,44,0
"Kelston","Kelston Boys High School, corner Archibald & St Leonards Roads (Gate 3)",6,0,18,12,12,48,1
,"Kelston Girls College, 1 Archibald Road",4,0,24,11,11,50,0
,"St Leonards Road School, 15 St Leonards Road",6,0,22,14,13,55,1
"Titirangi","Kaurilands School, 109 Atkinson Road",5,1,16,9,1,32,0
"Waterview","Waterview Methodist Church Hall, corner Great North Road & Fir Street",14,0,19,12,3,48,1
,Māngere
"Favona","Favona School, Cadrona Place entrance",9,0,42,29,14,94,2
,"Koru School, 71 Robertson Road",8,1,30,13,9,61,1
"Ihumatao","Makaurau Marae, 8 Ruaiti Road",13,0,27,18,16,74,0
"Mangere","Jean Batten School, 6 Imrie Avenue",4,1,15,18,9,47,1
,"Mangere Central School, 254 Kirkbride Road",11,0,11,19,2,43,2
,"Mangere College, 23 Bader Drive",9,2,9,14,15,49,0
,"Mangere Old School Hall, 299 Kirkbride Road",9,0,23,7,12,51,0
,"Nga Iwi School, 60 Mascot Avenue",15,2,34,24,23,98,8
,"Robertson Road School, 205 Robertson Road",12,2,33,32,14,93,1
,"Sir Douglas Bader Intermediate School, 4 Court Town Close",1,0,5,4,2,12,0
,"Southern Cross Campus, 253 Buckland Road West",5,0,29,13,9,56,1
,"Te Kura Kaupapa Maori a Rohe o Mangere, 7 Comet Crescent",3,0,21,29,21,74,1
,"Viscount Learning Community School, 65 Viscount Street",7,0,40,31,15,93,2
"Mangere Bridge","Mangere Bridge School, 3-5 Taylor Road Entrance",8,32,26,21,12,99,1
,"St James Anglican Church Hall, 27 Church Road",20,1,37,33,9,100,3
,"Waterlea School, 17 House Avenue",13,0,21,15,1,50,0
"Mangere East","De La Salle College, 81 Gray Avenue",4,0,25,16,6,51,0
,"Kingsford School, 54 Raglan Street",9,0,36,27,19,91,1
,"Mangere East Primary School, 21 Yates Road",8,2,44,16,20,90,1
,"Selwyn Anglican Church Hall, corner Massey Road & Hain Avenue",14,0,29,14,11,68,1
,"Sutton Park School, 89 Vine Street",12,0,30,25,13,80,0
"Papatoetoe","Kedgley Intermediate School, 181 Portage Road",11,0,23,25,8,67,0
,Manukau East
"Otahuhu","Fairburn School, 10 Pukeora Road",6,0,17,10,2,35,2
,"McAuley High School, 26 High Street",3,0,26,14,10,53,0
,"Middlemore Hospital, Hospital Road",0,0,11,13,3,27,1
,"Otahuhu College, 74-78 Mangere Road",12,0,20,20,10,62,0
,"Otahuhu Intermediate School, 22-24 Luke Street",13,0,22,12,7,54,1
,"Otahuhu Primary School, 41 Station Road",15,0,30,18,4,67,1
"Otara","Bairds Mainfreight Primary School, 12 Edward Avenue",8,0,29,23,11,71,2
,"East Tamaki Primary School, 196 Preston Road",5,1,23,16,9,54,3
,"Ferguson Intermediate School, 20-40 Ferguson Road",7,0,23,22,12,64,2
,"Flat Bush School, 20 Flat Bush Road",8,1,36,17,13,75,0
,"Mayfield School, 12 Pearl Baker Drive",12,0,30,21,24,87,1
,"Otara Leisure Centre, Seminar Room, 115 Bairds Road ",8,1,39,17,13,78,1
,"Sir Edmund Hillary Collegiate, 67 Otara Road",4,2,36,26,14,82,0
,"Wymondley Road School, 77 Wymondley Road",4,0,15,15,0,34,0
,"Yendarra School, 226 Bairds Road",3,0,16,11,4,34,0
"Papatoetoe","Aorere College, 6-8 Selfs Road",4,0,10,5,5,24,1
,"Holy Cross Church Hall, corner Fairview & Carruth Roads",6,0,23,28,5,62,0
,"Hunters Plaza Shopping Centre, Shop 24, Great South Road",2,2,9,6,0,19,0
,"Omana Kindergarten, 42 Omana Avenue",6,1,5,14,1,27,0
,"Papatoetoe Central Primary School, corner Great South Road & Saint George Street",4,0,10,12,6,32,2
,"Papatoetoe East Primary School, 138 Tui Road",9,3,26,28,4,70,0
,"Papatoetoe High School, 19 Nicholson Avenue",13,0,15,12,7,47,0
,"Papatoetoe Intermediate School, 175 Motatau Road",9,1,19,19,3,51,0
,"Papatoetoe South School, 60 Milan Road (Kenderdine Road entrance)",6,0,17,25,17,65,2
,"Papatoetoe West School, 1-3 Hillcrest Road",8,1,43,27,10,89,2
,"Puhinui Scout Hall, York Road",10,1,11,14,3,39,1
,"Wesley Methodist Church Hall, 37 Kolmar Road",2,1,18,14,4,39,0
,"Whitehaven Pensioners Flats Hall, 146 Kolmar Road",3,0,2,8,1,14,0
,Manurewa
"Manukau","Everglade Primary School Hall, 64 Everglade Drive Manukau",10,4,37,40,8,99,1
,"Redoubt North Wesleyan Church, 51 Diorella Drive ",5,0,34,22,12,73,1
,"Wiri Community Hall, 11 Inverell Avenue",14,1,43,42,15,115,2
"Manurewa","Clendon Park School Hall, 145 Rowandale Avenue ",14,0,49,42,12,117,2
,"Finlayson Park School Hall, 87 John Walker Drive",20,5,32,90,79,226,4
,"Greenmeadows Intermediate, Ferguson Road entrance",9,0,42,13,7,71,1
,"Hillpark School Hall, 57 Grande Vue Road",16,1,24,39,4,84,0
,"Homai Primary School Hall, 89 Browns Road",8,0,29,24,7,68,2
,"James Cook High School Hall, 12 Dr Pickering Avenue",15,1,44,63,14,137,2
,"Manurewa Central School, corner Great South & Hill Roads",7,1,14,13,6,41,1
,"Manurewa East School Hall, 10 Scotts Road",3,0,11,10,4,28,1
,"Manurewa Library, 7 Hill Road",17,2,34,39,10,102,4
,"Manurewa South Primary School Hall, 39 Tawa Crescent ",13,0,30,32,13,88,0
,"Manurewa West Primary School Hall, 31 McKean Avenue",9,0,32,32,10,83,3
,"Roscommon School Hall, 23 Burundi Avenue",21,2,74,79,25,201,3
,"Rowandale School Hall, 73 Rowandale Avenue",23,1,80,70,33,207,1
,"St Elizabeth's Anglican Church Hall, 182 Finlayson Avenue",6,0,14,21,8,49,2
,"St Luke's Anglican Church Hall, 3 Russell Road ",19,0,54,52,13,138,5
,"Table Tennis Club Hall, corner Browns & McVilly Roads",5,0,31,43,16,95,2
,"Te Matauranga School Hall, 206 Finlayson Avenue",9,1,36,32,8,86,1
"Papatoetoe","Puhinui Primary School Hall, 116 Puhinui Road",8,2,15,16,6,47,2
"Weymouth","Weymouth Primary School Hall, 23 Evans Road",29,3,58,82,19,191,3
,Maungakiekie
"Ellerslie","Christ Church Anglican Church, 169 Ladies Mile",5,3,5,21,0,34,1
,"Ellerslie Kindergarten, 122 Celtic Crescent",2,2,7,6,1,18,0
,"St Mary's Church Hall, 66 Main Highway",6,2,7,7,2,24,0
,"YMCA Centre, Downstairs Childcare Centre, 46 Michaels Avenue",0,0,3,4,0,7,1
"Mt Wellington","Bailey Road School, 19 Bailey Road",14,3,33,21,1,72,0
,"Panmure District School, 87 Mt Wellington Highway",9,0,14,12,4,39,2
,"Pensioner Flats Hall, 7 Rowlands Avenue",3,0,3,2,2,10,0
,"Stanhope Road School, 2B Harris Road",6,2,18,17,10,53,1
,"Sylvia Park School, 3 Longford Street",7,3,21,24,2,57,0
"One Tree Hill","Oranga School, 21 Rangipawa Road",7,1,13,7,5,33,0
,"St Oswald's Anglican Church Hall, 193 Campbell Road",3,0,3,7,1,14,0
"Onehunga","Onehunga Co-operating Parish, corner Grey Street & Onehunga Mall",8,0,6,5,1,20,0
,"Onehunga High School, 24 Pleasant Street",1,1,3,3,0,8,0
,"Onehunga Primary School, 122 Arthur Street",5,1,11,12,2,31,0
,"St Peter's Anglican Church, corner Church Street & Onehunga Mall",4,1,18,12,11,46,0
"Oranga","St Stephen's Church Hall, 21 Waitangi Road",4,0,18,7,9,38,2
,"Te Papapa School, 219 Mt Smart Road",7,1,34,18,11,71,2
"Otahuhu","Panama Road School, 139 Panama Road",17,4,51,24,16,112,3
"Panmure","Panmure Bridge Primary School, 76 Kings Road",10,3,27,16,2,58,1
,"Panmure Community Centre, 7-13 Pilkington Road",3,1,22,21,7,54,2
,"Ruapotaka Primary School, 10A Taratoa Street",4,0,17,8,2,31,0
,"St Patrick's Church Hall, 19 Sunset View Road",0,1,7,1,2,11,0
,"Tamaki Community Church, 4A Court Crescent",5,0,8,9,4,26,2
,"Tamaki Primary School, 11A Alamein Road",2,0,32,20,15,69,2
"Penrose","One Tree Hill College, 421-451 Great South Road",7,0,9,6,5,27,1
"Point England","Point England Primary School, 130 Point England Road",14,0,45,25,7,91,2
,Mt Albert
"Grey Lynn","Grey Lynn Community Centre, 510 Richmond Road",25,0,14,15,3,57,0
,"Grey Lynn Primary School, 44 Surrey Crescent",5,0,11,10,2,28,0
,"Mata'aga Hall, 18 Leighton Street",2,0,0,4,0,6,0
,"St Joseph's School Hall, 456 Great North Road",3,0,6,5,3,17,0
"Kingsland","Congregational Christian Church of Samoa, 50 Bond Street",9,0,11,5,0,25,1
,"Kowhai Intermediate School, 26 Onslow Road",15,0,22,20,2,59,0
"Morningside","Morningside Church of Christ Hall, 42 Leslie Avenue",4,0,9,4,2,19,0
"Mt Albert","Gladstone Primary School Hall, 8 Seaview Terrace",11,1,9,10,1,32,0
,"Marist College, 31 Alberton Avenue",7,0,6,5,0,18,0
,"Mt Albert Baptist Church, Jubilee Hall, 732 New North Road",2,0,10,13,0,25,0
,"Mt Albert Kindergarten, 24 Mark Road",3,0,3,3,2,11,1
,"Mt Albert Methodist Church Hall, corner New North Road & Alexis Avenue",5,0,1,2,4,12,0
,"Mt Albert Presbyterian Church Hall, 14 Mt Albert Road",4,0,4,3,1,12,0
,"Mt Albert Primary School Hall, 6 Sainsbury Road (Taylors Road entrance)",6,1,8,4,1,20,0
,"Owairaka District School Hall, 113 Richardson Road",10,1,24,9,6,50,0
,"Rossgrove Chapel, 12 Rossgrove Terrace",10,0,9,5,2,26,1
,"Salvation Army Community Church Hall, 218 Mt Albert Road (Duncan Avenue entrance)",4,1,15,4,1,25,0
"Mt Eden","Balmoral School Hall, 19 Brixton Road",3,0,4,3,0,10,1
,"Good Shepherd Parish Hall, 30 Telford Avenue",2,0,2,2,1,7,0
"Newton","Newton Central School, Waima Street",7,0,5,6,1,19,0
"Point Chevalier","Pasadena Intermediate School Hall, 26 Moray Place",0,1,4,4,2,11,1
,"Point Chevalier Primary School, 7-31 Te Ra Road",9,0,7,11,1,28,0
,"Springs of Life Church Hall, 126 Point Chevalier Road",9,0,9,7,2,27,1
"Sandringham","Christian Family Church Hall, 631 Sandringham Road",9,1,8,2,1,21,1
,"Edendale Primary School Hall, 419 Sandringham Road",15,0,15,9,7,46,1
"Western Springs","Greek Orthodox Church Hall, 108 Western Springs Road",6,0,11,9,1,27,0
"Westmere","Westmere School, Larchwood Avenue",12,1,12,11,0,36,0
,Mt Roskill
"Balmoral","Auckland Deaf Society Incorporated, 164 Balmoral Road",5,0,8,5,0,18,0
,"Balmoral Scout Group, Pollard Park, 1a Waitomo Avenue",6,0,4,3,1,14,1
"Epsom","Epsom Methodist Church Hall, 12 Pah Road",2,1,3,3,0,9,0
"Hillsborough","Hillsborough Primary School ,18 Belfast Street",3,0,6,11,0,20,0
,"St David's Church, 202 Hillsborough Road",3,0,9,8,2,22,0
,"Waikowhai Primary School, 381 Hillsborough Road",2,0,8,3,0,13,0
"Lynfield","Halsey Drive Primary School, 106 Halsey Drive",2,0,3,2,3,10,0
,"Lynfield Tennis Club, 18 The Avenue",2,0,12,4,0,18,0
"Mt Eden","Maungawhau School, 43 Ellerton Road",5,0,7,6,3,21,0
"Mt Roskill","Christ The King Parish School Hall, 288 Richardson Road",1,1,3,0,2,7,1
,"Dominion Road School, 14 Quest Terrace",6,0,8,9,1,24,0
,"Hay Park School, 670 Richardson Road",5,0,8,14,0,27,2
,"May Road School, 504 Richardson Road",2,0,12,10,4,28,0
,"Mt Roskill Intermediate School, 62 Denbigh Avenue",2,1,2,2,0,7,0
,"St Giles Presbyterian Church, 1207 Dominion Road",3,0,9,4,2,18,0
,"St John's Presbyterian Church, 422 Mt Albert Road",3,0,7,2,1,13,0
,"Sunnydene Special School, 48 Smallfield Avenue",0,0,7,3,4,14,0
,"Tri-Star Gymnastic Club Incorporated, 55 Arundel Street",1,0,2,3,0,6,0
,"Wesley Intermediate School, 798 Sandringham Road",3,0,13,8,0,24,0
,"Wesley Primary School, 24 Potter Avenue",1,0,11,6,6,24,3
"Royal Oak","Royal Oak Intermediate, 74 Symonds Street (Trafalgar Street entrance)",7,1,7,9,3,27,0
,"Royal Oak Primary School, Chandler Avenue (663 Manukau Road entrance)",6,1,10,8,0,25,2
"Three Kings","Mt Roskill Primary School, 37 Frost Road",3,0,3,1,2,9,0
,"Three Kings School, 944 Mt Eden Road",7,1,17,9,6,40,0
,New Lynn
"Avondale","Ascot Room, Avondale Race Course, 2-48 Ash Street",4,0,14,9,3,30,1
,"Avondale Baptist Church, 1288 New North Road",10,0,7,8,3,28,0
,"Avondale Primary School, Crayford Street West",17,15,8,15,4,59,5
"Blockhouse Bay","Blockhouse Bay Baptist Church, 504 Blockhouse Bay Road",3,0,3,4,1,11,0
,"Blockhouse Bay Community Church, 76 Dundale Avenue",2,0,10,8,2,22,0
,"Blockhouse Bay Primary School, 584 Blockhouse Bay Road",9,0,11,12,0,32,1
,"Chaucer School, Bowling Club Hall, 8 Falkirk Street",6,0,14,5,1,26,0
,"Glenavon School, Multi Purpose Room, 340 Blockhouse Bay Road",7,0,32,7,2,48,2
,"St Dominic's Catholic Primary School, 32 Bolton Street",2,0,7,5,2,16,0
"Green Bay","Green Bay Community House, 1 Barron Drive",14,1,9,8,2,34,0
,"Green Bay School, 131 Godley Road",9,0,15,9,3,36,2
"Lynfield","Lynfield College School, 191 White Swan Road (main entrance)",2,1,5,0,0,8,0
"Mt Roskill","Marshall Laing Primary School, 39 Marshall Laing Avenue",1,0,4,2,5,12,2
"New Lynn","Arahoe School, 11 Arahoe Road",9,1,16,21,0,47,2
,"Dayspring Trust Hall, 2 Seabrook Avenue",8,0,7,10,5,30,0
,"Fruitvale School, 9 Croydon Road",13,1,20,15,6,55,1
,"New Lynn Salvation Army Hall, 32 Delta Avenue",7,0,15,6,5,33,0
,"New Lynn Sea Scout Hall, 37 Margan Avenue",6,0,16,5,3,30,1
,"St Austells, 35 Margan Avenue",2,0,6,3,3,14,1
"New Windsor","New Windsor School, 185 New Windsor Road (64 Peter Buck Road entrance)",11,1,23,11,6,52,1
"Titirangi","St Francis Anglican Parish, corner Park & Titirangi Beach Roads",6,0,10,2,1,19,1
,"Titirangi War Memorial Hall, 500 South Titirangi Road",5,2,8,5,1,21,0
,Pakuranga
"Bucklands Beach","Bucklands Beach Intermediate School, 247 Bucklands Beach Road",1,1,3,2,0,7,0
,"Bucklands Beach Primary School, 107 Clovelly Road",4,1,3,2,0,10,1
,"Macleans College, 2 Macleans Road",2,2,1,2,2,9,1
,"Macleans Primary School, 10 Wycherley Drive",0,1,0,4,2,7,0
,"Stand Children's Services , 1-9 Pigeon Mountain Road",1,0,1,5,0,7,0
"Howick","Howick Intermediate School, 1 Botany Road",4,1,6,4,0,15,0
,"Owairoa  Primary School, corner Wellington & Nelson Streets",7,1,3,10,2,23,0
"Mellons Bay","Mellons Bay Primary School, 140 Mellons Bay Road",2,1,1,2,0,6,1
"Pakuranga","Anchorage Park Primary School, 16 Swan Crescent",0,0,17,7,4,28,0
,"Dance Xpress, 135 Cascades Road",5,0,6,5,0,16,0
,"Edgewater College, 32 Edgewater Drive",4,1,12,12,1,30,0
,"Elm Park School, 46 Gossamer Drive",5,2,5,5,2,19,0
,"Farm Cove Intermediate School, 14-16 Butley Drive",6,1,9,17,9,42,2
,"Pakuranga College, 176-180 Pigeon Mountain Road",4,1,7,13,5,30,0
,"Pakuranga Heights Primary School, 77 Udys Road",3,0,12,9,4,28,1
,"Pakuranga Recreation & Youth Centre, 13c Reeves Road",6,0,22,10,6,44,0
,"Riverhills Primary School, 13 Waikaremoana Place",7,1,12,12,5,37,0
,"Sunnyhills Primary School, 17 The Crest",5,0,7,4,1,17,0
,Papakura
"Manurewa","Alfriston College, KT1 Foyer, Alfriston Road entrance",4,0,5,8,2,19,0
"Papakura","Cosgrove School Hall, 10 Cosgrove Road",3,0,6,1,0,10,0
"Takanini","Takanini School Hall, 39 Takanini School Road ",0,2,5,4,4,15,0
"Wattle Downs","Clayton Park School Hall, 187 Coxhead Road (Wattle Farm Road entrance)",14,3,55,74,6,152,2
,"Reremoana School Hall, 15 Scotsmoor Drive",5,2,13,17,0,37,1
,Tāmaki
"Glen Innes","Glen Innes Primary School, 38-42 Eastview Road",4,2,14,8,2,30,3
,"Glenbrae School, 103 Leybourne Circle",6,1,30,7,12,56,0
,"Grace International, 77 Line Road",6,0,33,14,3,56,2
,"Sacred Heart College, 250 West Tamaki Road",4,0,1,6,4,15,1
,"Tamaki College, corner Elstree Avenue & Taniwha Street",7,1,24,24,8,64,0
"Glendowie","Churchill Park School, Kinsale Street",3,1,1,1,0,6,0
,"Glen Taylor Primary School, 172 West Tamaki Road",4,1,13,13,3,34,1
,"Glendowie Primary School, 217 Riddell Road",2,1,2,6,0,11,0
"Kohimarama","Kohimarama Primary School, 112 Kohimarama Road",2,0,4,5,0,11,1
,"St Thomas's School, 113 Allum Street",4,2,5,7,2,20,0
"Meadowbank","St Chad's Church Hall, 38 St John's Road",5,0,7,11,0,23,1
,"St John's College, Wesley Hall, 202-210 St John's Road",2,1,6,11,0,20,0
,"Tahapa Crescent Hall, 22 Tahapa Crescent",0,0,8,2,4,14,2
"Mission Bay","Patteson Guide Hall, 87 Patteson Avenue",1,0,4,6,3,14,1
"Orakei","Orakei Presbyterian Church Hall, 162 Coates Avenue",20,0,42,27,8,97,4
,"Orakei Primary School, 1 Grace Street",8,1,12,8,2,31,1
"Remuera","Baptist Church, 641 Remuera Road",4,0,1,4,0,9,0
,"Meadowbank Primary School, 68 Waiatarua Road",1,0,1,4,0,6,2
"St Heliers","St Heliers Primary School, 126-160 St Heliers Bay Road",7,1,3,6,0,17,2
"Stonefields","Stonefields School, 81 Tihi Street",6,1,8,8,2,25,2
,"Voting places where less than 6 votes were taken",19,3,19,27,5,73,3
,"Ordinary Votes BEFORE polling day",746,69,2166,1671,772,5424,125
,"Special Votes BEFORE polling day",99,2,246,177,146,670,18
,"Special Votes On polling day",362,27,774,572,312,2047,39
,"Overseas Special Votes including Defence Force",83,5,64,60,30,242,2
,"Tāmaki Makaurau Total",3136,317,7533,6071,2624,19681,417
,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",20098
"Electorate Candidate Valid Votes","Party",,"HENARE, Peeni Ereatara Gladwyn - majority 1462"
"DAVIDSON, Marama Mere-Ana",Green Party,3136,.1593414969
"HARRISON, Raewyn Emma",Independent,317,.0161069051
"HENARE, Peeni Ereatara Gladwyn",Labour Party,7533,.3827549413
"McLEAN, Rangi",Māori Party,6071,.3084700981
"PENE, Kereama",MANA Movement,2624,.1333265586
