Electorate Candidate Votes Recorded at Each Voting Place
"Wairarapa 58","Candidate Vote Details"
,,"ATKINSON, Shane","HART, John Stuart","McANULTY, Kieran Michael","MARK, Ron Stanley","REID, Brent Allan","SCOTT, Alastair Oliver","SMITH, Rawiri Richard","Total Valid Candidate Votes","Informal Candidate Votes"
"Pahiatua","Pahiatua School Hall, corner Albert Street & Mangahao Road",1,18,85,123,10,169,2,408,1
,"Tararua District Council Chambers, 136 Main Street",0,25,110,209,20,310,2,676,2
"Pirinoa","Pirinoa School, Lake Ferry Road",1,3,19,65,0,98,2,188,1
"Pongaroa","Pongaroa School, 9 Makomako Street",1,5,8,34,5,140,0,193,1
"Porangahau","Porangahau School, Keppel Street",0,13,26,21,8,152,3,223,0
"Takapau","Takapau School Hall (Nancy Street entrance)",2,16,57,28,17,142,4,266,3
"Tinui","Tinui School, 25 Charles Street",2,2,28,41,2,122,0,197,0
"Wainuioru","Wainuioru School, Stronvar Road",0,1,23,21,0,63,0,108,1
"Waipawa","Central Hawkes Bay District Council Chambers, 28-32 Ruataniwha Street",1,27,110,57,27,219,3,444,4
,"Waipawa School, Technology Block, 6 Harker Street",3,26,135,50,34,143,2,393,4
"Waipukurau","Central Hawkes Bay College Library, 45 Tavistock Road",0,23,115,60,12,245,8,463,1
,"The Terrace School Staffroom, 164 Porangahau Road",0,20,66,39,23,228,1,377,1
,"Waipukurau School Hall, St Marys Road",4,30,165,80,36,498,2,815,11
"Weber","Weber School, Dannevirke-Weber Road",0,1,8,9,4,84,0,106,0
"Whareama","Whareama School, 82 Langdale Road",0,2,25,23,6,78,0,134,0
"Woodville","Woodville School Hall, Vogel Street",2,30,250,235,18,349,5,889,8
,"Voting places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day",25,274,1936,1528,167,3600,28,7558,64
,"Special Votes BEFORE polling day",5,76,241,196,23,413,11,965,7
,"Special Votes On polling day",6,154,423,382,30,662,7,1664,6
,"Overseas Special Votes including Defence Force",0,50,89,40,3,239,5,426,2
,"Wairarapa Total",90,1566,9452,8630,816,16223,181,36958,246
,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",37204
"Electorate Candidate Valid Votes","Party",,"SCOTT, Alastair Oliver - majority 6771"
"ATKINSON, Shane",ACT New Zealand,90,.0024351967
"HART, John Stuart",Green Party,1566,.0423724228
"McANULTY, Kieran Michael",Labour Party,9452,.25574977
"MARK, Ron Stanley",New Zealand First Party,8630,.2335083067
"REID, Brent Allan",Conservative,816,.0220791168
"SCOTT, Alastair Oliver",National Party,16223,.4389577358
"SMITH, Rawiri Richard",Māori Party,181,.0048974512
