Electorate Candidate and Party Votes Recorded at Each Polling Place
"Tamaki Makaurau 65","Candidate Vote Details"
,,"HEMAHEMA-TAMATI, Sophie Tauwehe","OPAI, Eugene Ashley","REREKURA, Tekaioroto Samuel","SHARPLES, Pita Russell","TAMIHERE, John Henry","Total Valid Candidate Votes","Informal Candidate Votes"
,Auckland Central
,"Hay Park School, 670 Richardson Road",0,0,2,18,15,35,0
,"Lynfield College School Hall, 191 White Swan Rd (main entrance)",2,0,1,8,4,15,0
,"Marshall Laing Primary School Hall, 39 Marshall Laing Avenue",0,0,0,11,7,18,0
,"May Road School Hall, 504 Richardson Road",2,0,1,37,17,57,0
,"Mt Roskill Intermediate School, Denbigh Avenue",1,0,1,9,9,20,2
,"St Giles Church Hall, 1207 Dominion Road ",1,0,1,19,10,31,1
,"Sunnydene School, 48 Smallfield Avenue",0,0,0,13,10,23,1
,"Wesley Intermediate, cnr Sandringham Rd Extension & Stoddard Rd",0,0,0,39,26,65,1
"Onehunga","Onehunga Co-operating Parish, cnr Grey St & Onehunga Mall",0,0,0,17,23,40,1
,"Onehunga High School, 24 Pleasant Street",0,0,0,6,8,14,0
,"Onehunga Primary School, 122 Arthur Street",1,0,2,22,18,43,1
,"St Peters Anglican Church, cnr Church Street & Onehunga Mall",5,1,1,44,36,87,6
"Roskill","St John's Presbyterian Church Hall, 1 Akarana Avenue",1,0,1,7,12,21,1
"Royal Oak","Royal Oak Intermediate, 74 Symonds St (but use Trafalgar Street entrance)",1,0,0,7,17,25,1
,"Royal Oak School, Chandler Avenue (Use Manukau Rd entrance)",2,0,3,17,16,38,1
"Three Kings","St Therese Parish Hall, 463 Mt Albert Road (by Bremner St)",0,0,0,4,5,9,0
,"Three Kings School, 944 Mt Eden Road",1,0,1,23,12,37,1
,New Lynn
"Avondale","Avondale Baptist Church Hall, cnr Blockhouse Bay Rd and New North Rd",1,0,0,8,13,22,1
"Blockhouse Bay","Baptist Church Hall, 502 Blockhouse Bay Road",2,0,0,4,6,12,0
,"Bay Roskill Sports Club Hall, 231 Whitney Street",0,0,0,4,13,17,1
,"Blockhouse Bay Intermediate School Hall, 95-97 Bolton Street",0,0,0,15,17,32,0
,"Chaucer School Multi Purpose Room, Chaucer Place",0,0,2,10,10,22,1
,"Glenavon School Hall, 340 Blockhouse Bay Road",3,0,1,22,23,49,1
,"Primary School Hall, 584 Blockhouse Bay Road",0,0,1,11,21,33,3
"Green Bay","Green Bay Community Church Hall, 14 Vardon Road",2,1,1,17,31,52,3
,"Green Bay Primary School Hall, 131 Godley Road",1,0,5,8,16,30,0
"Huia","Huia Hall, Huia Road",0,0,0,4,4,8,0
"Laingholm","Laingholm School Library, Victory Road",1,2,1,4,11,19,0
"Lynfield","Halsey Drive School Hall, 106 Halsey Drive",1,0,0,3,3,7,0
,"Lynfield Tennis Club, cnr Hillsborough Road & The Avenue",0,1,1,6,11,19,0
"New Lynn","Arahoe School Hall, 11 Arahoe Road",0,0,0,25,23,48,0
,"Fruitvale School Hall, 9 Croydon Road, New Lynn",1,0,4,19,38,62,0
,"Miracle of Life Church Hall, 3165 Great North Road",0,0,0,9,2,11,0
,"New Lynn Community Centre, 45 Totara Avenue",0,0,1,23,32,56,0
,"New Lynn Salvation Army Hall, 32 Delta Avenue",4,0,1,21,18,44,0
,"St Thomas' Anglican Church Lounge, 6 Islington Avenue",0,0,0,13,14,27,0
"New Windsor","Blockhouse Bay Community Church Hall, 76 Dundale Avenue",0,0,0,6,9,15,1
,"New Windsor School Hall, 185 New Windsor Road",3,0,2,24,18,47,0
"Titirangi","Titirangi Primary School Hall, Atkinson Road",0,3,0,10,5,18,0
"Titirangi South","26 Grendon Road (Private Garage)",0,0,0,4,3,7,0
"Woodlands Park","Woodlands Park School Hall, Woodlands Park Road",1,0,2,16,8,27,0
,Pakuranga
"Bucklands Beach","Bucklands Beach Intermediate, 247 Bucklands Beach Road",0,0,0,4,6,10,0
,"Bucklands Beach School, 107 Clovelly Road",0,0,1,2,5,8,1
,"Macleans College, Macleans Road",2,0,2,4,5,13,1
,"Macleans School, Wycherley Drive",2,0,0,4,6,12,0
,"Pakuranga Health Camp School, 1-9 Pigeon Mountain Road",0,0,1,8,2,11,0
"Howick","Cockle Bay School, Sandspit Road",0,0,1,10,9,20,1
,"Howick Intermediate School, 1 Botany Road",0,0,1,13,12,26,0
,"Owairoa School, Nelson Street",1,0,0,10,13,24,0
,"Salvation Army-East City, 37-45 Wellington Street",1,0,0,5,5,11,0
"Mellons Bay, Howick","Mellons Bay School, 140 Mellons Bay Road",0,0,0,4,4,8,0
