Electorate Candidate and Party Votes Recorded at Each Polling Place
"Northland 34","Candidate Vote Details"
,,"CARTER, John McGregor","JOHNSON, Philip Alan","JONES, Shane Geoffrey","LEIDING, Kurt-Martin","SHAW, Michael William","TAYLOR, Melanie Jane","WILSON, David Angus","WOOD, Alan Leonard","Total Valid Candidate Votes","Informal Candidate Votes"
"Peria","Peria School, 1430 Oruru Road",48,0,66,22,1,0,1,0,138,1
"Pipiwai","Te Horo School, 3239 Pipiwai Road",14,0,8,3,0,0,0,0,25,1
"Port Albert","Port Albert Hall, 980 Port Albert Road",186,2,54,14,3,3,1,10,273,2
"Pouto","Rangitane Community Centre, Pouto Road",17,0,12,3,2,0,1,1,36,1
"Pukenui","Pukenui School, Lamb Road",187,2,103,15,1,2,1,2,313,1
"Pukepoto","Pukepoto School, 818 Awaroa Road",39,0,17,2,0,2,0,0,60,1
"Punaruku","Whangaruru School, Old Russel Road",10,0,19,5,0,0,0,0,34,0
"Rawene","Rawene School, Marmon Street",65,3,101,22,3,2,1,0,197,0
"Rawhiti","Rawhiti Kohanga Reo, Te Rawhiti Marae",6,0,15,1,0,0,1,0,23,1
"Ruatangata","Ruatangata Hall, Ruatangata Road",74,1,10,7,0,0,0,1,93,1
"Ruawai","Ruawai Primary School, Main Road",301,1,125,24,2,9,4,10,476,6
"Russell","Russell School, Baker Street",335,2,169,104,6,2,3,7,628,4
"Springs Flat","Alive Christian Fellowship, 55 Great North Road",10,0,1,0,0,0,0,0,11,0
"Taheke","Taheke Resource Centre, State Highway 12",35,0,40,4,1,1,1,0,82,0
"Taipa","Taipa Area School, 578 State Highway 10",301,3,201,42,4,4,1,5,561,2
"Taipuha","Taipuha Hall, Taipuha Station Road",53,0,7,0,0,1,1,1,63,0
"Takahue","Takahue Community Hall, Takahue Saddle Road",59,0,17,8,2,1,1,3,91,0
"Tangiteroria","Tangiteroria Primary School, 3078 State Highway 14",99,1,38,12,0,3,4,2,159,0
"Tangowahine","Tangowahine Primary School, Tangowahine Valley Road",99,0,25,11,0,0,0,3,138,0
"Taupo Bay","Taupo Bay Holiday Park, Taupo Bay Road",33,0,25,1,0,0,0,0,59,1
"Tautoro","Tautoro School, Mangakahia Road",13,0,12,1,4,2,0,0,32,0
"Te Hapua","Te Hapua School, 14 Waharua Road",6,0,3,0,0,0,0,0,9,0
"Te Iringa","Te Iringa Marae, Waimatenui Road",15,0,7,0,0,1,0,0,23,1
"Te Kao","Te Kao Area School, Far North Road",8,0,20,2,0,0,0,1,31,0
"Te Kopuru","Te Kopuru School, Norton Street",234,3,130,24,4,5,4,11,415,4
"Te Tii","Te Tii School, Purerua Road",34,0,19,3,1,0,1,1,59,1
"Tinopai","Tinopai Primary School, Tinopai Road",60,0,30,8,0,1,2,0,101,1
"Titoki","Mangakahia Area School, Mangakahia Road",105,0,47,15,2,0,0,1,170,2
"Tokerau Beach","Kura Kaupapa Rangiawhia School, Inland Road",139,0,88,4,1,1,0,5,238,2
"Totara North","Totara North School, School Road",74,0,32,14,1,0,0,3,124,1
"Umawera","Umawera School, State Highway 1",69,0,13,7,0,0,2,3,94,1
"Waiharara","Waiharara School, Katavich Road",84,0,43,0,0,0,0,2,129,1
"Waihue","Waihue Settlers' Hall, 2368 Waihue Road",59,0,12,2,0,0,1,0,74,0
"Waikare","Te Kura o Waikare, School Road",4,0,2,1,0,0,0,0,7,0
"Waima","Waima School, State Highway 12",6,0,18,4,1,0,0,0,29,2
"Waimamaku","Waimamaku Resource Centre, State Highway 12",68,0,59,19,4,0,2,1,153,3
"Waimate North","205 Showgrounds Road",761,7,212,95,16,3,1,34,1129,7
,"Sunday School, Te Ahu Ahu Road",78,2,30,4,5,2,0,1,122,1
"Waiotira","Waiotira School, Ararua Road",43,0,21,9,1,0,1,3,78,0
"Waipapa","Waipapa Hall, Waipapa Loop Road",755,6,264,82,13,3,0,30,1153,6
"Waipapakauri","Paparore School, 157 West Coast Road",72,0,23,11,0,0,0,0,106,0
"Wellsford","Tapora Primary School, 1 Okahukura Road",53,1,18,1,2,1,0,2,78,1
,"Wellsford Primary School, 47 School Road",608,8,213,70,24,31,3,34,991,9
"Whakapara","Whakapara Hall, McLennan Road",127,0,51,17,0,1,1,3,200,1
"Whananaki","Whananaki School, Whananaki North Road",38,0,20,7,0,0,0,1,66,1
"Whangaroa","Whangaroa Hall, 574 Whangaroa Road",88,0,47,8,0,1,1,4,149,1
"Whirinaki","Te Kura Kaupapa Maori o Te Tonga o Hokianga, School Road",7,0,14,6,5,0,0,0,32,0
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",97,0,72,3,1,1,2,1,177,4
,"Ordinary Votes BEFORE polling day",2261,17,1027,212,32,20,26,49,3644,30
,"Special Votes BEFORE polling day",245,2,154,39,5,4,2,7,458,5
,"Special Votes On polling day",1037,8,561,201,16,22,6,40,1891,19
,"Overseas Special Votes including defence force",160,0,73,41,1,0,2,4,281,2
,"Northland Total",19889,162,9835,2311,381,319,171,565,33633,310
,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",33943
"Electorate Candidate Valid Votes","Party",,"CARTER, John McGregor - majority 10054"
"CARTER, John McGregor",National Party,19889,.59135373
"JOHNSON, Philip Alan",United Future,162,.0048166979
"JONES, Shane Geoffrey",Labour Party,9835,.292421134
"LEIDING, Kurt-Martin",Green Party,2311,.0687122766
"SHAW, Michael William",Kiwi Party,381,.0113281598
"TAYLOR, Melanie Jane",Family Party,319,.0094847323
"WILSON, David Angus",Democrats for Social Credit,171,.0050842922
"WOOD, Alan Leonard",ACT New Zealand,565,.0167989772
