Electorate Candidate and Party Votes Recorded at Each Polling Place
"Rangitīkei 42","Candidate Vote Details"
,,"BRANNIGAN, Maree Annette","CLEAVE, Peter ","FITZGERALD, Hayden Brent Richard","McKELVIE, Ian Robert Flockhart","PAGANI, Josephine Jefcoate","ROBERTSON, Ian Michael","SETON, Grant Roderick","TURNER, Charles Peter","Total Valid Candidate Votes","Informal Candidate Votes"
"Hiwinui","Hiwinui School, Watershed Road",11,1,2,149,45,7,1,3,219,5
"Hunterville","Hunterville Consolidated School, 33 Bruce Street",18,0,4,311,73,13,0,4,423,12
"Kairanga","Kairanga Community Centre, 1103 Kairanga Bunnythorpe Road",23,0,6,230,46,15,2,1,323,6
"Kaitieke","Kaitieke School, Activities Room, Kaitieke Road",1,0,0,54,3,3,0,0,61,2
"Kakahi","Kakahi School, Mohio Road",3,0,0,26,21,4,0,0,54,3
"Kelvin Grove","Kelvin Grove Community Centre, 68 Kaimanawa Street",5,0,0,17,13,2,0,0,37,0
"Kimbolton","Kimbolton School, 4 Henderson Street",13,0,6,120,53,10,2,0,204,1
"Kiwitea","Kiwitea School, 7 Perrys Line",3,0,1,106,16,4,0,0,130,2
"Kopane","Kopane School, Rongotea Road",6,0,2,108,26,1,0,0,143,0
"Linton","Country School, 77 Akers Road",24,1,3,100,49,8,0,0,185,3
"Linton Camp","Community Centre, Puttick Road",19,3,1,132,91,7,2,2,257,1
"Longburn","Longburn Primary School, Carey Street",15,0,6,246,96,13,0,4,380,4
"Makirikiri South","South Makirikiri School, Makirikiri Road",5,0,2,145,12,5,0,0,169,0
"Makuhou","Makuhou Public Hall, Makuhou Road",1,0,1,35,1,4,0,0,42,1
"Mangaweka","Mangaweka School, 4 Raumaewa Road",20,0,2,101,13,9,0,0,145,7
"Marton","James Cook School, 53 Mill Street",28,1,1,250,142,23,1,0,446,9
,"Marton Junction School, 44-56 Alexandra Street",11,3,1,95,121,10,0,0,241,6
,"Marton School, Hereford Street",22,0,0,194,132,12,1,1,362,8
,"St Andrew's Presbyterian Church Hall, Broadway",41,2,11,574,323,55,0,4,1010,24
"Mataroa","Mataroa School, Rongoiti Road",2,0,2,61,16,2,0,0,83,0
"Milson","Milson School Hall, 7 Rutland Place",2,0,0,28,16,3,0,2,51,1
,"St Peter's College, Gym-Classroom, 22-38 Rennie Avenue",3,0,0,21,8,1,0,0,33,0
"Moawhango","Moawhango School, Te Moehau Road",3,0,1,26,6,0,0,1,37,1
"National Park","National Park School Hall, Carroll Street",21,0,3,66,24,8,0,0,122,4
"Newbury","Newbury School, 906 Rangitikei Line",13,0,2,231,59,19,1,1,326,4
"Ngakonui","Ngakonui Valley School, Kauri Room, 826 Taumarunui-Ngapuke Road",1,0,1,34,11,1,0,0,48,1
"Ngapuke","Ngapuke School, Room 1, Taumarunui-Ngapuke Road",1,0,0,18,3,0,0,0,22,0
"Ohakea","Ohakea War Memorial Hall, corner Speedy & Tangimoana Roads",1,2,1,79,12,2,0,0,97,1
"Ohakune","Ohakune District Court, Rata Street",32,1,0,184,56,10,1,0,284,9
,"Ohakune Primary School Hall, 52 Arawa Street",12,1,3,95,35,5,0,0,151,2
"Ohingaiti","Ohingaiti Hall, corner State Highway 1 & Onslow Street",7,0,3,46,7,1,0,0,64,3
"Orautoha","Orautoha School Library, Pukekaha Road",5,0,0,29,1,3,0,0,38,0
"Oroua Downs","Oroua Downs School, State Highway 1",9,0,0,105,40,6,0,0,160,2
"Owhango","Owhango School Resource Room, 19 Ohorere Street",12,1,0,111,30,13,0,1,168,5
"Palmerston North","Central Normal School Hall, 210 Featherston Street",4,0,2,39,16,2,0,0,63,0
,"Massey University, Student Centre Lounge, Concourse, University Drive",10,0,2,44,25,4,0,0,85,4
,"Palmerston North Girls' High School, Old Gymnasium, 228 Fitzherbert Avenue",13,0,3,137,71,1,1,0,226,5
,"Public Hospital Education Centre Hall, 50 Ruahine Street (Gate 12)",2,0,1,14,9,0,0,0,26,0
,"Queen Elizabeth College Hall, 350-382 Rangitikei Street",4,0,0,16,12,5,0,0,37,0
,"Te Manawa Museum, 326 Main Street",8,0,0,31,24,5,0,0,68,1
,"The Salvation Army Hall, 431 Church Street",1,0,0,25,5,2,0,0,33,0
"Pohangina","Pohangina Public Hall, Pohangina Road",34,2,0,104,50,7,0,0,197,3
"Pukeokahu","Pukeokahu School, 84 Matawhero Road",6,1,1,21,6,0,0,0,35,0
"Raetihi","Raetihi Primary School Hall, 24 Grey Street",19,2,3,146,78,18,1,1,268,5
"Rangiwaea Junction","Rangiwaea School, Upper Turakina Valley Road",2,0,1,44,3,1,0,0,51,2
"Rangiwahia","Rangiwahia School, 2549 Rangiwahia Road",3,1,0,53,13,3,0,0,73,1
"Ratana","Te Kura O Ratana, Kiatere Street",2,0,0,4,5,1,0,0,12,0
"Rongotea","Rongotea School, Tyne Street",23,4,4,295,108,19,0,0,453,10
"Roslyn","Roslyn School Hall, 38 Kipling Street",4,0,1,35,13,0,0,0,53,0
"Sanson","Sanson School, Wellington Road (State Highway 1)",15,2,2,235,104,10,1,0,369,4
"Summerhill","Summerset Retirement Village, 166-186 Ruapehu Drive",60,2,6,507,217,16,2,1,811,24
"Taihape","St Joseph's School Hall, Rauma Road",10,0,0,61,34,4,0,1,110,6
,"Taihape Town Hall, 90 Hautapu Street",56,4,5,321,185,12,1,3,587,16
"Tangimoana","Tangimoana School, 19 Punga Street",7,1,0,73,63,2,0,0,146,3
"Taonui","Taonui School, 170 Waughs Road",14,0,7,104,45,5,0,0,175,4
"Taoroa","Taoroa School, Taoroa Junction",1,0,0,37,3,2,0,0,43,1
"Taumarunui","Catholic Church Hall, 14 High Street",19,3,0,106,74,14,0,3,219,4
,"Manunui School, Room 1, Rata Street",18,4,3,105,84,14,1,0,229,12
,"Tarrangower School Library, 15 Manson Street",18,1,2,124,81,6,1,0,233,11
,"Taumarunui & District War Memorial Hall, 149 Hakiaha Street",32,5,1,203,157,21,1,6,426,19
,"Taumarunui Primary School Hall, Maata Street",19,0,2,99,106,7,2,1,236,6
,"Te Kura Kaupapa Māori O Taumarunui, 35 Makere Street",3,0,0,22,35,2,0,0,62,6
"Terrace End","St David's Community Centre, 9 Rainforth Street",0,0,0,21,11,1,0,0,33,1
,"Terrace End School Hall, 183-209 Ruahine Street",2,1,0,17,17,2,0,0,39,1
"Turakina","Turakina School, State Highway 3",9,0,3,128,60,17,0,0,217,5
"Turitea","Tiritea School, 208 Old West Road",16,2,0,128,68,10,0,0,224,1
"Tutaenui","Tutaenui Public Hall, corner Griffins Road & Jeffersons Line",8,0,1,139,20,3,0,0,171,0
"Waiouru","Waiouru Community Centre, Queree Drive",10,2,2,113,44,4,0,1,176,4
"Waituna West","Waituna West School, 50 Waituna-Tapuae Road",4,0,0,91,12,19,1,0,127,1
"Whakapapa Village","Whakapapa Village Firestation, Bruce Road",10,0,0,6,5,2,0,0,23,0
"Whakarongo","Whakarongo Community Hall, 17 Stoney Creek Road",20,0,2,302,86,12,0,0,422,5
"Whangaehu","Whangaehu School, Ruatangata Street",6,0,1,44,16,3,0,1,71,4
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Palmerston North",34,0,2,421,138,14,0,2,611,11
,"Ordinary Votes BEFORE polling day - Taken in Rangitīkei",178,14,36,1721,944,90,12,9,3004,101
,"Ordinary Votes BEFORE polling day - Taken in Whanganui",2,0,0,9,3,2,0,0,16,0
,"Special Votes BEFORE polling day",50,3,8,267,151,5,1,2,487,7
,"Special Votes On polling day",196,7,21,1092,540,59,11,11,1937,28
,"Overseas Special Votes including Defence Force",20,1,6,137,43,2,4,1,214,2
,"Rangitīkei Total",2108,110,302,18284,8902,1159,91,102,31058,695
,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",31753
"Electorate Candidate Valid Votes","Party",,"McKELVIE, Ian Robert Flockhart - majority 9382"
"BRANNIGAN, Maree Annette",Green Party,2108,.0678730118
"CLEAVE, Peter ",Mana,110,.0035417606
"FITZGERALD, Hayden Brent Richard",ACT New Zealand,302,.0097237427
"McKELVIE, Ian Robert Flockhart",National Party,18284,.5887050035
"PAGANI, Josephine Jefcoate",Labour Party,8902,.2866250241
"ROBERTSON, Ian Michael",Conservative Party,1159,.0373172774
"SETON, Grant Roderick",Independent,91,.0029300019
"TURNER, Charles Peter",Independent,102,.003284178
