Electorate Candidate and Party Votes Recorded at Each Polling Place
"West Coast-Tasman 60","Candidate Vote Details"
,,"AUCHINVOLE, Chris","BIRCHFIELD, Allan John","GRAF, Clyde Waldemar","HAGUE, Kevin  Grant","HOLLEY, Claire Margaret","O'CONNOR, Damien Peter","TERRY, Robert Frank","WILKINSON, Steven Crawford George","Total Valid Candidate Votes","Informal Candidate Votes"
,"Regent Theatre, Reynolds Room, 23 Weld Street",209,14,21,26,11,214,1,6,502,9
,"St Mary's Primary School Hall, 87 Sewell Street",138,6,15,10,8,153,0,3,333,8
,"Westland High School, 140 Hampden Street",190,8,17,25,6,172,0,4,422,7
"Ikamatua ","Ikamatua Fire Station, Main Road",99,2,6,4,3,48,0,0,162,2
"Inangahua Junction","Inangahua Junction Hall, State Highway 6, RD1 ",38,3,0,4,1,17,1,2,66,5
"Kaiata ","Kaiata Hall, 12 Golf Links Road",47,13,2,2,3,56,0,0,123,3
"Kaiteriteri ","Kaiteriteri Motor Camp, 5 Kaiteriteri-Sandy Bay Road",75,0,0,5,4,59,0,0,143,5
"Kaniere  ","Kaniere School, 16 Camp Street",100,4,12,15,3,53,0,0,187,1
"Karamea ","Karamea Area School, 105 Waverley Street",92,3,4,16,1,122,0,5,243,7
,"Little Wanganui Hall, 3288 Karamea Highway",32,0,3,2,0,38,0,0,75,0
"Kowhitirangi","Kowhitirangi Hall, Kaniere-Kowhitirangi Road",51,4,0,0,0,19,0,0,74,0
"Kumara","Memorial Hall, 56 Seddon Street",84,11,19,14,4,102,0,4,238,6
"Lower Moutere","Lower Moutere School Hall, 8 School Road",137,1,0,31,4,209,0,2,384,6
"Mapua ","Mapua School, 4 Stafford Drive",523,3,8,105,19,462,0,9,1129,19
"Marahau","Marahau Fire Station Hall, Sandy Bay-Marahau Road",34,0,4,24,0,69,0,0,131,2
"Maruia","Maruia School, Station Creek, State Highway 65",53,1,4,3,2,10,0,0,73,2
"Moana","Lake Brunner School, 21 Ahau Street",97,11,1,3,3,54,1,1,171,2
"Motueka","Masonic Centre, 8 Inglis Street",132,0,5,27,4,256,1,6,431,12
,"Motueka South School, 450 High Street",211,1,3,38,20,368,0,6,647,14
,"Motueka Tasman District Council Service Centre, Hickmott Place ",328,2,5,51,30,441,2,6,865,24
,"Parklands School, Technology Building, 9-19 Pah Street",397,2,7,59,10,645,2,18,1140,33
"Motupiko","Quinney's Bush Camp, 263 State Highway 6",44,0,1,2,1,25,0,3,76,6
"Motupipi  ","Motupipi School, 435 Abel Tasman Drive",84,0,2,28,5,142,0,8,269,10
"Murchison ","Murchison Area School, 61 Waller Street",166,1,8,17,0,138,0,4,334,4
"Nelson Creek ","Nelson Creek Hall, Nelson Creek Road",26,13,1,1,0,21,1,0,63,2
"Ngahere ","Ngahere Hall, State Highway 7",54,10,4,6,4,40,0,0,118,3
"Ngakawau ","Ngakawau Domain Hall, Main Road",44,0,5,18,5,102,0,4,178,3
"Ngatimoti ","Ngatimoti School, 4 Greenhill Road, RD1",51,1,2,26,6,127,0,4,217,7
"Onekaka","Onekaka Hall, State Highway 60",38,1,0,15,3,106,0,10,173,3
"Pakawau","Pakawau Public Hall, Pakawau Road, RD1",38,0,1,7,6,40,0,5,97,4
"Paroa","Paroa School, 494 Main South Road",242,25,6,10,8,173,1,3,468,9
"Pohara","Pohara Hall, Abel Tasman Drive",97,0,2,24,1,136,0,3,263,4
"Pokororo","Pokororo Public Hall, Westbank Road",14,1,0,19,1,59,0,2,96,1
"Punakaiki","Punakaiki Canoes, State Highway 6",17,2,0,12,4,35,0,0,70,0
"Puramahoi","Puramahoi Public Hall, Takaka-Collingwood Highway",42,1,0,5,3,55,0,3,109,1
"Redwood Valley","Redwood Valley Hall, Moutere Highway, RD1",128,0,2,13,1,92,0,3,239,3
"Reefton","Reefton Area School, 10 Victory Street",60,1,4,2,3,74,5,0,149,6
,"Reefton Community Centre, 52-54 Shiel Street",120,9,4,4,4,125,4,7,277,6
,"Reefton Hospital, Broadway",21,0,2,0,6,29,1,2,61,2
"Richmond","Tasman District Council Office, 189 Queen Street",67,0,1,21,4,61,0,1,155,2
"Riwaka","Memorial Hall, 398 Main Road",88,0,0,21,6,106,0,8,229,1
,"Riwaka School, 22 School Road",107,1,6,17,4,176,1,1,313,6
"Ross","Ross School, Moorhouse Street",77,6,17,11,4,58,0,0,173,5
"Rotomanu","Rotomanu Hall, Lake Brunner-Kumara Road",34,0,0,5,1,10,0,2,52,0
"Runanga","Runanga School Hall, Duncan Street",87,6,2,10,6,210,2,12,335,4
"St Arnaud ","Lake Rotoiti School, Main Road",54,0,5,17,7,62,0,1,146,2
"Stanley Brook","Stanley Brook Hall, Motueka Valley Highway",36,0,1,4,3,24,0,0,68,0
"Takaka","Central Takaka School, 44 Central Takaka Road",59,0,0,17,2,70,0,4,152,3
,"Golden Bay High School, 12 Waitapu Road",77,1,3,31,10,174,1,12,309,6
,"Tasman District Council Office, 78 Commercial Street",135,0,6,69,5,272,0,18,505,10
"Tapawera ","Tapawera Area School, 46 Main Road",166,7,4,21,5,131,2,2,338,6
"Tasman","Tasman School, 417 Aporo Road",167,0,0,30,7,188,0,3,395,5
"Taylorville","Old School, 717 Taylorville Road",26,4,3,3,6,40,0,0,82,2
"Umukuri","Brooklyn School, 256 Umukuri Road",101,0,1,23,0,152,0,4,281,5
"Upper Moutere","Mahana School, School Road, RD2",111,1,1,12,2,106,0,0,233,5
,"Upper Moutere School Hall, Main Road",202,0,5,52,11,240,0,6,516,3
"Upper Takaka","Upper Takaka Community Hall, 2 Aaron Creek Road",35,0,0,5,1,49,0,1,91,0
"Waimea West","Waimea West Public Hall, Waimea West Road",54,1,1,10,2,27,0,0,95,2
"Wakefield","Wakefield School, Edward Street",631,5,11,71,26,419,0,14,1177,20
"Westport","IHC Buller Branch, 149 Derby Street",28,0,0,3,6,129,1,1,168,6
,"Sergeants Hill Hall, Caledonian Road",46,1,1,1,2,65,0,0,116,1
,"St Canice's School, 24a Brougham Street",160,3,7,14,13,379,1,8,585,8
,"Waimangaroa School, 16 Stewart Street",30,1,2,14,5,71,0,8,131,2
,"Westport Courthouse, 11 Wakefield Street",114,3,1,10,4,248,1,7,388,14
,"Westport North School, 65 Cobden Street",136,3,6,12,10,338,1,4,510,9
,"Westport South School, Derby Street",103,1,1,11,5,230,0,4,355,9
"Whataroa","Whataroa School, 65 Scally Road  ",70,4,1,7,1,26,1,5,115,4
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Nelson",319,7,6,56,6,227,0,9,630,6
,"Ordinary Votes BEFORE polling day - Taken in West Coast-Tasman",1774,37,47,268,85,2136,6,32,4385,77
,"Special Votes BEFORE polling day",190,3,9,68,5,243,1,9,528,2
,"Special Votes On polling day",598,42,20,218,29,793,4,45,1749,22
,"Overseas Special Votes including Defence Force",59,2,0,25,3,82,0,1,172,2
,"West Coast-Tasman Total",13214,487,454,2123,623,15753,52,450,33156,628
,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",33784
"Electorate Candidate Valid Votes","Party",,"O'CONNOR, Damien Peter - majority 2539"
"AUCHINVOLE, Chris",National Party,13214,.398540234
"BIRCHFIELD, Allan John",ACT New Zealand,487,.0146881409
"GRAF, Clyde Waldemar",United Future,454,.0136928459
"HAGUE, Kevin  Grant",Green Party,2123,.064030643
"HOLLEY, Claire Margaret",Conservative Party,623,.0187899626
"O'CONNOR, Damien Peter",Labour Party,15753,.4751176258
"TERRY, Robert Frank",Aotearoa NZ Youth Party,52,.0015683436
"WILKINSON, Steven Crawford George",Aotearoa Legalise Cannabis Party,450,.0135722041
