Electorate Candidate and Party Votes Recorded at Each Polling Place
"Te Tai Tokerau 68","Candidate Vote Details"
,,"DAVIS, Kelvin Glen","HARAWIRA, Hone Pani Tamati Waka Nene","HERBERT, Sheree Dawn","SHORTLAND, Waihoroi Paraone","Total Valid Candidate Votes","Informal Candidate Votes"
,"Birkdale North School, 213 Birkdale Road",17,15,2,11,45,3
,"Birkenhead Baptist Church Hall, 25 Birkdale Road",13,8,5,11,37,0
"Birkenhead","All Saints Hall, 187 Hinemoa Street",11,9,0,5,25,1
,"Chelsea Primary School, 2 Onetaunga Road",8,6,0,9,23,0
,"North Shore Church of Christ, 3 Willow Avenue",1,0,0,7,8,1
,"Zion Hill Methodist Church Hall, corner Onewa Road & Birkenhead Avenue",10,14,2,5,31,2
"Glenfield","Glenfield College, 52-60 Kaipatiki Road",10,9,1,1,21,0
,"Glenfield Community Centre, corner Glenfield Road & Bentley Avenue",11,15,0,10,36,0
,"Glenfield Primary School, 101 Chivalry Road",12,11,0,8,31,0
,"Marlborough Primary School, 4 Wykeham Place",12,14,2,12,40,4
,"Windy Ridge School, 50 Seaview Road",4,9,1,8,22,0
"Northcote","Northbridge Retirement Village Hall, 45 Akoranga Drive",7,6,1,1,15,0
,"Northcote Intermediate, 145 Lake Road",33,36,5,19,93,2
,"Northcote Masonic Centre, 14 Rodney Road",3,4,0,4,11,0
,"Northcote Primary School, corner Lake & Onewa Roads",10,9,1,6,26,0
,"Sunnybrae Normal School, 36 Sunnybrae Road",7,12,3,6,28,1
,"Tongan Methodist Church Hall, corner Queen Street & Stafford Road",6,1,0,2,9,2
,"Willow Park School, 13 Compton Street",10,7,1,9,27,2
,Northland
"Ahipara","Ahipara School, Main Road",63,91,1,6,161,5
"Awanui","Awanui School, Main Road",44,73,2,3,122,4
"Awarua","Te Hurihi Marae, Mangakahia Road",9,8,0,1,18,0
"Baylys Beach","Presbyterian Church Hall, Seaview Road",5,4,0,2,11,0
"Broadwood","Broadwood Area School, Main Road",1,8,0,0,9,0
"Dargaville","Dargaville Primary School, Portland Street",52,34,5,6,97,7
,"Selwyn Park Primary School, 38 Onslow Street",29,32,2,3,66,6
,"The Lighthouse Church Hall, Normanby Street",42,28,5,15,90,3
"Fairburn","Fairburn Hall, Main Fairburn-Peria Road",3,3,0,0,6,1
"Herekino","Herekino School, Kaitaia-Awaroa Road",13,26,0,1,40,0
"Horeke","Horeke School, Horeke Road",17,35,1,8,61,6
"Hukerenui","Hukerenui School, 9 Crows Nest Road",6,11,0,4,21,2
"Kaeo","Kaeo Primary School, State Highway 10",41,86,3,11,141,7
"Kaihu","Kaihu Hall, Wood Road",20,21,0,4,45,2
"Kaikohe","Kaikohe East School, 36 Mangakahia Road",119,176,6,31,332,13
,"Kaikohe Intermediate School, 11 Park Road",110,127,3,30,270,16
"Kaingaroa","Kaingaroa School, State Highway 10",8,0,3,2,13,0
"Kaitaia","Kaitaia College, Redan Road",75,100,3,18,196,10
,"Kaitaia Intermediate School, 45 North Road",147,220,2,16,385,15
"Kaiwaka","Kaiwaka School, 33 Mangawhai Road",29,16,2,19,66,6
"Karetu","Karetu School, Kura Road",24,7,0,0,31,0
"Kawakawa","Kawakawa Primary School, 31-39 Albert Street",107,71,1,43,222,12
"Kerikeri","Kerikeri Primary School, Hone Heke Road",55,50,2,17,124,4
,"Kingston House, 123 Hone Heke Road",12,19,0,7,38,1
,"Riverview School, Riverview Road",26,11,1,8,46,2
"Kohukohu","Kohukohu Primary School, Beach Road",23,32,3,4,62,0
"Mangamuka","Mangamuka School, 37 School Road",11,24,0,3,38,2
"Mangawhai","Mangawhai Hall, Mangawhai Road",16,7,0,12,35,0
"Mangawhai Heads","Mangawhai Community Centre, Fagan Place",5,4,0,2,11,2
"Mangonui","Mangonui School, 19 Colonel Mould Drive",37,57,4,9,107,9
"Maromaku","Maromaku School, Maromaku School Road",8,4,2,14,28,0
"Matauri Bay","Matauri Bay School, Wainui Road",34,61,1,6,102,5
"Matawaia","Matawaia Kohanga Reo, Matawaia Road",9,15,0,26,50,0
"Maungaturoto","Maungaturoto School, 8 Gorge Road",26,18,5,5,54,0
"Moerewa","Moerewa School, Otiria Road",121,179,1,42,343,28
"Ngataki","Ngataki School, Far North Road",12,15,0,5,32,4
"Oakura","Oakura Hall, Oakura Road",11,30,1,11,53,2
"Ohaeawai","Ohaeawai School, Tennyson Street",25,31,2,8,66,8
"Okaihau","Okaihau Primary School, Settlers Way",36,35,1,10,82,6
"Omapere","Opononi Area School, 263 State Highway 12",47,100,7,15,169,11
"Opua","Opua School, Franklin Street",20,2,3,2,27,0
"Opuawhanga","Opuawhanga Hall, North Road",2,2,2,1,7,4
"Oromahoe","Oromahoe School, Te Aute Road",4,15,0,0,19,2
"Paihia","Paihia School, School Road",55,72,3,18,148,8
"Pakaraka","Pakaraka School, State Highway 10",15,8,2,3,28,2
"Pakotai","Pakotai School, Ruddell Road (off Mangakahia Road)",10,11,1,5,27,7
"Pamapuria","Pamapuria School, 6970 State Highway 1",23,32,1,5,61,2
"Panguru","Panguru Development Trust Board, Panguru Road",42,67,0,11,120,11
"Paparoa","Paparoa School, Franklin Road",7,6,1,1,15,1
"Pawarenga","Te Kura o Hata Maria, Te Riha Road",6,17,2,1,26,4
"Peria","Peria School, 1430 Oruru Road",15,23,1,6,45,3
"Pipiwai","Te Horo School, 3239 Pipiwai Road",24,39,2,23,88,2
"Port Albert","Port Albert Hall, 980 Port Albert Road",6,0,0,3,9,0
"Pouto","Rangitane Community Centre, Pouto Road",4,13,0,2,19,1
"Pukenui","Pukenui School, Lamb Road",23,21,2,3,49,3
"Pukepoto","Pukepoto School, 818 Awaroa Road",20,29,0,1,50,0
"Punaruku","Whangaruru School, 2916 Old Russell Road",9,12,0,3,24,0
"Rawene","Rawene School, Marmon Street",31,54,6,4,95,8
"Rawhiti","Rawhiti Kohanga Reo, Te Rawhiti Marae, 221 Te Rawhti Road ",3,29,0,4,36,3
"Ruawai","Ruawai Primary School, Main Road",21,12,3,5,41,4
"Russell","Russell School, Baker Street",33,25,3,11,72,5
"Taheke","Taheke Health Centre, 3735 Horeke Road",20,66,2,8,96,2
"Taipa","Taipa Area School, 578 State Highway 10",39,55,5,5,104,2
"Takahue","Takahue Community Hall, Takahue Saddle Road",2,6,0,2,10,0
"Tangiteroria","Tangiteroria Primary School, 3078 State Highway 14",3,12,0,3,18,1
"Tangowahine","Tangowahine Primary School, Tangowahine Valley Road",1,4,0,1,6,1
"Taupo Bay","Taupo Bay Holiday Park, Taupo Bay Road",5,12,0,2,19,1
"Tautoro","Tautoro School, Mangakahia Road",15,18,0,6,39,1
"Te Hapua","Te Hapua School, 14 Waharua Road",15,45,1,7,68,1
"Te Iringa","Te Iringa Marae, Waimatenui Road",14,14,1,7,36,1
"Te Kao","Te Kao Area School, Far North Road",21,50,0,7,78,8
"Te Kopuru","Te Kopuru School, Norton Street",20,8,3,3,34,4
"Te Tii","Te Tii School, Purerua Road",12,25,1,4,42,3
"Tinopai","Tinopai Primary School, Tinopai Road",8,8,0,3,19,3
"Titoki","Mangakahia Area School, Mangakahia Road",3,13,1,8,25,2
"Tokerau Beach","Kura Kaupapa Rangiawhia School, Inland Road",32,45,2,11,90,5
"Totara North","Totara North Hall, 4 School Road",12,5,0,0,17,2
"Umawera","Umawera School, State Highway 1",5,8,0,3,16,2
"Victoria Valley","Victoria Valley War Memorial Hall, Victoria Valley Road",4,5,0,0,9,0
"Waiharara","Waiharara School, Katavich Road",3,10,0,5,18,3
"Waikare","Te Kura o Waikare, School Road",15,12,0,5,32,1
"Waima","Waima School, State Highway 12",21,42,1,8,72,6
"Waimamaku","Waimamaku Resource Centre, State Highway 12",22,23,0,10,55,3
"Waimate North","Sunday School, Te Ahu Ahu Road",4,10,0,6,20,2
"Waipapa","Waipapa Hall, Waipapa Loop Road",18,20,5,11,54,2
"Waipapakauri","Paparore School, 157 West Coast Road",12,5,0,1,18,0
"Wellsford","Wellsford Community Centre, 1 Matheson Road",28,38,5,18,89,9
"Whakapara","Whakapara Hall, McLennan Road",6,15,0,3,24,0
"Whananaki","Whananaki School, Whananaki North Road",14,11,1,2,28,4
"Whangaroa","Whangaroa Hall, Whangaroa Road",7,15,1,1,24,0
"Whirinaki","Te Kura Kaupapa Māori o Te Tonga o Hokianga, School Road",21,36,0,8,65,5
,Rodney
"Dairy Flat","Dairy Flat School, 1220 State Highway 17, RD4",4,3,1,7,15,0
"Gulf Harbour","Gulf Harbour School, 65 Alec Craig Way",1,6,1,2,10,2
,"Wentworth College, 65 Gulf Harbour Drive",7,0,1,3,11,0
"Leigh","Leigh School, House of Learning, 26 Hauraki Road",14,6,0,8,28,1
"Manly","Manly Methodist Church, 945 Whangaparaoa Road",4,4,0,3,11,2
,"Whangaparaoa Primary School, 39 Ladies Mile",13,5,2,6,26,0
"Matakana","Matakana School, 952 Matakana Road",3,2,3,2,10,1
"Orewa","Orewa College, 76 Riverside Road",17,6,1,4,28,2
,"Orewa Community Centre, Main Hall, Orewa Square",14,6,2,12,34,1
,"Orewa North School, 280 Centreway Road",3,6,0,6,15,2
"Point Wells","Point Wells Community Hall, 5 Point Wells Road",2,2,1,2,7,1
"Puhoi","Puhoi Centennial Hall, 86 Puhoi Road",3,3,2,4,12,0
"Red Beach","Red Beach Methodist Church, 76 Red Beach Road",8,6,2,7,23,1
,"Red Beach School, 20 Albert Hall Drive",10,1,0,10,21,1
"Redvale","East Coast Bays Bible Baptist Church, 1092 East Coast Road",3,1,0,4,8,0
"Silverdale","Stella Maris School, 50 Silverdale Street",5,3,0,5,13,1
"Snells Beach","Mahurangi East Community Centre, 21 Hamatana Road",6,0,1,10,17,0
,"Snells Beach Primary School, 62 Dawson Road",5,0,0,1,6,0
"Stanmore Bay","Hibiscus Coast Leisure Centre, 159 Brightside Road",20,11,4,13,48,3
,"Stanmore Bay School, 30 Waiora Road",5,5,0,6,16,1
"Wainui","Wainui School, 492 Waitoki Road",1,4,0,3,8,0
"Warkworth","Masonic Lodge, Upstairs, 12 Baxter Street",12,8,2,8,30,4
,"Warkworth Methodist Church Hall, 1 Hexham Street",10,3,1,3,17,1
,"Warkworth Primary School, 35 Hill Street",7,1,0,1,9,3
"Whangaparaoa","Whangaparaoa Ratepayers Association Hall, 717 Whangaparaoa Road",17,8,4,6,35,1
,Te Atatū
"Glendene","Glendene School, 60 Barrys Road",57,45,4,19,125,5
,"Tirimoana School, 34 Kokiri Street",24,30,5,12,71,1
"Henderson","Henderson North School, 14 Norval Road",18,19,0,9,46,1
,"Montessori at the Children's House, 1 Clover Drive",12,9,0,4,25,0
,"The Trusts Stadium (Ukulele Festival), Central Park Drive",10,14,2,9,35,0
,"Waitakere College, 42 Rathgar Road",39,46,2,29,116,3
"Lincoln","Lincoln North Kindergarten, 47a Longburn Road",19,13,0,9,41,0
,"Pomaria Primary School, 33a Pomaria Road",37,49,2,30,118,3
"Massey","Lincoln Heights School, 16 Keegan Drive",42,38,5,19,104,3
,"Royal Road School, 112 Royal Road",35,37,0,25,97,8
"Massey West","Don Buck School, 124 Don Buck Road",17,14,2,5,38,4
,"Massey High School, 274 Don Buck Road",36,25,2,22,85,5
"Royal Heights","Colwill School, Kintara Drive",25,17,5,6,53,2
"Te Atatu Peninsula","Congregational Church of Samoa, 472-478 Te Atatu Road",8,7,1,8,24,1
,"Matipo Primary School, 63b Matipo Road",16,30,2,21,69,2
,"Peninsula Primary School, 22 Waipani Road",33,50,1,25,109,3
,"Rutherford Primary School, 2 Kotuku Street",24,30,3,11,68,1
,"Te Atatu Intermediate School, Harbour View Road",61,55,6,52,174,8
"Te Atatu South","Edmonton Primary School, corner School & Edmonton Roads",21,20,1,9,51,4
,"Flanshaw Road School, 51 Flanshaw Road",32,43,3,23,101,2
,"Freyberg Community School, 60 Roberts Road",14,23,3,11,51,4
,"Rangeview Intermediate School, Keru Place",14,8,0,7,29,2
"Westgate","Massey Presbyterian Church, 510 Don Buck Road",23,23,3,7,56,1
,Waitakere
"Glen Eden","Te Kura Kaupapa Māori o Hoani Waititi Marae, 441 West Coast Road",27,27,3,24,81,2
"Henderson","Bruce McLaren Intermediate School, 61-69 Bruce McLaren Road",32,38,1,14,85,5
,"Henderson High School, 31 Henderson Valley Road",28,27,1,12,68,5
,"Henderson Primary School, 13 Montel Avenue",16,17,0,7,40,6
,"Henderson South School, 24 Garelja Road",18,15,3,4,40,1
,"The Church of Jesus Christ of Latter-Day Saints, 7 Harvest Drive",19,11,1,10,41,1
,"Western Heights School, 126 Sturges Road",33,32,3,30,98,1
"Ranui","Birdwood School, 23 Karepo Crescent",26,15,0,10,51,4
,"Ranui Community House, 474 Swanson Road",41,28,2,13,84,5
,"Ranui Pacific Islanders Presbyterian Church, 35 Armada Drive",13,11,3,3,30,3
,"Ranui Primary School, 16a Ranui Station Road",72,47,3,20,142,3
"Sunnyvale","Kelston Community Centre, 126 Awaroa Road ",17,15,2,12,46,3
,"Sunnyvale Community Hall, 18 Sunnyside Road",16,13,2,6,37,2
,"Sunnyvale Primary School, 34 Ribblesdale Road",25,15,3,11,54,2
"Swanson","Swanson School, 703 Swanson Road",29,19,2,14,64,3
"Waitakere","Waitakere Primary School, 10 Bethells Road",10,4,0,6,20,1
,Whangarei
"Glenbervie","Glenbervie School, 151 Ngunguru Road",17,8,1,2,28,2
"Hikurangi","Hikurangi School, Swan Avenue",45,48,1,12,106,13
"Kamo","Jane Mander Retirement Village, 262 Fairway Drive",2,7,0,0,9,1
,"Kamo Intermediate School, Hailes Road",25,24,0,4,53,4
,"Kamo Primary School, 6 Three Mile Bush Road",49,69,5,17,140,3
"Kauri","Kaurihohore Hall, corner Apotu & Crane Roads",6,0,1,3,10,1
"Kensington","Kensington Croquet Club, 41 Mill Road",10,13,4,5,32,1
,"St Johns Church Centre, 149 Kamo Road",43,43,4,10,100,5
,"Table Tennis Centre, Western Hills Drive",20,11,1,3,35,2
,"Whau Valley School, 17 Moodys Avenue",46,25,2,13,86,4
"Kokopu","Kokopu School, Kokopu Road",0,5,0,1,6,0
"Mangapai","Mangapai Hall, corner McAlister & Mangapai Roads ",4,2,0,3,9,0
"Mata","Mata Hall, Salmon Road  ",6,0,0,0,6,0
"Matapouri","Matapouri Public Hall, Matapouri Road",2,5,1,1,9,0
"Maungakaramea","Maungakaramea School, Tangihua Road",5,6,0,2,13,0
"Maungatapere","Maungatapere School, Mangakahia Road",14,11,1,5,31,0
"Maunu","Maunu Health Camp, 436 Maunu Road",11,11,1,2,25,2
,"Maunu Primary School, 13 Austins Road",12,7,0,4,23,0
,"Whangarei Area Hospital, Maunu Road",37,16,1,11,65,3
"Morningside","Morningside School, 53A Morningside Road",21,27,1,2,51,3
"Ngararatanua","Regent Training Centre, Pipiwai Road",16,31,0,12,59,5
"Ngunguru","Ngunguru Community Hall, Ngunguru Road",20,15,1,18,54,1
"One Tree Point","One Tree Point School, 97 One Tree Point Road",14,10,0,3,27,0
"Onerahi","Onerahi School, Church Road",50,56,3,6,115,8
,"Raurimu Avenue School, Raurimu Avenue",28,33,1,7,69,1
,"St James Church, 135 Onerahi Road",41,28,2,5,76,3
"Otaika","Lifesway Bible Church, corner Tarewa & Otaika Roads",60,81,6,18,165,8
,"Otaika School, Valley View Road",7,10,1,3,21,0
"Otangarei","Otangarei School, 181 William Jones Drive",70,122,4,21,217,15
"Parua Bay","Parua Bay School,1396 Whangarei Heads Road",12,21,5,6,44,2
"Poroti","Poroti School, Mangakahia Road",11,9,1,4,25,1
"Portland","Portland Primary School, 10 Portland School Road",10,2,1,2,15,0
"Raumanga","Manaia View School Hall, 64 Murdoch Crescent",57,99,1,8,165,10
,"Northland Polytechnic, 49-59 Raumanga Valley Road",41,69,8,18,136,5
"Regent","Anglican Parish Hall, 2A Kamo Road",42,37,1,15,95,4
"Riverside","Shackleton Scout Hall, Riverside Drive",20,14,0,1,35,4
"Ruakaka","Bream Bay College, Marsden Point Road",43,46,4,12,105,6
,"Ruakaka School, 12 Sandford Road",4,4,2,0,10,1
"Ruatangata","Ruatangata Hall, Pipiwai Road",5,4,0,6,15,0
"Springs Flat","Alive Christian Fellowship, 55 Great North Road",5,4,0,1,10,0
"Tamaterau","Tamaterau Hall, Whangarei Heads Road",4,5,0,0,9,1
"Tauraroa","Tauraroa Area School, Omana Road",1,4,0,1,6,0
"Tikipunga","Tikipunga High School, 194 Corks Road",106,124,8,21,259,15
,"Totara Grove School, 38 Corks Road",39,38,1,7,85,3
,"Trinity Uniting Church, 4 Otuhiwai Crescent",32,27,1,6,66,3
"Waipu","Waipu Presbyterian Church Hall, 50 The Centre",18,5,1,10,34,0
"Whangarei","Archibald Mitsubishi, 50 Reyburn Street",17,10,2,4,33,1
,"Regent Training Classrooms, 29 Maunu Road",15,12,3,4,34,6
,"Whangarei Electorate Headquarters, 34-36 Porowini Avenue",37,43,1,14,95,7
,"Whangarei Intermediate School, 32 Rust Avenue",34,46,6,21,107,4
"Whangarei Heads","McLeod Bay Hall, Stewart Road",4,2,1,1,8,1
,"Polling places where less than 6 votes were taken",29,12,3,13,57,2
,"Ordinary Votes BEFORE polling day - Taken in East Coast Bays",7,1,1,9,18,1
,"Ordinary Votes BEFORE polling day - Taken in Helensville",31,16,3,31,81,3
,"Ordinary Votes BEFORE polling day - Taken in North Shore",16,22,0,25,63,2
,"Ordinary Votes BEFORE polling day - Taken in Northcote",47,64,4,26,141,3
,"Ordinary Votes BEFORE polling day - Taken in Northland",304,687,21,77,1089,28
,"Ordinary Votes BEFORE polling day - Taken in Rodney",43,17,4,27,91,6
,"Ordinary Votes BEFORE polling day - Taken in Te Atatū",72,52,3,53,180,4
,"Ordinary Votes BEFORE polling day - Taken in Waitakere",38,21,1,11,71,4
,"Ordinary Votes BEFORE polling day - Taken in Whangarei",148,155,7,52,362,15
,"Special Votes BEFORE polling day",118,181,8,68,375,12
,"Special Votes On polling day",516,755,70,300,1641,75
,"Overseas Special Votes including Defence Force",25,29,3,25,82,2
,"Te Tai Tokerau Total",6956,8121,559,3114,18750,912
,,,,,"Valid Candidate Votes plus Informal Candidate Votes",19662
"Electorate Candidate Valid Votes","Party",,"HARAWIRA, Hone Pani Tamati Waka Nene - majority 1165"
"DAVIS, Kelvin Glen",Labour Party,6956,.3709866667
"HARAWIRA, Hone Pani Tamati Waka Nene",Mana,8121,.43312
"HERBERT, Sheree Dawn",Aotearoa Legalise Cannabis Party,559,.0298133333
"SHORTLAND, Waihoroi Paraone",Māori Party,3114,.16608
