Electorate Candidate Votes Recorded at Each Voting Place
"Ilam 18","Candidate Vote Details"
,,"BALLANTINE, Beverley June","BROWNLEE, Gerard Anthony","DANN, James Macbeth","KELCHER, John Michael","STRINGER, John Charles","VEALE, Gareth Rhys","WAKEFIELD, Benita Waina","Total Valid Candidate Votes","Informal Candidate Votes"
,"Rehua Marae, whare kai (dining room), 79 Springfield Road",0,2,2,2,0,0,0,6,0
"Upper Riccarton","Middleton Grange School Performing Arts Foyer, 50 Acacia Avenue",0,7,6,2,2,0,0,17,0
,"Riccarton High School Hall, corner Curletts Road & Vicki Street",0,16,17,8,2,2,0,45,0
,"Villa Maria College Hall, 21 Peer Street (Brodie Street entrance)",2,166,77,40,12,9,1,307,7
"Yaldhurst","Yaldhurst Model School, 48 School Road",0,9,1,1,1,0,0,12,0
,"Voting places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day",81,5886,2147,980,328,82,66,9570,140
,"Special Votes BEFORE polling day",15,550,243,154,35,8,14,1019,20
,"Special Votes On polling day",32,1210,580,392,74,32,19,2339,32
,"Overseas Special Votes including Defence Force",16,405,235,168,10,8,5,847,5
,"Ilam Total",321,19981,8083,4201,1172,402,243,34403,448
,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",34851
"Electorate Candidate Valid Votes","Party",,"BROWNLEE, Gerard Anthony - majority 11898"
"BALLANTINE, Beverley June",Internet Party,321,.0093305816
"BROWNLEE, Gerard Anthony",National Party,19981,.5807923728
"DANN, James Macbeth",Labour Party,8083,.2349504404
"KELCHER, John Michael",Green Party,4201,.1221114438
"STRINGER, John Charles",Conservative,1172,.0340667965
"VEALE, Gareth Rhys",ACT New Zealand,402,.0116850275
"WAKEFIELD, Benita Waina",Māori Party,243,.0070633375
