Electorate Candidate Votes Recorded at Each Voting Place
"Te Tai Tokerau 69","Candidate Vote Details"
,,"DAVIS, Kelvin Glen","DEARLOVE, Clinton","HARAWIRA, Hone Pani Tamati Waka Nene","PAENGA, Te Hira Keretene Te Whakaiti","Total Valid Candidate Votes","Informal Candidate Votes"
,"North Shore Hospital, Shakespeare Road",2,0,1,3,6,0
"Narrow Neck","Vauxhall School, Morrison Avenue",7,0,2,3,12,0
"Stanley Bay","Stanley Bay School, 15 Russell Street",6,0,3,2,11,0
"Sunnynook","Sunnynook School, 27 Lyford Crescent",10,0,5,3,18,0
,"Wairau Intermediate School, 113 Becroft Drive",19,2,7,6,34,2
"Takapuna","Takapuna Methodist Church Hall, corner Lake Road & Tennyson Avenue",7,1,7,4,19,0
,"Takapuna School, 23 Auburn Street (or Anzac Street entrance)",16,0,3,8,27,1
,Northcote
"Beach Haven","Maria Assumpta Parish Hall, 198 Beach Haven Road",24,0,26,11,61,0
,"The Beach Haven Hall, 336 Rangatira Road",52,3,57,21,133,2
"Birkdale","Birkdale Intermediate School, 200 Birkdale Road",39,0,38,14,91,0
,"Birkdale North School, 213 Birkdale Road",19,2,14,10,45,1
,"Birkenhead Baptist Church Hall, 25 Birkdale Road",20,3,8,5,36,1
"Birkenhead","All Saints Hall, 187 Hinemoa Street",10,0,1,4,15,0
,"Chelsea Primary School, 2 Onetaunga Road",11,1,10,4,26,0
,"North Shore Church of Christ, 3 Willow Avenue",3,0,4,1,8,0
,"Zion Hill Methodist Church Hall, corner Onewa Road & Birkenhead Avenue",17,1,10,9,37,2
"Glenfield","Glenfield College, 52-60 Kaipatiki Road",12,0,5,2,19,0
,"Glenfield Community Centre, corner Glenfield Road & Bentley Avenue",21,0,14,5,40,0
,"Glenfield Primary School, 101 Chivalry Road",9,0,10,5,24,0
,"Marlborough Primary School, 4 Wykeham Place",15,3,15,4,37,1
,"Windy Ridge School, 50 Seaview Road",12,0,9,5,26,0
"Little Shoal Bay","Northcote Bowling Club, 9 Council Terrace",6,2,0,2,10,0
"Northcote","Northbridge Retirement Village Hall, 45 Akoranga Drive",10,1,7,4,22,0
,"Northcote Intermediate, 145 Lake Road",47,0,29,5,81,1
,"Northcote Primary School, corner Lake & Onewa Roads",5,3,5,2,15,0
,"Sunnybrae Normal School, 36 Sunnybrae Road",11,2,6,5,24,0
,"Tongan Methodist Church Hall, corner Queen Street & Stafford Road",10,0,0,5,15,0
,"Willow Park School, 13 Compton Street",20,1,7,5,33,1
,Northland
"Ahipara","Ahipara School, Main Road",65,0,67,7,139,0
"Arapohue","Arapohue School, Mititai Road",3,0,1,2,6,1
"Awanui","Awanui School, Far North Road",60,2,50,5,117,0
"Awarua","Te Hurihi Marae, Mangakahia Road",6,0,2,0,8,0
"Baylys Beach","Baylys Beach Holiday Park, 24 Seaview Road",3,0,4,2,9,1
"Broadwood","Broadwood Area School, Main Road",4,0,9,1,14,1
"Dargaville","Dargaville Primary School, Portland Street",40,3,27,11,81,1
,"Selwyn Park Primary School, 38 Onslow Street",31,2,24,7,64,2
,"The Lighthouse Church Hall, Normanby Street",42,3,33,16,94,2
"Fairburn","Fairburn Hall, Main Fairburn-Peria Road",4,0,3,2,9,0
"Herekino","Herekino School, Kaitaia-Awaroa Road",27,0,17,0,44,0
"Horeke","Horeke School, Horeke Road",12,1,24,7,44,0
"Hukerenui","Hukerenui School, 9 Crows Nest Road",6,1,3,2,12,1
"Kaeo","Kaeo Primary School, 4139 State Highway 10",51,2,55,7,115,4
"Kaihu","Kaihu Hall, Wood Road",28,1,18,3,50,0
"Kaikohe","Kaikohe East School, 36 Mangakahia Road",107,5,156,25,293,1
,"Kaikohe Intermediate School, 11 Park Road",86,6,107,10,209,2
"Kaingaroa","Kaingaroa School, State Highway 10",3,0,2,1,6,0
"Kaitaia","Kaitaia College, Redan Road",77,1,79,6,163,1
