Electorate Candidate and Party Votes Recorded at Each Polling Place
"Ikaroa-Rawhiti 63","Candidate Vote Details"
,,"HOROMIA, Parekura Tureia","POANANGA, Atareta Nicole","TE KANI, Tauha ","Total Valid Candidate Votes","Informal Candidate Votes"
,"Parkvale Hall, Nix Road",5,1,0,6,0
,"South End School, High Street South",11,11,1,23,1
"Dannevirke","Dannevirke High School (cnr Grant and King Streets)",8,6,0,14,0
,"Dannevirke South School (cnr Stairs and Hunter Streets)",23,18,0,41,2
,"Dannevirke Sports Centre, Anderson Street",14,12,0,26,2
,"District Court, 5-7 Gordon Street",56,40,4,100,5
,"Huia Range School, Cole Street",50,49,1,100,4
,"Ruahine School, Maharahara Road",4,2,0,6,0
,"Totara College, 3 Ruahine Street",10,4,1,15,0
"Eketahuna","Eketahuna School, Albert Street",7,4,2,13,1
"Featherston","Community Centre, 14 Wakefield Street",16,7,0,23,0
,"Featherston School, Lyons Street",32,13,0,45,0
,"South Featherston School, South Featherston Road",3,3,0,6,1
"Gladstone","Gladstone School, Gladstone Road",2,7,1,10,0
"Greytown","Greytown School, East Street",25,11,0,36,1
,"Kuranui College Student Centre, Moroa Plain Road",4,4,0,8,0
"Mangatainoka","Mangatainoka School, State Highway 2",4,2,0,6,0
"Martinborough","Martinborough School, Dublin Street",29,27,0,56,2
"Masterton","Chanel College, 26 Herbert Street",16,12,2,30,2
,"Courthouse, Dixon Street",36,22,1,59,2
,"Douglas Park School, 134 Cole Street",7,6,0,13,2
,"Fernridge School, Upper Plain Road",7,5,1,13,0
,"IHC Vocational Centre, 46 Bentley Street",13,4,0,17,1
,"Kura Kaupapa Maori o Wairarapa, Johnstone Street",64,69,2,135,4
,"Lakeview School, cnr Te Ore Ore and Colombo Rds",54,43,5,102,7
,"Majestic Theatre, 137 Ngaumutawa Road",11,16,0,27,0
,"Masterton Intermediate School, Intermediate Street",32,18,0,50,3
,"Montessori Wairarapa School, 127 Cornwall Street",4,3,0,7,0
,"Solway School, 318 Ngaumutawa Road",8,7,1,16,0
,"Town Hall, 64 Chapel Street",30,25,1,56,3
,"Young Citizens Hall, 205 Chapel Street",18,7,1,26,0
"Norsewood","Norsewood School, Coronation Street",8,11,0,19,0
"Pahiatua","Pahiatua School, Albert Street",24,17,1,42,2
