Electorate Candidate and Party Votes Recorded at Each Polling Place
"Taranaki-King Country 50","Candidate Vote Details"
,,"ARDERN, Philip Shane","COPELAND, Anne Louise","HARRISON, Tony","JONES, Mark Anthony","SMITH, Horace William","STEELE, Richard","STREET, Maryan","Total Valid Candidate Votes","Informal Candidate Votes"
"Waitara","Waitara Central School Hall, Cracroft St",26,0,0,0,0,0,15,41,2
"Waitetuna","School, 129 Waitetuna Valley Rd",42,0,0,0,4,3,36,85,0
"Waitomo Caves","Waitomo School, Hotel Access Rd",96,1,0,0,1,3,33,134,1
"Waitoriki","Waitoriki School, Lincoln Rd",64,1,0,0,1,0,20,86,0
"Warea ","Warea Hall, South Road, SH45",117,1,0,0,2,3,17,140,1
"Whangamomona","Whangamomona Hall, SH43",36,0,1,1,3,0,6,47,0
"Wharehuia","Wharehuia Hall, 577 Beaconsfield Rd",77,0,4,0,0,3,11,95,0
"Wharepapa","South School, 14 Wharepapa Rd",103,0,0,1,2,0,13,119,1
,"Polling places where less than 6 votes were taken",1,0,0,0,0,0,4,5,0
,"Hospital Votes",199,4,1,2,5,3,84,298,27
,"Ordinary Votes BEFORE polling day",1046,36,31,12,23,20,376,1544,25
,"Special Votes BEFORE polling day",197,7,3,2,6,6,66,287,10
,"Special Votes On polling day",1070,39,26,11,25,27,530,1728,30
,"Overseas Special Votes including defence force",132,3,2,1,4,5,52,199,3
,"Taranaki-King Country Total",20867,568,425,195,510,547,7749,30861,533
,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",31394
"Electorate Candidate Valid Votes","Party",,"ARDERN, Philip Shane - majority 13118"
"ARDERN, Philip Shane",National Party,20867,.6761608503
"COPELAND, Anne Louise",United Future New Zealand,568,.0184051068
"HARRISON, Tony",Destiny New Zealand,425,.0137714267
"JONES, Mark Anthony",Christian Heritage NZ,195,.0063186546
"SMITH, Horace William",Jim Anderton's Progressive,510,.0165257121
"STEELE, Richard",ACT New Zealand,547,.0177246363
"STREET, Maryan",Labour Party,7749,.2510936133
