Electorate Candidate and Party Votes Recorded at Each Polling Place
"Bay of Plenty 4","Candidate Vote Details"
,,"BROWN, Peter Alfred","FRANCIS-ROBERSON, Michael","LEIGH, Jeffrey Allan","MAXWELL, Roberta Ann","PAUL, Te Orohi Teeni","RYALL, Anthony Boyd Williams","SCOTT, Pauline Anne","STEPHENS, Ian Douglas","STEWART-WARD, Veronique","Total Valid Candidate Votes","Informal Candidate Votes"
"Te Ranga","Te Ranga School, Room 1, 1492 Te Matai Road",11,0,0,1,0,102,14,0,0,128,0
"Te Teko","Te Teko School Hall, 6 Edgecumbe / Te Teko Highway",16,0,2,4,17,122,68,8,1,238,0
"Thornton","Thornton School Hall, 43 Eastbank Road",9,0,3,2,0,150,29,5,1,199,0
"Waitangi","Te Kura Kaupapa Maori o Te Matai, 309 SH 2",15,2,1,3,9,80,19,2,0,131,1
"Welcome Bay","Baden Powell Hall, 39 Welcome Bay Road",288,0,47,12,7,985,337,62,11,1749,15
,"Selwyn Ridge School Hall, 20 Holmburn Street",91,0,20,12,6,403,131,14,12,689,1
,"Welcome Bay School Hall, 309 Welcome Bay Road",212,5,32,5,11,823,297,60,7,1452,6
"Whakatane","District Council, Commerce Street",9,0,5,3,3,108,45,3,2,178,1
,"Reads Auction Hall, 17 King Street",13,0,11,2,12,174,61,4,0,277,0
,"Salvation Army Hall, cnr King and Goulstone Roads",3,0,1,2,0,23,16,2,0,47,0
,"Whakatane Intermediate School Hall, James Street",12,0,2,1,4,86,26,5,1,137,1
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",80,0,2,3,2,212,96,3,0,398,6
,"Ordinary Votes BEFORE polling day",351,4,59,23,8,1611,476,63,7,2602,11
,"Special Votes BEFORE polling day",44,0,4,4,2,165,67,13,3,302,3
,"Special Votes On polling day",322,3,56,34,53,1264,550,153,18,2453,40
,"Overseas Special Votes including defence force",28,0,7,1,3,175,42,12,0,268,2
,"Bay of Plenty Total",4903,27,707,317,314,20941,7357,1181,217,35964,255
,,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",36219
"Electorate Candidate Valid Votes","Party",,"RYALL, Anthony Boyd Williams - majority 13584"
"BROWN, Peter Alfred",New Zealand First Party,4903,.1363307752
"FRANCIS-ROBERSON, Michael",Direct Democracy Party,27,.0007507508
"LEIGH, Jeffrey Allan",United Future New Zealand,707,.0196585474
"MAXWELL, Roberta Ann",Destiny New Zealand,317,.0088143699
"PAUL, Te Orohi Teeni",Mâori Party,314,.0087309532
"RYALL, Anthony Boyd Williams",National Party,20941,.5822767212
"SCOTT, Pauline Anne",Labour Party,7357,.2045656768
"STEPHENS, Ian Douglas",Green Party,1181,.0328383939
"STEWART-WARD, Veronique",Jim Anderton's Progressive,217,.0060338116
