Electorate Candidate and Party Votes Recorded at Each Polling Place
"Clutha-Southland 6","Candidate Vote Details"
,,"CALVERLEY, William Ross","CORBETT, Anthony James","ENGLISH, Simon William","GOLDSMITH, Rachael Louise","LOO, Tat Ang","MILLS, Robert Alexander","NICOLSON, Donald Owen","Total Valid Candidate Votes","Informal Candidate Votes"
"Kingston","Fire Brigade Meeting Room, 48 Kent Street",1,0,58,7,12,1,3,82,2
"Lawrence","St John Rooms, 10 Ross Place",7,0,273,37,74,0,9,400,7
"Limehills","Limehills School, Derby Road",4,0,249,6,16,1,14,290,6
"Lochiel","Lochiel School, corner Lochiel Bridge & Smith Roads",0,0,62,2,2,0,2,68,3
"Lumsden","Lumsden School, 19 Maria Street",9,1,175,30,36,6,9,266,5
"Manapouri","Manapouri Hall, 11 Hall Road",5,0,93,16,25,1,8,148,3
"Mandeville","Mandeville Public Hall, 11 Waimea Valley Road",1,0,77,3,2,0,9,92,1
"Mararoa","Mararoa School, 2373 State Highway 94",2,0,84,7,5,0,1,99,0
"Mataura","Mataura School Hall, 33 Oakland Street",21,5,311,41,251,4,16,649,23
"Milton","Tokomairiro Co-op Parish Hall, 30-34 Union Street",20,4,333,43,187,7,15,609,29
,"Tokomairiro High School, 238 Union Street",21,3,367,53,177,2,5,628,20
"Mossburn","Mossburn School, 28 Surrey Street",6,4,185,10,39,2,8,254,10
"Nightcaps","Takitimu Primary School, 17 Evans Street",6,2,106,19,59,4,8,204,9
"Ohai","Ohai Volunteer Fire Brigade, 61 Birchwood Road",4,1,35,6,43,2,10,101,5
"Opio","Opio Public Hall, 529 Opio Road",2,0,42,2,1,1,2,50,2
"Orawia","Orawia and Districts Community Centre, 2044 Ohai Clifden Highway",1,0,88,6,4,0,8,107,4
"Orepuki","Orepuki and Districts Community Centre, 32 Oldham Street",0,0,19,0,0,0,0,19,0
"Otama","Otama School, 702 Otama Road",3,0,88,6,3,0,9,109,2
"Otautau","Otautau School, 17 Elles Road",9,2,313,22,85,5,29,465,17
"Owaka","Owaka Memorial Community Centre, 3 Ovenden Street",20,1,243,19,67,2,14,366,16
"Pukerau","Pukerau School, 30 Pukerau Street",5,0,81,7,9,0,6,108,0
"Queenstown","Memorial Hall, corner Memorial & Stanley Streets",15,3,755,209,159,1,8,1150,21
,"Queenstown Primary School Hall, 20 Robins Road",2,0,180,52,57,1,3,295,5
"Riversdale","Riversdale School, 28 Rutland Street",16,1,321,19,31,2,15,405,6
"Stirling","Stirling School, corner Baker & Boyd Streets",2,0,106,14,40,1,4,167,10
"Tahakopa","Tahakopa School, 921 Tahakopa Valley Road",3,1,40,5,17,0,2,68,3
"Taieri Beach","Taieri Beach School Library, 208 Moturata Road",5,0,69,18,33,0,1,126,5
"Tapanui","Tapanui School, 14a Sussex Street",12,1,378,22,101,3,21,538,15
"Te Anau","Te Anau School Hall, 167 Milford Road",31,7,768,118,129,7,25,1085,20
"Tuatapere","Tuatapere Community College, 47 Orawia Road",1,0,222,18,47,1,18,307,13
"Waihola","Waihola & Districts School, 5 Kilgour Street",10,1,168,30,59,0,6,274,8
"Waikaia","Waikaia School, 22 Leamington Street",7,0,101,6,21,0,6,141,6
"Waikaka","Waikaka School, 22 Matheson Road",6,1,168,7,10,2,15,209,7
"Waikoikoi","Waikoikoi Public Hall, corner State Highway 90 & Koi Flat Road",1,0,94,0,4,0,18,117,4
"Waimumu","Waimumu Te Tipua Hall, corner Waimumu & Glendhu Roads",8,0,81,4,6,0,9,108,3
"Waipahi","Waipahi Community Centre, 54 Railway Terrace",2,0,58,5,10,0,4,79,1
"Waitahuna","Waitahuna School, 18 Sunderland Street",1,0,94,3,23,0,4,125,3
"Waiwera South","Waiwera South School, 16 May Street",4,1,82,1,2,0,2,92,1
"Warepa","Warepa School, 383 Old Port Road",1,1,80,3,5,0,2,92,0
"Wendonside","Wendonside Hall, corner Wendonside & Freshford Plains Station Roads",0,0,55,1,1,0,8,65,3
"Winton","Central Southland College, corner Grange and Mackenzie Streets",18,5,414,24,54,2,14,531,11
,"Winton Primary School Hall, corner Clyde & Eglinton Streets",24,2,652,35,102,3,22,840,18
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Clutha-Southland",82,17,3121,395,668,19,60,4362,104
,"Ordinary Votes BEFORE polling day - Taken in Invercargill",5,0,79,2,14,0,4,104,0
,"Special Votes BEFORE polling day",9,1,248,49,64,1,5,377,5
,"Special Votes On polling day",33,7,1278,238,302,3,44,1905,39
,"Overseas Special Votes including Defence Force",0,3,122,31,18,0,3,177,0
,"Clutha-Southland Total",787,130,21375,2633,5207,128,796,31056,810
,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",31866
"Electorate Candidate Valid Votes","Party",,"ENGLISH, Simon William - majority 16168"
"CALVERLEY, William Ross",Conservative Party,787,.0253413189
"CORBETT, Anthony James",New Zealand Sovereignty Party,130,.0041859866
"ENGLISH, Simon William",National Party,21375,.6882727975
"GOLDSMITH, Rachael Louise",Green Party,2633,.0847823287
"LOO, Tat Ang",Labour Party,5207,.1676648635
"MILLS, Robert Alexander",Democrats for Social Credit,128,.0041215868
"NICOLSON, Donald Owen",ACT New Zealand,796,.025631118
