Electorate Candidate and Party Votes Recorded at Each Polling Place
"Tukituki 54","Candidate Vote Details"
,,"BARKER, Richard John","BURCH, Scott Frank","EARTH, Ruth Elizabeth","FOSS, Craig Raymond Robert","ORMOND, John Davies","SMITH, Jocelyn Penelope","TOMOANA, Ngahiwi ","Total Valid Candidate Votes","Informal Candidate Votes"
,"St Columbas Hall, Te Mata Road",286,0,35,685,16,7,6,1035,3
,"St John Ambulance Hall, 22 Napier Road",118,0,12,244,4,7,1,386,3
"Kereru","Kereru School, 2306 Kereru Road",10,0,4,60,0,3,1,78,0
"Mahora","Aubyn Theatre, St Aubyn Street West",397,3,36,318,9,17,9,789,9
,"Mahora School, 710 Frederick Street",872,3,66,807,24,45,33,1850,19
"Maraekakaho","Maraekakaho School, 68 Kereru Road",76,0,12,223,4,4,4,323,0
"Mayfair","Karamu High School, Windsor Avenue",280,3,27,249,5,11,13,588,6
,"Mayfair School, Willowpark Road North",700,2,38,494,7,21,29,1291,11
"Omahu","Omahu School, Taihape Road",57,0,6,159,2,3,10,237,0
"Onga Onga","Onga Onga School, 51 Mill Street",53,0,10,151,3,7,1,225,1
"Otane","Otane School, Higginson Street",138,0,26,167,6,10,13,360,5
"Pakipaki","Pakipaki School, Pakipaki Road",45,0,3,97,1,2,13,161,1
"Parkvale","Gordon Black Hall, 912 Queen Street East",179,0,11,150,3,11,1,355,3
,"Parkvale Kindergarten, 108 Park Road South",234,1,19,170,4,6,7,441,4
,"Parkvale School Hall, Howard Street",321,2,30,438,19,26,6,842,2
,"Takitimu Performing Arts School, 706 Albert Street",123,0,3,78,1,8,9,222,2
"Poukawa","Poukawa School, 107 Poukawa Road",24,0,0,94,2,0,0,120,0
"Pukahu","Riverbend Chapel, 354 Te Aute Road",56,0,4,202,7,5,3,277,4
"Pukehamoamoa","Pukehamoamoa School, Matapiro Road",30,0,7,150,6,4,2,199,1
"Pukehou","Pukehou School, SH2",54,1,7,69,0,1,3,135,0
"Raukawa","Raukawa School, 948 Valley Road",22,0,4,96,6,4,2,134,0
"Raureka","Ebbett Park School, 600 Oliphant Road",355,2,10,194,8,15,13,597,6
,"Raureka School Hall, 916 Gordon Road",606,2,24,525,9,25,15,1206,17
"Sherenden","Sherenden School, Taihape Road",19,0,2,89,2,1,1,114,1
"Springhill","Springhill Community Hall, Wakarara Road",6,0,3,60,1,2,3,75,0
"Takapau","Takapau School, Charles Street",148,0,11,219,10,8,3,399,2
"Te Hauke","Te Hauke School, Burma Road",18,0,0,14,0,1,0,33,0
"Tikokino","Tikokino School, 43 Owen Street",64,0,7,129,1,2,0,203,1
"Twyford","Twyford School, Thompson Road",66,0,7,266,2,1,2,344,2
"Waimarama","Mr Huggett's Garage, Redbridge RD12 Havelock North",55,0,14,137,2,1,4,213,2
,"Waimarama Memorial Hall, Waimarama Road",60,1,5,81,3,1,5,156,0
"Waipawa","CHB District Council Chambers, Ruataniwha Street",243,0,18,341,10,7,4,623,0
,"Waipawa School, Harker Street",209,0,22,195,10,12,1,449,3
"Waipukurau","CHB College Library, Tavistock Road",247,1,23,209,10,11,6,507,2
,"Terrace School, 164 Porangahau Road",184,2,10,204,9,7,4,420,2
,"Waipukurau School, St Marys Road",474,1,20,621,27,23,7,1173,5
"Waiwhare","Waiwhare Community Centre, 27 River Road",14,0,0,55,3,0,1,73,0
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0
,"Hospital Votes",221,3,8,263,21,7,7,530,24
,"Ordinary Votes BEFORE polling day",909,3,74,1327,35,52,16,2416,25
,"Special Votes BEFORE polling day",171,0,16,172,4,5,4,372,7
,"Special Votes On polling day",870,3,119,835,31,35,50,1943,32
,"Overseas Special Votes including defence force",116,0,19,132,6,0,4,277,2
,"Tukituki Total",14837,49,1171,17239,456,670,541,34963,329
,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",35292
"Electorate Candidate Valid Votes","Party",,"FOSS, Craig Raymond Robert - majority 2402"
"BARKER, Richard John",Labour Party,14837,.4243628979
"BURCH, Scott Frank",Direct Democracy Party,49,.0014014816
"EARTH, Ruth Elizabeth",Green Party,1171,.0334925493
"FOSS, Craig Raymond Robert",National Party,17239,.4930640963
"ORMOND, John Davies",ACT New Zealand,456,.0130423591
"SMITH, Jocelyn Penelope",United Future New Zealand,670,.0191631153
"TOMOANA, Ngahiwi ",Mâori Party,541,.0154735006
