Electorate Candidate and Party Votes Recorded at Each Polling Place
"Te Tai Hauāuru 67","Candidate Vote Details"
,,"McDONALD, Jack Tautokai Baxter","PEKE-MASON, Soraya Waiata","TIMUTIMU, Frederick","TURIA, Tariana","WAITAI-RAPANA, Jennifer","WILSON, Robert Piriniha","Total Valid Candidate Votes","Informal Candidate Votes"
,Mana
"Taihape","St Joseph's School Hall, Rauma Road",3,1,2,7,0,0,13,1
,"Taihape Town Hall, 90 Hautapu Street",3,23,11,56,0,0,93,4
"Tangimoana","Tangimoana School, 19 Punga Street",2,4,2,6,0,0,14,1
"Taonui","Taonui School, 170 Waughs Road",1,0,0,6,0,0,7,0
"Taumarunui","Catholic Church Hall, 14 High Street",1,3,2,14,0,0,20,0
,"Manunui School, Room 1, Rata Street",3,14,3,29,0,0,49,3
,"Tarrangower School Library, 15 Manson Street",3,5,1,8,0,0,17,2
,"Taumarunui & District War Memorial Hall, 149 Hakiaha Street",10,27,9,66,0,1,113,11
,"Taumarunui Primary School Hall, Maata Street",5,13,4,23,0,0,45,2
,"Te Kura Kaupapa Māori O Taumarunui, 35 Makere Street",5,15,7,34,0,0,61,5
"Turakina","Turakina School, State Highway 3",4,7,3,8,0,0,22,2
"Waiouru","Waiouru Community Centre, Queree Drive",5,8,3,31,0,1,48,1
"Whakarongo","Whakarongo Community Hall, 17 Stoney Creek Road",2,1,0,4,0,0,7,0
"Whangaehu","Whangaehu School, Ruatangata Street",0,1,0,23,0,0,24,0
,Taranaki-King Country
"Aria","Aria School, Barclay Road",0,0,2,4,0,0,6,1
"Arohena","Arohena School, 40 Pukewhau Road",0,2,0,3,0,0,5,2
"Benneydale","Benneydale Community Hall, Maniaiti Road",2,3,4,7,0,0,16,0
"Hangatiki","Hangatiki School Library, 591 Hangatiki East Road",3,6,1,10,0,1,21,1
"Inglewood","Inglewood High School, Kelly Street entrance",2,3,2,3,0,0,10,1
,"Inglewood Primary School Library, 33 Kelly Street",3,17,5,11,0,1,37,2
"Kihikihi","Kihikihi Town Hall, Lyon Street",2,6,9,10,0,0,27,2
"Mapiu","Mapiu School, 2739 State Highway 4",1,1,1,1,0,0,4,2
"Marokopa","Marokopa Community Hall, The Esplanade",1,2,1,4,0,0,8,1
"Matiere","Matiere School, 2106 Main Road",0,3,0,1,1,0,5,2
"Midhirst","Midhirst Primary School Library, 8 Erin Street",0,2,0,2,0,0,4,2
"Mimi","Mimi School, 23 Pukearuhu Road",0,1,0,8,0,0,9,0
"Mokau","Mokau Primary School, corner Rangi Street & Aria Terrace",1,5,1,7,1,0,15,0
"Ngutunui","Ngutunui School, Ngutunui Road",0,1,0,7,0,0,8,1
"Ohura","Ohura Valley School, Ngarimu Street",1,3,1,4,0,0,9,0
"Ongarue","Ongarue School, Village Road",2,7,2,6,0,0,17,0
"Oparau","Oparau Roadhouse, 4370 State Highway 31",0,4,0,9,0,0,13,3
"Oparure","Te Kura Kaupapa Māori o Oparure, 308 Oparure Road",1,8,2,5,0,0,16,3
"Otorohanga","Otorohanga College Hall, Bledisloe Avenue",7,19,6,22,0,0,54,6
,"St John Ambulance Hall, 11 Kakamutu Road",16,32,7,69,0,2,126,8
"Parawera","Parawera School, 18 Mellsop Road",1,1,1,2,0,0,5,2
"Piopio","Piopio Primary School, 14 Aria Road",7,14,5,19,0,0,45,3
"Pirongia","Pirongia School, 100 Beechey Street",1,1,1,3,0,0,6,0
"Pukeatua","Pukeatua School, 2110 Arapuni Road",1,0,0,11,0,0,12,1
"Stratford","Avon School, Hamlet Street",5,10,0,12,0,1,28,2
,"Stratford High School, Swansea Road",0,4,1,2,0,0,7,2
,"Stratford Methodist Church Hall, Regan Street (opposite New World)",4,7,5,15,1,1,33,3
,"Stratford Primary School, Regan Street",2,6,1,4,0,0,13,2
"Taharoa","Taharoa School, Main Road",0,13,6,24,0,0,43,1
"Te Kawa Crossroads","Te Kawa Crossroads Hall, corner State Highway 3 & Te Kawa Road",4,6,2,7,0,0,19,0
"Te Kuiti","Centennial Park School, 50 Te Kuiti Road",15,34,14,35,2,0,100,7
,"Te Kuiti Courthouse, Queen Street",7,34,11,38,0,0,90,7
,"Te Kuiti High School, Hospital Road",2,7,0,11,0,0,20,1
,"Te Kuiti Primary School, Rora Street",6,31,11,41,0,1,90,5
"Tikorangi","Tikorangi School, 356 Ngatimaru Road",2,4,0,9,1,0,16,2
"Tongaporutu","Tongaporutu Hall, Tongaporutu Road",0,2,1,2,1,0,6,0
"Urenui","Urenui School, Takiroa Street",0,7,4,22,0,2,35,1
"Waitomo Caves","Waitomo School, Hotel Access Road",6,3,1,11,0,2,23,1
,Taupō
"Arapuni","Arapuni Community Hall, 47 Arapuni Road",5,8,1,3,0,1,18,3
"Lichfield","Lichfield School and Community Hall, Kells Lane",0,2,1,5,0,0,8,1
"Mangakino","Mangakino Senior Citizens Hall, 25 College Street",3,20,9,39,0,0,71,5
"Marotiri","Marotiri School, 1569 State Highway 32",2,1,0,2,0,0,5,1
"Okoroire","Kuranui School, 66 Waiomou Road",1,2,3,1,0,0,7,2
"Putaruru","Putaruru Baptist Church Hall, 52 Arapuni Street",1,40,8,34,0,3,86,7
,"Putaruru College, 1 Junction Street",4,9,2,5,0,0,20,0
,"St Patrick's Hall, 5 McKenzie Street",5,19,5,33,1,0,63,3
"Tirau","Tirau War Memorial Hall, 27 Main Road",2,18,4,17,0,0,41,3
"Tirohanga ","Tirohanga School, 851 Tirohanga Road",3,2,0,10,0,0,15,2
"Tokoroa","Amisfield School, 10 Moffat Road",3,11,3,9,1,0,27,2
