Electorate Candidate Votes Recorded at Each Voting Place
"Northland 35","Candidate Vote Details"
,,"CLENDON, David James","NELSON, Craig","PRIME, Willow-Jean","RINTOUL, Kenneth Alan","ROBERTSON, Murray","SABIN, Michael Lewis","TAYLOR, Melanie Jane","TIMMS, Glen Craig","WILSON, David Angus","Total Valid Candidate Votes","Informal Candidate Votes"
"Pakotai","Pakotai School, Ruddell Road (off Mangakahia Road)",2,0,17,7,1,32,2,0,1,62,0
"Pamapuria","Pamapuria School, 6970 State Highway 1",10,1,42,11,0,80,6,1,0,151,1
"Panguru","Panguru,Te Kura Taumata O Panguru, 2178 West Coast Road",2,0,20,1,0,10,0,0,0,33,2
"Paparoa","Paparoa School, Franklin Road",38,5,83,14,0,338,35,0,10,523,8
"Pawarenga","Te Kura o Hata Maria, Te Riha Road",4,0,2,0,0,2,0,0,0,8,2
"Peria","Peria School, 1430 Oruru Road",41,1,52,4,1,36,4,0,0,139,3
"Pipiwai","Te Horo School, 3239 Pipiwai Road",0,0,8,4,0,12,0,0,0,24,0
"Port Albert","Port Albert Hall, 980 Port Albert Road",12,0,34,4,1,149,16,1,1,218,1
"Pouto","Rangitane Community Centre, Pouto Road",2,0,8,2,0,17,1,0,1,31,1
"Pukenui","Pukenui School, Lamb Road",24,2,70,15,0,175,8,0,1,295,1
"Pukepoto","Pukepoto School, 818 Awaroa Road",2,1,12,3,0,24,1,2,0,45,1
"Punaruku","Whangaruru School, 2916 Old Russell Road",3,0,6,0,0,4,0,0,0,13,0
"Rawene","Rawene School, Marmon Street",35,0,90,12,0,52,7,0,0,196,2
"Rawhiti","Rawhiti Kohanga Reo, Te Rawhiti Marae, 221  Rawhiti Road ",4,0,15,0,0,10,0,0,0,29,0
"Ruatangata","Ruatangata Hall, 1190 Pipiwai Road",6,0,11,2,3,44,6,0,1,73,0
"Ruawai","Ruawai Primary School, Main Road",19,2,95,8,0,283,14,0,4,425,4
"Russell","Russell School, Baker Street",67,7,177,2,1,320,11,1,1,587,6
"Taheke","Taheke Health Centre, 3735 Horeke Road",3,0,25,7,0,14,2,0,0,51,0
"Taipa","Taipa Area School, 578 State Highway 10",72,4,164,43,0,294,21,1,3,602,8
"Taipuha","Taipuha Hall, Taipuha Station Road",1,0,8,2,0,53,1,0,0,65,0
"Takahue","Takahue Community Hall, Takahue Saddle Road",15,0,14,13,0,41,1,1,1,86,0
"Tangiteroria","Tangiteroria Primary School, 3078 State Highway 14",4,0,19,10,0,93,7,0,5,138,1
"Tangowahine","Tangowahine Primary School, Tangowahine Valley Road",16,0,29,16,0,62,6,0,0,129,2
"Tapora","Tapora Primary School, 1 Okahukura Road",4,3,20,8,0,38,3,1,1,78,0
"Taupo Bay","Taupo Bay Holiday Park, Taupo Bay Road",4,0,15,0,0,22,0,1,0,42,1
"Tautoro","Tautoro School, Mangakahia Road",6,0,17,3,0,3,0,0,2,31,1
"Te Hapua","Te Hapua School, 14 Waharua Road",0,0,7,0,0,3,0,0,0,10,2
"Te Iringa","Te Iringa Marae, Waimatenui Road",1,0,5,1,0,9,0,0,0,16,0
"Te Kao","Te Kao Area School, 6603 Far North Road",3,1,6,2,0,12,0,0,0,24,0
"Te Kopuru","Te Kopuru School, Norton Street",30,0,58,17,0,163,12,1,1,282,3
"Te Tii","Te Tii School, Purerua Road",4,0,19,0,0,39,0,0,0,62,0
"Tinopai","Tinopai Primary School, Tinopai Road",9,1,15,2,1,44,0,0,1,73,0
"Titoki","Mangakahia Area School, Mangakahia Road",13,1,31,2,0,82,9,0,3,141,0
"Tokerau Beach","Kura Kaupapa Rangiawhia School, Inland Road",18,0,70,10,2,124,5,0,2,231,3
"Totara North","Totara North Hall, 4 School Road",12,2,46,7,6,77,5,2,1,158,0
"Umawera","Umawera School, State Highway 1",8,0,10,28,0,47,4,0,0,97,1
"Victoria Valley","Victoria Valley War Memorial Hall, Victoria Valley Road",16,0,13,4,0,40,9,1,0,83,0
"Waiharara","Waiharara School, Katavich Road",7,0,21,12,0,73,2,0,0,115,1
"Waihue","Waihue Settlers' Hall, 2368 Waihue Road",5,2,2,3,0,59,2,0,1,74,0
"Waima","Waima School, State Highway 12",2,0,13,8,0,7,1,0,0,31,0
"Waimamaku","Waimamaku Hall, State Highway 12",24,1,59,5,0,47,6,1,1,144,3
"Waimate North","Sunday School, Te Ahu Ahu Road",12,2,31,11,0,93,3,0,0,152,1
"Waiotira","Waiotira School, Ararua Road",7,0,8,3,1,58,3,0,1,81,0
"Waipapa","Waipapa Hall, Waipapa Loop Road",99,8,213,47,3,615,37,3,0,1025,7
"Waipapakauri","Paparore School, 157 West Coast Road",5,0,24,13,0,40,1,1,0,84,2
"Warkworth","Masonic Lodge, above Westpac Bank, 12 Baxter Street",0,0,6,1,1,16,3,0,0,27,0
"Wellsford","Wellsford School, 47 School Road",78,9,142,5,3,429,45,2,1,714,9
"Whakapara","Whakapara Hall, McLennan Road",25,1,41,2,0,107,5,0,2,183,1
"Whananaki","Whananaki School, Whananaki North Road",7,0,19,1,0,30,5,0,0,62,0
"Whangaroa","Whangaroa Hall, Whangaroa Road",11,0,40,1,0,68,5,0,0,125,1
"Whirinaki","Te Kura Kaupapa Māori o Te Tonga o Hokianga, School Road",2,0,23,4,0,6,0,0,0,35,1
,"Voting places where less than 6 votes were taken",1,0,8,0,0,1,0,0,0,10,0
,"Ordinary Votes BEFORE polling day",903,51,2391,416,24,5365,511,11,49,9721,136
,"Special Votes BEFORE polling day",151,3,275,28,3,474,23,2,5,964,26
,"Special Votes On polling day",288,16,503,67,2,735,78,5,7,1701,16
,"Overseas Special Votes including Defence Force",93,1,94,9,0,208,2,1,1,409,1
,"Northland Total",3639,200,8969,1661,96,18269,1555,75,173,34637,419
,,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",35056
"Electorate Candidate Valid Votes","Party",,"SABIN, Michael Lewis - majority 9300"
"CLENDON, David James",Green Party,3639,.1050610619
"NELSON, Craig",ACT New Zealand,200,.0057741721
"PRIME, Willow-Jean",Labour Party,8969,.2589427491
"RINTOUL, Kenneth Alan",Focus New Zealand,1661,.0479544995
"ROBERTSON, Murray",Independent,96,.0027716026
"SABIN, Michael Lewis",National Party,18269,.527441753
"TAYLOR, Melanie Jane",Conservative,1555,.0448941883
"TIMMS, Glen Craig",Money Free Party,75,.0021653145
"WILSON, David Angus",Democrats for Social Credit,173,.0049946589
