Electorate Candidate Votes Recorded at Each Voting Place
"Rongotai 46","Candidate Vote Details"
,,"CARTER, Aaron Richard Edward Storer","EUSOFF, Mohamed Sultan","FINLAYSON, Christopher Francis","KING, Annette Faye","NORMAN, Russel William","OVERTON, John Malcolm","PARETUTANGANUI-TAMATI, Ariana","PIERSON, Brent","RICHARDS, Donald William","WELSH, Bruce Alexander","Total Valid Candidate Votes","Informal Candidate Votes"
"Kilbirnie","Evans Bay Intermediate School Hall, 14 Kemp Street",0,0,61,195,61,0,3,13,1,14,348,4
,"St Patrick's College School Hall, corner Evans Bay Parade & Cobham Drive",0,1,130,218,63,2,2,10,0,13,439,1
"Kingston","Capital Montessori School, Rata Classroom, 14 Camrose Grove",0,0,51,149,51,0,2,11,1,6,271,1
"Lyall Bay","Lyall Bay School Hall, 40-46 Freyberg Street",1,8,223,548,156,0,5,24,0,23,988,8
,"Lyall Bay Surf Club, Lyall Bay Parade (opposite 88 Lyall Bay Parade)",1,1,117,274,131,1,3,12,2,11,553,3
"Maupuia","Garage, 15 Kaikoura Street",0,2,95,168,25,0,1,6,0,6,303,4
"Miramar","Gateway Baptist Church, 33 Park Road",2,3,165,337,93,1,0,10,0,17,628,2
,"Miramar Central School Hall, 38 Park Road",1,2,213,386,101,0,1,18,1,11,734,11
,"Miramar Christian School, Kowhai Class, 41 Camperdown Road",2,2,146,248,106,3,1,9,1,6,524,6
,"Miramar Community Centre, 23 Chelsea Street",1,1,306,510,126,2,6,22,3,17,994,3
,"Miramar Playcentre, 23 Crawford Green",0,0,109,154,31,0,1,16,3,1,315,5
"Mornington","Ridgway School Hall, 120 Mornington Road",0,0,74,262,105,1,0,7,1,3,453,4
"Mt Cook","Davidic Centre, 2nd floor, 28-30 Hopper Street",0,0,3,3,3,0,0,0,0,0,9,0
,"Mount Cook Primary School, 160 Tory Street",0,0,16,20,17,1,0,1,0,0,55,0
,"St Paul's Lutheran Church, 12 King Street",0,2,13,22,7,0,0,1,1,0,46,1
,"Wellington High School, 249 Taranaki Street",0,0,4,15,10,0,1,1,0,0,31,1
"Mt Victoria","Clyde Quay School Hall, 27 Elizabeth Street",0,0,15,29,17,0,0,0,0,0,61,0
,"St Joseph's Church, Bill Pearce Room, 150 Brougham Street",0,0,6,8,6,0,0,0,0,2,22,1
"Newtown","Newtown Park Stadium, Function Room, Daniell Street or Mansfield Street entrances",0,1,46,163,60,1,6,5,1,7,290,3
,"Newtown School Hall, corner Riddiford & Mein Streets",2,2,129,662,270,0,9,15,6,11,1106,18
,"Salvation Army Hall, 16-22 Constable Street",0,2,89,354,146,0,7,16,3,4,621,13
,"Te Whaea New Zealand School of Dance, 11 Hutchison Road",1,0,35,80,53,0,1,4,0,4,178,1
,"Wellington Chinese Baptist Church Hall, 24 Donald McLean Street",0,2,61,245,77,0,2,7,2,3,399,8
,"Wellington Hospital, Te Ao Marama Building Sports Complex, Riddiford Street (main entrance)",0,1,18,47,31,1,2,3,0,3,106,1
,"Wellington Pipe Band Hall, corner Stoke & Hanson Streets",1,1,38,126,57,2,4,6,0,2,237,0
"Owhiro Bay","Owhiro Bay School Hall, 96 Happy Valley Road",0,0,113,226,102,0,4,10,4,3,462,3
"Rongotai","Rongotai College, Renner Hall, 170 Coutts Street",0,4,202,586,163,1,6,20,5,16,1003,20
"Roseneath","Roseneath School Hall, 13 Maida Vale Road",0,0,178,133,102,1,2,6,2,4,428,1
"Seatoun","Seatoun School Hall, 59 Burnham Street",0,1,187,148,47,0,0,6,1,9,399,1
,"St Christopher's Church Hall, 26A Forres Street",0,0,268,232,78,1,1,9,0,11,600,4
"Strathmore Park","Kahurangi School Hall, 43 Strathmore Avenue",1,1,202,524,123,2,2,21,2,26,904,4
"Wellington City","Aro Valley Community Centre, 48 Aro Street",0,0,4,10,10,0,0,0,0,0,24,0
,"Chaffers Dock Atrium, 18 Herd Street",0,0,20,9,11,0,0,0,0,0,40,0
,"Michael Fowler Centre, Renouf Foyer, 111 Wakefield Street",0,0,45,49,40,0,4,4,0,3,145,1
,"St Andrew's Church Hall, 30 The Terrace",0,0,2,11,6,0,0,0,0,0,19,0
,"St John's Church Conference Centre, corner Dixon & Willis Streets",0,0,6,15,18,0,0,0,0,1,40,0
,"Wellington Central Library Meeting Room, Mezzanine Floor, 65 Victoria Street",1,1,28,84,48,0,3,5,1,4,175,2
"Worser Bay","Worser Bay School, Middle Area, 168 Seatoun Heights Road",0,1,95,118,48,0,0,5,0,5,272,0
,"Voting places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day",24,30,2780,5606,2147,13,64,266,19,159,11108,92
,"Special Votes BEFORE polling day",6,7,278,675,306,0,14,32,1,14,1333,14
,"Special Votes On polling day",5,11,551,1128,690,1,18,45,4,41,2494,18
,"Overseas Special Votes including Defence Force",2,0,307,630,509,2,12,10,9,9,1490,6
,"Rongotai Total",66,95,9223,18840,7856,48,225,793,89,576,37811,304
,,,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",38115
"Electorate Candidate Valid Votes","Party",,"KING, Annette Faye - majority 9617"
"CARTER, Aaron Richard Edward Storer",Climate Party,66,.0017455238
"EUSOFF, Mohamed Sultan",United Future,95,.0025124964
"FINLAYSON, Christopher Francis",National Party,9223,.2439237259
"KING, Annette Faye",Labour Party,18840,.4982676999
"NORMAN, Russel William",Green Party,7856,.2077702256
"OVERTON, John Malcolm",Patriotic Revolutionary Front,48,.0012694718
"PARETUTANGANUI-TAMATI, Ariana",MANA Movement,225,.0059506493
"PIERSON, Brent",New Zealand First Party,793,.0209727328
"RICHARDS, Donald William",Independent,89,.0023538124
"WELSH, Bruce Alexander",Conservative,576,.0152336622
