Electorate Candidate and Party Votes Recorded at Each Polling Place
"Dunedin South 9","Candidate Vote Details"
,,"BERNHARDT, David Edwin","CURRAN, Clare Elizabeth","GALLAGHER, Shane Anthony","McALPINE, Jacqueline Mary","McINTOSH, Dawn Shirley","MOFFAT, Mary Pauline","MURRAY, Kay Elizabeth Simmond","NICHOLLS, Colin William","POWELL, Conway Llewelyn","WANSINK, Robert Charles","WESCOMBE, Philip Andrew","Total Valid Candidate Votes","Informal Candidate Votes"
"Ocean View","Ocean View Public Hall, 812 Brighton Road",1,219,31,6,0,0,2,5,118,1,4,387,4
"Otakou","Te Rununga Otakou, Otakou Marae, 45 Tamatea Road",0,33,7,1,0,0,0,1,16,0,0,58,1
"Outram","Outram School, 1 Beaumaris Street",1,204,34,3,3,5,0,15,382,3,5,655,3
"Portobello","Portobello School, 30 Harrington Point Road",2,261,59,7,1,1,4,6,99,0,1,441,2
"Queenstown","Memorial Hall, corner Memorial & Stanley Streets",0,2,1,0,0,0,0,0,19,0,0,22,0
"South Dunedin","Dunedin South Presbyterian Hall, 393 King Edward Street",5,457,46,13,7,10,4,8,172,5,6,733,8
,"Edgar Sports Centre, corner Portsmouth Drive & Teviot Street",0,107,21,1,0,3,0,6,82,0,5,225,1
,"Macandrew Intermediate School, 213 Macandrew Road",7,568,55,14,8,7,5,8,195,2,8,877,14
,"Methodist Church Hall, 11 Wesley Street",3,259,25,7,2,1,3,2,68,2,3,375,4
,"Salvation Army Hall, 190 King Edward Street",5,339,51,8,7,7,5,5,125,1,2,555,14
,"St Patrick's Parish Centre, 32 Macandrew Road",0,211,20,3,8,3,3,7,72,1,3,331,3
"St Clair","St Clair School Hall, 135 Richardson Street",6,641,95,10,1,7,4,14,454,8,13,1253,18
"St Kilda","Holy Cross Anglican Church,17 Ajax Street",1,243,31,5,5,2,1,8,105,3,3,407,11
,"Victoria Flats, St Kilda Community Club Hall, 89 Victoria Road",0,155,22,3,0,1,0,3,63,2,2,251,4
"Tainui","Tainui School Hall, 41 Tahuna Road",4,329,38,5,0,1,5,8,148,4,2,544,5
"Waldronville","Waldronville School, 5a Vulcan Road",3,236,22,6,0,3,0,4,104,0,1,379,3
"Waverley","Otago Sports Car Club Hall, 97 Larnach Road",3,428,42,15,5,7,3,18,553,4,4,1082,8
,"Rotary Park School, 19 McKerrow Street",3,219,31,6,2,1,3,11,190,0,2,468,8
"Wingatui","Wingatui Hall, 270 Gladstone Road North",3,90,10,10,3,1,2,7,141,2,0,269,1
,"Polling places where less than 6 votes were taken",0,1,2,0,0,0,0,0,2,0,0,5,0
,"Hospital Votes",12,389,29,22,7,9,4,6,254,6,6,744,55
,"Ordinary Votes BEFORE polling day",16,1387,183,26,9,17,11,43,1150,7,26,2875,34
,"Special Votes BEFORE polling day",4,266,20,4,3,5,1,1,110,0,1,415,11
,"Special Votes On polling day",15,879,226,14,5,13,9,30,623,6,11,1831,30
,"Overseas Special Votes including defence force",2,143,50,2,5,5,3,2,110,0,3,325,4
,"Dunedin South Total",222,19199,2511,498,172,264,199,528,12750,113,261,36717,484
,,,,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",37201
"Electorate Candidate Valid Votes","Party",,"CURRAN, Clare Elizabeth - majority 6449"
"BERNHARDT, David Edwin",Independent,222,.0060462456
"CURRAN, Clare Elizabeth",Labour Party,19199,.5228913038
"GALLAGHER, Shane Anthony",Green Party,2511,.0683879402
"McALPINE, Jacqueline Mary",Jim Anderton's Progressive,498,.0135631996
"McINTOSH, Dawn Shirley",Democrats for Social Credit,172,.0046844786
"MOFFAT, Mary Pauline",United Future,264,.0071901299
"MURRAY, Kay Elizabeth Simmond",Alliance,199,.0054198328
"NICHOLLS, Colin William",ACT New Zealand,528,.0143802598
"POWELL, Conway Llewelyn",National Party,12750,.3472505924
"WANSINK, Robert Charles",Restore All Things in Christ,113,.0030775935
"WESCOMBE, Philip Andrew",Kiwi Party,261,.0071084239
