Electorate Candidate and Party Votes Recorded at Each Polling Place
"Port Waikato 42","Candidate Vote Details"
,,"DAW, Arthur Robert (Bob)","HART, Steven Lawrence","HUTCHISON, Charles Paul Telford","KEVEN, Douglas Rodney","OLSEN, David Edward","PANIRAU, Max Shannon","PEITA, Josephine Bernadette ","PRASAD, Jayati","STRATTON, Craig Alister","WALL, Louisa Hareruia","Total Valid Candidate Votes","Informal Candidate Votes"
,"Waiuku College, Constable Rd",51,1,404,5,14,7,22,13,4,225,746,6
,"Waiuku Primary School, cnr George & France Sts",115,3,856,10,22,7,29,16,2,506,1566,15
"Whatawhata","Whatawhata School, School Road",13,0,215,2,7,2,7,11,2,106,365,3
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",20,1,126,5,5,1,0,1,0,60,219,7
,"Ordinary Votes BEFORE polling day",97,5,1352,24,22,17,18,38,2,505,2080,10
,"Special Votes BEFORE polling day",10,0,56,1,1,1,1,0,0,25,95,5
,"Special Votes On polling day",145,8,1464,20,47,29,41,41,12,724,2531,31
,"Overseas Special Votes including defence force",9,4,203,2,7,1,2,4,1,76,309,2
,"Port Waikato Total",1703,77,22616,306,544,279,402,403,82,9118,35530,325
,,,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",35855
"Electorate Candidate Valid Votes","Party",,"HUTCHISON, Charles Paul Telford - majority 13498"
"DAW, Arthur Robert (Bob)",New Zealand First Party,1703,.0479313256
"HART, Steven Lawrence",The Republic of New Zealand Party,77,.0021671827
"HUTCHISON, Charles Paul Telford",National Party,22616,.6365325077
"KEVEN, Douglas Rodney",Destiny New Zealand,306,.0086124402
"OLSEN, David Edward",ACT New Zealand,544,.0153110048
"PANIRAU, Max Shannon",Jim Anderton's Progressive,279,.007852519
"PEITA, Josephine Bernadette ",Mâori Party,402,.0113143822
"PRASAD, Jayati",United Future New Zealand,403,.0113425274
"STRATTON, Craig Alister",Direct Democracy Party,82,.0023079088
"WALL, Louisa Hareruia",Labour Party,9118,.2566282015
