Electorate Candidate and Party Votes Recorded at Each Polling Place
"Tamaki Makaurau 66","Candidate Vote Details"
,,"CURTIS, Michael James","KUPENGA, Vapnierka","SHARPLES, Pita Russell","TE WAAKA, Kane","WADDELL, Marama Nathan","WALL, Louisa Hareruia","Total Valid Candidate Votes","Informal Candidate Votes"
,"Sir Douglas Bader Intermediate School, 4 Court Town Close",0,0,12,0,0,10,22,2
,"Southern Cross Campus, 253 Buckland Road West",2,1,65,0,0,31,99,4
,"Te Kura Kaupapa Maori a Rohe o Mangere, 7 Comet Crescent",3,0,56,0,0,26,85,1
,"Viscount Learning Community School, 54 Viscount Street",8,0,65,0,0,28,101,5
"Mangere East","De La Salle College, 81 Gray Avenue",0,1,54,0,2,21,78,1
,"Kedgley Intermediate, 181 Portage Road",6,1,64,0,0,26,97,6
,"Kingsford School, 54 Raglan Street",1,1,68,0,0,47,117,1
,"Mangere East Primary School, 21 Yates Road",4,1,85,0,0,35,125,6
,"Selwyn Anglican Church Hall, corner Massey Road & Hain Avenue",1,1,79,0,0,32,113,0
,"Sutton Park School, 89 Vine Street",6,2,56,0,0,27,91,2
,Manukau East
"Mt Wellington","Panama Road School Hall, 139 Panama Road",4,1,105,3,1,66,180,6
"Otahuhu","Fairburn School, 10 Pukeora Road",1,0,22,1,0,10,34,0
,"McAuley High School, 26 High Street",3,0,76,0,1,21,101,2
,"Middlemore Hospital, Hospital Road",1,0,16,0,0,12,29,0
,"Otahuhu College, 74-78 Mangere Road",1,0,59,0,0,26,86,1
,"Otahuhu Intermediate School, 22-24 Luke Street",0,0,46,0,0,28,74,0
,"Otahuhu Primary School, 41 Station Road",2,0,72,1,0,26,101,3
"Otara","Bairds Mainfreight Primary School, 12 Edward Avenue",2,0,62,0,1,36,101,1
,"East Tamaki Primary School, 196 Preston Road",4,0,81,0,0,23,108,4
,"Ferguson Intermediate School, 20-40 Ferguson Road",6,0,86,3,0,39,134,7
,"Flat Bush School, 20 Flat Bush Road",1,0,53,0,0,22,76,1
,"Mayfield School, 12 Pearl Baker Drive",9,1,74,2,1,51,138,4
,"Nga Taonga Kohanga Reo O Otara, 183 Bairds Road",2,0,70,1,0,27,100,0
,"Sir Edmund Hillary Collegiate, 67 Otara Road",5,0,74,2,0,43,124,6
,"Wymondley Road School, 77 Wymondley Road",1,0,39,0,0,14,54,0
"Papatoetoe","Aorere College, 6-8 Selfs Road",2,0,33,0,0,18,53,2
,"Holy Cross Church Hall, corner St George Street & Carruth Road",4,2,52,0,0,19,77,2
,"Indian Christian Life Centre, 92 St George Street",3,1,36,0,0,22,62,1
,"Omana Kindergarten, 42 Omana Avenue",1,0,21,0,0,10,32,0
,"Papatoetoe Central Primary School, 317 Great South Road",1,0,33,0,0,12,46,1
,"Papatoetoe Contract Bridge Club, 57 Hillside Road",1,0,40,1,0,12,54,0
,"Papatoetoe East Primary School, 138 Tui Road",5,0,59,1,1,31,97,0
,"Papatoetoe High School, 19 Nicholson Avenue",0,0,20,0,0,15,35,0
,"Papatoetoe Intermediate School, 175 Motatau Road",3,0,30,0,0,13,46,1
,"Papatoetoe South School, Milan Road - entry via Kenderdine Road",1,0,65,0,2,24,92,1
,"Papatoetoe West School, 1-3 Hillcrest Road",7,0,87,0,0,34,128,2
,"Puhinui Scout Hall, York Road",3,1,25,0,1,6,36,0
,"St John's Presbyterian Church Hall, 120 Great South Road",0,0,12,1,0,8,21,1
,"Whitehaven Pensioners Flats Hall, 146 Kolmar Road",1,1,13,0,0,7,22,1
,Manurewa
"Manukau","Everglade Primary School, 64 Everglade Drive",11,0,89,2,4,27,133,4
,"Redoubt North School, 47 Diorella Drive",10,1,97,0,0,36,144,0
,"Wiri Community Hall, 11 Inverell Avenue",2,1,81,0,1,41,126,4
"Manurewa","1st Manurewa Scout Hall, corner Sturdee & Browns Roads",2,1,89,1,1,41,135,1
,"Clendon Park School, 145 Rowandale Avenue",3,1,102,1,0,46,153,4
,"Finlayson Park School, 87 John Walker Drive",9,0,198,1,1,76,285,6
,"Greenmeadows Intermediate, Ferguson Road entrance",0,0,37,0,0,24,61,4
,"Hillpark School Hall, 57 Grande Vue Road",3,3,45,1,1,22,75,0
,"Leabank School, 7 Dr Pickering Avenue",2,0,95,0,0,50,147,4
,"Manurewa Central School, corner Great South & Hill Roads",3,0,47,1,0,20,71,1
,"Manurewa East School, Scotts Road",5,0,48,0,1,15,69,0
,"Manurewa Library, 7 Hill Road",0,0,94,0,0,41,135,4
,"Manurewa South Primary School, 39 Tawa Crescent",2,0,84,2,2,32,122,7
,"Manurewa West Primary School, 31 McKean Avenue",1,0,68,0,0,55,124,0
,"Roscommon School, 23 Burundi Avenue",4,0,111,0,0,61,176,6
,"Rowandale School, 73 Rowandale Avenue",5,2,145,2,1,78,233,4
,"St Elizabeth's Anglican Church, 182 Finlayson Avenue",2,1,51,2,0,31,87,4
,"St Luke's Anglican Church Hall, 3 Russell Road",1,1,51,1,0,21,75,2
,"Table Tennis Club Hall, corner Browns & McVilly Roads",3,0,81,1,1,24,110,1
,"Te Matauranga School, 206 Finlayson Avenue",4,2,102,1,0,37,146,3
"Papatoetoe","Puhinui Primary School, 116 Puhinui Road",1,0,58,1,1,24,85,1
"Weymouth","Weymouth Primary School, 23 Evans Road",12,0,131,0,1,51,195,1
,Maungakiekie
"Ellerslie","Michael Park School, 55 Amy Street",0,0,11,0,0,1,12,0
,"St Mary's Church Hall, 66 Main Highway",1,1,13,1,2,6,24,1
,"YMCA Centre, downstairs childcare centre, 46 Michaels Avenue",5,1,19,0,1,6,32,0
"Epsom","Epsom Methodist Church Hall, 12 Pah Road",0,0,11,0,0,2,13,0
"Mt Wellington","Bailey Road School, 19 Bailey Road",2,0,69,1,0,22,94,2
,"Panmure District School, 87 Mt Wellington Highway",3,0,42,0,2,27,74,3
,"Pensioner Flats Hall, 7 Rowlands Avenue",1,0,14,0,0,6,21,1
,"Stanhope Road School, 2b Harris Road",4,0,41,1,0,22,68,0
,"Sylvia Park School, 3 Longford Street",3,0,47,1,0,17,68,0
"One Tree Hill","Oranga District School, 21 Rangipawa Road",2,0,27,2,0,17,48,1
,"St Oswald's Anglican Church Hall, 193 Campbell Road",1,0,15,0,0,8,24,2
"Onehunga","Onehunga Co-operating Parish, corner Grey Street & Onehunga Mall",1,0,33,0,0,14,48,0
,"Onehunga High School, 24 Pleasant Street",0,0,14,0,0,9,23,0
,"Onehunga Primary School, 122 Arthur Street",3,0,33,1,0,15,52,0
,"St Peters Anglican Church, corner Church Street & Onehunga Mall",2,0,45,0,0,22,69,1
"Oranga","St Stephen's Church Hall, 21 Waitangi Road",2,0,30,0,0,16,48,1
,"Te Papapa School, 219 Mt Smart Road",2,0,42,2,0,19,65,3
"Panmure","Bridge Primary School, 76 Kings Road",1,0,46,0,0,27,74,1
,"Maungarei Hall, 7-13 Pilkington Road",2,0,55,0,0,19,76,1
,"Ruapotaka Primary School, 10a Taratoa Street",2,0,34,1,0,15,52,0
,"St Patrick's Church Hall, 19 Sunset View Road",0,0,8,0,0,4,12,0
,"Tamaki Community Church Foyer, 4a Court Crescent",0,0,19,0,0,15,34,8
,"Tamaki Intermediate School, 80a Tripoli Road",7,0,65,1,1,34,108,0
"Penrose","One Tree Hill College, 421-451 Great South Road",2,0,17,0,0,8,27,1
"Royal Oak","Royal Oak Intermediate, 74 Symonds Street (use Trafalgar Street entrance)",0,0,27,1,0,9,37,0
,"Royal Oak School, Chandler Avenue (use 663 Manukau Road entrance)",2,0,17,1,0,12,32,0
"Three Kings","Three Kings School, 944 Mt Eden Road",3,1,25,1,0,15,45,0
,Mt Albert
"Avondale","Avondale College (Music Room M1 Gate 2), 47 Victor Street",2,0,62,0,1,21,86,2
,"Rosebank School Hall, 217 Rosebank Road",7,1,79,0,0,36,123,4
"Balmoral","Balmoral School Hall, 19 Brixton Road",4,0,9,0,0,2,15,0
"Kingsland","Congregational Christian Church of Samoa, 50 Bond Street",0,0,9,0,0,7,16,0
,"Kowhai Intermediate School Hall, 26 Onslow Road",3,0,35,0,0,12,50,1
,"The Church in Auckland Hall, 621 New North Road",0,0,17,0,0,12,29,0
"Morningside","Morningside Church of Christ Hall, 42 Leslie Avenue",3,0,15,1,0,5,24,0
"Mt Albert","Gladstone Primary School, 8 Seaview Terrace",4,0,32,0,0,14,50,1
,"Mt Albert Baptist Church, Jubilee Hall, 732 New North Road",3,0,12,0,1,4,20,0
,"Mt Albert Grammar School Hall, 36 Alberton Avenue",2,0,23,0,0,6,31,0
,"Mt Albert Kindergarten, 24 Mark Road",0,0,21,0,0,6,27,2
,"Mt Albert Methodist Church Hall, Alexis Avenue",2,0,10,1,0,4,17,1
,"Mt Albert Presbyterian Church Hall, 14 Mt Albert Road",2,0,10,0,0,0,12,0
,"Mt Albert Primary School Hall, 6 Sainsbury Road",1,0,14,0,0,3,18,0
,"Rossgrove Chapel Hall, 12 Rossgrove Terrace",1,1,25,1,3,9,40,2
"Mt Eden","Good Shepherd Parish Hall, 30 Telford Avenue",1,0,11,0,0,4,16,1
,"St Albans Church Hall, 443 Dominion Road",1,0,12,0,0,3,16,0
"Owairaka","Owairaka District School Hall, 113 Richardson Road",6,0,54,1,1,32,94,0
"Point Chevalier","Pasadena Intermediate School Hall, 26 Moray Place",2,0,7,0,0,10,19,1
,"Point Chevalier Baptist Church Hall, 126 Point Chevalier Road",5,1,35,0,0,17,58,4
,"Point Chevalier Primary School, 7-31 Te Ra Road",2,0,19,0,0,5,26,2
,"Selwyn Village Theatre, 43 Target Street",2,0,1,0,0,3,6,0
"Sandringham","Christian Family Church Hall, 631 Sandringham Road",1,0,18,0,0,4,23,0
,"Edendale Primary School Hall, 419 Sandringham Road",2,0,49,0,0,14,65,2
,"Salvation Army Community Church Hall, Duncan Avenue",0,1,12,0,0,7,20,2
"Waterview","Waterview Methodist Church Hall, corner Great North Road & Fir Street",6,0,29,0,0,12,47,1
,"Waterview Primary School Hall, 19 Oakley Avenue (use Herdman Street entrance)",2,0,34,1,0,6,43,3
"Western Springs","Greek Orthodox Church Hall, 108 Western Springs Road",3,0,29,1,0,7,40,0
,Mt Roskill
"Avondale","Avondale Baptist Church, corner Blockhouse Bay & New North Roads",2,0,24,0,0,5,31,2
"Balmoral","Balmoral Scout Group, 1a Waitomo Avenue (in Pollard Park)",1,0,9,0,0,3,13,0
"Blockhouse Bay","Glenavon School, 340 Blockhouse Bay Road",2,0,38,0,0,26,66,3
"Hillsborough","Hillsborough Baptist Church, 179 Hillsborough Road",0,0,8,0,0,2,10,0
,"St David's Church, 202 Hillsborough Road",5,0,14,0,1,2,22,0
,"St Margaret's Church, 102 Hillsborough Road",0,1,9,0,1,1,12,0
,"Waikowhai Primary School, 381 Hillsborough Road",0,0,14,0,0,2,16,1
"Lynfield","Halsey Drive School, 106 Halsey Drive",0,0,8,1,0,2,11,0
,"Lynfield Tennis Club, 18 The Avenue",2,2,10,0,0,10,24,0
"Mt Eden","Maungawhau School, 43 Ellerton Road",3,0,22,0,0,6,31,0
"Mt Roskill","Christ The King Parish, 288 Richardson Road",0,1,8,0,0,6,15,0
,"Hay Park School, 670 Richardson Road",3,0,30,0,1,16,50,0
,"Lynfield College School, 191 White Swan Road (main entrance)",1,2,10,0,0,1,14,0
,"Marshall Laing Primary School, 39 Marshall Laing Avenue",0,1,15,0,0,5,21,0
,"May Road School, 504 Richardson Road",2,0,23,0,0,10,35,4
,"Mt Roskill Intermediate School, 62 Denbigh Avenue",0,0,13,0,0,8,21,2
,"St Giles Presbyterian Church, 1207 Dominion Road",0,1,18,1,0,6,26,1
,"St John's Presbyterian Church, 422 Mt Albert Road",2,1,17,0,0,6,26,1
,"Sunnydene School, 48 Smallfield Avenue",1,0,5,0,0,6,12,3
,"Tri-Star Gymnasium Club Inc., 55 Arundel Street",1,0,5,0,0,2,8,0
,"Wesley Intermediate School, 798 Sandringham Road",3,0,33,0,0,16,52,1
"New Windsor","New Windsor School, 185 New Windsor Road (use 64 Peter Buck Road entrance)",4,1,27,0,0,17,49,0
"Three Kings","Mt Roskill Primary School, 37 Frost Road",4,0,13,0,1,6,24,1
,New Lynn
"Avondale","Avondale Community Centre, 99 Rosebank Road",1,0,36,0,1,11,49,1
,"Avondale Primary School, Crayford Street West",2,1,33,0,0,17,53,4
,"Liberty Christian Church, 96 Lansford Crescent",0,0,3,0,0,6,9,0
"Blockhouse Bay","Bay Roskill Sports Club, 231 Whitney Street",0,0,13,0,0,4,17,0
,"Blockhouse Bay Intermediate School, 95 Bolton Street",0,0,19,0,0,6,25,0
,"Blockhouse Bay Primary School, 584 Blockhouse Bay Road",3,0,17,0,0,9,29,0
,"Chaucer School, Chaucer Place",0,0,11,0,0,11,22,0
,"Iona Presbyterian Church, 38 Donovan Street",2,0,7,0,0,4,13,0
"Glen Eden","Konini School, 44 Withers Road",3,0,26,0,1,6,36,1
"Green Bay","Green Bay Community Church Hall, 14 Vardon Road",3,1,31,1,0,11,47,2
,"Green Bay School, 131 Godley Road",2,0,37,1,2,8,50,0
"Huia","Huia Hall, 1253 Huia Road",0,0,6,0,0,3,9,1
"Kelston","Kelston Boys High School, corner Archibald & St Leonards Roads",6,0,53,0,0,20,79,0
,"Kelston Girls College, 1 Archibald Road",3,0,20,2,0,11,36,1
,"St Leonards Road School, 15 St Leonards Road",0,0,43,0,0,12,55,2
"Laingholm","Laingholm Primary School, Victory Road",5,2,21,1,0,7,36,1
"New Lynn","Arahoe School, 11 Arahoe Road",1,0,42,1,0,12,56,0
,"Dayspring Trust Hall, 2 Seabrook Avenue",4,0,25,0,0,9,38,2
,"Fruitvale School, 9 Croydon Road",4,0,35,0,0,15,54,0
,"Miracle of Life Church Hall, 3165 Great North Road",2,0,13,0,0,4,19,1
,"New Lynn Salvation Army Hall, 32 Delta Avenue",2,2,40,0,0,10,54,1
,"New Lynn Sea Scout Hall, 37 Margan Avenue",5,0,26,0,1,14,46,2
,"St Austell's Unity Congregation, 35 Margan Avenue",4,1,12,0,0,0,17,1
"Titirangi","Kaurilands School, 109 Atkinson Road",5,0,22,0,1,19,47,1
,"MacAndrew Hall, 337 Titirangi Road",1,0,8,0,0,3,12,0
,"St Francis Anglican Parish, corner Park & Titirangi Beach Roads",0,0,7,0,0,0,7,0
,"Titirangi Primary School, Atkinson Road",2,0,10,0,0,4,16,1
,"Woodlands Park School, 202 Woodlands Park Road",2,0,17,0,0,3,22,0
"Titirangi South","Private Garage, 26 Grendon Road",0,0,4,0,0,2,6,1
,Pakuranga
"Bucklands Beach"," Macleans College, 2 Macleans Road",2,0,8,0,1,1,12,0
,"Macleans Primary School, 10 Wycherley Drive",1,0,7,0,0,3,11,0
,"Old Bucklands Beach Yacht Club, 56 The Parade",1,0,3,0,1,1,6,0
,"Pakuranga Health Camp School, 1-9 Pigeon Mountain Road",0,0,9,0,0,0,9,1
"Howick","Howick Intermediate School, 1 Botany Road",1,0,13,2,0,5,21,0
,"Owairoa  Primary School, corner Wellington & Nelson Streets",3,0,13,0,0,4,20,1
,"Salvation Army-East City, 37-45 Wellington Street",0,0,11,0,0,1,12,0
"Mellons Bay","Mellons Bay Primary School, 140 Mellons Bay Road",1,0,5,0,0,0,6,0
"Pakuranga","Anchorage Park Primary School, 16 Swan Crescent",0,0,30,0,0,8,38,2
,"Eastgate Christian Centre, 5 Ben Lomond Crescent",4,0,19,0,0,8,31,1
,"Edgewater College, 32 Edgewater Drive",0,0,27,0,0,9,36,0
,"Elm Park School, 46 Gossamer Drive",4,0,24,1,0,10,39,0
,"Farm Cove Intermediate School, 14-16 Butley Drive",5,0,11,0,0,0,16,0
,"Pakuranga College, 480 Pakuranga Road",2,3,24,1,0,8,38,0
,"Pakuranga Heights  Primary School, 77 Udys Road",2,1,22,0,0,1,26,0
,"Pakuranga Youth Centre, 13c Reeves Road",2,0,18,0,1,4,25,2
,"Riverhills Primary School, 13 Waikaremoana Place",1,0,39,0,0,13,53,0
,"Sunnyhills Primary School, 17 The Crest",0,0,9,0,0,3,12,1
,Papakura
"Manurewa","Alfriston College, 550 Porchester Road",0,0,17,0,0,9,26,1
,"Clayton Park School, corner Coxhead & Wattle Farm Roads",6,0,183,2,3,59,253,3
,"Elmwood Village, 131 Hill Road",0,0,5,0,0,3,8,0
"Papakura","Cosgrove School, 10 Cosgrave Road",0,1,6,2,0,6,15,0
,"Papakura High School, 11 Willis Road",0,0,4,0,0,2,6,0
"Takanini","Takanini Church of Christ Hall, 160 Great South Road",0,0,5,0,0,3,8,0
,"Takanini School, School Hall, 39 Takanini School Road (Old Park Place entrance)",1,0,5,0,0,9,15,0
,Rangitikei
"Ratana","Te Kura O Ratana/Ratana School, Kiatere Street",0,1,8,0,0,4,13,0
,Tamaki
"Ellerslie","Christ Church Anglican Church, 169 Ladies Mile",4,0,19,1,0,5,29,3
,"Ellerslie Kindergarten, 122 Celtic Crescent",3,1,19,1,0,3,27,2
"Glen Innes","Glen Innes Primary School,  38-42 Eastview Road",8,1,29,1,0,22,61,3
,"Glenbrae Primary School, 105 Leybourne Circle",3,0,64,0,0,22,89,4
,"His International Mission, 77 Line Road (or Omaru Lane entrance)",2,1,42,0,0,28,73,3
,"Sacred Heart College, 250 West Tamaki Road",1,0,12,0,0,5,18,1
,"Tamaki College, corner Elstree Avenue & Taniwha Street",4,0,61,0,0,30,95,6
"Glendowie","Churchill Park School, Riddell Road",1,0,8,0,0,0,9,0
,"Glen Taylor Primary School, 172 West Tamaki Road",2,0,14,0,0,3,19,0
,"Glendowie Primary School, 217 Riddell Road",1,0,13,0,0,1,15,0
"Kohimarama","Kohimarama Primary School, 112 Kohimarama Road",2,0,18,0,0,3,23,1
,"Presbyterian Church Hall, 34 Kohimarama Road",1,0,3,0,0,1,5,1
,"St Thomas's School, 113 Allum Street",2,1,21,0,0,7,31,0
"Meadowbank","Free Kindergarten, 122 Meadowbank Road",2,0,10,1,0,12,25,1
,"Meadowbank Primary School, 68 Waiatarua Road",1,0,8,0,0,2,11,0
,"St Chad's Church Hall, 5 Meadowbank Road",0,1,21,0,0,3,25,0
,"St John's College, Wesley Hall, 202-210 St John's Road",4,0,30,1,0,7,42,1
"Mission Bay","Patteson Guide Hall, 87 Patteson Avenue",0,0,16,0,0,5,21,0
"Orakei","Orakei Presbyterian Church Hall, 162 Coates Avenue",5,0,116,0,0,45,166,4
,"Orakei Primary School, 1 Grace Street",2,0,17,0,0,4,23,0
"Point England","Point England Primary School, 130 Point England Road",5,0,72,1,0,41,119,4
"Remuera","Baptist Church Hall, 641 Remuera Road",0,0,6,0,0,3,9,0
"St Heliers","Masonic Lodge Hall, 26 Hanene Street",2,0,3,0,0,2,7,0
,"St Heliers Primary School, 126-160 St Heliers Bay Road",2,0,13,0,0,5,20,0
,"St Phillips Church Hall, corner Tuhimata Street & St Heliers Bay Road",0,0,6,1,0,1,8,0
,Waitakere
"Bethells Beach","Fire Station, corner Bethells & Te Aute Ridge Roads",0,0,10,0,0,1,11,0
"Glen Eden","Catholic Church Hall, 7 Glendale Road",7,1,33,0,3,18,62,1
,"Glen Eden Baptist Church Hall, 97 Glendale Road",5,3,32,0,3,10,53,1
,"Glen Eden Primary School, 3 Glenview Road",2,1,31,1,0,15,50,0
,"Prospect School Hall, 76 Rosier Road",11,1,60,2,2,23,99,3
,"Te Kura Kaupapa Maori o Hoani Waititi Marae, 441 West Coast Road",4,0,38,0,0,9,51,0
"Henderson","Bruce McLaren Intermediate School, 61-69 Bruce McLaren Road",1,1,5,0,0,2,9,0
,"Henderson High School, 31 Henderson Valley Road",0,1,4,0,0,2,7,0
,"Henderson Valley Primary School, 389 Henderson Valley Road",3,0,13,0,0,4,20,1
"Oratia","Oratia District School, 1 Shaw Road",2,0,18,0,0,6,26,1
"Piha","Barnett Hall, 2 North Piha Road",0,0,17,0,0,3,20,1
"Ranui","Ranui Library & Community Centre, 474 Swanson Road",2,0,4,0,0,0,6,0
"Sunnyvale","Kelston Community Centre, 126 Awaroa Road (corner Great North Road)",0,0,7,0,0,1,8,0
"Waiatarua","Waiatarua Community Hall, 911 West Coast Road",1,0,6,0,0,2,9,0
,"Polling places where less than 6 votes were taken",6,2,35,0,1,21,65,2
,"Hospital Votes",3,0,32,2,2,12,51,4
,"Ordinary Votes BEFORE polling day",81,17,1314,10,11,560,1993,43
,"Special Votes BEFORE polling day",11,1,188,2,4,62,268,5
,"Special Votes On polling day",123,9,1399,12,11,458,2012,55
,"Overseas Special Votes including defence force",13,2,104,2,4,30,155,2
,"Tamaki Makaurau Total",931,129,12876,122,120,5336,19514,480
,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",19994
"Electorate Candidate Valid Votes","Party",,"SHARPLES, Pita Russell - majority 7540"
"CURTIS, Michael James",Green Party,931,.0477093369
"KUPENGA, Vapnierka",Kiwi Party,129,.0066106385
