Electorate Candidate and Party Votes Recorded at Each Polling Place
"Northland 35","Candidate Vote Details"
,,"BRADFORD, Susan","CARTER, John McGregor","ISAACHSEN, David Patrick","JOHNSON, Philip Alan","JONES, Shane Geoffrey","McCLELLAND, Thomas John","PERI, Malcolm Maihi","PETERS, James Leonard","PHILLIPS, Gray Andrew","PISTORIUS, Julian Leonard","WHAANGA, Mel Tuati","Total Valid Candidate Votes","Informal Candidate Votes"
"Maromaku","Maromaku School, Maromaku School Rd",6,88,1,0,6,0,0,13,0,0,0,114,2
"Marua","Marua Hall, Marua Rd",1,62,0,1,6,3,0,16,0,0,0,89,1
"Matauri Bay","Matauri Bay School, Wainui Rd ",6,45,2,0,33,0,1,9,0,0,0,96,0
"Matawaia","Kohanga Reo, Matawaia Rd",0,1,0,0,5,0,1,4,0,0,0,11,0
"Maungaturoto","Maungaturoto Community Centre, View St",41,347,8,12,196,6,2,55,0,0,0,667,5
"Maunu","Maunu Primary School, Maunu Rd",1,8,0,0,2,0,0,0,0,0,0,11,0
,"Whangarei Area Hospital, Maunu Rd",2,13,0,1,11,0,0,1,0,0,0,28,0
"Moerewa","Te Kura Kaupapa Maori O Taumarere, 1 Station Rd",10,58,8,1,99,0,17,21,0,0,0,214,3
"Ngaiotonga","Ngaiotonga School, Rawhiti Rd",8,12,0,0,27,0,1,7,0,0,0,55,0
"Ngataki","Ngataki School, Ngataki, SH 1",5,26,0,1,12,1,5,3,0,0,0,53,0
"Oakura","Oakura Hall, Oakura Rd",11,41,1,2,39,0,4,16,0,0,0,114,1
"Ohaeawai","Ohaeawai School, Tennyson St",9,106,4,1,39,0,3,27,0,0,0,189,1
"Okahu","Mr J Blackwell's Garage, 2081 Mititai Rd",1,26,1,0,1,0,0,2,0,1,0,32,0
"Okaihau","Okaihau Primary School, Settlers Way",18,244,0,5,78,3,4,24,1,0,0,377,4
"Omana","Settlers' Hall, Girls High School Road ",1,19,0,0,2,1,0,7,0,1,0,31,0
"Omapere","Opononi Area School, 263 SH12",28,86,1,1,86,3,13,26,2,1,0,247,0
"Opua","Opua School, Franklin St",41,174,1,6,81,3,2,30,0,3,0,341,5
"Opuawhanga","Opuawhanga Hall, North Rd",10,49,0,3,12,1,0,7,0,0,0,82,2
"Oromahoe ","Oromahoe School, School Rd",28,37,2,0,7,2,4,6,0,0,1,87,2
"Otaika","Otaika Gospel Hall (cnr Tarewa and Otaika Roads)",1,1,0,0,5,0,2,0,0,0,0,9,0
"Paihia","Paihia School, School Rd",92,683,2,8,237,5,7,85,0,3,0,1122,5
"Pakaraka","Pakaraka School, SH10 ",10,135,4,1,31,5,1,13,0,0,0,200,1
"Pakotai","Pakotai School, Ruddell Rd/Mangakahia Rd",4,41,0,0,10,1,0,11,0,0,0,67,0
"Pamapuria","Pamapuria School, SH 10",20,82,4,0,53,0,2,13,0,1,0,175,1
"Panguru","Panguru Resource Centre, Panguru Rd",4,5,0,0,13,0,6,3,0,0,0,31,0
"Paparoa","Paparoa School, SH12",30,353,5,12,92,4,4,33,1,0,0,534,5
"Pawarenga","Te Kura O Hata Maria",2,6,1,0,6,0,5,0,0,0,1,21,0
"Peria","Peria School, 1430 Oruru Rd",43,48,1,0,43,0,3,17,0,0,0,155,1
"Pipiwai","Te Horo School, Pipiwai Rd",2,15,0,0,5,0,2,4,0,0,0,28,1
"Pouto","Rangitane Hall, Pouto Rd, ",5,28,0,0,7,1,2,8,0,0,0,51,1
"Pukenui","Pukenui School, Lambs Rd",16,179,4,1,98,0,3,43,0,0,0,344,6
"Pukepoto","Pukepoto School, Pukepoto- Awaroa Rd",6,28,2,0,9,0,4,6,0,1,0,56,1
"Rawene","Rawene School, Marmon St",33,67,1,1,62,0,10,22,0,0,0,196,0
"Rawhiti","Kohanga Reo, Te Rawhiti Marae, Rawhiti Rd",2,6,0,0,7,0,5,1,0,0,0,21,1
"Ruatangata","Ruatangata Hall, Ruatangata Rd",8,81,0,1,5,2,1,3,0,0,0,101,2
"Ruawai","Ruawai Primary School, Main Rd",15,287,6,7,108,4,9,42,0,1,1,480,4
"Russell","Russell School, Baker St",85,272,6,4,163,5,4,48,0,2,0,589,4
"Springs Flat","Alive Christian Fellowship, 55 Great North Rd",4,13,0,1,2,0,0,0,0,0,0,20,0
"Taheke","Taheke Community Centre, SH 12 ",10,29,0,0,32,1,7,15,0,0,0,94,0
"Taipa","Taipa Area School, SH 10",55,303,3,8,158,2,11,44,0,0,0,584,2
"Taipuha","Taipuha Hall, Taipuha Station Rd",2,57,0,2,5,0,1,3,0,0,0,70,0
"Takahue","Takahue Community Hall",11,47,1,3,10,2,1,2,0,0,0,77,0
"Tangiteroria","Tangiteroria School, SH14 ",15,101,0,5,32,1,3,13,0,0,0,170,1
"Tangowahine","Tangowahine School, Tangawahine Valley Rd",6,100,0,5,13,0,0,13,0,0,0,137,1
"Taupo Bay","Taupo Bay Holiday Park, Taupo Bay Rd",6,28,0,0,8,1,1,7,0,1,0,52,0
"Tautoro","Tautoro School, Mangakahia Rd",5,25,2,0,8,1,2,6,0,0,0,49,0
"Te Hapua","Te Hapua School, Waharua Rd",0,2,0,0,3,0,5,0,0,0,0,10,0
"Te Kao","Te Kao Area School, Far North Rd",2,11,0,0,14,0,6,0,0,0,0,33,0
"Te Kopuru","Te Kopuru School, Te Kopuru",31,226,0,5,95,6,4,55,0,0,1,423,4
"Te Tii","Te Tii School, Te Tii - Purerua Rd, ",12,40,0,1,16,0,3,3,0,0,0,75,1
"Tinopai","Tinopai School, Tinopai Rd",4,52,1,0,41,1,5,7,0,0,0,111,0
"Titoki","Mangakahia Area School, Mangakahia Rd",16,81,1,3,25,1,1,15,0,0,0,143,2
"Tokerau Beach","Kura Kaupapa Rangiawhia School, Inland Rd",19,136,1,4,59,1,6,37,0,0,0,263,3
"Totara North","Totara North School, School Rd ",9,59,0,3,31,2,1,14,0,0,0,119,1
"Umawera","Umawera School, SH 1",6,66,0,0,15,0,3,10,0,0,1,101,0
"Victoria Valley, Kaitaia","War Memorial Hall, Victoria Valley Rd",3,41,4,0,22,0,0,10,0,1,0,81,0
"Waiharara","Waiharara School, Katavich Rd",7,79,2,0,24,0,0,6,0,0,0,118,1
"Waihue","Waihue Settlers' Hall, 1438 Waihue Rd",9,65,0,0,7,0,0,9,1,0,0,91,0
"Waikare","Te Kura o Waikare, School Road, Waikare",0,1,0,0,1,0,2,4,0,0,0,8,0
"Waima","Waima School, SH12",8,2,0,0,7,0,1,8,0,0,0,26,0
"Waimamaku","Waimamaku Community Trust, SH 12",37,39,1,0,47,0,4,9,0,0,0,137,0
"Waimate North ","Christian School, 421 Te Ahu Ahu Rd",13,77,0,2,26,2,2,5,0,1,0,128,0
"Waiotira","Waiotira School, Ararua Rd",2,45,1,1,16,2,1,13,0,0,0,81,0
"Waipapa","Waipapa Hall, Waipapa Loop Rd",88,731,3,11,199,7,6,52,0,4,0,1101,3
"Waipapakauri","Paparore School, 157 West Coast Rd",8,54,0,1,33,0,3,11,0,0,0,110,2
"Whakapara","Whakapara Hall, Whakapara Rd",23,112,0,0,45,3,3,15,0,0,0,201,0
"Whananaki","Whananaki School, North Rd",9,24,0,0,15,0,2,10,0,1,0,61,0
"Whangaroa","Whangaroa Hall, 574 Whangaroa Rd",15,92,0,0,41,1,2,21,0,0,0,172,0
"Whirinaki","Pa Te Aroha Marae, SH12",9,11,0,3,9,0,5,3,0,0,0,40,0
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",4,80,1,3,54,0,0,18,0,0,0,160,3
,"Ordinary Votes BEFORE polling day",188,1314,24,20,515,16,26,152,2,1,1,2259,17
,"Special Votes BEFORE polling day",35,170,3,4,76,3,7,25,2,1,0,326,4
,"Special Votes On polling day",233,852,16,29,438,15,56,142,1,6,1,1789,20
,"Overseas Special Votes including defence force",44,164,1,0,62,5,3,13,0,1,0,293,1
,"Northland Total",2764,16577,278,315,7302,216,550,2547,18,51,10,30628,233
,,,,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",30861
"Electorate Candidate Valid Votes","Party",,"CARTER, John McGregor - majority 9275"
"BRADFORD, Susan",Green Party,2764,.090244221
"CARTER, John McGregor",National Party,16577,.5412367768
"ISAACHSEN, David Patrick",Destiny New Zealand,278,.0090766619
"JOHNSON, Philip Alan",United Future New Zealand,315,.0102847068
"JONES, Shane Geoffrey",Labour Party,7302,.2384092987
"McCLELLAND, Thomas John",ACT New Zealand,216,.0070523704
"PERI, Malcolm Maihi",Mâori Party,550,.0179574246
"PETERS, James Leonard",New Zealand First Party,2547,.0831592007
"PHILLIPS, Gray Andrew",NZ Republicans Party,18,.0005876975
"PISTORIUS, Julian Leonard",Libertarianz,51,.001665143
"WHAANGA, Mel Tuati",Direct Democracy Party,10,.0003264986
