Electorate Candidate and Party Votes Recorded at Each Polling Place
"Rangitata 41","Candidate Vote Details"
,,"BLANCHARD, Julian Malcolm","BUNTING, Antony George Osmond","GOODHEW, Joanne Gay","McCAW, Peter Logan","TEW, Paul Regan","WARD, Brian James","Total Valid Candidate Votes","Informal Candidate Votes"
,"Pavillion at back of St Paul's Church, entrance 29a Guiness Street",209,22,363,3,2,4,603,8
,"South School, 44 Queen Street",457,28,290,7,7,4,793,14
,"St John's Church Hall, 125 Wai-iti Road",468,29,701,10,4,8,1220,12
,"St Mary's Church Hall, 24 Church Street",205,18,228,2,9,6,468,4
,"St Peter's Church Hall, 11 Otipua Road",308,19,198,6,6,3,540,12
,"St Stephen's Church Hall, 349 Wai-iti Road",343,26,652,7,0,4,1032,7
,"St Stephen's Church, Washdyke, 271 Hilton Highway",118,5,236,1,3,2,365,5
,"Technology Education Centre (TTEC), corner North Sreet & Grey Road",331,26,258,9,7,3,634,10
,"Timaru Girls High School, corner Hassall & Cain Streets",247,19,200,3,1,3,473,0
,"Trinity West, Presbyterian Church Hall, corner Church Street & Avenue Road",330,27,371,5,1,3,737,10
,"Waimataitai School Hall, 29 Trafalgar Street",411,40,430,8,5,5,899,12
"Wakanui","Wakanui School, 20 Wakanui School Road",55,1,140,2,3,0,201,2
"Willowby ","Willowby Hall, 471 Longbeach Road",34,0,190,5,3,0,232,1
"Winchester","Winchester Rural School, State Highway 1",88,6,184,1,1,2,282,6
"Winchmore","Winchmore Hall, 935 State Highway 77",21,2,127,8,8,0,166,0
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0
,"Hospital Votes",281,14,322,8,0,4,629,19
,"Ordinary Votes BEFORE polling day",937,29,1830,46,39,13,2894,29
,"Special Votes BEFORE polling day",165,9,265,10,9,4,462,5
,"Special Votes On polling day",605,43,925,30,27,15,1645,21
,"Overseas Special Votes including defence force",86,6,139,6,7,0,244,2
,"Rangitata Total",13647,759,21759,655,555,230,37605,457
,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",38062
"Electorate Candidate Valid Votes","Party",,"GOODHEW, Joanne Gay - majority 8112"
"BLANCHARD, Julian Malcolm",Labour Party,13647,.3629038692
"BUNTING, Antony George Osmond",Kiwi Party,759,.0201834862
"GOODHEW, Joanne Gay",National Party,21759,.5786198644
"McCAW, Peter Logan",ACT New Zealand,655,.0174178966
"TEW, Paul Regan",Independent,555,.0147586757
"WARD, Brian James",United Future,230,.006116208
