Electorate Candidate and Party Votes Recorded at Each Polling Place
"Waitakere 57","Candidate Vote Details"
,,"BARAL, Hannah Pia","BENNETT, Paula Lee","CLENDON, David James","COVICH, Alona","ETHELL, Sandra Margaret","GREEN, Stanley Christopher","JOE, Charles","PARKYN, David","PILLAY, Barbara Lynne","RIDDELL, John Godfrey","STEWART, Brendan John","ULBERG, John Frank","Total Valid Candidate Votes","Informal Candidate Votes"
,,,,,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",31667
"Electorate Candidate Valid Votes","Party",,"PILLAY, Barbara Lynne - majority 4942"
"BARAL, Hannah Pia",United Future New Zealand,1035,.0329659829
"BENNETT, Paula Lee",National Party,10383,.3307109186
"CLENDON, David James",Green Party,1709,.0544336858
"COVICH, Alona",Direct Democracy Party,79,.0025162441
"ETHELL, Sandra Margaret",Alliance,62,.0019747739
"GREEN, Stanley Christopher",Destiny New Zealand,394,.0125493693
"JOE, Charles",Mâori Party,272,.008663524
"PARKYN, David",Jim Anderton's Progressive,293,.009332399
"PILLAY, Barbara Lynne",Labour Party,15325,.4881195057
"RIDDELL, John Godfrey",ACT New Zealand,416,.0132500956
"STEWART, Brendan John",New Zealand First Party,1354,.0431265129
"ULBERG, John Frank",New Zealand Family Rights Protection Party,74,.0023569882
